"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Humulus","Ilex.Nemopanthus","Indeterminable","Iva.annua","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Selaginella.selaginoides","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Zea.mays"
100,404,1,14,1,0,0,0,0,0,30,0,0,5,0,0,0,0,3,0,0,0,0,10,1,3,0,0,3,0,1,0,2,0,0,0,7,1,53,0,1,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,1,10,0,9,0,0
110,448,1,7,4,0,1,0,0,0,31,0,0,4,0,0,0,0,7,1,1,0,0,11,4,2,0,0,5,0,0,0,2,0,2,0,7,2,40,0,1,0,3,0,0,54,0,0,0,0,0,0,0,0,0,0,2,12,0,5,0,0
120,491,1,6,3,0,0,1,0,0,31,0,0,1,0,0,0,0,12,1,0,0,0,6,2,8,0,0,5,0,1,0,2,0,1,0,7,0,48,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,1,10,0,8,0,0
130,535,1,4,2,0,0,0,0,0,19,0,0,4,0,0,0,0,15,2,0,0,0,5,3,6,0,0,4,0,0,0,2,0,0,0,2,1,52,0,0,0,5,0,0,52,0,0,0,0,0,0,0,0,0,0,4,18,0,3,0,0
140,578,0,7,1,0,1,0,0,0,19,0,0,3,0,0,0,0,18,0,1,0,0,6,2,13,0,0,5,0,1,0,1,0,1,0,15,1,43,0,0,0,5,0,2,38,0,0,0,0,0,0,0,0,0,0,1,18,0,7,1,0
150,621,0,9,0,0,0,1,0,0,37,0,0,3,0,0,0,0,17,3,0,0,0,6,2,0,0,0,2,0,0,0,2,0,0,0,3,0,37,0,0,0,5,0,3,55,0,0,0,0,0,0,0,0,0,1,0,13,0,6,1,0
160,665,1,11,3,0,1,0,1,0,19,0,0,4,0,0,0,0,22,0,2,0,0,16,3,3,0,0,6,0,2,0,2,0,1,0,8,1,34,0,0,1,2,0,0,37,0,0,0,0,0,0,0,0,0,0,1,24,0,4,0,0
170,708,0,6,2,0,0,1,1,0,21,0,0,2,0,0,0,0,18,1,0,0,0,6,5,0,0,0,6,0,1,0,4,0,1,0,3,3,43,0,2,1,3,0,6,38,0,0,0,0,0,0,0,0,0,0,3,25,0,11,1,0
180,752,0,4,4,0,1,0,0,0,24,0,0,8,0,0,0,0,6,0,1,0,0,13,0,5,0,0,6,0,0,0,5,0,3,1,6,2,31,0,0,1,1,0,6,50,0,0,0,0,0,0,0,0,0,0,3,21,0,15,0,0
190,795,0,10,1,0,1,0,0,0,29,0,0,5,0,0,0,0,9,0,0,0,0,20,1,0,0,0,14,0,0,0,2,0,3,0,13,3,25,0,0,0,0,0,9,45,0,0,0,0,0,0,0,0,0,0,6,18,0,12,0,0
200,839,1,14,6,0,0,1,0,0,33,0,0,4,0,0,0,0,15,0,0,0,0,14,2,4,0,0,4,0,4,0,2,0,5,0,6,5,21,0,1,0,3,0,2,36,0,0,0,0,0,0,0,0,0,0,3,8,0,17,0,0
210,896,1,13,5,0,0,1,2,0,26,0,0,1,0,0,0,0,12,0,0,0,0,36,4,1,0,0,3,0,2,0,0,0,0,0,7,1,23,0,0,0,2,0,1,27,0,0,0,0,0,0,0,0,0,1,1,23,0,11,0,0
220,973,0,17,3,0,2,0,1,0,20,0,0,4,0,0,0,0,6,0,0,0,0,37,2,3,0,0,12,0,1,0,1,0,1,1,8,0,23,0,0,1,0,0,1,28,0,0,0,0,0,0,0,0,0,0,3,23,0,18,1,0
230,1051,1,20,1,0,0,0,0,0,26,0,0,5,0,1,0,0,9,0,0,0,0,38,1,8,0,0,1,0,0,0,1,0,1,1,3,3,20,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,4,16,0,12,0,0
240,1128,1,8,2,0,1,0,0,0,31,0,0,4,0,0,0,0,1,0,1,0,0,49,3,1,0,0,4,0,1,0,6,0,0,0,7,1,22,0,0,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,2,12,0,12,0,0
250,1205,1,16,5,0,1,0,0,0,15,0,0,1,0,0,0,0,7,0,1,0,0,50,4,3,0,0,7,0,1,0,3,0,0,0,6,1,26,0,1,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,6,10,0,23,0,0
260,1283,1,16,3,0,0,0,1,0,26,0,0,2,0,0,0,0,16,0,0,0,0,46,5,3,0,0,3,0,1,0,1,0,0,1,15,2,18,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,7,0,10,0,0
270,1360,0,15,5,1,0,0,2,0,20,0,0,1,0,0,0,0,11,0,0,0,0,44,3,2,0,0,3,0,2,1,1,0,0,0,9,0,21,0,0,1,0,0,2,27,0,0,1,0,0,0,0,0,0,0,2,18,0,13,0,0
280,1438,0,15,3,0,0,1,0,0,24,0,0,1,0,0,0,0,8,0,0,0,0,51,4,5,0,0,6,0,0,0,2,0,1,0,7,2,29,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,3,11,0,12,0,0
290,1515,0,11,3,0,1,1,0,0,29,0,0,1,0,0,0,0,5,0,0,0,0,36,4,5,0,0,6,0,1,0,4,0,1,1,6,0,25,0,0,0,1,0,1,31,0,0,0,0,0,0,0,0,0,0,4,16,0,16,0,0
297,1569,1,11,5,0,2,0,0,0,27,0,0,5,0,0,0,0,4,0,1,0,0,31,9,7,0,0,5,0,0,0,1,0,1,0,5,1,22,0,1,1,0,0,1,33,0,0,0,0,0,0,0,0,0,0,3,19,0,12,0,0
310,1670,0,11,4,0,1,0,1,0,35,0,0,1,0,0,0,0,21,1,0,0,0,22,9,4,1,0,4,0,0,0,3,0,0,0,6,2,23,0,0,1,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0
320,1748,0,8,3,0,0,0,0,0,28,0,0,8,0,0,0,0,9,0,1,0,0,40,7,7,0,0,1,0,1,0,1,0,0,0,7,2,22,0,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,4,7,0,14,0,0
330,1825,0,13,2,1,0,0,0,0,29,0,0,7,0,0,0,0,13,1,0,0,0,34,2,5,0,0,1,0,1,0,4,0,0,0,8,2,17,0,2,0,1,0,1,26,0,0,0,0,0,0,0,0,0,0,5,15,0,12,0,0
340,1902,0,17,2,0,0,0,0,0,37,0,0,1,0,0,0,0,5,0,1,0,0,37,3,1,0,0,4,0,5,0,0,0,0,1,14,1,15,0,0,1,0,0,1,21,0,0,0,0,0,0,0,0,0,0,1,15,0,24,0,0
350,1980,0,23,5,0,0,0,0,0,26,0,0,4,0,0,0,0,12,0,0,0,0,34,2,4,0,0,6,0,2,0,0,0,0,0,15,1,15,0,1,1,1,0,0,20,0,0,0,0,0,0,0,0,0,0,3,15,0,15,0,0
360,2057,0,21,0,0,1,0,0,0,28,0,0,3,0,0,0,0,5,0,0,0,0,44,5,4,0,0,6,0,1,0,2,0,0,0,14,0,24,0,0,0,0,0,3,15,0,0,1,0,0,0,0,0,0,0,6,8,0,18,0,0
370,2135,0,16,2,0,0,0,0,0,22,0,0,1,0,0,0,0,7,1,1,0,0,48,7,5,0,0,6,0,4,0,3,0,0,0,9,3,14,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,4,19,0,14,2,0
380,2212,0,13,3,0,0,0,0,0,24,0,0,5,0,0,0,0,13,0,0,0,0,46,8,8,0,0,8,0,2,0,3,0,0,1,7,0,14,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,20,0,15,0,0
390,2290,0,14,2,0,0,0,1,0,19,0,0,3,0,0,0,0,9,0,1,0,0,60,4,4,0,0,5,0,2,0,1,0,0,2,8,2,13,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,1,4,18,0,14,0,0
400,2367,0,15,2,0,1,0,0,0,23,0,0,3,0,0,0,0,23,1,0,0,0,43,4,8,0,0,7,0,0,0,2,0,0,0,8,2,13,0,1,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,4,19,0,7,0,0
410,2445,0,21,2,0,0,1,0,0,22,0,0,1,0,0,0,0,14,0,0,0,0,49,5,5,0,0,6,0,0,0,3,0,0,0,11,1,18,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,2,11,0,21,0,0
420,2560,1,18,3,0,2,0,0,0,29,0,0,3,0,0,0,0,12,0,0,0,0,43,8,4,0,0,5,0,0,0,1,0,0,0,9,0,16,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,2,13,0,10,0,0
430,2675,0,26,3,0,0,0,0,0,24,0,0,2,0,0,0,0,1,0,2,0,0,46,2,6,0,0,7,0,0,0,1,0,0,0,8,1,28,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,3,19,0,15,0,0
440,2790,1,15,2,1,1,0,0,0,20,0,0,5,0,0,0,0,3,0,1,0,0,46,7,1,0,0,7,0,1,0,7,0,0,0,6,0,26,0,1,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,5,16,0,18,0,0
450,2905,0,16,4,0,0,1,0,0,23,0,0,2,0,0,0,0,13,0,0,0,0,57,5,4,0,0,0,0,0,0,2,0,0,0,7,1,19,0,0,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,5,8,0,10,0,0
460,3020,0,19,1,0,3,1,1,0,30,0,0,5,0,0,0,0,6,0,3,0,0,41,5,8,0,0,5,0,0,0,2,0,0,0,3,2,17,0,2,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,8,13,0,18,0,0
470,3135,0,19,2,0,0,0,0,0,21,0,0,4,0,0,0,0,8,0,0,0,0,46,10,7,0,0,8,0,0,0,2,1,0,0,5,2,23,0,2,1,1,0,1,19,0,0,0,0,0,0,0,0,0,0,1,10,0,17,0,0
480,3250,0,21,3,0,0,0,0,0,20,0,0,2,0,0,0,0,8,1,1,0,0,45,4,8,0,0,4,0,3,0,2,0,0,0,5,1,29,0,1,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,3,13,0,11,0,0
490,3365,0,17,0,0,0,0,1,0,24,1,0,4,0,0,0,0,6,0,3,0,0,51,4,1,0,0,4,0,2,0,0,0,5,0,7,1,27,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,4,10,1,10,0,0
500,3480,0,9,1,0,0,1,0,0,30,0,0,3,0,2,0,0,3,0,2,0,0,37,6,3,0,0,6,0,1,0,4,0,2,0,7,1,25,0,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,1,5,18,0,17,0,0
510,3595,0,21,0,1,0,0,0,0,29,0,0,3,0,0,0,0,18,0,0,0,0,37,7,1,0,0,5,0,3,0,1,1,1,1,6,2,24,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,17,0,11,1,0
520,3710,0,24,4,0,0,0,0,0,24,0,0,1,0,0,0,0,10,3,1,0,0,52,1,1,0,0,5,0,0,0,1,0,1,2,5,1,25,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,13,0,9,0,0
530,3825,0,20,3,0,0,1,1,0,21,0,0,0,0,0,0,0,12,1,3,0,0,47,3,4,0,0,2,0,0,0,1,0,0,0,4,3,34,0,0,0,1,0,4,17,0,0,1,0,0,0,0,0,0,0,3,11,0,12,1,0
540,3940,0,26,2,0,0,0,0,0,30,0,0,4,0,0,0,0,12,1,0,0,0,43,3,2,0,0,6,0,2,0,1,1,0,0,8,1,16,0,0,2,0,0,1,19,0,0,0,0,0,0,0,0,0,0,9,7,0,12,0,0
550,4055,0,18,4,0,0,1,1,0,25,1,0,0,0,0,0,0,18,0,0,0,0,35,6,1,0,0,3,0,7,0,1,1,2,0,8,2,33,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,5,0,10,0,0
560,4170,0,26,1,0,1,1,0,0,29,0,0,3,0,0,0,0,0,0,2,0,0,33,2,6,0,1,4,0,1,0,0,0,0,0,6,0,29,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,4,7,1,16,0,0
570,4285,0,12,3,0,0,0,0,0,29,1,0,1,0,0,0,0,1,1,3,0,0,47,2,3,0,1,4,0,4,0,1,0,1,0,7,0,39,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,2,13,0,17,0,0
580,4400,0,11,2,0,0,1,0,0,17,0,0,2,0,0,0,0,13,0,0,0,0,53,3,1,0,0,6,0,3,0,1,0,0,0,7,1,34,0,0,1,2,0,2,25,0,0,0,0,0,0,0,0,0,0,6,2,0,15,0,0
590,4515,0,18,2,0,2,0,0,0,17,0,0,2,0,0,0,0,10,1,3,0,0,34,5,6,0,0,5,0,0,0,0,0,0,0,16,1,34,0,1,0,2,0,0,29,0,0,0,0,0,0,0,0,0,0,4,6,0,10,0,0
598,4607,0,21,3,0,0,0,0,0,26,0,0,2,0,0,0,0,13,0,2,0,0,32,1,7,0,0,7,0,5,0,1,0,0,0,11,0,26,0,1,0,2,0,0,22,0,0,0,0,0,0,0,0,0,0,4,5,0,17,0,0
610,4745,1,16,3,0,3,0,2,0,18,0,0,1,0,0,0,0,13,0,1,0,1,19,6,4,0,0,4,0,4,0,1,0,0,0,10,2,34,0,3,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,3,1,0,32,0,0
620,4860,0,18,1,0,0,1,0,0,29,0,0,7,0,0,0,0,9,1,2,0,0,33,3,6,0,0,3,0,6,0,0,0,1,0,9,1,24,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,6,7,0,18,0,0
630,4975,0,23,1,0,0,0,0,0,29,0,0,3,0,0,0,0,7,1,2,0,0,30,5,6,0,0,6,0,10,0,1,0,2,0,3,2,21,0,0,0,2,0,2,24,0,0,0,0,0,0,0,0,0,0,4,8,0,20,0,0
640,5090,1,17,1,0,0,1,0,0,29,0,0,2,0,0,0,0,7,1,7,0,0,57,5,6,0,0,5,0,3,0,0,2,1,0,9,1,12,0,1,0,1,0,2,16,0,0,0,0,0,0,0,0,0,0,3,10,0,16,0,0
650,5660,0,17,2,0,1,1,1,0,19,0,0,5,0,0,0,0,5,0,2,0,0,41,2,0,0,0,7,0,2,0,0,0,0,0,7,0,26,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,6,40,0,18,0,0
660,5923,0,13,0,1,0,1,0,0,23,0,0,2,0,0,0,0,4,0,1,0,0,36,0,3,0,0,2,0,2,0,1,0,0,0,9,1,24,0,0,1,0,0,1,16,0,0,0,0,0,0,0,0,0,0,5,45,0,13,0,0
670,6186,0,13,1,0,0,1,0,0,15,0,0,0,0,0,0,0,25,0,0,0,0,27,4,1,0,0,0,0,1,0,0,0,0,0,7,0,28,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,1,2,39,0,17,0,0
680,6450,1,11,0,0,0,0,0,0,16,0,0,1,0,0,0,0,18,0,2,0,0,46,1,4,0,0,0,0,0,0,0,0,0,0,7,0,27,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,3,33,0,15,0,0
690,6713,0,6,3,0,0,0,1,0,12,0,0,2,0,0,0,0,14,1,1,0,0,39,4,5,0,0,3,0,0,1,0,0,0,0,3,0,30,0,0,0,0,0,1,18,0,0,1,0,0,0,0,0,0,0,1,41,0,18,0,0
700,6976,0,10,2,1,1,0,0,0,4,0,0,2,0,0,0,0,7,0,2,0,0,37,1,3,0,0,2,0,2,0,2,0,0,0,8,0,29,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,59,0,21,0,0
710,7240,0,24,1,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,1,0,0,41,1,3,0,0,1,0,1,0,1,0,0,0,12,0,34,0,2,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,2,27,0,15,0,0
720,7589,0,19,0,0,1,1,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,34,1,4,0,0,5,0,0,1,0,0,0,0,13,0,44,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,6,26,0,16,0,0
730,7938,0,9,0,1,0,0,0,0,9,0,0,3,0,0,0,0,0,2,0,0,0,9,2,4,0,0,5,0,1,0,2,0,0,0,10,0,67,0,0,2,1,0,0,21,0,0,0,0,0,0,0,0,0,0,3,42,0,12,0,0
740,8287,1,8,2,2,1,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,20,1,99,0,2,0,0,0,1,21,0,0,1,0,0,0,0,0,0,0,2,9,0,20,0,0
750,8637,1,3,0,0,0,1,0,0,17,0,0,0,0,0,0,0,4,0,0,0,0,6,3,4,0,0,3,0,0,0,1,0,0,0,14,0,95,0,1,0,1,0,0,41,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0
760,8986,0,9,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,12,0,120,0,0,1,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0
770,9335,1,1,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,14,1,125,0,0,1,2,0,1,23,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
780,9684,2,4,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,8,0,0,0,1,0,0,0,8,0,104,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0
790,10034,3,0,0,0,1,2,2,0,10,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,9,1,141,0,0,1,0,0,4,12,0,0,0,0,0,0,1,0,0,0,0,3,0,8,0,0
800,10383,1,0,0,0,1,0,0,0,20,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,149,0,0,0,4,0,3,12,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0
805,10558,2,0,1,1,1,0,0,0,17,0,0,1,0,0,0,0,0,1,2,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,2,1,142,0,0,1,1,0,3,17,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0
810,10732,3,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,3,1,2,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,3,3,122,0,0,1,5,0,8,20,0,0,0,0,0,0,0,0,0,0,1,1,1,13,0,0
815,10907,6,2,0,0,1,0,0,0,26,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,6,7,117,0,0,3,1,0,5,20,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,0
820,11212,3,1,1,0,0,1,2,0,27,0,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,0,2,0,2,0,7,0,0,0,11,17,63,0,0,4,29,0,2,22,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0
825,11518,4,2,0,0,0,2,1,0,6,0,0,1,0,0,0,0,0,7,2,1,0,0,0,4,0,0,3,1,1,0,9,0,0,0,8,25,72,0,0,1,23,0,2,21,0,0,0,0,0,0,1,0,0,0,0,2,3,10,0,0
830,12534,2,0,2,1,0,3,1,0,11,0,0,0,0,0,0,0,4,2,1,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0,4,63,58,0,0,5,21,0,1,14,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0
835,13550,4,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,1,12,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,123,39,0,0,1,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
840,NA,2,0,3,1,3,5,0,0,5,0,0,1,0,0,0,0,1,19,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,4,114,25,0,0,1,3,0,0,5,0,0,1,0,0,2,0,0,0,0,0,2,0,1,1,0
845,NA,2,0,1,0,1,4,5,0,13,0,0,0,0,0,0,0,2,49,3,0,0,0,1,4,0,0,7,0,0,0,0,0,0,0,11,48,33,0,0,1,4,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0
850,NA,3,0,1,0,4,5,2,1,0,0,0,2,0,0,0,0,1,34,2,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,7,59,61,0,0,0,3,0,0,9,0,0,2,0,0,2,0,0,0,0,0,0,0,2,2,0
855,NA,2,0,1,0,1,11,2,0,2,0,0,2,0,0,0,0,0,22,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,17,53,58,0,0,1,1,0,0,21,0,0,1,0,0,1,0,0,1,2,0,0,0,0,5,0
860,NA,1,0,0,1,5,3,1,0,3,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,77,47,0,0,1,0,0,1,13,0,0,4,0,0,6,2,0,1,0,0,0,0,2,1,0
865,NA,2,0,0,0,4,6,3,0,2,0,0,0,1,0,0,0,0,41,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,75,48,0,0,5,1,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,0
870,NA,2,0,0,2,3,2,1,0,3,0,0,0,0,0,0,0,2,28,6,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,14,59,71,0,0,4,1,0,5,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
875,NA,1,1,2,1,2,3,7,0,4,0,0,2,0,0,0,0,5,14,4,0,0,0,0,2,0,0,14,0,0,0,0,0,1,1,1,78,55,0,0,6,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,8,8,0
880,NA,7,0,1,1,0,6,12,0,4,0,0,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,61,97,0,0,5,3,0,0,10,0,0,4,0,0,1,0,0,1,0,0,0,0,1,2,0
890,NA,0,0,3,0,1,3,4,1,5,0,0,1,1,0,0,0,0,17,12,0,0,0,0,1,0,0,19,0,1,0,0,0,0,0,2,46,101,0,0,4,0,0,0,3,0,0,5,0,0,0,0,0,2,0,0,0,0,1,37,0
900,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,30,13,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,31,125,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
910,NA,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,84,96,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,10,0
920,NA,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,13,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,50,121,0,0,3,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
930,NA,1,0,0,0,0,7,0,0,0,0,0,4,1,0,0,0,1,18,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,59,88,0,0,9,0,1,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0
940,NA,0,2,0,0,2,3,4,0,1,0,0,0,1,0,0,0,1,17,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,82,64,0,0,6,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0
950,NA,0,0,0,0,1,1,1,0,4,0,0,2,0,0,0,0,3,14,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,65,92,0,0,2,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0,1,0,2,7,0
