"sample.depths","sample.ages","Abies","Acer","Alnus","Arceuthobium","Betula","Carya","Castanea","Corylus","Ericaceae","Fagus","Fraxinus.nigra.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Populus","Quercus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Poaceae","Rosaceae","Rumex","Thalictrum"
45,1826,0.0155038759689922,0.0103359173126615,0.0465116279069767,0,0.578811369509044,0,0.00258397932816537,0,0,0.0129198966408269,0,0.00775193798449612,0,0,0,0.0155038759689922,0.152454780361757,0,0.0568475452196382,0.020671834625323,0,0.0232558139534884,0,0,0,0.0180878552971576,0,0.00516795865633075,0,0,0,0,0,0,0,0.00258397932816537,0.0310077519379845,0,0
50,2305,0.0293255131964809,0.0117302052785924,0.0586510263929619,0,0.565982404692082,0,0,0.0117302052785924,0,0.0410557184750733,0,0.00586510263929619,0,0,0,0.0205278592375367,0.120234604105572,0,0.0498533724340176,0.00586510263929619,0,0.0234604105571848,0,0,0,0.0351906158357771,0.00293255131964809,0.00293255131964809,0,0,0,0,0,0,0,0,0.0117302052785924,0,0.00293255131964809
55,2784,0.0182370820668693,0.0182370820668693,0.0425531914893617,0,0.586626139817629,0,0,0,0,0.0121580547112462,0,0.0060790273556231,0,0,0,0,0.17629179331307,0,0.060790273556231,0,0.00303951367781155,0.027355623100304,0,0,0,0.0212765957446809,0,0.00303951367781155,0.00303951367781155,0,0,0,0,0,0,0,0.0212765957446809,0,0
58,3251,0.0167130919220056,0.011142061281337,0.052924791086351,0,0.615598885793872,0.00278551532033426,0,0,0,0.0222841225626741,0.00278551532033426,0.00278551532033426,0,0,0,0.00835654596100279,0.0891364902506964,0,0.0557103064066852,0.0445682451253482,0,0.0194986072423398,0,0,0,0.0250696378830084,0.00557103064066852,0,0.00278551532033426,0,0,0.00278551532033426,0,0,0,0,0.0194986072423398,0,0
60,3574,0.0123076923076923,0,0.00615384615384615,0,0.883076923076923,0,0,0.0153846153846154,0,0,0.00307692307692308,0.00307692307692308,0,0,0,0,0.0430769230769231,0.00307692307692308,0.0184615384615385,0,0,0.00615384615384615,0,0,0,0.00615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0
64,4219,0.055921052631579,0.00986842105263158,0.00986842105263158,0,0.490131578947368,0,0,0,0,0.00657894736842105,0,0.0131578947368421,0.00328947368421053,0,0.00657894736842105,0.0131578947368421,0.115131578947368,0,0.0789473684210526,0.0197368421052632,0,0.0131578947368421,0,0,0,0.157894736842105,0,0,0.00328947368421053,0,0,0,0,0,0,0,0.00328947368421053,0,0
67,4702,0.0118343195266272,0.0118343195266272,0.00887573964497041,0,0.313609467455621,0,0,0,0,0.0029585798816568,0.00591715976331361,0,0,0,0,0.0029585798816568,0.136094674556213,0.0029585798816568,0.236686390532544,0.029585798816568,0,0.0355029585798817,0,0,0.0029585798816568,0.168639053254438,0.00887573964497041,0.0029585798816568,0.0029585798816568,0,0,0,0,0.0029585798816568,0,0.0029585798816568,0.00887573964497041,0,0
70,5186,0,0,0.0333333333333333,0,0.5,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0.133333333333333,0,0.15,0,0,0,0.0166666666666667,0,0,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
72,5509,0.0133333333333333,0,0.08,0.04,0.24,0,0,0,0,0.0133333333333333,0.0133333333333333,0.0133333333333333,0,0,0,0,0.0533333333333333,0.0666666666666667,0.133333333333333,0.133333333333333,0,0.0133333333333333,0,0,0,0.173333333333333,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0,0
80,6428,0,0.01,0.02,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0.18,0,0,0.04,0,0,0,0.1,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0
84,6761,0.00625,0.0145833333333333,0.03125,0,0.345833333333333,0,0,0.00416666666666667,0,0.00833333333333333,0,0,0.00208333333333333,0,0,0,0.1625,0.0291666666666667,0.1125,0.141666666666667,0,0.0270833333333333,0,0,0,0.0833333333333333,0.00416666666666667,0,0.00208333333333333,0,0,0,0,0,0,0,0.025,0,0
90,7305,0.00510204081632653,0,0.0306122448979592,0,0.168367346938776,0,0,0.0153061224489796,0.00510204081632653,0,0,0,0.0459183673469388,0,0,0.00510204081632653,0.142857142857143,0.0102040816326531,0.48469387755102,0,0,0.0102040816326531,0,0,0,0.0561224489795918,0,0,0,0,0,0.00510204081632653,0,0.00510204081632653,0.00510204081632653,0.00510204081632653,0,0,0
94,7704,0.00591715976331361,0.00887573964497041,0.0355029585798817,0,0.266272189349112,0,0,0,0,0.00591715976331361,0,0,0,0,0,0,0.136094674556213,0.0532544378698225,0.242603550295858,0.130177514792899,0,0.0355029585798817,0,0,0,0.0621301775147929,0.0029585798816568,0,0.0029585798816568,0.0029585798816568,0,0,0,0,0,0,0.00887573964497041,0,0
100,8302,0,0,0.0461538461538462,0,0.0769230769230769,0,0,0,0,0,0,0,0.0153846153846154,0,0,0,0.184615384615385,0.0153846153846154,0.523076923076923,0,0,0.0307692307692308,0,0,0,0.0153846153846154,0,0,0,0,0,0.0307692307692308,0,0,0,0,0.0615384615384615,0,0
104,8701,0.00638977635782748,0.0191693290734824,0.0479233226837061,0,0.303514376996805,0,0,0,0,0.00319488817891374,0,0,0,0,0,0,0.0383386581469649,0.124600638977636,0.188498402555911,0.172523961661342,0,0.0319488817891374,0.00319488817891374,0,0,0.00958466453674121,0.00319488817891374,0,0.00319488817891374,0,0,0.0191693290734824,0,0,0,0.00638977635782748,0.0191693290734824,0,0
112,9498,0.0303951367781155,0,0.060790273556231,0,0.148936170212766,0,0,0.0121580547112462,0.00911854103343465,0,0.00303951367781155,0,0.0151975683890578,0,0,0,0.276595744680851,0.0972644376899696,0.218844984802432,0.0911854103343465,0,0.0182370820668693,0,0,0,0,0,0.00303951367781155,0.0060790273556231,0,0,0,0,0,0,0.00303951367781155,0.0060790273556231,0,0
