"sample.depths","sample.ages","Acer.pensylvanicum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Taxus","Ulmus","Abies.balsamea","Acer.saccharum","Castanea.dentata","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Platanus.occidentalis","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ericaceae","Fraxinus.pennsylvanica.type","Populus.balsamifera.type","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Saxifraga.cernua.type","Poaceae","Ambrosia.type","Asteraceae.subf..Asteroideae.undiff.","Tilia","Juglans.cinerea","Pinus.resinosa.type","Polygonaceae","Acer.saccharinum","Corylus.cornuta","Salix","Ranunculaceae.undiff.","Thalictrum","Viburnum.lentago","Ostrya.Carpinus","Fabaceae","Carya.ovata","Cornus.rugosa","Shepherdia.canadensis","Onagraceae","Caryophyllaceae","Dryas","cf..Oxyria.digyna","Asteraceae.subf..Cichorioideae","Brassicaceae","Nemopanthus.mucronatus","Saxifragaceae.undiff."
204,5915,0,0.00687285223367698,0,0.0120274914089347,0.00687285223367698,0,0.757731958762887,0.00171821305841924,0.00859106529209622,0.00859106529209622,0,0.0120274914089347,0.056701030927835,0,0.0240549828178694,0,0.00687285223367698,0.00687285223367698,0.013745704467354,0,0.00171821305841924,0.00515463917525773,0.0515463917525773,0,0,0.00343642611683849,0.00687285223367698,0,0.00171821305841924,0,0,0,0,0,0.00687285223367698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,6398,0.00366300366300366,0.00183150183150183,0,0.0128205128205128,0.00549450549450549,0.00183150183150183,0.694139194139194,0,0.00183150183150183,0.00732600732600733,0,0.00549450549450549,0.0842490842490843,0,0.0531135531135531,0,0.00732600732600733,0.00915750915750916,0.010989010989011,0,0.00366300366300366,0.00366300366300366,0.0842490842490843,0,0,0.00183150183150183,0.00549450549450549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00183150183150183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,6881,0,0.00305498981670061,0,0.010183299389002,0.00407331975560081,0,0.682281059063136,0.00203665987780041,0,0.00407331975560081,0.00305498981670061,0.00509164969450102,0.103869653767821,0,0.0458248472505092,0.0010183299389002,0.00305498981670061,0.00203665987780041,0.00610997963340122,0,0,0.00203665987780041,0.089613034623218,0,0,0.0234215885947047,0.00305498981670061,0,0,0,0,0,0.0010183299389002,0,0,0,0.0010183299389002,0,0,0,0,0.00305498981670061,0.0010183299389002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,7364,0,0.00165837479270315,0,0.0132669983416252,0.00829187396351575,0,0.691542288557214,0.0033167495854063,0,0.0116086235489221,0,0.0066334991708126,0.099502487562189,0,0.0199004975124378,0.00497512437810945,0.00497512437810945,0.0066334991708126,0.0182421227197347,0.00165837479270315,0,0.00497512437810945,0.0729684908789386,0,0,0.0132669983416252,0.00829187396351575,0,0.0033167495854063,0,0,0,0,0,0.00165837479270315,0,0,0,0.00165837479270315,0.00165837479270315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,7846,0,0.0018348623853211,0.0018348623853211,0.0091743119266055,0.0018348623853211,0.0018348623853211,0.530275229357798,0.0055045871559633,0.0055045871559633,0.018348623853211,0.0036697247706422,0.0055045871559633,0.137614678899083,0.0091743119266055,0.0275229357798165,0.018348623853211,0.0165137614678899,0.0073394495412844,0.0330275229357798,0,0,0.0055045871559633,0.111926605504587,0,0.0055045871559633,0.0128440366972477,0.0128440366972477,0,0,0,0,0,0,0,0.0073394495412844,0,0,0,0,0,0,0,0.0055045871559633,0.0036697247706422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,8499,0,0.00197628458498024,0.00395256916996047,0.0355731225296443,0.00790513833992095,0.00592885375494071,0.679841897233202,0.00395256916996047,0.00197628458498024,0.0118577075098814,0,0.0138339920948617,0.0513833992094862,0.0118577075098814,0.0316205533596838,0.00197628458498024,0.0138339920948617,0.00988142292490119,0.0118577075098814,0,0,0.00197628458498024,0.0375494071146245,0,0.0158102766798419,0.00790513833992095,0.00790513833992095,0,0.00395256916996047,0,0.00395256916996047,0.00197628458498024,0,0,0.00197628458498024,0.00395256916996047,0,0,0,0,0,0,0.00790513833992095,0.00197628458498024,0.00197628458498024,0.00197628458498024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,9359,0,0.00236406619385343,0,0.016548463356974,0.0425531914893617,0.00236406619385343,0.756501182033097,0.00945626477541371,0,0,0,0.0354609929078014,0.0283687943262411,0.0118203309692671,0.016548463356974,0,0.00472813238770686,0.0189125295508274,0.00472813238770686,0,0,0.00472813238770686,0.00945626477541371,0,0,0.00236406619385343,0.0260047281323877,0,0,0,0,0,0,0,0.00236406619385343,0.00236406619385343,0,0,0,0,0,0,0.00236406619385343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,10220,0,0,0.0033003300330033,0,0.107260726072607,0.00165016501650165,0.721122112211221,0.00165016501650165,0,0.00165016501650165,0,0.00825082508250825,0.0214521452145215,0.0115511551155116,0.0346534653465347,0,0.0033003300330033,0.0264026402640264,0.00165016501650165,0,0,0.0132013201320132,0.00825082508250825,0,0.00495049504950495,0.0033003300330033,0.00825082508250825,0,0,0.00165016501650165,0,0,0.00165016501650165,0,0.00495049504950495,0.00495049504950495,0.0033003300330033,0,0,0.00165016501650165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,10650,0,0,0,0,0.276507276507277,0,0.415800415800416,0.00623700623700624,0,0.00207900207900208,0.00415800415800416,0.0187110187110187,0.0686070686070686,0.0332640332640333,0.0374220374220374,0.00207900207900208,0.00415800415800416,0.0478170478170478,0,0.00207900207900208,0,0.00831600831600832,0.0145530145530146,0,0,0,0.0395010395010395,0,0,0.0145530145530146,0,0,0,0,0,0.00207900207900208,0.00207900207900208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,11080,0,0,0.00171526586620926,0,0.480274442538593,0,0.216123499142367,0.00514579759862779,0.00171526586620926,0,0.00343053173241852,0.0240137221269297,0.039451114922813,0.108061749571184,0.00857632933104631,0,0.00343053173241852,0.00343053173241852,0,0,0.00171526586620926,0.00514579759862779,0.0171526586620926,0,0,0,0.0463121783876501,0,0.00343053173241852,0.0120068610634648,0,0.00343053173241852,0,0,0,0,0.00171526586620926,0,0,0,0,0,0.00171526586620926,0.00857632933104631,0,0.00171526586620926,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0,0,0
374,11511,0,0,0,0,0.648275862068965,0.00172413793103448,0.163793103448276,0.00862068965517241,0,0,0,0.0413793103448276,0.0155172413793103,0.0155172413793103,0.0137931034482759,0,0.00172413793103448,0.00344827586206897,0,0,0.00344827586206897,0.0224137931034483,0.0120689655172414,0,0,0.00172413793103448,0.0241379310344828,0,0,0,0,0,0.00172413793103448,0,0,0,0.00172413793103448,0,0,0,0,0,0,0.00862068965517241,0.00344827586206897,0,0,0.00172413793103448,0.00172413793103448,0.00172413793103448,0.00172413793103448,0,0,0,0,0,0,0,0,0
384,11941,0,0,0,0.00814332247557003,0.0374592833876222,0.00651465798045603,0.462540716612378,0.0456026058631922,0,0,0,0.0146579804560261,0.0146579804560261,0.188925081433225,0.0162866449511401,0,0.00651465798045603,0,0,0,0,0.0276872964169381,0.0130293159609121,0,0,0.00325732899022801,0.00488599348534202,0,0,0.00977198697068404,0,0.0309446254071661,0,0,0.011400651465798,0.00162866449511401,0.00325732899022801,0,0,0,0,0,0,0.0846905537459283,0.00162866449511401,0,0,0,0,0,0,0.00488599348534202,0.00162866449511401,0,0,0,0,0,0,0
394,12371,0,0,0.00157728706624606,0.00946372239747634,0.0347003154574132,0.0189274447949527,0.378548895899054,0.0772870662460568,0.00157728706624606,0.00157728706624606,0,0.0173501577287066,0.0410094637223975,0.0362776025236593,0.0141955835962145,0,0.00315457413249211,0.00157728706624606,0,0,0.00157728706624606,0.0205047318611987,0.0173501577287066,0,0,0.00157728706624606,0.0141955835962145,0.00157728706624606,0.00157728706624606,0.00315457413249211,0,0.0110410094637224,0,0,0.028391167192429,0,0.00473186119873817,0,0,0,0,0,0,0.206624605678233,0,0,0,0,0.00157728706624606,0,0,0.0126182965299685,0,0.00315457413249211,0.0331230283911672,0,0,0,0,0
404,NA,0,0,0.00132802124833997,0.00664010624169987,0.0358565737051793,0.0146082337317397,0.122177954847278,0.402390438247012,0.00132802124833997,0,0,0.00398406374501992,0.0451527224435591,0.00664010624169987,0.00929614873837981,0,0.00531208499335989,0,0,0,0.00398406374501992,0.0451527224435591,0.00796812749003984,0,0,0,0.0119521912350598,0,0,0,0.0212483399734396,0,0,0,0.098273572377158,0.00398406374501992,0.0318725099601594,0,0,0,0,0,0.00132802124833997,0.0717131474103586,0.00398406374501992,0,0,0,0.00531208499335989,0,0,0,0.00265604249667995,0.0159362549800797,0.0185922974767596,0.00132802124833997,0,0,0,0
414,NA,0,0,0.00205338809034908,0.0143737166324435,0.0492813141683778,0.0513347022587269,0.0985626283367557,0.279260780287474,0,0.00205338809034908,0,0.0246406570841889,0.0841889117043121,0.0102669404517454,0.00205338809034908,0,0.00205338809034908,0,0,0.00205338809034908,0,0.0369609856262834,0.0246406570841889,0,0,0.00205338809034908,0.0225872689938398,0,0,0,0.0082135523613963,0.00205338809034908,0.00205338809034908,0,0.0657084188911704,0.00410677618069815,0.0082135523613963,0,0,0,0,0,0.00205338809034908,0.0657084188911704,0.00205338809034908,0.00410677618069815,0,0,0,0.00205338809034908,0,0,0,0.00616016427104723,0,0.114989733059548,0.00410677618069815,0,0,0
424,NA,0,0,0,0.015929203539823,0.0495575221238938,0.0672566371681416,0.0778761061946903,0.24070796460177,0,0.00353982300884956,0,0.0283185840707965,0.079646017699115,0.00353982300884956,0.0106194690265487,0,0.00176991150442478,0,0,0,0,0.0725663716814159,0.0619469026548673,0,0,0,0.0230088495575221,0,0.00176991150442478,0,0.0194690265486726,0,0,0,0.0707964601769911,0.00353982300884956,0.00530973451327434,0.00176991150442478,0,0,0,0,0,0.0424778761061947,0.0088495575221239,0.00707964601769911,0,0,0.00353982300884956,0,0,0,0,0.0141592920353982,0,0.0831858407079646,0,0.00176991150442478,0,0
434,NA,0,0,0,0.00963855421686747,0.0289156626506024,0.0457831325301205,0.0337349397590361,0.373493975903614,0,0,0,0.0650602409638554,0.036144578313253,0,0,0,0,0,0,0,0,0.166265060240964,0.00963855421686747,0,0,0,0.0385542168674699,0,0,0,0.00240963855421687,0,0,0,0.0457831325301205,0.00240963855421687,0.0240963855421687,0,0,0,0,0,0,0.0409638554216867,0,0.00240963855421687,0.00963855421686747,0,0.00481927710843374,0.00240963855421687,0,0,0,0.0313253012048193,0,0.0168674698795181,0.00963855421686747,0,0,0
444,NA,0,0,0,0.0122448979591837,0.0163265306122449,0.0163265306122449,0.0387755102040816,0.320408163265306,0,0,0,0.073469387755102,0.0387755102040816,0,0.00204081632653061,0,0,0,0,0,0,0.118367346938776,0,0,0,0,0.0346938775510204,0,0.00204081632653061,0,0.0142857142857143,0,0,0,0.0612244897959184,0.00612244897959184,0.0530612244897959,0,0,0.0428571428571429,0,0,0,0.026530612244898,0.00204081632653061,0,0.00816326530612245,0,0.00204081632653061,0,0,0,0,0.0428571428571429,0,0.0489795918367347,0.00816326530612245,0,0.00204081632653061,0.00816326530612245
454,NA,0,0,0,0.00577200577200577,0.00144300144300144,0.00721500721500722,0.0678210678210678,0.327561327561328,0,0.00144300144300144,0,0.118326118326118,0.038961038961039,0,0.00432900432900433,0,0.00288600288600289,0.00144300144300144,0,0,0,0.0663780663780664,0,0,0,0,0.038961038961039,0,0.00144300144300144,0,0.0404040404040404,0.00144300144300144,0.00144300144300144,0,0.0490620490620491,0,0.0533910533910534,0,0,0.0591630591630592,0,0,0,0.0346320346320346,0,0,0.00577200577200577,0,0.0101010101010101,0.00144300144300144,0,0,0,0.0375180375180375,0,0.012987012987013,0.00865800865800866,0,0,0
464,NA,0,0,0,0.00849256900212314,0.00424628450106157,0.0127388535031847,0.0254777070063694,0.26963906581741,0,0,0,0.118895966029724,0.0318471337579618,0,0.00424628450106157,0,0.0106157112526539,0,0,0.00212314225053079,0,0.0764331210191083,0,0,0,0,0.0360934182590234,0.00424628450106157,0,0,0.0169851380042463,0,0.00212314225053079,0,0.0764331210191083,0,0.0530785562632696,0,0,0.157112526539278,0,0,0,0.0254777070063694,0.00212314225053079,0,0.00212314225053079,0,0.00636942675159236,0,0,0,0,0.029723991507431,0,0.00636942675159236,0.0169851380042463,0,0,0
480,NA,0,0,0,0.00588235294117647,0.00294117647058824,0.00588235294117647,0.0588235294117647,0.25,0,0.00588235294117647,0,0.282352941176471,0.0264705882352941,0,0.0176470588235294,0,0,0,0,0,0,0.0264705882352941,0,0,0.00588235294117647,0,0.0764705882352941,0,0.00294117647058824,0,0.0088235294117647,0,0,0,0.0588235294117647,0,0.00588235294117647,0,0,0.102941176470588,0,0,0,0.0205882352941176,0.00294117647058824,0,0.00588235294117647,0,0.00294117647058824,0.00294117647058824,0,0,0,0,0,0.0088235294117647,0.00588235294117647,0,0,0.00588235294117647
510,NA,0,0,0,0.00972762645914397,0.00972762645914397,0.0116731517509728,0.0525291828793774,0.198443579766537,0,0,0,0.175097276264591,0.0389105058365759,0,0.0136186770428016,0,0.0116731517509728,0,0,0,0,0.0291828793774319,0,0,0.00194552529182879,0,0.0817120622568093,0.00194552529182879,0,0,0,0,0,0,0.0369649805447471,0.00194552529182879,0.0155642023346304,0,0,0.134241245136187,0,0,0,0.169260700389105,0,0,0,0,0,0,0,0.00194552529182879,0.00194552529182879,0,0,0,0,0,0,0.00194552529182879
540,NA,0,0,0,0.0267639902676399,0.0048661800486618,0.0170316301703163,0.0364963503649635,0.0948905109489051,0,0.0024330900243309,0,0.381995133819951,0.0194647201946472,0,0.0072992700729927,0,0.0145985401459854,0.024330900243309,0.0024330900243309,0,0,0.0291970802919708,0,0,0,0,0.0900243309002433,0.0024330900243309,0,0,0,0,0,0,0.0340632603406326,0,0.0048661800486618,0.0048661800486618,0,0.187347931873479,0,0,0,0,0,0.0048661800486618,0,0,0,0,0,0.0048661800486618,0,0.0048661800486618,0,0,0,0,0,0
