"sample.depths","sample.ages","Abies","Acer","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Caryophyllaceae","Castanea","cf..Hypericum","Cornus","Corylus","Corylus.Myrica","Cupressaceae.Taxaceae","Cyperaceae","Drosera","Ericaceae","Fabaceae","Fagus","Fraxinus","Hudsonia","Ilex","Indeterminable","Isoëtes","Iva","Juglans","Lamiaceae","Liliaceae","Liquidambar","Lycopodiaceae","Myrica.Comptonia.peregrina","Myriophyllum","Nuphar","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Populus","Potamogetonaceae","Quercus","Ranunculaceae","Rhamnus.Vitis","Rhus","Rosaceae","Rumex","Salix","Sphagnum","Tilia","Tsuga","Typha","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Utricularia","Viburnum","Zea.mays"
160,4771,0,0,2,1,0,2,0,2,8,0,12,0,1,0,0,0,0,5,0,1,0,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,96,0,0,0,2,0,6,4,91,0,2,0,0,0,91,0,0,0,3,0,0,262,0,11,0,0,2,0,0,2,0,0,0
180,5149,0,0,6,0,0,5,0,2,5,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,48,0,0,1,0,0,14,3,95,0,0,0,0,0,61,0,0,0,0,0,0,999,0,8,0,0,2,1,0,0,0,0,0
220,5905,0,1,3,1,0,8,0,1,1,0,6,0,1,0,1,0,0,2,0,0,0,0,2,0,0,1,0,11,0,0,0,1,0,0,0,1,66,0,0,0,1,0,1,10,116,0,5,0,0,0,103,0,0,0,2,0,0,41,2,11,0,0,2,3,1,7,0,0,0
240,6283,0,1,1,1,0,14,0,1,0,0,9,0,0,0,0,0,0,7,0,1,1,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0,0,2,2,1,16,13,120,0,6,0,0,0,72,0,0,0,2,0,1,34,0,4,0,0,2,1,2,13,0,0,0
260,6661,0,0,6,4,0,5,0,0,3,0,10,0,0,0,0,0,0,10,0,0,1,0,1,0,1,0,0,33,0,0,0,0,0,1,0,0,53,0,0,0,2,0,1,11,106,0,5,0,0,0,43,0,0,0,4,0,0,67,0,11,0,0,1,6,11,27,0,0,0
280,7039,0,1,7,4,0,10,0,0,5,0,12,0,1,0,0,0,0,9,0,1,1,0,25,0,1,3,0,110,0,0,0,1,0,0,0,0,79,0,0,4,1,0,5,8,91,0,11,0,0,0,173,0,0,0,1,1,0,37,0,16,0,0,6,1,0,2,0,0,0
300,7417,0,1,3,0,0,3,0,0,8,0,5,2,0,0,0,4,0,20,0,0,1,0,38,0,0,3,0,27,0,0,0,0,0,0,0,0,109,0,0,1,19,0,5,5,90,0,4,0,0,0,81,0,1,0,4,0,0,12,0,1,0,0,3,6,0,3,0,0,0
320,7795,0,0,4,4,0,5,0,0,4,0,8,1,1,0,0,58,0,7,0,0,3,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,6,0,7,22,63,0,7,0,0,0,118,0,1,0,8,0,0,7,0,11,0,0,1,19,3,5,0,0,0
340,8173,0,0,2,3,0,9,0,0,2,1,39,0,3,0,1,4,0,7,0,0,10,0,17,0,1,3,0,5,0,1,0,0,1,0,0,1,52,0,0,2,2,0,7,9,120,0,15,0,0,3,168,0,0,0,3,0,0,0,0,7,1,0,2,3,6,0,0,0,0
360,8551,0,0,3,1,0,10,0,0,7,1,32,0,0,0,1,2,0,1,0,0,3,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,45,1,0,1,3,0,7,18,107,0,9,0,0,0,154,0,0,0,3,2,0,3,1,6,0,0,1,1,0,5,0,0,0
380,8929,0,1,3,0,0,7,0,0,5,0,52,0,1,0,0,2,0,4,0,0,0,0,79,0,3,0,0,5,0,6,0,0,0,0,0,0,54,0,0,0,0,0,12,13,116,0,6,0,0,0,67,0,0,0,0,0,0,1,0,4,1,0,6,0,0,0,0,0,0
400,9307,1,2,2,8,0,1,0,0,1,0,81,0,0,0,0,0,0,14,0,0,4,0,90,0,0,0,0,12,0,10,0,0,0,0,0,2,80,1,0,1,4,4,4,3,127,0,3,0,0,0,44,1,0,0,1,0,0,1,0,2,1,0,5,7,4,0,0,3,0
420,9917,1,0,4,21,0,0,0,0,2,0,28,1,0,0,0,0,0,4,1,0,0,0,35,2,0,2,0,1,0,1,0,0,0,0,0,0,65,0,4,0,1,34,32,4,192,0,6,0,0,0,14,0,0,0,1,0,0,34,0,4,0,0,2,6,1,7,0,0,0
440,10606,0,0,4,4,0,0,0,0,2,0,10,0,0,0,0,0,0,4,0,0,26,0,13,0,2,7,10,0,0,0,0,1,0,0,0,0,0,0,0,0,14,49,14,0,104,0,116,0,0,0,26,0,0,0,0,0,1,120,0,0,0,0,0,3,4,2,0,0,0
460,11294,0,0,0,1,0,1,0,7,12,0,12,0,0,0,0,0,0,0,0,3,58,0,7,1,0,8,0,0,6,34,0,0,0,0,0,0,20,7,2,0,8,57,17,0,135,0,49,0,0,0,22,0,0,0,3,0,2,2,0,0,0,8,0,15,0,1,0,1,0
480,11982,1,0,2,0,0,0,0,2,32,0,6,3,0,0,0,0,0,1,0,1,22,0,8,0,0,0,0,0,7,105,0,0,2,0,0,1,18,5,0,0,7,68,22,1,104,0,25,1,0,0,3,0,0,0,8,0,2,2,0,0,0,16,0,16,0,6,0,0,0
500,12670,0,0,1,2,0,0,0,5,7,0,15,2,0,0,0,0,0,1,0,0,39,0,6,0,1,5,1,0,6,48,0,0,0,0,0,0,14,5,10,0,8,63,12,1,125,0,40,0,0,0,22,0,0,0,2,0,1,0,0,0,0,11,2,9,0,3,0,0,0
502,12739,0,0,2,0,0,0,0,0,3,0,7,4,0,0,0,0,0,3,0,0,22,0,3,0,0,0,0,0,4,151,0,0,0,0,0,2,3,11,0,0,10,47,27,3,70,0,38,1,0,0,4,0,0,0,4,0,1,0,0,0,0,2,2,7,2,1,0,0,0
