"sample.depths","sample.ages","Abies.balsamea","Acer.nigrum","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","Cornus","Corylus.cornuta","Cyperaceae","Elaeagnus.commutata","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Lythrum.salicaria","Myrica.gale","Myriophyllum","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Rosaceae","Salix","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urticaceae","Viburnum"
125,2740,1,0,0,0,0,16,0,0,8,0,1,0,0,0,163,0,3,0,0,0,0,0,0,0,0,0,122,19,0,0,0,2,2,0,4,0,1,0,0,0,0,0,1,0,6,0,0,0,3,1,0,28,11,8,0,1,0,0,1,32,0,0,0,0,0,0,2,218,0,15,0,0,1,0,0
150,3288,0,0,0,0,0,21,0,0,4,0,1,0,0,0,142,0,2,0,0,0,0,0,8,0,0,0,128,11,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,41,62,12,0,2,0,0,1,21,0,0,0,0,0,0,6,229,0,21,0,1,0,0,0
175,3836,0,0,0,0,0,23,0,0,3,0,0,1,0,0,100,0,2,0,0,0,0,2,0,0,0,0,56,19,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,34,53,12,0,1,0,0,0,36,0,1,0,0,0,0,3,49,0,30,0,0,1,0,0
200,4306,0,0,0,0,0,19,0,0,8,0,0,1,0,0,141,0,4,0,0,0,0,0,0,0,0,0,66,24,1,0,1,3,4,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,48,23,22,0,1,0,0,0,45,0,0,0,0,0,0,5,22,0,24,0,0,0,0,0
225,4465,0,0,0,0,0,20,0,0,12,0,0,1,0,0,121,0,4,0,0,0,0,0,0,0,0,0,50,14,0,0,0,1,9,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,31,30,20,0,0,0,0,0,52,0,0,0,3,0,0,3,34,0,26,0,0,0,0,0
250,4624,0,0,1,0,0,19,0,0,8,0,0,2,0,0,197,0,4,0,0,0,0,0,2,0,1,0,88,26,0,0,2,0,5,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,20,30,16,0,1,0,2,0,30,0,4,0,0,0,0,5,34,1,21,0,0,0,0,0
275,5748,0,0,0,0,0,18,0,0,22,0,0,0,1,0,111,0,2,0,0,0,0,0,2,0,0,0,32,36,3,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,76,33,16,0,0,0,0,0,59,0,0,0,0,0,0,7,119,0,40,0,0,0,0,0
287.5,6310,1,0,0,1,2,21,0,5,4,0,0,0,0,0,174,0,3,0,0,2,0,0,2,0,0,0,8,34,5,1,0,10,1,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,29,62,10,0,0,0,1,0,66,1,1,0,0,5,0,7,215,1,59,0,1,0,0,0
300,6837,0,0,1,0,0,18,0,0,15,0,2,2,0,0,120,0,1,0,0,0,0,0,0,0,0,0,17,25,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,9,60,25,4,0,0,0,1,1,58,0,0,0,1,0,0,0,197,0,19,0,0,0,0,0
312.5,7312,1,0,0,3,0,12,0,13,4,0,2,0,0,0,73,0,0,0,3,1,1,0,1,0,0,0,13,41,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,36,96,15,0,0,0,0,0,98,0,0,0,1,3,0,2,134,0,22,0,0,0,0,0
325,7787,0,0,0,0,0,14,0,0,10,0,2,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,8,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,121,54,30,0,1,0,0,1,54,0,1,0,3,0,0,2,35,1,16,0,1,0,0,0
337.5,8261,4,0,0,1,0,4,0,19,2,1,1,1,1,0,62,0,0,0,0,0,0,0,1,0,0,0,4,33,7,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,66,110,23,0,2,0,0,0,104,1,1,0,0,2,0,1,4,0,43,0,0,0,0,0
350,8736,2,0,0,0,0,5,0,1,12,0,1,0,0,0,107,0,0,0,0,0,0,0,1,0,0,1,14,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,75,104,45,0,0,0,2,0,25,0,4,1,0,0,0,1,1,0,14,0,0,0,0,0
367.5,9400,2,0,0,2,0,8,0,2,7,1,0,0,2,0,135,0,1,0,0,3,0,0,3,0,0,0,1,16,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,108,125,24,0,3,0,9,0,65,0,4,0,0,2,0,0,4,0,25,0,0,0,1,0
375,9685,3,0,0,0,0,3,0,0,4,0,0,0,0,0,71,0,1,0,0,0,0,1,0,0,0,0,1,18,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,2,0,110,34,27,0,1,0,0,0,34,0,0,0,1,0,0,1,5,0,11,0,1,0,0,0
390,10254,5,0,0,1,0,6,1,0,4,2,1,1,0,0,110,0,0,0,0,0,0,0,4,0,0,0,2,5,0,0,0,7,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,12,4,0,170,33,40,0,4,0,3,0,40,0,7,0,1,0,0,0,0,1,5,0,0,0,0,0
400,NA,0,0,0,0,0,4,0,1,16,1,5,9,1,0,240,0,0,0,0,0,0,4,5,0,0,0,0,11,2,0,0,13,2,0,6,0,1,0,0,0,32,0,0,0,0,0,1,0,35,13,0,234,33,129,0,9,3,11,0,66,1,9,0,0,0,0,0,4,1,30,0,2,1,0,0
410,NA,3,0,0,1,0,1,0,0,6,1,2,5,2,0,100,0,2,0,0,0,0,2,16,0,2,0,6,1,2,0,0,16,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,42,5,0,96,24,22,0,6,7,0,0,24,0,5,0,1,0,2,0,2,0,11,0,1,0,0,1
420,NA,0,0,0,0,0,5,0,1,8,0,4,6,0,0,101,0,3,0,0,0,0,0,1,0,0,1,1,17,0,0,0,0,2,1,10,0,0,0,0,0,4,0,0,0,0,0,2,0,127,25,0,88,23,21,0,6,3,19,0,90,0,8,1,0,0,1,0,4,3,20,0,2,4,0,0
425,NA,3,0,0,1,0,3,1,3,9,0,2,7,2,0,76,0,0,0,0,0,0,0,4,0,1,0,9,9,1,4,0,0,1,0,6,0,1,0,0,0,0,0,0,2,0,0,1,0,60,27,0,60,6,31,0,5,1,4,4,46,0,2,2,0,0,0,0,2,0,3,0,2,0,0,0
430,NA,1,0,0,0,0,0,0,0,20,0,1,14,2,0,159,0,1,0,0,0,0,2,11,1,0,0,17,0,4,1,0,0,0,0,12,0,0,0,3,0,3,0,0,3,0,0,0,0,76,4,0,107,10,28,0,4,32,0,2,33,0,18,3,2,0,0,0,2,1,10,0,2,0,0,0
440,NA,0,0,0,0,0,0,1,2,52,0,4,41,4,2,203,0,2,12,0,0,0,0,9,0,0,0,0,17,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,1,0,36,12,0,126,9,41,2,13,0,5,1,34,2,103,5,0,0,0,0,9,2,4,0,6,15,0,0
445,NA,0,0,0,0,0,0,0,1,32,0,2,16,1,2,58,0,0,9,0,0,0,0,8,0,1,0,0,17,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,50,16,0,115,3,47,0,8,0,0,0,11,3,5,1,0,0,2,0,4,0,2,0,3,2,0,0
450,NA,0,0,0,0,0,0,0,4,17,0,7,17,2,0,81,0,0,0,0,0,0,1,25,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,62,10,0,128,0,33,0,9,0,0,0,7,4,2,0,0,0,9,0,5,1,2,0,4,5,0,0
455,NA,0,0,0,0,0,0,0,0,2,0,1,3,1,0,14,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,14,0,55,1,33,0,3,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0
465,NA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,4,0,49,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
475,NA,0,0,0,0,0,0,0,1,3,0,1,4,2,0,7,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,16,4,0,25,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0
485,NA,0,0,0,0,0,0,0,0,2,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,18,0,10,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0
490,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,NA,0,0,0,0,0,1,0,0,5,0,1,2,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,20,1,9,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
