"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Botrychium","Brassicaceae","Caprifoliaceae.undiff.","Caryophyllaceae","Castanea","cf..Myrica","Circaea","Cornus","Corylus","Cyperaceae","Epilobium","Equisetum","Ericales","Eriocaulon","Fabaceae","Fagus","Filicopsida.undiff.","Filipendula","Fraxinus","Gentianaceae","Humulus","Isoëtes","Juniperus","Lycopodiaceae","Myrica","Myriophyllum","Nuphar","Osmunda","Ostrya.Carpinus","Picea","Pinus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex.Oxyria.digyna","Salix","Sambucus","Saxifragaceae","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tsuga","Typha.Sparganium","Ulmus","Unknown..trilete..undiff.","Unknown.Indeterminable","Urtica"
230,5387,47,0,96,1,0,0,0,0,0,204,0,0,0,0,0,13,0,0,4,2,0,0,1,0,0,1,6,0,0,0,0,0,1,1,1,2,0,5,0,91,31,1,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,0
240,5767,17,0,52,0,0,0,0,1,0,138,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,129,46,1,2,0,0,0,1,1,0,0,0,0,0,4,3,0,0,0,0,0,7,0
250,6147,51,0,107,0,0,0,0,2,0,237,0,0,0,2,0,17,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,5,2,12,0,2,2,0,92,105,0,5,0,1,4,0,0,0,2,0,0,0,0,1,0,0,1,1,0,6,0
270,6901,5,0,56,0,0,0,0,0,0,187,0,0,0,1,0,5,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,0,0,0,0,76,20,4,6,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0
275,7081,21,0,80,0,0,0,0,0,0,138,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,9,0,0,2,0,107,8,1,0,0,0,0,3,1,0,0,0,0,1,0,4,1,1,0,0,0,12,0
310,8340,25,0,129,0,1,0,0,0,1,255,0,0,0,0,0,13,0,0,4,3,0,0,2,0,0,1,6,0,0,0,0,0,3,2,1,0,0,1,0,180,10,3,7,0,3,3,0,1,0,3,0,0,0,2,1,0,0,0,0,0,6,1
320,8700,9,0,66,0,0,0,0,1,0,89,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,6,0,0,0,0,138,9,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,15,0
330,9060,46,0,148,0,0,0,1,1,0,290,0,0,0,0,0,20,0,0,5,1,0,0,0,0,0,0,4,0,0,0,0,3,4,1,5,1,0,0,0,315,25,0,2,0,1,2,0,0,0,2,0,0,0,2,1,1,0,0,0,0,10,0
340,9420,14,1,34,0,0,0,0,2,0,133,0,0,0,0,0,18,0,0,0,1,0,0,2,0,0,0,4,0,1,0,0,6,2,1,26,0,0,0,0,167,17,1,2,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,19,0
350,9779,65,0,18,0,0,0,0,1,0,120,0,0,0,0,0,9,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,1,2,5,13,0,0,0,0,194,36,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0
355,9959,21,0,16,0,0,0,1,0,0,160,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,6,5,12,1,0,0,0,97,12,0,0,0,0,0,1,1,0,4,0,0,0,3,0,0,0,0,0,0,11,0
360,10139,36,0,7,0,0,0,0,0,0,161,0,0,0,0,0,28,0,1,0,4,1,0,0,0,0,0,8,0,0,0,0,4,0,4,36,1,0,0,0,52,14,1,0,0,0,2,0,0,0,1,0,0,0,2,0,2,0,0,1,0,36,0
365,10319,34,0,11,0,0,0,0,3,0,211,0,0,0,0,0,4,0,0,1,11,0,0,0,0,1,0,6,0,2,0,0,3,2,5,18,0,0,0,0,64,10,2,3,0,0,2,1,0,0,1,0,0,1,1,2,0,0,0,1,0,11,0
370,10499,40,0,8,0,0,0,0,1,0,228,0,0,0,0,0,12,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,8,3,9,22,0,0,0,1,63,14,1,2,0,0,4,0,0,0,1,1,0,0,2,0,0,1,0,0,0,4,0
375,10679,11,0,10,0,0,0,0,0,0,168,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,10,0,1,0,0,6,4,13,25,3,0,0,0,89,11,2,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,10,0
380,10859,11,0,9,0,0,0,1,0,0,137,1,0,0,0,0,18,0,0,0,9,0,0,1,0,0,0,10,0,1,0,0,2,2,8,21,0,0,0,0,91,18,1,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,28,0
385,11075,6,0,10,0,0,0,0,1,0,171,0,1,0,0,0,11,0,0,0,15,0,0,2,0,0,0,36,0,0,0,0,2,9,64,41,0,0,0,0,46,7,8,9,0,0,0,3,2,0,9,0,0,0,2,0,0,0,0,0,0,13,1
390,11328,1,0,2,0,0,0,1,0,0,218,0,0,0,0,0,29,1,0,1,10,0,0,3,0,0,0,18,0,0,0,0,0,1,54,48,0,1,0,0,9,8,8,0,0,0,2,0,0,0,9,0,0,0,3,0,1,0,0,0,2,16,0
395,11582,1,0,10,0,0,1,1,1,0,179,0,0,0,0,0,3,0,0,2,16,0,0,2,0,0,0,27,0,0,0,0,0,2,21,60,0,0,0,0,8,16,5,1,0,0,0,1,3,0,18,0,0,0,0,0,0,0,0,0,0,19,1
400,11835,0,0,6,0,0,0,0,0,0,147,0,0,0,0,0,23,0,0,2,40,0,0,3,0,0,0,19,0,0,0,0,0,0,17,65,0,0,0,0,5,12,2,0,0,0,4,0,0,0,26,0,0,0,3,0,0,0,0,0,0,24,0
405,12088,1,0,8,0,0,0,2,3,0,123,0,0,0,1,0,8,0,0,0,62,0,0,7,0,0,0,51,0,0,0,0,0,1,17,32,0,0,0,0,19,21,1,0,0,0,1,1,2,0,22,0,0,0,0,0,0,0,0,0,0,23,2
410,12342,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,19,0,0,0,31,0,0,2,0,0,0,7,0,0,0,0,0,0,6,2,0,0,0,1,6,11,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,0
414,12859,1,0,7,0,0,0,0,2,0,29,0,0,0,0,0,1,0,0,0,26,0,0,6,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,7,17,5,0,0,0,0,2,5,2,4,0,0,0,0,0,0,0,0,0,0,10,0
415,12988,0,0,16,1,0,0,2,3,0,27,0,0,0,0,0,18,0,0,0,42,0,0,1,0,0,0,4,0,0,0,0,0,0,7,1,0,0,0,0,2,19,4,0,0,0,0,0,0,2,5,0,0,0,1,0,1,0,0,0,0,21,0
416,13118,0,0,11,1,2,0,15,6,0,25,0,0,0,5,0,8,0,0,0,18,0,0,0,0,0,0,4,1,0,0,0,0,0,6,1,0,0,0,0,6,38,33,0,0,2,0,3,5,11,0,0,3,0,3,0,0,0,0,0,0,29,1
420,13635,0,0,14,0,4,0,10,2,0,6,0,0,0,3,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,23,12,0,0,0,0,0,0,8,2,0,0,0,7,0,3,0,0,0,0,18,0
422.5,13958,0,0,11,1,0,0,8,4,0,12,0,2,0,7,0,0,0,0,0,26,0,0,2,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,4,34,21,0,0,0,0,0,2,9,1,0,0,0,13,0,1,0,0,0,0,26,0
425,14282,0,0,3,1,1,0,9,7,0,15,0,1,0,6,0,1,0,0,0,15,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,13,25,20,0,0,0,0,4,2,2,0,0,0,0,8,0,0,0,0,1,0,28,0
427.5,14605,3,0,14,2,2,1,7,2,0,3,0,0,0,3,0,1,0,0,1,25,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,3,24,18,0,0,0,0,2,1,13,5,0,0,0,6,0,0,0,0,2,0,16,0
430,14928,0,0,4,0,0,0,7,4,0,21,0,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,3,23,12,0,0,0,0,0,4,2,4,0,1,0,9,0,0,0,0,0,0,21,0
432.5,15252,0,0,1,0,1,0,5,4,0,11,0,0,0,3,0,10,0,0,0,19,1,0,1,0,0,0,3,0,0,0,0,0,0,5,1,0,0,0,0,0,7,16,0,0,1,0,0,0,8,12,0,0,0,18,0,0,0,0,0,0,18,0
