"sample.depths","sample.ages","Abies","Acer","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.undiff.","Athyrium","Betula","Botrychium","Callitriche","Cannabaceae","Carya","Caryophyllaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum.type","Dryopteris.type","Epilobium","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Huperzia.lucidula","Huperzia.selago","Hypericum","Indeterminable","Isoëtes","Iva","Juglans","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Malvaceae","Moraceae","Myrica","Nuphar","Osmunda","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sambucus","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urticaceae","Woodsia"
114,6237,81,0,0,12,0,1,1,0,0,0,146,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,2,104,0,0,3,3,2,0,0,1,0,0,0,1137,67,3,8,18,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
118,6465,45,0,0,5,0,0,1,0,0,0,118,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,80,1,0,6,10,0,0,0,1,0,1,1,801,138,0,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0
122,6694,56,1,1,28,1,0,0,0,0,0,189,0,0,0,0,0,0,1,0,2,1,2,0,0,1,0,0,0,0,0,0,10,43,0,0,0,5,0,0,0,0,0,0,1,540,68,1,3,23,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,8,3,0,0,2,0,0
126,6922,121,1,0,24,0,0,1,0,0,0,176,0,0,0,0,0,0,1,1,6,0,3,0,0,0,0,0,0,0,0,0,17,29,1,0,0,17,0,0,0,2,0,0,0,547,120,4,12,32,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,2,0,0,1,0,0
130,7151,97,0,1,65,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,10,0,1,0,1,0,0,0,0,0,0,0,2,12,0,0,1,15,1,0,0,4,0,0,1,223,75,1,4,29,0,2,0,0,0,1,4,0,0,0,1,0,0,0,5,0,0,18,3,0,0,1,1,0
134,7379,241,0,1,93,1,0,1,0,0,0,226,0,0,0,0,0,0,4,0,11,3,4,0,0,1,0,0,0,0,0,0,5,18,0,0,0,20,3,0,0,1,0,1,0,227,144,4,7,49,0,1,0,0,0,0,7,0,0,0,0,1,1,0,3,1,0,15,0,0,0,3,0,0
138,7607,98,0,2,30,1,0,1,0,0,0,41,0,0,0,0,0,1,8,0,3,0,0,0,0,0,0,0,0,0,0,0,16,13,0,0,0,35,0,0,0,1,0,0,10,192,128,4,9,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0
142,7922,220,0,3,94,0,0,1,2,0,0,155,0,0,0,0,0,0,7,0,10,5,4,0,0,1,0,0,0,0,0,0,3,31,0,0,1,25,4,0,0,1,0,0,1,293,141,3,11,35,0,3,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,8,1,0,1,2,0,0
146,8323,11,0,5,103,0,0,0,0,0,1,60,0,0,0,0,0,0,0,4,5,0,1,0,0,1,0,0,1,0,0,0,49,2,0,0,0,10,0,0,0,2,0,0,1,122,23,1,3,5,0,7,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
150,8724,65,0,17,105,0,0,3,2,0,2,112,0,0,0,0,0,0,5,8,29,0,18,1,0,6,0,0,0,1,0,0,22,3,0,0,0,125,0,0,0,1,0,0,3,267,86,7,15,47,0,20,0,1,0,1,5,0,0,1,0,2,0,0,1,1,0,25,1,0,1,3,0,0
154,9124,5,1,4,193,0,2,1,1,0,0,137,0,0,0,0,0,0,17,6,32,0,2,0,0,5,0,0,0,0,0,0,34,6,0,0,0,22,2,0,0,5,0,0,5,94,18,4,0,24,0,41,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,31,0,0,0,1,0,0
158,9525,1,2,2,142,0,1,2,1,0,1,173,0,0,0,0,1,0,5,6,52,6,9,1,1,4,1,0,0,0,0,1,30,1,0,0,0,18,1,0,0,5,0,0,5,112,11,2,7,27,0,22,0,0,0,1,6,1,0,0,0,24,0,1,0,0,0,29,0,0,0,0,0,0
162,9926,3,0,7,116,0,0,2,2,0,0,206,0,0,0,0,2,0,26,7,79,2,3,1,0,7,0,0,0,0,0,0,24,0,0,0,0,9,0,0,2,7,0,0,26,55,7,12,5,33,0,27,0,0,0,2,4,0,0,0,1,33,0,0,0,0,0,28,0,1,1,2,1,0
166,10327,0,0,3,38,0,0,3,1,0,0,270,0,0,0,1,2,0,3,2,75,0,9,0,0,2,3,0,0,0,0,0,40,1,0,0,2,22,0,0,0,4,0,0,1,33,8,5,2,21,0,22,0,0,0,2,7,2,0,3,0,45,0,0,3,0,0,14,0,0,0,4,1,0
170,10728,1,0,5,8,0,0,4,0,0,0,87,0,0,0,0,3,0,2,2,34,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,12,2,0,0,6,0,0,2,23,6,4,3,26,0,20,0,0,0,1,2,0,0,1,0,17,0,1,1,0,0,11,0,0,0,2,0,0
174,NA,0,0,13,19,1,4,18,0,0,0,119,0,0,0,1,8,0,1,1,78,1,3,1,0,1,2,0,0,0,0,0,22,1,0,1,0,7,3,0,0,5,4,0,5,11,4,1,1,16,0,47,0,0,2,1,6,0,0,7,1,61,0,0,2,0,0,15,0,0,0,5,0,3
178,NA,0,0,23,4,0,2,6,5,1,0,22,0,0,0,0,2,0,0,2,32,0,0,0,0,2,2,0,1,0,0,0,43,0,0,1,0,3,0,1,0,0,0,0,0,3,3,0,1,5,0,67,0,0,0,0,0,2,0,2,1,16,0,0,2,0,1,7,0,0,0,10,0,0
182,NA,0,0,23,12,0,1,2,3,0,0,37,0,0,0,0,6,0,1,0,33,0,3,0,0,1,5,0,0,0,0,0,88,1,1,0,0,2,2,0,0,1,0,0,0,12,10,0,0,8,2,83,1,0,0,0,2,0,0,4,0,29,1,0,3,0,0,14,0,0,0,3,0,0
186,NA,0,0,29,1,0,0,0,3,0,0,8,1,0,0,0,2,0,0,0,24,0,4,2,0,1,2,0,1,0,0,0,44,0,2,0,0,2,0,0,0,0,0,0,0,4,7,0,0,3,0,53,0,0,0,1,0,1,0,1,1,6,0,0,2,0,0,12,0,0,0,8,0,0
