"sample.depths","sample.ages","Abies","Acer.saccharum","Adiantum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Carya","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Indeterminable","Isoëtes","Iva.annua","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Myriophyllum","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rumex","Salix","Shepherdia.canadensis","Sparganium.type","Sphagnum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
165,9557,0,2,0,3,0,0,0,0,18,0,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,65,80,0,1,0,0,0,14,0,0,1,0,0,0,0,0,0,6,0
170,9784,1,1,0,2,0,0,0,0,12,0,3,0,1,3,0,0,0,2,0,4,4,1,0,0,0,0,0,0,0,0,0,0,5,0,92,52,0,1,2,0,0,14,0,0,1,0,0,0,0,1,0,3,1
174,9965,1,1,0,6,0,0,0,1,16,0,0,0,7,2,0,0,0,0,2,5,7,2,0,0,0,0,1,1,0,0,0,0,1,1,115,12,2,3,2,1,7,13,0,0,0,0,0,0,0,2,0,7,0
180,10236,2,0,0,2,0,1,1,1,7,0,0,0,5,0,0,0,0,0,0,3,3,1,0,0,1,0,0,0,0,0,0,0,1,9,140,7,1,0,4,0,4,8,0,0,2,0,0,0,0,2,0,3,0
185,10463,0,1,0,0,1,0,1,0,10,0,2,0,11,0,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,1,18,130,2,0,0,4,0,4,6,0,0,1,0,0,0,0,1,0,7,0
190,10689,2,2,2,0,0,1,1,1,19,0,0,0,31,3,0,0,0,0,0,1,1,3,1,0,2,0,1,1,1,0,0,0,3,34,45,5,0,3,19,0,6,15,0,0,0,0,0,0,0,0,0,1,2
195,10916,0,0,0,2,0,0,2,1,17,0,1,0,32,9,4,0,0,0,0,5,5,6,0,0,0,0,0,1,5,0,0,0,3,45,32,2,0,2,20,0,5,13,1,0,2,0,0,0,0,0,0,6,1
200,11142,0,0,2,4,0,0,2,0,21,1,0,0,24,7,2,1,0,0,2,0,2,2,0,1,1,0,0,1,1,0,0,0,0,62,23,5,0,0,21,1,1,14,0,0,4,0,3,0,0,2,0,6,0
205,11369,0,1,0,1,0,0,3,1,10,0,0,0,23,5,2,0,0,0,0,2,2,6,1,0,0,0,0,0,1,0,0,0,1,63,6,29,0,1,38,1,1,9,0,0,1,0,0,0,0,1,0,4,1
210,NA,2,0,2,2,1,0,1,0,21,0,0,0,22,4,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,16,21,3,0,3,90,0,2,5,0,0,4,0,0,0,0,0,1,3,0
215,NA,0,0,1,2,0,0,3,1,62,0,1,0,19,19,3,0,0,0,0,1,1,7,0,0,1,0,0,0,0,0,0,1,0,13,28,0,0,4,21,0,0,5,0,0,13,0,0,0,0,1,0,5,2
220,NA,0,0,0,5,0,1,8,1,39,0,0,0,3,41,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,12,58,2,0,4,2,0,1,4,0,0,11,1,0,0,0,3,0,4,1
225,NA,2,0,0,10,0,2,7,3,26,0,0,0,4,42,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,13,57,2,0,3,3,0,0,7,0,1,8,0,0,2,0,3,0,7,1
230,NA,0,0,0,9,0,1,2,1,51,0,0,0,18,29,0,0,2,0,0,1,1,14,0,0,0,0,0,1,0,1,0,0,0,15,41,3,0,3,1,0,0,8,0,0,11,0,0,0,0,2,0,2,0
