"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Humulus","Impatiens","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lemna","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rumex","Sagittaria","Salix","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Utricularia","Vitis","Zea.mays"
620,2703,0,0,7,4,0,0,0,5,4,0,15,0,0,3,0,0,0,16,0,0,22,4,3,7,0,0,2,0,0,3,0,0,0,0,0,0,0,1,1,0,0,6,0,67,0,0,188,0,0,0,38,0,0,1,0,0,3,0,0,4,12,7,12,0,0,0,0
660,2878,1,0,9,3,0,0,0,0,4,0,10,0,0,2,0,0,0,17,0,0,20,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,87,0,1,514,0,0,1,44,0,0,0,1,0,1,0,0,4,5,3,12,1,0,0,0
700,3053,0,0,10,0,0,0,0,0,18,0,13,0,0,4,0,1,2,54,3,0,18,3,3,6,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,61,0,2,1,1,0,1,46,0,0,1,1,0,36,0,0,3,11,0,11,0,0,1,0
740,3229,3,0,8,0,0,3,0,0,4,0,3,0,0,3,0,0,0,9,3,3,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,131,0,1,2,0,0,6,13,0,0,0,0,0,1,0,1,10,17,1,2,0,0,0,0
780,3404,0,0,9,0,0,1,0,0,0,0,4,0,0,2,0,0,2,11,5,0,1,0,4,4,0,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,148,0,1,5,0,0,4,7,0,0,0,7,0,1,1,0,4,5,1,3,1,0,0,0
820,3545,0,0,13,0,1,2,0,0,6,0,4,0,0,1,0,1,0,5,4,0,1,1,2,2,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,149,0,1,14,0,0,2,11,0,0,0,1,0,0,0,0,1,5,1,5,1,0,0,0
860,3655,0,0,30,1,1,11,0,0,5,0,0,0,0,2,0,0,0,2,37,0,1,0,1,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,139,0,0,3,1,0,10,4,0,0,0,0,0,0,6,0,16,0,0,4,15,0,0,0
900,3764,0,0,65,1,1,5,0,0,6,0,4,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,98,0,0,2,0,0,11,8,0,0,0,0,0,0,2,0,18,0,0,6,10,0,0,0
940,3874,0,0,13,1,1,21,0,0,2,0,1,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,160,0,1,6,0,0,2,12,0,0,0,0,0,0,1,0,7,1,1,2,8,0,0,0
980,3984,0,0,15,0,1,0,1,0,0,0,2,1,0,2,0,0,4,9,10,0,0,0,2,2,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,148,0,0,1,0,0,3,9,0,0,0,1,0,7,1,0,2,5,19,6,4,0,0,0
1020,4093,0,0,15,0,0,2,0,1,1,1,1,0,0,0,0,0,0,11,2,0,8,1,4,5,0,0,10,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,127,0,1,13,0,0,3,19,0,0,0,0,0,5,1,0,7,14,3,3,2,0,0,0
1060,4203,0,0,8,2,0,10,0,1,4,0,7,0,0,6,4,0,0,2,3,0,11,0,14,0,0,0,19,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,103,0,1,93,0,0,5,30,0,0,0,0,0,5,1,0,3,3,4,8,2,0,0,0
1100,NA,0,0,18,2,0,5,0,0,12,0,8,0,0,3,0,0,0,14,5,0,4,3,2,5,0,0,22,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,87,0,2,38,0,0,20,24,0,0,0,0,0,40,0,0,2,30,24,9,2,0,0,0
1140,NA,0,0,16,0,0,38,0,0,2,1,1,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,149,0,0,4,0,0,14,12,0,0,0,0,0,0,0,0,9,7,0,4,8,0,0,0
