"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Juglans.nigra","Larix","Ostrya","Picea","Pinus.subg..Strobus","Pinus.undiff.","Populus","Quercus","Salix","Taxus","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Plantago","Poaceae","Polygonum","Rosaceae","Sphagnum","Nuphar","Nymphaea","Potamogeton","Sagittaria","Typha","Spore..monolete.","Spore..trilete.","Indeterminable"
630,6310,27,0,0,2,102,0,0,2,1,0,0,1,0,0,1,4,30,35,401,0,8,0,0,0,0,4,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13
640,6516,5,0,0,8,174,0,0,0,1,0,0,0,0,0,0,0,10,78,497,0,6,0,0,0,0,9,2,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,15
650,6721,23,0,2,15,263,0,0,0,0,0,0,5,0,0,0,0,12,113,507,0,22,0,0,0,0,9,4,8,0,3,10,0,1,0,0,0,0,0,0,0,0,5,1,21
660,6926,8,0,2,0,124,0,0,0,0,0,0,1,0,0,0,0,2,57,411,0,11,0,0,1,0,2,7,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,32
670,7132,15,0,2,13,260,0,0,0,0,0,0,7,0,0,0,0,62,318,394,0,39,0,0,0,0,11,14,12,0,7,0,0,3,0,0,0,1,0,0,0,0,4,0,29
680,7337,24,0,2,8,195,0,0,18,0,0,0,10,0,0,0,0,41,139,267,0,9,0,0,0,0,11,3,3,0,3,8,0,0,0,0,0,0,0,0,0,0,2,0,14
690,7542,6,0,0,2,141,0,0,4,3,0,0,1,0,0,0,0,2,147,474,0,12,0,0,0,0,13,4,12,0,3,5,0,0,0,0,0,0,0,0,0,0,2,0,15
700,7748,30,0,9,22,305,0,0,5,0,1,0,1,1,0,3,0,19,280,594,0,22,0,0,0,0,6,18,22,1,5,0,0,2,0,2,13,0,0,0,0,0,8,0,14
710,7953,16,0,0,2,160,0,0,0,0,0,0,2,0,0,0,0,9,150,217,0,10,0,0,0,1,3,7,4,1,2,0,0,1,0,1,3,0,0,0,0,0,0,0,31
720,8159,33,0,3,28,263,0,0,12,0,0,0,1,0,0,0,3,28,277,209,0,13,0,0,0,0,3,7,14,0,5,0,0,3,0,0,0,0,0,0,0,0,1,0,17
