"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Carya","Iva.annua.type","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.nigra","Nyssa","Ostrya.Carpinus","Picea","Platanus","Quercus","Rhamnaceae","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Rosaceae.undiff.","Myrica","Pinus","Caprifoliaceae","Poaceae","Plantago","Castanea","Corylus","Juglans.cinerea","Asteraceae.subf..Cichorioideae","Liquidambar","Amaranthaceae","Thalictrum","Lamiaceae","Cupressaceae","Tilia","Apiaceae","Urtica.type","Ilex","Brassicaceae","Salix","Herbs.undiff.","Abies","Anacardiaceae","Polygonum","Onagraceae","Ranunculus","Caryophyllaceae","Sanguisorba"
322,7974,542,2,4,1,0,57,3,0,63,4,14,0,5,2,0,7,7,1,111,0,0,34,0,2,180,0,0,9,0,5,0,21,0,3,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
332,9006,460,1,0,0,0,52,9,0,36,0,13,0,1,1,0,5,4,5,113,0,0,48,2,2,120,0,0,9,0,1,0,24,2,3,0,1,0,1,1,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0
337,9869,712,1,1,3,2,30,6,1,108,0,6,1,0,0,0,6,9,2,96,0,0,76,3,1,282,0,0,13,0,3,0,22,1,4,0,0,1,1,1,0,1,0,0,0,0,24,4,1,0,1,0,1,0,0
342,10733,450,0,0,1,0,32,5,0,22,0,3,0,1,0,0,4,24,1,58,0,0,103,1,0,120,0,0,20,0,1,0,32,4,3,0,0,2,1,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,0
347,11596,476,1,0,2,0,34,11,0,42,0,1,0,0,0,1,5,42,0,39,0,0,107,7,0,123,0,0,23,0,2,0,0,1,3,0,0,0,0,0,0,3,0,0,0,1,12,3,10,0,0,1,1,1,0
352,12459,404,0,0,1,0,34,5,0,24,0,0,0,0,0,0,15,40,0,27,0,0,108,4,0,90,0,0,23,0,3,0,0,0,4,0,0,0,1,0,0,3,0,0,0,0,3,0,19,0,0,0,0,0,0
362,14185,356,1,0,0,0,26,5,0,21,0,0,1,0,0,0,11,75,0,21,0,0,81,3,2,33,0,0,44,0,3,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,5,1,14,0,0,0,0,1,0
363,NA,324,0,0,0,1,8,2,0,27,0,1,0,0,0,0,4,91,0,25,0,0,25,1,2,24,1,0,67,0,8,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,5,0,24,0,0,0,0,0,0
364,NA,307,0,0,0,2,5,0,0,30,0,0,0,0,0,0,0,120,0,8,0,0,0,0,1,5,0,0,107,0,17,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,1
368,NA,308,0,0,1,0,1,0,0,38,0,0,0,0,0,0,1,99,0,3,0,0,0,4,0,7,0,0,126,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,1
372,NA,294,0,0,2,0,0,0,0,39,0,0,0,0,0,0,1,119,0,2,0,0,0,3,0,1,0,0,106,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,8,0,0,0,0,2,1
382,NA,299,0,0,0,2,1,0,0,120,0,0,0,0,0,0,1,46,0,1,0,0,0,5,0,0,0,0,48,0,45,0,0,0,0,1,0,2,4,0,0,0,2,0,0,0,1,0,3,0,0,0,0,14,3
392,NA,181,0,0,1,1,2,0,0,68,0,0,0,0,0,0,2,22,0,3,0,0,0,6,0,0,0,0,29,0,15,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,1,0,3,0,0,0,0,20,0
412,NA,297,0,0,1,3,4,0,0,150,0,0,0,0,0,0,0,43,0,2,0,0,0,0,0,0,0,0,79,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
432,NA,298,0,0,1,1,1,0,0,122,0,0,0,0,0,0,0,67,0,1,0,0,0,1,0,1,0,0,71,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
452,NA,120,0,0,1,0,3,0,0,22,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,37,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
472,NA,298,0,0,0,0,0,1,0,156,0,0,0,0,0,0,0,45,0,4,0,0,0,0,0,1,0,0,84,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
492,NA,301,0,0,0,2,0,0,0,156,0,0,0,0,1,0,0,53,0,2,0,0,0,0,0,1,0,0,80,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
502,NA,300,0,0,0,1,0,0,0,78,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,133,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
506,NA,299,0,0,1,1,2,0,0,81,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,125,0,18,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
512,NA,299,0,0,0,0,2,1,0,92,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,121,0,26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
562,NA,148,0,0,0,1,0,0,0,43,0,0,0,0,0,0,0,44,0,0,0,0,0,1,0,0,0,0,54,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
641,NA,101,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,44,0,0,0,0,1,2,0,2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
