"sample.depths","sample.ages","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Picea","Salix","Alnus","Pinus","Poaceae","Quercus","Populus","Abies","Larix","Asteraceae.subf..Asteroideae.undiff.","Corylus","Sarcobatus.vermiculatus","Thalictrum","Ulmus","Plantago","Rosaceae","Fraxinus","Myrica","Ambrosia.type","Shepherdia","Herbs.undiff.","Ostrya.Carpinus","Trees.undiff.","Polygonaceae.undiff.","Elaeagnus","Juglans","Rumex","Asteraceae.subf..Cichorioideae","Ericaceae","Ephedra","Cupressaceae"
155,3406,0.053125,0.184375,0.0125,0.01875,0.15625,0.003125,0.10625,0.415625,0.028125,0.003125,0,0,0.00625,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,3655,0.0683453237410072,0.248201438848921,0.00359712230215827,0.0215827338129496,0.133093525179856,0.0179856115107914,0.18705035971223,0.273381294964029,0.0251798561151079,0,0.00359712230215827,0.00359712230215827,0,0.00719424460431655,0.00359712230215827,0,0,0,0,0,0,0,0,0,0.00359712230215827,0,0,0,0,0,0,0,0,0,0
185,4152,0.0725552050473186,0.135646687697161,0.00630914826498423,0.00946372239747634,0.110410094637224,0.0441640378548896,0.123028391167192,0.435331230283912,0.0315457413249211,0,0.00630914826498423,0.00630914826498423,0,0,0,0,0.00315457413249211,0,0,0,0,0,0.00630914826498423,0,0.00315457413249211,0.00315457413249211,0.00315457413249211,0,0,0,0,0,0,0,0
205,4649,0.0445205479452055,0.147260273972603,0.00684931506849315,0.00684931506849315,0.14041095890411,0.0171232876712329,0.136986301369863,0.455479452054795,0.023972602739726,0,0.00342465753424658,0.0102739726027397,0,0.00342465753424658,0,0,0,0,0,0.00342465753424658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,5395,0.0717299578059072,0.350210970464135,0,0.0126582278481013,0.0632911392405063,0.0337552742616034,0.185654008438819,0.20253164556962,0.0421940928270042,0.00421940928270042,0,0.00421940928270042,0,0.00421940928270042,0.0126582278481013,0,0,0.00421940928270042,0,0,0,0,0.00421940928270042,0,0,0,0,0.00421940928270042,0,0,0,0,0,0,0
245,5643,0.0617283950617284,0.213991769547325,0.00411522633744856,0.037037037037037,0.0987654320987654,0.00411522633744856,0.127572016460905,0.358024691358025,0.0534979423868313,0,0,0,0,0.00411522633744856,0,0.0164609053497942,0.00411522633744856,0,0,0.00823045267489712,0,0,0.00411522633744856,0,0.00411522633744856,0,0,0,0,0,0,0,0,0,0
255,5892,0.0686695278969957,0.437768240343348,0.0171673819742489,0,0.072961373390558,0.00858369098712446,0.107296137339056,0.227467811158798,0.0214592274678112,0,0,0,0,0.0128755364806867,0.0128755364806867,0,0,0,0,0,0,0.00429184549356223,0.00858369098712446,0,0,0,0,0,0,0,0,0,0,0,0
275,6389,0.134751773049645,0.354609929078014,0.0319148936170213,0,0.0354609929078014,0.00709219858156028,0.24468085106383,0.117021276595745,0.0319148936170213,0.00354609929078014,0,0,0,0.00354609929078014,0.00709219858156028,0,0.0106382978723404,0.00354609929078014,0,0.00354609929078014,0,0.00354609929078014,0,0,0.00354609929078014,0,0.00354609929078014,0,0,0,0,0,0,0,0
295,6886,0.108597285067873,0.294117647058824,0.0407239819004525,0.0271493212669683,0.0497737556561086,0.0497737556561086,0.190045248868778,0.104072398190045,0.0769230769230769,0,0.00452488687782805,0,0,0.0135746606334842,0.00452488687782805,0,0.00452488687782805,0,0,0.00904977375565611,0,0,0.0180995475113122,0,0.00452488687782805,0,0,0,0,0,0,0,0,0,0
315,7383,0.119617224880383,0.210526315789474,0.0430622009569378,0.0334928229665072,0.0430622009569378,0.0382775119617225,0.205741626794258,0.172248803827751,0.0717703349282297,0,0,0,0,0.0287081339712919,0.0143540669856459,0,0,0,0,0,0,0,0.0143540669856459,0,0,0,0,0,0.00478468899521531,0,0,0,0,0,0
335,7880,0.193415637860082,0.242798353909465,0.0493827160493827,0.0288065843621399,0.0493827160493827,0.037037037037037,0.127572016460905,0.135802469135802,0.0905349794238683,0,0,0,0,0.00823045267489712,0.00411522633744856,0,0.0123456790123457,0.00411522633744856,0,0,0,0,0.00823045267489712,0.00411522633744856,0.00411522633744856,0,0,0,0,0,0,0,0,0,0
355,8377,0.170731707317073,0.259146341463415,0.0701219512195122,0.0304878048780488,0.0365853658536585,0.024390243902439,0.13719512195122,0.185975609756098,0.0640243902439024,0.00304878048780488,0,0,0,0.00609756097560976,0.00304878048780488,0,0,0,0,0,0,0,0.00914634146341463,0,0,0,0,0,0,0,0,0,0,0,0
365,8626,0.141592920353982,0.230088495575221,0.023598820058997,0.0353982300884956,0.0619469026548673,0.00589970501474926,0.147492625368732,0.233038348082596,0.0825958702064897,0.00294985250737463,0,0.00294985250737463,0,0.00294985250737463,0.0088495575221239,0.00294985250737463,0.00294985250737463,0,0,0,0,0,0.0117994100294985,0,0,0,0,0,0,0.00294985250737463,0,0,0,0,0
375,8874,0.152985074626866,0.235074626865672,0.0485074626865672,0.0522388059701493,0.111940298507463,0.0485074626865672,0.0522388059701493,0.130597014925373,0.108208955223881,0,0,0.0111940298507463,0,0.0111940298507463,0,0.00746268656716418,0,0,0,0,0,0,0.00746268656716418,0.0149253731343284,0,0,0,0.00373134328358209,0,0,0.00373134328358209,0,0,0,0
385,9123,0.162939297124601,0,0.0766773162939297,0.0638977635782748,0.060702875399361,0.0159744408945687,0.150159744408946,0.271565495207668,0.143769968051118,0,0,0.00638977635782748,0,0.00319488817891374,0.00638977635782748,0,0.00319488817891374,0,0,0,0,0,0.0287539936102236,0,0.00319488817891374,0,0,0,0,0,0,0.00319488817891374,0,0,0
395,9371,0.171821305841924,0.109965635738832,0.0378006872852234,0.0824742268041237,0.0584192439862543,0.0171821305841924,0.0962199312714777,0.288659793814433,0.109965635738832,0,0,0.00343642611683849,0,0.00343642611683849,0.00343642611683849,0.00343642611683849,0.00343642611683849,0.00343642611683849,0,0.00343642611683849,0,0,0.00343642611683849,0,0,0,0,0,0,0,0,0,0,0,0
405,9620,0.13595166163142,0.141993957703928,0.0574018126888218,0.102719033232628,0.0845921450151057,0.0120845921450151,0.120845921450151,0.196374622356495,0.0694864048338369,0,0,0.00604229607250755,0,0.0181268882175227,0.00906344410876133,0,0.00302114803625378,0,0,0.00302114803625378,0,0.00906344410876133,0.0151057401812689,0.00604229607250755,0.00302114803625378,0,0,0,0,0,0,0.00604229607250755,0,0,0
415,9868,0.136170212765957,0.0893617021276596,0.11063829787234,0.0382978723404255,0.0723404255319149,0.0468085106382979,0.136170212765957,0.0553191489361702,0.238297872340426,0.00425531914893617,0,0,0,0.025531914893617,0,0,0,0,0,0.00851063829787234,0,0,0.025531914893617,0.00425531914893617,0.00425531914893617,0,0,0.00425531914893617,0,0,0,0,0,0,0
425,10117,0.129287598944591,0.100263852242744,0.0949868073878628,0.129287598944591,0.240105540897098,0.0263852242744063,0.0554089709762533,0.131926121372032,0.050131926121372,0,0,0.00263852242744063,0,0.00263852242744063,0.00263852242744063,0,0.00263852242744063,0,0,0,0,0,0.0158311345646438,0.00527704485488127,0.00263852242744063,0,0,0,0,0,0,0.00263852242744063,0.00263852242744063,0.00263852242744063,0
435,10365,0.142857142857143,0.122923588039867,0.0431893687707641,0.0465116279069767,0.325581395348837,0.0431893687707641,0.0232558139534884,0.102990033222591,0.0996677740863787,0,0.00332225913621262,0,0,0.00996677740863787,0,0,0.00996677740863787,0,0,0.00664451827242525,0,0.00332225913621262,0.00664451827242525,0,0.00996677740863787,0,0,0,0,0,0,0,0,0,0
445,10614,0.284457478005865,0.120234604105572,0.0586510263929619,0.090909090909091,0.158357771260997,0.0439882697947214,0.0146627565982405,0.0498533724340176,0.114369501466276,0,0,0,0,0.0146627565982405,0.0146627565982405,0,0.00293255131964809,0,0,0.00879765395894428,0,0,0.0146627565982405,0.00879765395894428,0,0,0,0,0,0,0,0,0,0,0
455,10862,0.130293159609121,0.156351791530945,0.0456026058631922,0.107491856677524,0.257328990228013,0.0553745928338762,0.00325732899022801,0.0553745928338762,0.0521172638436482,0,0.0130293159609121,0,0,0.0195439739413681,0.0130293159609121,0,0.0130293159609121,0,0.00325732899022801,0,0,0,0.00325732899022801,0.0162866449511401,0.0358306188925081,0.00325732899022801,0,0,0,0,0,0,0.00325732899022801,0,0.0130293159609121
465,11111,0.097560975609756,0.113821138211382,0.016260162601626,0.016260162601626,0.678861788617886,0.008130081300813,0,0.0284552845528455,0.0040650406504065,0,0.0040650406504065,0,0,0,0.0040650406504065,0,0,0,0,0,0,0,0.0040650406504065,0.016260162601626,0.0040650406504065,0,0,0,0,0,0,0,0,0.0040650406504065,0
475,11359,0.0926517571884984,0.249201277955272,0.0159744408945687,0.00958466453674121,0.450479233226837,0.0543130990415335,0.0191693290734824,0.0415335463258786,0.012779552715655,0,0.00319488817891374,0.0159744408945687,0,0.012779552715655,0.00319488817891374,0.00319488817891374,0,0,0,0.00319488817891374,0,0,0,0.00319488817891374,0.00638977635782748,0.00319488817891374,0,0,0,0,0,0,0,0,0
485,11608,0.055350553505535,0.14760147601476,0.025830258302583,0.03690036900369,0.59040590405904,0.011070110701107,0.003690036900369,0.051660516605166,0.007380073800738,0,0,0.003690036900369,0,0.003690036900369,0,0.007380073800738,0,0,0,0.011070110701107,0,0,0.025830258302583,0.018450184501845,0,0,0,0,0,0,0,0,0,0,0
493,11807,0.075812274368231,0.108303249097473,0.0180505415162455,0.0324909747292419,0.620938628158845,0.0505415162454874,0.0180505415162455,0.0252707581227437,0.0108303249097473,0.0036101083032491,0.0180505415162455,0,0,0.0072202166064982,0,0,0,0,0.0036101083032491,0,0,0,0.0036101083032491,0.0036101083032491,0,0,0,0,0,0,0,0,0,0,0
496,11881,0.037344398340249,0.029045643153527,0.012448132780083,0.00829875518672199,0.863070539419087,0,0,0.020746887966805,0,0,0,0.004149377593361,0,0.00829875518672199,0,0,0,0,0,0,0,0,0.004149377593361,0.00829875518672199,0.004149377593361,0,0,0,0,0,0,0,0,0,0
500,11981,0.0874524714828897,0.0532319391634981,0.0152091254752852,0.0418250950570342,0.67680608365019,0.0304182509505703,0.00760456273764259,0.0342205323193916,0.00380228136882129,0.00380228136882129,0.00760456273764259,0.00380228136882129,0,0.00760456273764259,0,0,0,0.00380228136882129,0,0,0,0,0.00380228136882129,0.0114068441064639,0.00760456273764259,0,0,0,0,0,0,0,0,0,0
505,NA,0.0231481481481481,0.0277777777777778,0,0.0138888888888889,0.888888888888889,0.00462962962962963,0,0.0231481481481481,0.00462962962962963,0,0,0,0,0,0,0.00462962962962963,0.00462962962962963,0,0,0,0,0,0,0,0.00462962962962963,0,0,0,0,0,0,0,0,0,0
510,NA,0.047008547008547,0.0213675213675214,0.0213675213675214,0.0170940170940171,0.769230769230769,0.00427350427350427,0.00427350427350427,0.0683760683760684,0.00854700854700855,0,0,0.00427350427350427,0,0.00427350427350427,0,0,0,0,0,0,0,0,0.0170940170940171,0,0.0128205128205128,0,0,0,0,0,0,0,0,0,0
