"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.undiff.","Adiantum","Alnus.incana","Alnus.undiff.","Alnus.viridis","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium.lanceolatum","Botrychium.simplex","Botrychium.virginianum","Brasenia.schreberi","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cheilanthes","Cornus","Corylus","Cyperaceae","Diphasiastrum.complanatum","Dryopteris.type","Ephedra","Equisetum","Ericales","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.undiff.","Huperzia.lucidula","Ilex","Ilex.Nemopanthus.undiff.","Impatiens","Indeterminable","Iva.annua","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Lamiaceae","Larix","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Magnolia","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda.cinnamomea","Osmunda.regalis","Osmunda.undiff.","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rubiaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Utricularia","Viburnum"
922,1139,0,78,10,0,3,0,0,0,1,0,1,1,0,41,0,0,0,1,0,24,0,8,1,0,0,0,1,4,0,0,0,0,0,178,8,35,21,1,0,0,0,0,0,10,0,4,0,20,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,64,0,15,38,1,11,2,2,0,3,254,0,0,0,0,0,0,0,0,0,0,0,13,21,0,89,0,0,0
928,1236,0,87,10,0,2,0,0,0,0,0,4,8,0,52,0,0,0,2,0,57,0,2,0,0,0,0,1,11,0,0,0,0,0,251,6,33,20,0,0,0,0,1,0,10,0,2,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,69,0,8,27,0,11,2,7,0,2,174,0,0,0,0,1,0,0,0,0,0,1,13,22,1,100,0,1,0
938,1396,0,62,3,0,7,0,0,0,1,0,0,0,0,53,0,0,0,0,1,31,0,2,0,0,0,0,0,13,0,0,0,0,0,191,11,17,30,2,0,0,0,0,0,6,0,8,0,12,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,37,0,7,39,0,5,5,3,0,4,151,0,0,0,0,1,0,0,0,0,0,1,6,18,2,75,0,0,0
946,1595,0,61,13,0,4,0,0,2,6,0,3,2,0,50,0,0,0,0,0,25,0,4,0,0,0,0,1,12,0,0,0,0,0,265,17,23,24,0,0,0,0,3,0,8,2,5,0,16,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,50,1,11,49,0,12,2,2,0,1,210,2,0,0,0,4,0,0,0,0,0,0,17,18,0,105,2,0,0
954,1794,0,78,5,1,2,0,0,1,0,0,2,0,0,46,0,0,0,6,0,22,0,3,1,0,0,0,1,17,0,0,0,0,0,219,6,25,34,0,0,0,0,0,0,8,0,5,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,46,1,11,48,0,14,0,1,0,0,228,0,0,0,1,0,0,0,0,0,0,0,10,23,2,117,1,0,0
962,1993,0,72,6,0,3,0,0,0,0,0,1,1,0,54,0,0,0,0,1,42,0,0,0,0,1,0,0,14,0,0,0,0,0,216,15,29,38,0,0,0,0,2,0,9,0,2,0,1,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,59,0,3,48,0,12,0,6,0,1,317,0,0,0,0,0,0,0,14,0,0,1,13,17,0,112,0,1,0
970,2192,0,88,12,1,4,0,0,3,1,0,4,0,0,69,0,0,0,0,0,35,0,2,2,0,0,0,1,10,0,0,0,0,0,233,7,37,37,0,0,0,0,0,0,8,0,2,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,57,2,6,33,0,20,1,2,0,2,241,0,0,0,0,5,0,0,0,0,0,0,20,15,0,3,0,0,0
978,2391,0,83,5,0,5,0,0,0,1,0,0,0,0,37,0,0,0,0,0,39,0,1,1,0,0,0,0,11,0,0,0,0,1,302,7,47,30,0,0,0,0,4,0,6,1,10,0,10,2,0,0,0,0,0,0,0,1,5,3,0,0,0,0,42,0,25,29,0,7,2,2,0,3,183,1,0,0,0,1,0,0,0,0,0,0,12,12,2,92,1,0,0
986,2590,0,99,4,0,2,0,0,0,4,0,1,1,0,74,1,0,0,2,0,29,0,1,1,0,0,0,1,11,0,0,0,0,0,278,9,37,38,0,0,0,0,0,0,8,0,7,0,10,0,0,0,0,0,0,1,0,0,5,10,0,0,0,0,37,0,9,36,0,13,2,2,2,0,177,2,0,0,0,6,0,0,1,0,0,0,18,17,4,97,1,0,0
996,2816,0,86,7,0,3,0,0,1,1,0,1,5,0,50,0,0,0,2,0,20,0,1,1,0,0,0,1,15,0,0,0,1,0,242,13,18,37,2,0,0,0,0,0,16,0,3,0,4,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,50,2,9,61,0,8,5,0,0,0,160,1,0,0,0,3,0,0,1,0,0,0,17,19,0,119,1,0,0
1002,2898,0,67,12,1,6,0,0,4,2,0,0,1,0,45,1,0,0,3,1,40,0,1,0,0,0,0,2,30,0,0,1,1,0,233,5,30,30,0,0,0,0,0,0,9,0,3,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,61,1,13,22,0,8,0,2,0,0,200,0,0,0,1,2,0,0,0,0,2,0,20,23,2,128,0,0,0
1010,3008,0,72,24,0,2,0,0,0,2,0,3,1,0,63,0,0,0,0,0,22,0,0,0,0,0,0,0,4,0,0,0,0,0,262,9,54,29,0,0,0,0,1,0,5,1,10,0,4,0,0,0,1,0,0,1,0,0,6,1,0,0,0,0,47,1,6,21,0,21,4,5,1,2,184,1,0,0,0,1,0,0,0,0,0,0,14,10,0,93,2,0,1
1018,3118,0,69,7,0,4,0,0,1,3,0,3,0,0,65,0,0,0,6,0,36,0,2,1,0,0,0,1,15,0,0,0,0,0,266,4,36,41,0,0,0,0,0,0,15,0,6,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,3,4,33,0,12,1,0,0,1,160,0,0,0,0,1,1,0,0,0,0,1,13,15,1,87,1,0,0
1026,3227,0,49,7,0,5,0,0,2,1,0,5,1,0,46,0,0,0,9,2,37,0,1,0,0,0,0,0,13,0,0,0,0,0,199,28,20,30,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,44,2,8,35,0,17,5,0,0,1,230,0,0,0,4,4,0,0,5,0,0,1,23,14,0,78,1,0,0
1034,3337,0,79,7,0,5,0,0,0,1,0,3,1,0,44,0,0,0,1,0,36,0,1,1,0,0,0,2,8,0,0,0,0,0,223,11,44,26,0,0,0,0,0,0,6,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,1,13,51,0,7,1,1,0,4,205,0,0,0,0,1,0,0,0,0,1,1,14,18,2,103,1,0,0
1042,3446,0,75,22,0,2,0,0,0,1,0,3,4,0,47,0,0,0,0,0,50,0,0,0,0,0,0,0,8,0,0,0,0,0,181,5,25,19,0,0,0,0,7,0,13,0,20,0,6,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,56,0,20,31,0,14,4,2,0,1,185,2,0,0,0,2,0,1,0,1,1,2,22,19,0,119,1,0,0
1049,3542,0,96,10,0,7,0,0,0,1,0,2,1,0,56,0,0,0,0,0,31,0,0,0,0,0,0,1,8,0,0,0,0,0,206,5,70,31,0,0,1,0,1,0,6,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,9,17,0,14,0,3,0,2,198,0,0,0,0,2,1,0,0,0,0,0,15,8,0,139,0,0,0
1058,3701,0,95,8,0,6,0,0,0,4,0,0,0,0,58,0,0,0,0,0,23,0,0,0,0,0,0,3,10,0,0,0,0,0,243,6,36,33,0,0,0,0,0,0,4,0,9,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,32,0,11,37,0,9,2,1,0,3,200,0,0,0,0,5,0,0,0,0,0,0,13,8,1,113,1,0,0
1066,3867,0,83,7,0,5,0,0,0,2,0,3,1,0,25,0,0,0,1,0,21,0,0,1,0,0,0,0,8,0,0,0,0,0,189,6,36,29,0,0,0,0,1,0,10,0,7,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,63,0,19,42,0,13,1,2,0,3,218,0,0,0,0,2,1,0,0,0,0,0,26,6,0,110,1,0,0
1074,4034,0,64,35,0,7,0,1,0,3,0,2,0,0,47,0,0,0,0,0,45,0,0,0,0,0,0,2,8,0,0,0,0,0,292,7,58,24,0,0,0,0,3,0,11,2,7,0,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,48,0,15,33,0,20,1,0,1,0,353,0,0,0,0,9,0,0,0,0,0,0,19,2,2,173,2,0,0
1082,4200,0,61,3,0,1,0,0,1,3,0,3,1,0,37,0,0,0,1,1,35,0,1,0,1,0,0,1,4,0,0,0,0,0,172,21,15,23,0,0,1,0,2,0,15,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,0,25,63,0,11,0,0,0,3,364,0,0,0,0,3,0,0,0,0,0,0,12,2,0,92,1,0,0
1090,4366,0,74,5,0,3,0,0,0,5,0,4,0,0,36,0,0,0,4,0,54,0,1,0,0,0,0,1,4,0,0,0,1,0,142,6,36,29,0,0,0,0,0,0,5,0,9,0,4,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,56,2,8,37,1,17,0,1,0,9,328,1,0,0,1,1,0,0,0,0,4,1,15,12,4,136,0,0,0
1106,4699,0,85,20,0,6,0,0,0,8,0,3,3,0,52,0,0,0,0,0,47,0,0,0,0,0,0,0,4,0,0,0,0,0,190,3,66,12,0,0,0,0,6,0,20,0,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,18,32,0,12,4,1,1,8,267,0,0,0,0,9,0,0,0,0,2,1,21,15,0,120,2,0,0
1116,4960,0,76,5,0,2,0,0,1,3,0,2,0,0,41,0,0,0,0,1,34,0,0,0,0,0,0,1,5,0,0,0,0,0,248,3,52,26,0,0,0,0,0,0,17,0,5,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51,0,10,17,0,27,3,2,0,7,164,0,0,0,0,0,0,0,0,0,2,2,15,14,1,147,0,0,0
1124,5231,0,76,1,0,10,0,0,2,6,0,3,1,0,33,0,0,0,0,0,39,0,0,0,1,0,0,0,10,0,0,0,0,0,261,5,41,32,0,0,0,0,0,0,11,1,7,0,8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,36,0,5,24,0,40,2,1,0,2,165,0,0,0,0,1,0,0,0,0,1,2,29,39,0,149,0,0,0
1132,5502,0,85,2,0,2,0,0,1,2,0,4,2,0,25,0,0,0,1,0,30,0,0,0,0,0,0,0,2,0,0,0,0,0,246,5,26,21,0,0,0,0,1,0,14,0,6,0,7,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,25,0,9,25,0,36,2,1,0,0,175,0,0,1,1,2,0,0,0,0,1,1,25,42,0,151,2,0,0
1140,5773,0,72,3,1,5,0,0,0,2,0,0,2,0,22,0,0,0,0,0,71,0,0,0,0,0,0,3,1,0,0,0,0,0,273,9,48,33,0,0,0,0,0,0,34,0,5,0,7,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,33,0,7,24,1,27,3,0,0,0,202,0,0,0,0,2,0,0,0,0,0,0,17,47,1,138,3,0,0
1148,6044,0,38,24,0,8,0,1,2,5,0,1,1,0,23,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,212,2,47,24,0,0,0,0,0,0,34,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,1,8,18,0,29,3,0,0,0,204,0,0,0,0,6,0,0,0,0,0,0,34,53,0,160,4,0,0
1156,6315,0,95,3,0,1,0,0,2,4,0,2,0,0,11,0,0,0,0,0,24,0,0,0,0,0,0,1,4,0,0,0,0,0,390,2,28,21,0,0,0,0,0,0,10,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,40,0,9,17,0,17,2,0,1,1,162,0,0,0,0,2,0,0,0,0,0,0,8,63,0,135,1,0,0
1164,6586,0,91,4,0,3,0,0,0,2,0,3,1,0,15,0,0,0,7,0,17,0,0,0,0,0,0,1,8,0,0,0,0,0,232,7,14,13,0,0,0,0,1,0,3,0,5,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,62,0,9,29,0,24,2,0,0,0,241,0,0,0,0,2,0,0,0,0,0,1,20,73,3,168,0,0,0
1173,6873,0,74,1,0,2,0,0,1,6,0,2,0,0,7,0,0,0,1,0,27,0,0,0,0,0,0,1,7,0,0,0,1,0,311,9,13,20,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,100,0,2,43,0,30,2,1,0,0,170,0,0,0,1,2,0,0,0,0,4,0,21,45,0,129,1,0,0
1180,7048,0,59,5,0,3,0,0,0,4,0,1,1,0,7,0,0,0,0,0,10,0,0,0,1,0,0,0,2,0,0,0,0,0,373,10,23,11,0,0,0,0,8,0,4,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,10,26,0,12,1,4,0,1,156,0,0,0,0,5,0,0,0,0,0,0,9,49,0,156,3,0,0
1188,7248,0,72,8,0,2,0,0,3,1,0,3,1,0,12,0,0,0,1,0,16,0,0,1,0,0,0,0,2,0,0,0,0,0,291,4,43,5,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,78,0,23,44,0,25,0,0,0,1,187,0,0,1,0,2,0,0,0,1,1,0,13,46,1,155,0,0,0
1196,7448,0,64,6,0,0,0,0,5,2,0,3,4,0,12,0,0,0,1,0,18,0,0,1,0,0,0,0,2,0,0,0,0,0,357,5,26,14,0,0,0,0,0,0,4,0,8,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,108,0,17,44,0,27,2,1,0,0,176,0,0,0,2,2,0,0,0,0,0,0,5,50,0,123,0,0,0
1204,7648,0,90,4,0,2,0,0,1,2,0,1,2,0,13,0,0,0,4,0,13,0,1,1,0,0,0,3,3,0,0,0,0,0,294,8,25,14,0,0,0,0,0,0,8,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,100,1,21,85,0,33,3,0,0,1,226,0,0,0,0,0,0,0,1,0,0,0,11,45,0,156,1,0,0
1208,7748,0,55,1,0,1,0,0,0,1,0,3,2,0,9,0,0,0,1,1,16,0,0,0,0,0,0,2,8,0,0,0,1,0,203,5,23,16,1,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,19,76,0,18,2,1,0,0,198,0,0,0,0,2,0,0,0,0,0,0,10,51,1,103,0,0,0
1212,7848,0,40,18,0,1,0,0,1,3,0,1,1,0,10,0,0,0,0,0,17,0,0,0,0,0,0,1,2,0,0,0,0,0,199,6,20,6,0,0,0,0,6,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,85,0,10,76,0,14,3,0,0,0,314,0,0,0,0,3,0,0,0,0,0,0,15,49,0,107,3,0,0
1216,7948,0,33,4,1,2,0,0,2,6,0,2,1,0,1,0,0,0,2,0,8,0,0,1,0,0,0,1,4,0,0,0,0,0,150,9,29,16,0,0,0,0,1,0,3,0,8,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,84,1,19,105,0,24,4,1,0,2,200,0,0,0,0,1,0,0,0,0,0,0,15,48,1,119,0,0,0
1220,8048,1,79,4,0,2,0,0,5,3,0,3,2,0,14,0,0,0,0,0,17,0,0,0,0,0,0,1,3,0,0,0,0,0,220,9,28,21,0,0,0,0,1,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,102,1,24,101,0,27,4,1,0,1,238,0,0,0,0,0,0,0,0,0,0,0,22,67,2,133,1,0,0
1224,8148,1,33,2,1,1,0,0,5,6,0,0,0,0,20,0,0,0,4,1,16,0,1,1,0,0,0,3,2,0,0,0,0,0,114,6,12,10,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,123,1,41,119,0,20,0,0,1,0,266,1,0,0,0,0,0,0,0,1,0,0,19,61,0,132,0,0,0
1226,8198,1,58,2,0,1,0,0,3,1,0,0,2,0,8,0,0,0,0,0,13,0,0,3,0,0,0,1,4,0,0,0,0,0,66,2,29,16,0,0,0,0,0,0,2,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,49,134,0,26,0,1,0,1,297,0,0,0,0,1,0,0,0,0,4,0,12,68,0,135,0,0,0
1228,8248,0,62,0,0,2,0,0,3,7,0,2,2,0,8,0,0,0,1,0,12,0,0,0,0,0,0,3,2,0,0,0,0,0,31,3,32,7,0,0,0,0,0,0,1,0,5,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,93,1,38,151,0,23,2,1,0,0,343,0,0,0,0,0,1,1,0,0,1,1,19,74,0,112,0,0,0
1230,8298,0,73,4,1,2,0,0,1,6,0,3,1,0,18,0,0,0,0,0,8,0,0,0,0,0,0,4,4,0,0,0,0,0,37,6,37,25,0,0,0,0,0,0,1,0,9,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,112,0,33,146,0,14,3,2,0,2,288,0,0,0,0,3,1,0,0,0,0,0,40,60,0,137,1,0,0
1234,8392,0,44,2,0,1,0,0,2,4,1,3,1,0,14,0,0,0,0,0,15,0,1,0,0,0,0,1,4,0,0,0,0,0,21,5,21,7,0,0,0,0,1,0,4,0,9,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,173,1,70,207,0,10,0,2,0,1,250,1,0,0,0,0,0,0,0,0,0,0,22,41,0,108,0,0,0
1236,8438,0,41,1,0,1,0,0,0,4,0,0,1,0,24,0,0,0,0,0,7,0,0,0,0,0,0,6,7,1,0,0,0,0,17,1,27,14,0,0,0,0,0,0,3,0,7,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,192,1,55,249,0,11,2,0,1,1,248,0,0,0,0,3,1,0,0,0,1,0,17,34,0,111,0,0,0
1240,8532,0,40,2,0,3,0,0,0,5,0,1,0,0,24,0,0,0,2,0,9,0,0,0,0,0,0,2,8,0,0,0,1,0,19,5,28,16,0,0,0,0,0,0,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,136,0,55,153,0,13,1,1,0,2,307,0,0,0,0,4,0,0,0,0,0,0,18,36,0,94,0,0,0
1244,8625,2,36,19,0,2,0,0,2,4,0,0,0,0,24,0,0,0,0,0,12,0,0,0,0,0,0,2,6,0,0,0,0,0,18,1,28,3,0,0,0,0,5,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,168,0,40,162,0,9,1,1,0,0,390,0,0,0,0,2,0,0,0,0,1,2,18,24,0,102,1,0,0
1248,8718,2,47,4,1,2,0,0,3,3,0,1,3,0,20,0,0,0,0,0,8,0,0,0,0,0,0,6,3,0,0,0,1,0,22,0,11,9,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,156,2,93,151,0,11,0,1,0,3,276,0,0,0,0,4,1,0,1,0,1,0,20,33,0,88,2,0,0
1252,8812,2,45,1,0,2,0,0,1,2,1,1,2,0,18,0,0,0,1,0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,9,9,24,19,0,0,0,0,0,0,2,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,1,90,213,0,10,0,2,1,3,310,0,0,0,0,1,1,1,0,0,1,0,24,15,0,100,0,0,0
1256,8905,0,30,0,0,0,0,0,0,3,0,1,2,0,13,0,0,0,1,0,4,0,0,2,0,0,0,2,7,0,0,0,0,0,5,2,17,8,0,0,0,0,0,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,137,1,118,163,0,8,2,1,0,0,297,0,0,0,0,1,0,0,0,0,2,0,11,17,0,90,0,0,0
1260,8998,0,35,0,0,2,0,0,2,5,0,0,1,0,26,0,0,0,0,1,4,0,0,0,0,0,1,0,3,0,0,1,0,0,5,8,28,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,93,271,0,20,1,0,0,1,319,0,0,0,0,1,0,1,0,0,1,0,14,12,0,48,0,0,0
1264,9092,0,17,4,0,3,0,0,3,3,0,1,0,0,34,0,0,1,4,0,13,0,0,1,0,0,0,4,5,0,0,0,0,0,7,4,20,17,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,139,1,127,268,0,16,0,1,0,1,241,0,0,0,0,7,0,0,0,0,4,0,9,7,1,56,1,0,0
1268,9185,0,24,3,0,0,0,0,0,4,0,0,3,0,45,0,0,0,0,0,12,0,1,0,0,0,0,1,4,0,0,0,0,0,6,6,25,10,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,3,98,307,0,16,4,0,0,0,241,0,0,0,0,2,1,1,0,0,1,0,3,4,0,50,0,0,0
1272,9278,2,20,1,0,1,0,0,0,5,0,3,1,0,35,0,0,0,0,0,9,0,0,0,0,0,0,2,7,0,0,0,0,0,4,1,21,8,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,70,264,0,15,0,2,0,2,301,0,0,0,0,2,0,1,0,0,2,0,7,12,0,50,0,0,0
1276,9372,1,8,2,0,2,0,0,5,9,0,0,2,0,36,0,0,0,0,0,8,0,1,0,0,0,0,0,6,0,0,0,0,0,2,2,24,9,0,0,0,0,8,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,131,1,60,258,0,9,3,3,1,2,271,0,0,0,0,2,0,0,0,0,1,2,4,5,0,55,5,0,0
