"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum.type","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ephedra","Equisetum","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.nigra","Lamiaceae","Myriophyllum","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella","Shepherdia","Thalictrum","Tilia","Typha.Sparganium","Ulmus","Unknown"
165,1941,0,0,0,9,20,14,1,0,9,64,17,0,17,0,0,0,2,0,24,0,1,1,1,0,1,9,17,0,0,0,0,0,1,4,49,0,0,73,0,0,0,42,1,0,0,3,0,0,0,0,0,4,3,0
190,2232,1,0,0,5,19,10,1,0,2,63,13,1,12,0,0,0,0,0,18,0,0,0,0,1,0,3,16,0,1,0,0,0,0,0,63,0,0,72,0,1,0,65,0,0,0,3,0,0,0,0,0,2,3,1
210,2465,1,0,0,7,24,25,0,0,0,63,16,0,10,0,0,0,0,1,16,0,0,0,0,0,0,4,11,0,2,0,0,0,1,4,49,0,0,67,0,0,0,46,0,0,0,1,1,0,0,0,0,0,1,1
235,2756,0,1,0,7,60,15,0,0,0,69,15,0,16,0,0,0,0,1,39,0,0,0,0,0,1,3,20,0,0,0,0,0,1,1,59,0,0,95,0,1,0,21,0,0,0,3,0,0,0,0,0,2,2,2
255,2989,0,0,1,6,57,12,0,0,3,53,15,0,4,0,0,0,2,0,50,1,0,0,0,0,0,1,17,1,1,0,0,3,1,4,56,0,0,127,0,1,0,21,0,0,0,4,3,0,0,0,1,7,3,4
280,3280,1,1,0,6,30,26,0,0,2,95,23,0,9,0,0,1,2,0,26,2,0,0,0,0,1,3,13,0,3,0,0,0,4,4,65,0,0,115,0,0,0,31,1,0,0,3,0,0,0,0,0,1,2,1
305,3571,1,1,0,7,20,26,0,1,0,73,16,1,7,0,0,0,0,2,11,2,0,0,0,0,0,3,12,0,0,1,0,0,2,3,41,0,0,74,0,1,0,31,0,0,1,2,0,0,0,2,0,1,5,2
330,3862,1,0,0,12,14,10,0,0,7,71,21,0,37,0,0,1,1,0,19,0,0,0,0,0,0,2,8,0,1,0,0,0,1,0,39,0,0,97,0,1,0,37,0,0,0,5,3,0,0,1,0,4,1,1
345,4036,0,2,0,9,25,24,0,0,3,63,9,0,5,0,0,0,0,0,33,0,0,0,1,0,1,7,28,1,0,0,1,0,0,1,46,0,0,105,0,1,0,28,0,0,0,5,2,0,0,0,0,3,3,3
375,4385,0,0,0,9,40,21,0,0,0,78,19,0,7,0,1,0,1,0,32,0,1,0,0,0,1,4,11,0,0,0,0,0,2,1,55,0,0,81,0,0,0,25,0,0,0,3,1,2,0,0,0,2,3,2
400,4676,1,0,0,12,31,18,0,0,0,109,15,1,16,0,0,0,3,0,24,1,0,0,0,0,0,2,14,0,2,0,0,0,0,3,56,0,0,124,0,0,0,47,0,0,0,4,3,0,0,1,0,3,3,0
425,4968,0,0,0,7,33,25,0,0,2,85,13,0,8,0,0,0,0,1,33,1,0,0,0,0,1,2,11,0,0,0,0,0,1,2,32,0,0,100,0,0,0,45,0,0,0,2,2,0,1,2,0,2,4,2
450,5259,1,0,0,8,22,20,0,0,1,88,17,0,10,0,0,0,1,0,19,3,0,0,0,0,0,2,19,2,1,0,0,0,2,2,39,0,0,81,0,0,0,15,0,0,0,2,0,0,0,0,0,1,2,1
475,5550,1,0,0,6,27,35,0,1,15,56,20,0,5,0,0,0,0,1,34,0,0,0,0,0,1,0,15,0,1,0,0,0,1,2,44,1,0,88,0,2,0,32,0,0,0,2,3,0,0,0,0,3,3,2
490,5724,0,2,0,7,19,20,1,0,3,72,15,1,6,0,0,0,0,1,25,3,0,0,0,0,0,5,16,0,2,0,0,0,0,4,32,0,0,70,0,0,0,37,0,0,0,2,1,0,0,0,0,4,3,1
515,6015,0,0,0,11,26,26,1,0,0,92,18,1,4,0,1,0,0,1,29,2,1,0,0,0,0,3,28,0,1,0,0,0,0,0,43,0,0,99,1,1,0,39,0,1,0,1,0,0,0,0,0,2,2,3
535,6248,0,0,0,9,34,20,0,0,1,100,16,0,6,0,0,0,0,1,31,3,0,0,0,0,0,4,21,0,2,0,0,0,0,2,54,0,0,102,0,1,0,24,0,0,0,5,6,0,0,0,0,7,2,1
555,6481,0,0,0,9,17,5,0,0,3,78,11,1,3,0,0,0,1,1,29,1,1,0,0,0,0,4,16,1,0,0,0,0,0,1,40,0,1,88,0,1,0,24,0,0,0,0,2,0,0,1,0,4,1,3
565,6597,0,0,0,8,37,9,1,0,0,67,13,0,7,0,0,0,1,1,23,4,0,0,0,0,1,1,18,0,0,0,0,0,0,1,35,0,0,90,0,0,0,18,0,0,0,5,0,0,1,0,0,0,3,0
580,6772,0,0,0,3,40,13,0,0,0,85,9,0,9,0,0,0,1,0,15,1,0,0,0,0,0,2,17,1,1,0,0,0,1,0,45,0,0,72,0,2,0,18,0,0,0,6,1,0,0,0,0,2,2,0
585,6830,0,0,0,1,60,10,0,0,0,68,12,2,4,0,0,0,0,1,15,2,0,0,0,0,0,0,24,0,0,0,0,0,0,2,56,0,0,71,0,1,0,22,0,0,0,2,2,0,1,0,0,4,2,1
600,7005,0,0,0,9,158,6,0,0,0,43,15,0,3,0,0,0,0,0,13,3,1,0,0,0,0,0,25,0,0,0,0,0,0,1,45,0,0,39,0,0,0,9,0,0,0,0,1,0,0,0,0,0,1,1
615,NA,1,0,0,4,177,14,0,0,0,37,6,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,33,0,0,0,0,0,0,2,50,0,0,46,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0
635,NA,1,0,0,3,146,28,0,0,0,47,14,1,1,0,0,0,0,0,30,1,0,0,0,0,0,1,47,0,2,0,0,0,0,1,71,0,0,34,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0
655,NA,0,0,0,0,284,7,0,0,0,31,10,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,22,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
675,NA,0,0,0,1,42,8,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
