"sample.depths","sample.ages","Abies","Acer.negundo","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Impatiens","Asteraceae.subf..Cichorioideae","Picea","Platanus","Quercus","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Pinus","Poaceae","Plantago","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Fagus","Thalictrum","Cupressaceae","Larix","Rumex","Juglans.cinerea","Ostrya.Carpinus","Artemisia","Corylus","Juglans.nigra","Polygonum.persicaria","Sarcobatus.vermiculatus","Ranunculus","Populus","Lamiaceae"
115,8344,0,0,0.026578073089701,0,0.00332225913621262,0.106312292358804,0,0,0.00332225913621262,0,0.0764119601328904,0,0.00332225913621262,0.0232558139534884,0,0.0132890365448505,0.0232558139534884,0,0.6578073089701,0.00996677740863787,0,0.0232558139534884,0.00664451827242525,0,0.00664451827242525,0,0.00664451827242525,0.00664451827242525,0,0,0.00332225913621262,0,0,0,0,0,0,0,0
145,9405,0.00996677740863787,0,0.0299003322259136,0,0,0.0631229235880399,0,0,0.00664451827242525,0.00332225913621262,0.0697674418604651,0,0.00996677740863787,0.0132890365448505,0.00332225913621262,0.0465116279069767,0.0166112956810631,0.00332225913621262,0.617940199335548,0.0365448504983389,0,0.0132890365448505,0.00996677740863787,0.00996677740863787,0.00996677740863787,0.00332225913621262,0,0.00664451827242525,0,0,0.0132890365448505,0.00332225913621262,0,0,0,0,0,0,0
155,9759,0.0166666666666667,0,0.02,0,0,0.06,0,0,0.00333333333333333,0.00333333333333333,0.02,0.00333333333333333,0,0.01,0.0166666666666667,0.0166666666666667,0.0266666666666667,0,0.713333333333333,0.0233333333333333,0,0.02,0,0,0.00333333333333333,0,0.02,0.00333333333333333,0,0,0.02,0,0,0,0,0,0,0,0
165,10112,0.00671140939597315,0,0.023489932885906,0,0.00335570469798658,0.0335570469798658,0,0,0.00335570469798658,0,0.0369127516778524,0,0,0.00335570469798658,0,0.0402684563758389,0.00671140939597315,0.0100671140939597,0.758389261744966,0.023489932885906,0,0.0134228187919463,0.00335570469798658,0,0,0.00335570469798658,0.00335570469798658,0.00335570469798658,0,0,0.0134228187919463,0,0,0,0,0,0.0100671140939597,0,0
175,10466,0.00996677740863787,0,0.0498338870431894,0.00332225913621262,0,0.026578073089701,0,0,0.00664451827242525,0,0.0498338870431894,0,0,0,0.00332225913621262,0.0232558139534884,0.0299003322259136,0,0.687707641196013,0.0598006644518272,0,0.0132890365448505,0.00332225913621262,0,0,0.00332225913621262,0,0.00332225913621262,0,0,0.0166112956810631,0,0,0,0,0,0.00664451827242525,0.00332225913621262,0
185,10820,0.0104895104895105,0,0.020979020979021,0,0,0.048951048951049,0,0,0,0,0.034965034965035,0,0,0,0.006993006993007,0,0.0244755244755245,0,0.734265734265734,0.06993006993007,0,0.013986013986014,0,0,0,0,0.0104895104895105,0.006993006993007,0,0,0.0104895104895105,0,0,0,0,0,0,0.0034965034965035,0.0034965034965035
195,11173,0.0134228187919463,0,0.0167785234899329,0,0,0.0436241610738255,0,0,0.0201342281879195,0,0.0369127516778524,0,0,0,0.00335570469798658,0.0100671140939597,0,0.00335570469798658,0.75503355704698,0.023489932885906,0,0.0100671140939597,0.00671140939597315,0,0.00671140939597315,0,0,0.023489932885906,0,0.00335570469798658,0.0100671140939597,0.00335570469798658,0,0,0,0,0,0.0100671140939597,0
205,11446,0.0102739726027397,0,0.0171232876712329,0,0.00342465753424658,0.0136986301369863,0,0,0.0547945205479452,0,0,0,0,0.00342465753424658,0.00684931506849315,0.0205479452054795,0,0.00342465753424658,0.77054794520548,0.0136986301369863,0,0.00342465753424658,0,0.00684931506849315,0,0,0.00342465753424658,0.0582191780821918,0,0.00342465753424658,0,0,0.00342465753424658,0,0,0,0,0.00342465753424658,0
215,11718,0.00666666666666667,0,0.00666666666666667,0,0.00333333333333333,0.00333333333333333,0,0,0.0266666666666667,0,0.02,0,0,0.00666666666666667,0.0233333333333333,0.0133333333333333,0,0,0.833333333333333,0.0166666666666667,0,0.00333333333333333,0,0.00666666666666667,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0
225,NA,0,0,0,0,0,0.263333333333333,0,0.00666666666666667,0.136666666666667,0,0.00333333333333333,0,0.00333333333333333,0,0,0,0,0,0.576666666666667,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,NA,0.00279329608938547,0,0,0,0,0.385474860335196,0,0.00279329608938547,0.212290502793296,0,0.00558659217877095,0,0,0,0.00279329608938547,0,0,0.00279329608938547,0.363128491620112,0.0223463687150838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,NA,0,0,0,0,0,0.300341296928328,0,0,0.41296928327645,0,0.0136518771331058,0,0,0.00341296928327645,0.0068259385665529,0.00341296928327645,0,0.00341296928327645,0.242320819112628,0,0,0,0,0,0,0.0068259385665529,0,0,0,0,0,0,0,0,0,0,0,0.0068259385665529,0
