"sample.depths","sample.ages","upland.sum","Acer.negundo","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Carya","Celtis","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.pennsylvanica.type","Juglans.cinerea","Melilotus.type","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Populus","Poaceae","Rosaceae","Acer.saccharum.type","Asteraceae.undiff.","Fraxinus.nigra.type","Juglans.nigra","Corylus","Maclura.pomifera.type","Picea","Tsuga","Acer.rubrum","Ceanothus","Fraxinus.undiff.","Larix","Platanus","Tilia","Apiaceae","Fagus","Polygonaceae.undiff.","Xanthium","Abies","Amorpha.type","Iva.annua.type","Galium","Ephedra","Cannabaceae","Dalea","Rhamnus","Cornus","Rhus","Sarcobatus.vermiculatus"
2000,8792,207,0,6,9,12,5,2,0,5,1,4,0,0,0,11,11,4,35,24,0,6,0,5,36,2,0,19,0,0,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,9067,198,0,2,11,8,3,2,1,2,0,5,0,1,0,5,23,5,30,25,0,6,0,1,36,0,2,9,0,2,0,6,0,6,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2040,9441,752,0,30,16,17,23,4,0,11,2,6,1,3,0,57,135,10,136,77,1,7,1,1,119,0,0,32,1,17,0,21,0,6,0,8,0,0,0,1,1,1,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2060,9939,723,0,15,16,14,27,6,2,6,1,3,0,5,0,33,118,4,193,82,1,2,0,5,111,0,1,35,0,4,0,18,0,6,0,5,0,0,0,1,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0
2080,10583,363,0,8,3,8,29,3,0,1,0,5,0,3,0,7,72,3,106,31,0,3,0,0,53,0,0,1,0,2,0,19,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2100,11334,432,0,18,2,6,49,0,1,1,3,3,3,2,0,9,92,5,127,20,0,4,0,0,19,0,2,1,0,1,0,29,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,1,0,0,0,0
2120,12098,418,0,19,1,12,75,0,1,3,8,19,1,0,0,13,1,0,0,21,0,3,0,3,11,0,12,5,0,0,0,13,0,5,0,170,0,0,0,3,14,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
2140,12869,600,0,3,8,39,96,0,0,3,9,21,1,0,0,9,5,1,0,15,4,20,1,7,5,0,7,23,0,1,0,17,0,4,0,280,0,0,0,1,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2175,NA,273,0,1,15,11,2,0,0,1,8,28,2,0,0,2,0,1,5,17,0,3,0,1,3,0,3,12,0,3,0,42,0,0,0,98,0,0,0,4,7,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
2220,NA,214,0,0,12,9,2,0,0,2,3,13,6,0,0,2,4,1,4,6,0,2,0,1,3,0,0,7,0,0,0,34,0,0,0,93,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2262,NA,45,0,0,5,6,0,0,0,2,0,8,0,0,0,0,0,0,2,2,0,1,1,2,1,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
