"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Cerealia","Brassicaceae","Plantago","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Myrica.gale","Pinus.strobus","Rumex.type","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Acer.spicatum","Carya.ovata","Pinus.banksiana.type","Pinaceae","Larix","Viburnum.nudum","Alnus.viridis.type","Populus.tremuloides.type","Acer.pensylvanicum","Ostrya.Carpinus","Tilia","Amaranthaceae","Populus.balsamifera.type","Sambucus","Rosaceae.undiff.","Pinus.resinosa.type","Viburnum.edule","Fraxinus.pennsylvanica.type","Saxifraga.cernua.type","Juglans.cinerea","Castanea.dentata","Thalictrum","Ilex.Nemopanthus","Potentilla.palustris.type","Liliaceae","Polygonum","Shepherdia.canadensis","Juniperus.type","cf..Oxyria.digyna","Ranunculaceae.undiff.","Viburnum.alnifolium","Caryophyllaceae","Epilobium"
180,2501,547,3,1,0,291,2,11,20,1,1,0,1,16,20,7,0,0,4,0,0,0,32,4,3,1,97,0,24,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2778,569,16,2,0,337,4,3,18,3,0,0,7,6,12,16,1,1,2,0,0,0,13,18,3,6,61,0,23,2,0,0,3,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
225,3126,521,2,0,1,283,0,1,7,1,0,0,2,23,11,10,0,1,1,0,0,0,32,20,10,2,71,0,32,1,0,0,0,3,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
250,3473,738,7,0,1,410,0,1,18,2,0,0,1,0,26,5,0,1,8,0,0,0,11,9,5,0,175,0,12,21,1,0,1,0,20,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,3820,422,2,0,0,174,3,8,7,2,0,0,2,8,14,4,0,0,2,0,0,0,26,7,5,4,133,0,8,2,1,0,0,4,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4260,337,6,0,0,161,0,44,6,1,0,0,3,7,4,6,0,0,1,0,0,0,6,6,0,1,79,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,4619,464,8,1,0,228,1,11,5,0,3,0,9,5,11,9,0,0,1,0,0,0,6,2,13,7,127,0,2,1,1,0,0,1,2,0,0,0,5,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
340,4979,694,20,1,1,323,2,5,3,6,1,0,1,0,31,9,0,1,3,0,0,0,9,5,5,1,207,0,5,18,0,0,0,0,30,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
365,5429,476,2,0,0,177,1,30,3,0,1,0,6,11,13,8,0,1,2,0,0,0,10,3,2,1,121,0,76,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
385,5789,788,8,0,2,328,6,3,2,4,1,0,8,16,16,6,0,0,3,0,0,0,15,5,8,11,157,0,170,5,1,0,1,7,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,6058,538,7,0,0,194,2,2,3,3,1,0,12,2,11,5,0,0,2,0,0,0,8,10,1,3,161,0,101,1,0,0,0,0,0,2,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
415,6328,618,5,0,1,241,0,1,3,4,1,0,9,12,28,11,0,0,6,0,0,0,12,9,0,8,124,0,125,3,1,0,0,2,2,2,0,1,3,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,6598,437,4,1,1,170,0,2,2,2,1,0,7,4,20,10,0,1,6,0,0,0,7,5,5,2,140,0,35,1,0,0,0,1,0,1,0,0,4,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
450,6958,537,0,1,1,94,1,1,0,0,0,0,3,10,18,12,0,0,3,0,0,0,7,5,1,0,350,0,14,1,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
475,7407,533,6,0,0,143,9,15,2,1,1,0,0,17,8,10,0,0,7,0,0,0,4,2,2,1,263,0,8,2,0,1,1,12,0,1,0,2,1,0,0,0,2,0,0,0,8,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
500,7857,688,15,3,2,232,9,9,1,0,3,0,13,8,31,22,0,1,4,0,0,0,17,2,6,10,249,0,9,7,0,0,0,21,2,5,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
510,8037,486,15,2,1,139,5,28,0,2,2,0,3,26,20,20,1,1,1,0,0,0,21,1,6,0,113,0,5,5,0,1,0,49,0,2,0,2,2,0,3,0,1,0,0,0,5,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
520,8217,595,31,2,2,176,32,9,0,2,1,0,2,0,105,15,4,2,6,0,0,0,15,1,13,0,93,0,1,70,0,0,1,6,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
530,8396,584,52,1,2,224,16,2,0,0,2,0,41,27,15,17,0,1,4,0,0,0,23,0,7,9,57,0,3,9,0,1,1,36,1,14,0,9,2,0,1,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
535,8486,340,36,0,2,103,24,6,0,2,6,0,16,22,7,8,4,0,1,0,0,0,2,1,3,9,21,0,2,7,0,0,0,14,4,7,0,19,0,0,3,0,0,0,0,0,2,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0
540,8576,476,25,0,1,79,88,1,0,2,4,0,50,21,7,5,3,0,2,0,0,0,0,1,9,22,36,0,1,7,0,0,0,6,2,32,0,27,7,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,33,0,1,0,0,0,0,0,0,0
545,8666,839,4,2,4,93,189,2,0,1,15,0,102,8,13,21,23,6,11,0,0,0,3,2,14,47,41,0,1,16,0,0,0,31,7,57,0,41,11,0,1,0,0,0,1,1,0,1,1,7,0,0,0,0,52,0,0,2,7,1,0,0,0,0
550,8756,846,3,0,5,125,184,0,2,3,42,0,123,25,14,25,56,19,6,0,0,0,4,4,31,49,39,0,0,23,0,0,0,9,4,1,0,2,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,22,0,1,1,0,0
555,8846,622,3,1,4,86,149,0,1,1,51,0,9,1,8,12,152,2,1,0,0,0,2,1,34,7,23,0,2,4,0,0,0,12,1,1,0,8,24,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,1,15,0,0,0,0,0
560,NA,1296,8,2,4,101,562,0,0,2,225,0,2,10,8,18,74,1,0,0,0,0,1,0,12,0,61,0,2,2,0,1,0,5,1,0,0,10,33,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,147,0,0,0,0,0,0,0,1,0
565,NA,779,13,2,3,90,173,2,1,4,169,0,13,3,16,17,57,0,2,0,0,0,4,0,47,13,65,0,3,10,0,0,1,15,1,6,0,5,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,6,0,0,0,0,1
570,NA,515,2,1,3,52,168,3,0,0,120,0,4,3,4,6,41,0,2,0,0,0,3,0,28,2,23,0,4,3,0,0,0,6,1,0,0,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,5,1,0,0,0,0
