"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fraxinus.nigra.type","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Cerealia","Abies.balsamea","Corylus.cornuta","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Rumex.type","Picea.undiff.","Fagus","Larix","Populus.balsamifera.type","Carya.ovata","Tsuga.canadensis","Acer.spicatum","Ostrya.Carpinus","Picea.rubens.type","Acer.saccharum","Myrica.gale","Populus.tremuloides.type","Rhamnus.alnifolia.R..frangula","Pinaceae","Amaranthaceae","Potentilla.palustris.type","Ranunculaceae.undiff.","Rosaceae.undiff.","Nemopanthus.mucronatus","Viburnum.nudum","Juglans.nigra","Sambucus","Juglans.cinerea","Cornus.undiff.","Rhus.typhina","Juniperus.communis.Thuja.occidentalis.type","Castanea.dentata","Acer.rubrum","Fraxinus.pennsylvanica.type","Juniperus.type","Cornus.sericea","Caryophyllaceae","Thalictrum","Polygonum.lapathifolium.type","Shepherdia.canadensis","Dryas","Saxifraga.stellaris.type"
300,4338,0.0138888888888889,0.00555555555555556,0,0,0.325,0.00555555555555556,0.00833333333333333,0.00277777777777778,0,0,0.00555555555555556,0.0222222222222222,0.0611111111111111,0.00555555555555556,0,0,0.00277777777777778,0,0.0305555555555556,0.0416666666666667,0.0388888888888889,0.161111111111111,0.247222222222222,0,0.00833333333333333,0.00277777777777778,0,0,0,0,0,0.00277777777777778,0,0.00277777777777778,0.00277777777777778,0,0,0,0,0,0,0,0,0,0,0.00277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,4699,0.0342612419700214,0.00642398286937901,0.00428265524625268,0,0.447537473233405,0.0107066381156317,0.00214132762312634,0.00642398286937901,0,0,0.00428265524625268,0.0406852248394004,0.0471092077087794,0.00856531049250535,0,0,0.00856531049250535,0,0.0149892933618844,0.00428265524625268,0.012847965738758,0.0171306209850107,0.30406852248394,0,0.012847965738758,0.00214132762312634,0,0,0,0.00214132762312634,0,0,0,0.00214132762312634,0.00214132762312634,0,0,0,0,0,0,0.00214132762312634,0,0,0,0,0.00214132762312634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,5061,0.056890012642225,0.0088495575221239,0,0.00252844500632111,0.547408343868521,0.00379266750948167,0,0.00379266750948167,0.00126422250316056,0,0.00758533501896334,0.00126422250316056,0.0417193426042984,0.00632111251580278,0.00126422250316056,0.00379266750948167,0.0543615676359039,0,0.0303413400758533,0.0467762326169406,0,0.00379266750948167,0.141592920353982,0,0.00505689001264223,0.00126422250316056,0,0.00758533501896334,0,0.00632111251580278,0.00126422250316056,0,0,0.00126422250316056,0.0088495575221239,0,0,0,0,0,0,0.00252844500632111,0,0,0,0,0,0.00126422250316056,0.00126422250316056,0,0,0,0,0,0,0,0,0,0,0,0
375,5374,0.0580736543909348,0.00141643059490085,0,0.00141643059490085,0.426345609065156,0.00708215297450425,0,0.0297450424929178,0,0,0.0028328611898017,0.0382436260623229,0.0396600566572238,0.0056657223796034,0.00141643059490085,0,0.0609065155807365,0,0.018413597733711,0.0198300283286119,0.0084985835694051,0.0084985835694051,0.236543909348442,0,0.0113314447592068,0.0028328611898017,0.0028328611898017,0.00141643059490085,0,0.0056657223796034,0.0056657223796034,0,0,0.0028328611898017,0.00141643059490085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141643059490085,0,0,0,0,0,0,0,0,0,0,0
400,5613,0.0178082191780822,0.00547945205479452,0,0,0.23013698630137,0.00410958904109589,0,0.0150684931506849,0.00273972602739726,0,0.00547945205479452,0.0643835616438356,0.073972602739726,0.00273972602739726,0.00136986301369863,0.00273972602739726,0.0315068493150685,0,0.0191780821917808,0.0123287671232877,0.00821917808219178,0.0150684931506849,0.454794520547945,0,0.010958904109589,0,0.00136986301369863,0,0,0.00821917808219178,0,0,0,0.00410958904109589,0,0.00547945205479452,0,0,0.00136986301369863,0,0,0,0,0,0,0,0,0,0,0,0.00136986301369863,0,0,0,0,0,0,0,0,0,0
425,5853,0.0172413793103448,0,0,0.00191570881226054,0.233716475095785,0.00574712643678161,0,0.0268199233716475,0,0,0.00574712643678161,0.0632183908045977,0.0325670498084291,0.00383141762452107,0,0.00191570881226054,0.0268199233716475,0,0.0134099616858238,0.00957854406130268,0.0363984674329502,0.0191570881226054,0.46360153256705,0,0.0172413793103448,0,0,0,0,0.00766283524904215,0.00574712643678161,0.00191570881226054,0,0.00191570881226054,0,0,0,0,0.00191570881226054,0,0,0,0,0,0,0,0,0,0,0.00191570881226054,0,0,0,0,0,0,0,0,0,0,0
440,5997,0.0168776371308017,0.00210970464135021,0,0,0.170886075949367,0.00210970464135021,0,0.0189873417721519,0,0,0.0105485232067511,0.164556962025316,0.0464135021097046,0.00632911392405063,0,0.00210970464135021,0.0232067510548523,0,0.0569620253164557,0,0.0337552742616034,0,0.411392405063291,0,0.0168776371308017,0,0.00632911392405063,0,0,0.00210970464135021,0.00210970464135021,0,0,0.00210970464135021,0,0.00210970464135021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00210970464135021,0,0,0,0,0,0,0,0,0
450,6093,0.0105263157894737,0,0,0,0.101052631578947,0.00421052631578947,0,0.00210526315789474,0,0,0.0442105263157895,0.0821052631578947,0.0273684210526316,0.00210526315789474,0,0.00210526315789474,0.0126315789473684,0,0.0905263157894737,0.0336842105263158,0.0463157894736842,0.0273684210526316,0.473684210526316,0,0.0126315789473684,0,0.00421052631578947,0.00421052631578947,0,0,0,0,0,0.00210526315789474,0.00421052631578947,0.00210526315789474,0,0,0.00210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00631578947368421,0.00210526315789474,0,0,0,0,0,0,0
460,6189,0.0156599552572707,0.00223713646532438,0,0,0.214765100671141,0.0111856823266219,0,0.00671140939597315,0.00223713646532438,0,0.0223713646532438,0.114093959731544,0.029082774049217,0.00894854586129754,0.00671140939597315,0.00223713646532438,0.0223713646532438,0,0.0402684563758389,0.00894854586129754,0.0268456375838926,0,0.429530201342282,0,0.0246085011185682,0,0.00223713646532438,0,0,0.00223713646532438,0.00223713646532438,0.00223713646532438,0,0,0,0,0,0,0.00223713646532438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,6333,0.0153846153846154,0.00512820512820513,0.00170940170940171,0,0.244444444444444,0.00683760683760684,0,0.00341880341880342,0.00170940170940171,0,0.0170940170940171,0.246153846153846,0.041025641025641,0.00683760683760684,0.00341880341880342,0.00170940170940171,0.0136752136752137,0,0.0256410256410256,0.00170940170940171,0.0735042735042735,0.0170940170940171,0.223931623931624,0,0.0324786324786325,0,0.00512820512820513,0,0,0,0.00170940170940171,0,0,0.00170940170940171,0.00170940170940171,0.00341880341880342,0,0,0,0,0.00170940170940171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00170940170940171,0,0,0,0,0,0
500,6573,0.0156046814044213,0.00260078023407022,0.00130039011703511,0,0.245773732119636,0,0,0.00130039011703511,0.00130039011703511,0,0.0741222366710013,0.237971391417425,0.0143042912873862,0.00780234070221066,0.00390117035110533,0,0.00260078023407022,0,0.0455136540962289,0.0195058517555267,0.0156046814044213,0.0195058517555267,0.23667100130039,0,0.0195058517555267,0,0.00390117035110533,0,0,0.00130039011703511,0.00260078023407022,0,0,0,0.00260078023407022,0.00780234070221066,0.00130039011703511,0.00260078023407022,0.00260078023407022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00520156046814044,0.00130039011703511,0.00390117035110533,0,0,0,0
525,6813,0.00366748166259169,0.0122249388753056,0.00244498777506112,0.00122249388753056,0.37041564792176,0.00488997555012225,0,0.00122249388753056,0,0,0.00366748166259169,0.205378973105134,0.0415647921760391,0.00488997555012225,0.00366748166259169,0.00244498777506112,0.00122249388753056,0,0.0268948655256724,0.0134474327628362,0.0965770171149144,0.0378973105134474,0.116136919315403,0,0.0220048899755501,0.00122249388753056,0.00366748166259169,0,0,0.00366748166259169,0,0.00244498777506112,0,0.00366748166259169,0.00122249388753056,0.00488997555012225,0,0,0.00366748166259169,0,0,0,0,0,0,0.00122249388753056,0.00244498777506112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,7053,0.00519930675909879,0.0103986135181976,0.00173310225303293,0.00346620450606586,0.311958405545927,0.00173310225303293,0,0,0.00346620450606586,0,0.0329289428076256,0.152512998266898,0.0190641247833622,0.0121317157712305,0.00693240901213172,0.00346620450606586,0.00693240901213172,0,0.0571923743500867,0.0363951473136915,0.024263431542461,0.0138648180242634,0.23050259965338,0,0.0225303292894281,0.00693240901213172,0.00519930675909879,0.00693240901213172,0,0.00346620450606586,0,0.00173310225303293,0,0.00866551126516464,0.00173310225303293,0.00519930675909879,0,0,0,0,0,0,0,0,0,0.00173310225303293,0,0,0,0,0,0,0,0,0,0,0,0.00173310225303293,0,0,0
575,7293,0.00584795321637427,0.00389863547758285,0,0.00194931773879142,0.354775828460039,0,0,0.00194931773879142,0.00194931773879142,0,0.01364522417154,0.16374269005848,0.037037037037037,0.00974658869395711,0,0,0.00389863547758285,0,0.0701754385964912,0.0233918128654971,0.0272904483430799,0.0272904483430799,0.214424951267057,0,0.0233918128654971,0.00194931773879142,0.00194931773879142,0.00194931773879142,0,0.00389863547758285,0,0,0,0,0,0,0,0,0.00389863547758285,0,0,0.00194931773879142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,7533,0.00285306704707561,0.00570613409415121,0.00570613409415121,0.0014265335235378,0.356633380884451,0.0014265335235378,0,0.00998573466476462,0.00285306704707561,0,0.0641940085592011,0.186875891583452,0.0128388017118402,0.00570613409415121,0.00285306704707561,0,0.00285306704707561,0,0.0670470756062767,0.0356633380884451,0.00998573466476462,0.00713266761768902,0.171184022824536,0,0.0185449358059914,0,0.00713266761768902,0,0,0.0014265335235378,0.00427960057061341,0.0014265335235378,0,0.00427960057061341,0.0014265335235378,0.00285306704707561,0.0014265335235378,0,0,0,0,0,0,0,0,0.0014265335235378,0,0,0,0,0,0,0,0.00285306704707561,0,0,0,0,0,0,0
625,7772,0.00155763239875389,0.0202492211838006,0.00155763239875389,0,0.35202492211838,0,0,0.00311526479750779,0.00155763239875389,0,0.0794392523364486,0.0934579439252336,0.00778816199376947,0.00623052959501558,0.00311526479750779,0,0.00311526479750779,0,0.146417445482866,0.059190031152648,0.0311526479750779,0.00934579439252336,0.146417445482866,0,0.0109034267912773,0.00155763239875389,0.00155763239875389,0,0,0.00311526479750779,0.00311526479750779,0.00311526479750779,0,0.00155763239875389,0,0.00467289719626168,0,0,0.00155763239875389,0,0,0,0,0,0,0,0.00155763239875389,0,0,0,0,0,0,0,0,0,0.00155763239875389,0,0,0,0
650,8012,0.00674536256323777,0.0421585160202361,0.00337268128161889,0.00168634064080944,0.349072512647555,0.00168634064080944,0,0.00505902192242833,0.00168634064080944,0,0.118043844856661,0.0472175379426644,0.00505902192242833,0.0286677908937605,0,0,0.00505902192242833,0,0.104553119730185,0.0657672849915683,0.0421585160202361,0.0118043844856661,0.116357504215852,0,0.0168634064080944,0,0.00843170320404722,0.00337268128161889,0,0,0.00168634064080944,0.00337268128161889,0,0.00337268128161889,0,0.00505902192242833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168634064080944,0,0,0,0,0,0
675,8252,0.00503778337531486,0.113350125944584,0.00251889168765743,0.00503778337531486,0.204030226700252,0.00503778337531486,0,0,0,0,0.148614609571788,0.209068010075567,0.0075566750629723,0.017632241813602,0.00251889168765743,0,0,0,0.0831234256926952,0.0503778337531486,0.0377833753148615,0.00503778337531486,0.052896725440806,0,0.0201511335012594,0,0,0,0,0.00503778337531486,0.00251889168765743,0,0,0,0,0.017632241813602,0,0,0.00251889168765743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00251889168765743,0,0,0,0,0,0,0,0
700,NA,0.0652557319223986,0.178130511463845,0.00352733686067019,0.0017636684303351,0.18342151675485,0.00352733686067019,0,0,0.00529100529100529,0,0.162257495590829,0.119929453262787,0.0194003527336861,0.0141093474426808,0.00352733686067019,0,0.0017636684303351,0,0.0246913580246914,0.00529100529100529,0.037037037037037,0.00881834215167548,0.0828924162257496,0,0.0440917107583774,0,0,0,0.0017636684303351,0.00352733686067019,0,0.0017636684303351,0,0.0017636684303351,0.00881834215167548,0.00352733686067019,0,0.0017636684303351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017636684303351,0.0017636684303351,0,0,0,0,0.00529100529100529,0.0017636684303351,0.0017636684303351
