"sample.depths","sample.ages","Acer.negundo","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Fagus","Fraxinus.undiff.","Poaceae.undiff.","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Pinus","Populus","Acer.saccharum","Impatiens","Platanus","Tilia","Apiaceae","Zea.mays","Fraxinus.americana.type","Plantago","Caryophyllaceae","Cupressaceae","Asteraceae.subf..Cichorioideae","Rumex","Shepherdia.canadensis","Xanthium","Brassicaceae","Abies","Corylus","Sarcobatus.vermiculatus","Rosaceae","Fraxinus.nigra","Myrica","Larix","Thalictrum","Acer.rubrum","Celtis","Ranunculus"
100,662,0,0.003584229390681,0.064516129032258,0,0.014336917562724,0.043010752688172,0.025089605734767,0.003584229390681,0.132616487455197,0,0,0.025089605734767,0.021505376344086,0.089605734767025,0.003584229390681,0.078853046594982,0.017921146953405,0.050179211469534,0,0.010752688172043,0.050179211469534,0.301075268817204,0.003584229390681,0.014336917562724,0,0,0.017921146953405,0,0,0.003584229390681,0,0,0.003584229390681,0.007168458781362,0.003584229390681,0,0,0.007168458781362,0.003584229390681,0,0,0,0,0,0,0,0,0,0
110,731,0,0,0.012448132780083,0.00829875518672199,0.00829875518672199,0.012448132780083,0.024896265560166,0,0.116182572614108,0.004149377593361,0,0,0.004149377593361,0.037344398340249,0,0.132780082987552,0.020746887966805,0.074688796680498,0.004149377593361,0.00829875518672199,0.00829875518672199,0.49792531120332,0,0.004149377593361,0,0,0.012448132780083,0,0,0,0,0,0.004149377593361,0.004149377593361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,800,0,0,0.037914691943128,0.014218009478673,0,0.0521327014218009,0.004739336492891,0,0,0,0,0.004739336492891,0.004739336492891,0.037914691943128,0,0.0663507109004739,0,0.014218009478673,0,0.004739336492891,0,0.734597156398104,0,0.018957345971564,0,0,0.004739336492891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,870,0,0,0.0669856459330144,0.00478468899521531,0,0.0382775119617225,0.00478468899521531,0,0.00478468899521531,0,0,0,0,0.0956937799043062,0,0.0430622009569378,0,0.0287081339712919,0,0,0,0.68421052631579,0,0.0143540669856459,0,0,0.00478468899521531,0,0,0,0,0,0,0,0,0,0,0,0.00956937799043062,0,0,0,0,0,0,0,0,0,0
140,939,0,0.00469483568075117,0.0657276995305164,0.00469483568075117,0,0.0328638497652582,0.0140845070422535,0,0.00938967136150235,0,0,0.00938967136150235,0.00469483568075117,0.169014084507042,0,0.0938967136150235,0.00938967136150235,0.00938967136150235,0,0.0140845070422535,0.00469483568075117,0.535211267605634,0,0.00469483568075117,0,0,0.00938967136150235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00469483568075117,0,0,0,0,0
150,1008,0,0,0.05,0,0,0.120833333333333,0.0125,0.00833333333333333,0.0291666666666667,0.0125,0,0.0125,0,0.145833333333333,0.00416666666666667,0.0708333333333333,0.00416666666666667,0.0125,0,0.0125,0.00416666666666667,0.470833333333333,0,0.0166666666666667,0,0,0.00416666666666667,0,0,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1077,0,0,0.0606060606060606,0.0216450216450216,0,0.116883116883117,0.025974025974026,0.00432900432900433,0.00865800865800866,0.0173160173160173,0,0.025974025974026,0.00432900432900433,0.199134199134199,0,0.108225108225108,0,0.0173160173160173,0,0.00432900432900433,0.00432900432900433,0.341991341991342,0,0.0173160173160173,0,0,0.012987012987013,0,0,0,0,0,0,0,0,0,0,0,0.00432900432900433,0,0,0,0.00432900432900433,0,0,0,0,0,0
170,1146,0,0,0.0327868852459016,0.0122950819672131,0,0.176229508196721,0.0204918032786885,0.00409836065573771,0,0,0,0.0245901639344262,0.00409836065573771,0.135245901639344,0,0.0860655737704918,0,0.0573770491803279,0,0.00409836065573771,0,0.405737704918033,0,0.0163934426229508,0,0.00409836065573771,0.00819672131147541,0,0,0.00409836065573771,0,0,0,0,0,0,0,0,0.00409836065573771,0,0,0,0,0,0,0,0,0,0
180,1215,0,0.00440528634361234,0.052863436123348,0,0,0.0704845814977974,0.00881057268722467,0.00881057268722467,0.0176211453744493,0,0,0.0176211453744493,0.00881057268722467,0.136563876651982,0,0.154185022026432,0,0.0308370044052863,0,0.00440528634361234,0.013215859030837,0.378854625550661,0,0.0484581497797357,0,0.00440528634361234,0.0176211453744493,0,0,0,0,0,0.00881057268722467,0,0,0,0,0,0,0,0,0.00440528634361234,0.00881057268722467,0,0,0,0,0,0
190,1284,0,0.00387596899224806,0.0387596899224806,0.0116279069767442,0.00387596899224806,0.189922480620155,0.0310077519379845,0.0116279069767442,0.00387596899224806,0.0232558139534884,0,0,0,0.124031007751938,0,0.135658914728682,0.00387596899224806,0.0193798449612403,0,0.00775193798449612,0.00775193798449612,0.348837209302326,0.00775193798449612,0.00775193798449612,0,0.00387596899224806,0.00387596899224806,0,0,0.00775193798449612,0,0,0,0,0,0,0,0,0,0,0,0,0.00387596899224806,0,0,0,0,0,0
200,1354,0,0,0.0596330275229358,0.0275229357798165,0,0.0504587155963303,0.0688073394495413,0.00458715596330275,0.00458715596330275,0.00458715596330275,0,0.0137614678899083,0,0.146788990825688,0,0.055045871559633,0.00458715596330275,0.0412844036697248,0,0.00458715596330275,0.0091743119266055,0.458715596330275,0,0.0137614678899083,0,0.00458715596330275,0.00458715596330275,0,0,0.00458715596330275,0,0,0,0,0,0.00458715596330275,0,0,0,0,0.00458715596330275,0,0,0,0.00458715596330275,0.00458715596330275,0,0,0
210,1423,0,0,0.0403225806451613,0.0201612903225806,0,0.169354838709677,0.032258064516129,0.00403225806451613,0.0120967741935484,0.00403225806451613,0,0.0282258064516129,0.00403225806451613,0.120967741935484,0,0.0524193548387097,0.00403225806451613,0.032258064516129,0.00403225806451613,0,0,0.423387096774194,0.00403225806451613,0.0161290322580645,0,0,0.0201612903225806,0,0,0.00403225806451613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00403225806451613,0,0,0
220,1492,0,0.0126582278481013,0.0843881856540084,0.0253164556962025,0,0.10126582278481,0.0632911392405063,0.0168776371308017,0.0210970464135021,0.00421940928270042,0,0.0210970464135021,0.00421940928270042,0.130801687763713,0.00421940928270042,0.0464135021097046,0,0.0253164556962025,0,0.00843881856540084,0.00421940928270042,0.379746835443038,0,0.0126582278481013,0,0,0.00421940928270042,0,0,0.00843881856540084,0,0,0.00421940928270042,0,0.00421940928270042,0,0,0,0.00421940928270042,0,0,0,0.00843881856540084,0,0,0,0,0,0
230,1561,0,0.00418410041841004,0.0334728033472803,0.0209205020920502,0,0.133891213389121,0.0836820083682008,0.00836820083682008,0,0.0167364016736402,0,0.00836820083682008,0.00418410041841004,0.0669456066945607,0,0.0627615062761506,0.0125523012552301,0.0418410041841004,0,0.0251046025104603,0,0.313807531380753,0,0.0794979079497908,0,0.00418410041841004,0.0669456066945607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00836820083682008,0,0,0.00418410041841004,0,0,0
240,1630,0,0,0.024,0.0106666666666667,0.00266666666666667,0.2,0.064,0.0106666666666667,0.248,0.00266666666666667,0,0.024,0,0.0746666666666667,0,0.0293333333333333,0.00266666666666667,0.0266666666666667,0.00266666666666667,0.0106666666666667,0,0.213333333333333,0,0.032,0.00266666666666667,0.00533333333333333,0,0,0,0.0106666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00266666666666667,0,0
250,1699,0,0,0.0235294117647059,0.0117647058823529,0,0.0988235294117647,0.04,0.00705882352941176,0.411764705882353,0,0,0.00941176470588235,0.00235294117647059,0.0564705882352941,0,0.04,0.00941176470588235,0.0235294117647059,0,0.00235294117647059,0,0.218823529411765,0,0.0352941176470588,0,0,0.00235294117647059,0,0,0.00705882352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,1768,0,0,0.0167364016736402,0.00627615062761506,0,0.0627615062761506,0.0502092050209205,0.00627615062761506,0.51255230125523,0,0,0.00627615062761506,0.00209205020920502,0.0627615062761506,0,0.0355648535564854,0.00209205020920502,0.0104602510460251,0,0.00418410041841004,0,0.194560669456067,0,0.0104602510460251,0,0.00627615062761506,0.00418410041841004,0,0,0.00418410041841004,0,0,0,0,0,0,0,0,0,0,0,0,0.00209205020920502,0,0,0,0,0,0
270,1838,0,0,0.0206398348813209,0.00515995872033024,0,0.0557275541795666,0.021671826625387,0.00412796697626419,0.73374613003096,0.00309597523219814,0,0.00103199174406605,0.00103199174406605,0.0464396284829721,0,0.0185758513931889,0.00103199174406605,0.0134158926728586,0,0.00412796697626419,0,0.0505675954592363,0,0.0103199174406605,0,0.00103199174406605,0.00412796697626419,0,0,0.00309597523219814,0,0,0,0,0,0,0,0,0,0,0,0,0.00103199174406605,0,0,0,0,0,0
280,1907,0,0.00309597523219814,0.0526315789473684,0.0247678018575851,0,0.1671826625387,0.0526315789473684,0.00928792569659443,0.201238390092879,0.00309597523219814,0,0.0154798761609907,0,0.114551083591331,0,0.0402476780185759,0,0.043343653250774,0,0,0,0.226006191950464,0,0.0278637770897833,0,0,0.00309597523219814,0,0,0.00309597523219814,0,0,0.00309597523219814,0,0,0,0,0,0,0,0,0,0.00619195046439629,0,0,0,0,0.00309597523219814,0
290,1976,0,0,0.0191387559808612,0.0191387559808612,0,0.0287081339712919,0.0239234449760766,0.00956937799043062,0.00478468899521531,0.00478468899521531,0,0.00956937799043062,0,0.0813397129186603,0,0.0861244019138756,0,0.0334928229665072,0,0,0,0.593301435406699,0,0.0430622009569378,0,0.0143540669856459,0.00956937799043062,0,0,0.00478468899521531,0,0,0,0,0,0,0,0,0.00956937799043062,0,0,0,0.00478468899521531,0,0,0,0,0,0
300,2045,0,0,0.012448132780083,0.016597510373444,0.037344398340249,0.112033195020747,0.024896265560166,0.00829875518672199,0,0,0,0.00829875518672199,0.00829875518672199,0.0829875518672199,0,0.074688796680498,0,0.029045643153527,0,0,0.00829875518672199,0.493775933609959,0,0.0622406639004149,0,0.004149377593361,0.004149377593361,0,0,0.00829875518672199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004149377593361,0,0,0
310,2110,0,0,0.019047619047619,0.00476190476190476,0.00952380952380952,0.0238095238095238,0.0142857142857143,0,0.00952380952380952,0,0,0,0.00952380952380952,0.0666666666666667,0,0.242857142857143,0.00476190476190476,0.0428571428571429,0,0,0,0.395238095238095,0,0.123809523809524,0,0,0.0285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00476190476190476,0,0,0,0,0,0
320,2170,0,0,0.0424528301886792,0,0.00471698113207547,0.00943396226415094,0,0.00943396226415094,0.00471698113207547,0.00471698113207547,0,0.00471698113207547,0.0188679245283019,0.0613207547169811,0,0.0471698113207547,0.0188679245283019,0.0424528301886792,0,0.00943396226415094,0.00471698113207547,0.382075471698113,0,0.207547169811321,0,0,0.113207547169811,0,0,0.00471698113207547,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0
340,2292,0,0,0.0192307692307692,0,0,0.0288461538461538,0,0,0.00961538461538462,0,0,0.0192307692307692,0.00961538461538462,0.0865384615384615,0,0.0192307692307692,0,0.125,0.0192307692307692,0,0,0.240384615384615,0,0.298076923076923,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,2413,0,0,0.0490196078431373,0,0,0,0,0,0.00980392156862745,0,0.00980392156862745,0,0.0196078431372549,0.0490196078431373,0,0.0294117647058824,0,0.0490196078431373,0,0,0.0196078431372549,0.490196078431373,0,0.117647058823529,0,0,0.156862745098039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,2777,0,0,0.0679611650485437,0,0,0,0,0,0.0194174757281553,0,0,0.00970873786407767,0.0194174757281553,0.058252427184466,0,0.0485436893203883,0,0.029126213592233,0,0,0,0.456310679611651,0,0.155339805825243,0,0,0.12621359223301,0,0,0,0,0.00970873786407767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,2898,0,0,0,0,0.018018018018018,0.018018018018018,0,0.009009009009009,0.027027027027027,0,0,0,0.018018018018018,0.0540540540540541,0,0.0540540540540541,0,0.018018018018018,0,0,0.009009009009009,0.36036036036036,0,0.234234234234234,0.027027027027027,0,0.144144144144144,0,0,0.009009009009009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,3019,0,0,0.0280373831775701,0,0,0.00934579439252336,0,0,0.0186915887850467,0,0,0,0.0467289719626168,0.0373831775700935,0,0.0280373831775701,0,0.0280373831775701,0,0,0.0373831775700935,0.411214953271028,0,0.252336448598131,0,0,0.102803738317757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,3140,0,0,0,0,0,0.0188679245283019,0,0,0.00943396226415094,0,0,0,0.0471698113207547,0.0471698113207547,0,0.0283018867924528,0.00943396226415094,0.0377358490566038,0,0,0.0188679245283019,0.462264150943396,0,0.216981132075472,0,0,0.10377358490566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,3201,0,0,0.0191387559808612,0.0191387559808612,0,0.0143540669856459,0.00956937799043062,0,0.00956937799043062,0,0,0.00478468899521531,0.0143540669856459,0.0334928229665072,0,0.0669856459330144,0.0143540669856459,0.0287081339712919,0,0.00478468899521531,0.00956937799043062,0.61244019138756,0,0.0861244019138756,0,0,0.0478468899521531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00478468899521531,0,0,0,0
500,3262,0,0,0.00480769230769231,0,0.00480769230769231,0.0144230769230769,0.00961538461538462,0,0,0.00480769230769231,0,0,0.0336538461538462,0.0384615384615385,0,0.0817307692307692,0.0144230769230769,0.0192307692307692,0,0,0,0.605769230769231,0,0.100961538461538,0,0,0.0625,0,0,0,0,0,0,0.00480769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,3322,0,0,0,0.00966183574879227,0.00483091787439614,0.0144927536231884,0.0144927536231884,0.00966183574879227,0,0,0,0,0.0241545893719807,0.0289855072463768,0.00483091787439614,0.101449275362319,0,0.0144927536231884,0,0,0.00483091787439614,0.560386473429952,0,0.130434782608696,0,0,0.0579710144927536,0,0,0.00483091787439614,0,0,0,0,0,0,0,0,0,0,0,0.00483091787439614,0.00483091787439614,0,0.00483091787439614,0,0,0,0
520,3383,0,0,0.0187793427230047,0.0140845070422535,0.00469483568075117,0.028169014084507,0.0234741784037559,0,0.0234741784037559,0.00469483568075117,0,0.00469483568075117,0.00938967136150235,0.0375586854460094,0,0.122065727699531,0,0.07981220657277,0,0,0.00469483568075117,0.436619718309859,0,0.126760563380282,0,0.00469483568075117,0.0563380281690141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,3443,0,0,0.019047619047619,0.00476190476190476,0.00952380952380952,0.00952380952380952,0.152380952380952,0.019047619047619,0,0.00952380952380952,0,0.00952380952380952,0.0142857142857143,0.0571428571428571,0,0.123809523809524,0.00476190476190476,0.29047619047619,0,0,0,0.147619047619048,0,0.0714285714285714,0,0.00476190476190476,0.0238095238095238,0,0,0.019047619047619,0,0,0,0,0,0,0,0,0.00476190476190476,0,0,0,0,0,0,0.00476190476190476,0,0,0
540,3504,0,0,0.0328638497652582,0.0187793427230047,0.00469483568075117,0.028169014084507,0.215962441314554,0.00938967136150235,0.00938967136150235,0.0187793427230047,0,0.028169014084507,0.0234741784037559,0.107981220657277,0,0.0751173708920188,0.00938967136150235,0.0610328638497653,0,0.0140845070422535,0,0.169014084507042,0,0.0751173708920188,0,0,0.0845070422535211,0,0,0.00469483568075117,0,0,0.00469483568075117,0,0,0,0,0,0,0,0,0,0.00469483568075117,0,0,0,0,0,0
550,3565,0,0,0.0341463414634146,0.0097560975609756,0,0,0.121951219512195,0.0097560975609756,0.0048780487804878,0.024390243902439,0,0.0146341463414634,0.0048780487804878,0.117073170731707,0,0.102439024390244,0,0.0682926829268293,0,0,0,0.351219512195122,0,0.0292682926829268,0,0.0097560975609756,0.0780487804878049,0,0,0.0097560975609756,0,0,0,0,0,0,0,0.0048780487804878,0,0,0,0,0,0,0.0048780487804878,0,0,0,0
560,3625,0,0,0.0954773869346734,0.0301507537688442,0,0.0050251256281407,0.0753768844221105,0.0201005025125628,0,0.0251256281407035,0,0.0201005025125628,0,0.135678391959799,0,0.115577889447236,0,0.241206030150754,0.0100502512562814,0.0100502512562814,0,0.14572864321608,0,0.0100502512562814,0,0.0050251256281407,0.0251256281407035,0,0,0.0201005025125628,0,0,0.0050251256281407,0,0,0,0,0,0.0050251256281407,0,0,0,0,0,0,0,0,0,0
570,3686,0,0,0.0240384615384615,0.0192307692307692,0,0,0.0961538461538462,0.0144230769230769,0.0192307692307692,0.0288461538461538,0,0.0192307692307692,0.00480769230769231,0.129807692307692,0,0.100961538461538,0.00480769230769231,0.105769230769231,0,0,0,0.245192307692308,0,0.0913461538461538,0,0.00480769230769231,0.0576923076923077,0,0,0.0144230769230769,0,0,0,0,0,0,0.00480769230769231,0,0.00480769230769231,0,0,0,0,0,0,0.00480769230769231,0,0,0.00480769230769231
590,NA,0,0,0.0197044334975369,0.0147783251231527,0,0,0.142857142857143,0.00492610837438424,0.00492610837438424,0.00985221674876847,0,0.0788177339901478,0.00985221674876847,0.201970443349754,0,0.16256157635468,0,0.0788177339901478,0.00492610837438424,0.00492610837438424,0,0.0591133004926108,0,0.152709359605911,0,0.00492610837438424,0.0246305418719212,0,0,0.00492610837438424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00985221674876847,0.00492610837438424,0,0,0
