"sample.depths","sample.ages","Abies","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Achillea.type","Alnus.incana.type","Alnus.viridis","Amaranthaceae","Ambrosia.type","Amelanchier.type","Apiaceae","Artemisia","Asteraceae.subf..Cichorioideae","Betula","Bidens.type","Botrychium","Caltha.type","Carya","Caryophyllaceae","Castanea","Celtis.Maclura","Cephalanthus","Cirsium.Carduus.type","Cornus.canadensis.type","Cornus.florida","Corylus","Cupressaceae","Cyperaceae","Cystopteris","Dalea","Diphasiastrum.complanatum.type","Dryopteris.type","Equisetum","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Humulus.Cannabis.sativa","Hypoxis","Ilex","Indeterminable","Isoëtes","Itea","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae","Larix","Liquidambar","Liriodendron","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.obscurum","Magnolia","Malvaceae","Menyanthes.trifoliata","Myriophyllum.alterniflorum","Myriophyllum.sibiricum.type","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda.cinnamomea.type","Osmunda.regalis.type","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Plantago.lanceolata","Plantago.major","Platanus","Poaceae.undiff.","Polygonum.aviculare.type","Polygonum.hydropiper.type","Polygonum.viviparum","Polypodiaceae","Populus","Potamogeton","Potentilla.type","Prunus","Pteridium","Quercus","Ranunculaceae.undiff.","Rubus","Rumex","Sagittaria","Salix","Sambucus","Sanguisorba.canadensis","Sparganium.type","Sphagnum","Spiraea","Stuckenia","Thalictrum","Tilia","Tsuga","Typha.latifolia..monad.","Typha.latifolia.undiff.","Ulmus","Unknown","Urtica.type","Utricularia","Viburnum.opulus.type","Xanthium","Zea.mays"
145,449,0,0,0,2,1,2,0,3,3,0,2,2,0,0,1,0,0,7,0,0,38,0,4,0,112,0,0,0,0,0,21,0,0,0,0,0,0,10,2,0,0,0,0,0,5,0,7,0,0,0,1,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,12,0,0,0,0,66,0,5,0,0,2,0,0,0,0,192,0,10,0,0,10,0,0,2,0,6,4,0,0,2,0,4,6,2,0,0,0,0,0
150,578,0,0,0,1,0,3,0,1,1,0,0,2,0,1,0,0,2,2,0,0,18,0,5,0,123,0,0,0,2,1,20,0,1,0,0,0,0,22,11,3,0,0,0,0,3,0,6,0,0,2,1,1,1,0,10,1,0,0,0,0,0,0,0,0,1,0,15,0,1,0,6,2,12.5,0,0,0,0,36,0,3,0,0,2,0,0,1,0,175,0,16,0,2,13,2,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0
155,707,0,0,0,3,0,4,0,4,2,0,0,5,0,0,0,0,0,10,0,0,17,0,4,0,125,0,0,0,1,0,7,0,3,0,0,0,0,16,11,0,0,0,0,0,4,0,9,0,0,1,1,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,1,9,0,0,0,0,70,1,1,0,0,4,0,0,0,0,195,0,16,1,1,20,2,0,0,0,2,1,0,0,0,2,1,2,1,0,0,0,0,0
160,836,0,0,0,1,0,3,0,2,2,0,0,5,0,1,0,0,0,2,0,0,29,0,6,0,53,0,1,0,0,0,5,0,0,0,0,0,0,18,3,4,0,0,0,0,4,0,3,0,0,0,1,3,0,0,12,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,1,0,9,0,0,0,0,83,0,11,0,0,4,0,0,0,0,208,0,22,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
165,1661,0,0,0,5,0,5,0,2,1,0,0,5,0,0,1,0,0,6,0,0,18,0,5,0,68,0,0,0,1,0,13,0,1,0,0,0,0,29,5,9,0,0,0,0,3,0,2,0,0,0,1,1,0,0,14,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,4,0,6.5,0,0,0,0,51,0,5,0,0,4,5,0,0,0,183,0,32,0,0,13,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0
170,2562,0,0,0,0,0,4,0,1,0,0,0,11,0,0,0,0,0,7,0,0,12,0,10,1,108,0,0,0,0,0,10,0,1,0,0,0,0,23,3,3,0,0,0,0,3,0,3,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,20,0,3,0,0,3,0,0,0,0,171,0,22,0,1,48,0,0,3,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0
175,3464,0,0,0,0,0,1,0,1,1,0,0,13,0,3,0,0,0,8,0,0,29,0,5,0,75,0,0,0,1,0,6,0,1,0,0,1,0,17,5,4,0,0,0,0,6,0,5,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,6.5,0,0,0,0,39,0,2,0,0,2,1,0,2,0,176,0,16,0,0,40,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
180,4366,0,0,0,2,0,2,0,0,0,0,0,4,0,8,0,0,1,3,0,0,10,0,6,0,39,0,0,0,1,0,5,1,0,0,0,0,0,22,6,2,0,0,0,0,2,0,6,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,7,2,8,0,0,0,0,13,0,1,0,0,1,4,0,0,0,129,0,8,0,0,93,0,0,0,2,1,2,2,0,0,0,0,2,1,1,0,0,0,0
185,5268,0,0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0,4,0,0,14,0,11,0,75,0,0,0,0,0,4,0,0,0,0,0,0,22,1,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1.5,1,0,0,1,0,18,0,1,0,0,2,0,0,0,0,151,1,9,0,2,86,0,0,2,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0
190,6169,0,0,0,2,0,4,0,0,2,0,0,3,0,0,0,0,1,2,0,0,13,0,12,1,73,0,0,0,0,0,8,0,0,0,0,0,0,31,4,4,0,0,1,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,6,2,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,149,0,12,0,0,62,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
195,7071,0,1,0,4,0,2,0,1,1,0,0,5,0,0,0,0,0,3,0,0,16,0,2,0,55,0,0,0,0,0,20,0,0,0,1,0,1,13,3,0,0,0,1,0,2,0,3,0,0,0,1,0,0,0,11,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,8,4,2,0,0,0,0,7,0,2,0,0,5,0,0,0,0,185,0,9,0,0,45,0,0,3,0,0,1,0,0,0,0,5,3,2,0,0,0,0,0
200,7973,0,0,0,4,0,1,0,0,33,0,0,7,0,0,0,0,0,6,0,0,12,0,4,0,40,0,0,0,1,0,24,0,0,0,1,0,0,19,2,1,0,1,2,0,1,0,5,0,0,1,0,2,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,18,11,0,0,0,0,9,0,0,0,0,3,1,0,0,1,144,0,1,0,0,55,0,0,0,0,0,3,1,2,1,0,2,8,1,0,0,0,0,0
205,8875,0,0,1,0,0,2,0,0,14,0,0,6,0,0,1,0,1,10,0,0,8,0,0,0,5,0,0,0,2,0,25,0,0,0,1,1,1,5,0,0,0,0,8,0,0,0,0,0,0,2,1,4,0,0,2,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,62,39,3,0,0,0,0,10,0,0,0,0,1,0,0,0,0,153,0,3,0,3,2,0,0,3,0,0,0,1,1,0,0,0,13,0,0,0,0,0,0
210,9776,0,0,0,2,0,2,0,0,12,0,1,7,0,1,1,0,2,9,0,0,18,0,0,0,4,0,0,0,2,0,21,1,0,0,0,0,0,10,1,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,69,49,6,1,0,0,0,5,0,3,0,0,0,3,0,0,0,137,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0
215,10678,1,0,0,0,0,3,0,0,10,0,0,6,0,0,0,0,1,14,0,0,8,0,0,0,1,0,0,0,1,0,42,0,0,0,0,0,1,5,0,0,0,0,12,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,56,86,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,119,0,0,0,2,0,0,0,5,0,0,0,0,1,0,0,1,14,0,0,0,0,0,0
220,11580,0,0,0,1,0,4,0,7,8,0,1,5,0,1,1,0,1,15,0,0,4,0,0,0,0,0,0,0,4,0,53,0,0,0,0,0,2,19,3,7,0,0,12,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,88,29,4.5,0,0,0,0,27,0,0,0,0,1,0,0,1,0,146,0,1,0,2,0,0,0,2,0,1,1,4,1,0,0,0,16,2,0,0,0,0,0
225,11863,4,0,0,0,1,0,0,0,10,0,1,4,0,1,1,0,0,5,0,0,6,0,0,0,5,0,0,0,2,0,20,0,0,0,0,0,1,19,2,2,0,0,20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,133,23,0,0,0,0,15,0,0,0,0,1,0,0,0,0,79,0,0,0,0,1,0,0,4,1,2,0,1,0,0,1,1,17,0,0,0,0,0,0
227,11949,1,0,0,0,1,2,0,0,12,0,0,6,0,0,2,0,4,3,0,0,8,0,0,1,11,0,0,0,0,0,26,0,0,0,2,0,0,30,2,3,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,118,11.5,0,0,0,0,15,0,0,0,0,4,0,0,0,0,94,1,1,0,2,2,0,2,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
230,12077,0.5,0,0,2,0,2,0,2,23,0,0,1,0,2,3,0,3,7,0,0,10,0,0,0,18,0,0,0,2,0,35,0,0,0,0,0,2,59,3,5,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,72,6,0,0,0,0,14,0,0,0,0,1,1,0,0,0,106,0,1,0,2,5,0,0,2,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0
232,12163,3,0,0,0,1,1,0,0,20,0,1,5,0,0,2,0,5,5,0,0,2,0,0,0,3,0,0,0,4,1,29,1,0,0,0,0,0,64,1,4,0,0,13,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,66,14,0,0,0,0,10,1,0,0,0,1,0,1,0,0,107,0,1,0,1,9,0,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0
235,12291,3,0,0,6,0,5,0,0,25,0,0,5,0,0,0,0,2,16,0,0,17,0,3,2,20,0,0,0,4,0,41,1,0,0,2,0,4,13,0,0,0,0,6,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,27,36,14,0,0,0,2,17,0,0,0,0,0,0,0,0,0,162,0,0,0,0,9,0,0,1,0,0,5,0,3,2,0,0,5,0,0,1,0,0,0
237,12377,0,0,0,0,1,4,0,2,26,0,0,9,0,0,1,0,4,6,0,0,18,0,1,0,33,0,0,0,1,0,26,0,0,0,1,0,1,18,0,0,0,0,7,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,43,24,6,0,0,0,0,12,1,0,0,0,1,0,0,0,0,177,0,0,0,0,2,0,1,0,0,2,0,0,1,0,1,2,6,2,0,0,0,0,0
240,12505,8.5,1,0,0,0,2,0,0,8,0,1,4,0,1,0,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,67,0,0,0,0,2,1,40,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,167,22.5,0,0,0,0,14,0,0,0,0,1,0,0,0,0,44,0,0,0,1,1,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0
242,12591,1,0,0,1,0,4,0,1,11,0,1,3,0,0,0,0,0,5,0,0,19,0,0,0,83,1,0,0,1,0,27,0,1,0,0,0,2,26,0,1,0,0,4,0,2,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,25,18,5,0,0,0,0,10,0,2,0,0,3,0,0,0,0,169,0,0,0,1,21,0,0,1,0,1,0,3,0,1,1,0,4,0,0,0,0,0,0
245,12720,5.5,0,0,0,0,3,0,0,20,0,0,9,0,1,1,0,2,1,0,0,5,0,0,0,60,0,0,0,1,0,34,0,0,0,1,0,0,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,57,14.5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,164,0,0,0,1,6,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
247,12805,3,0,0,0,0,1,0,2,12,0,1,5,0,3,3,0,0,6,0,0,1,0,0,0,0,0,0,0,2,1,62,0,0,0,0,3,0,26,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,168,40,0,0,0,0,25,0,0,0,0,2,0,1,0,0,46,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,3,0,0,0,0,0,0
250,12934,7,0,0,0,0,2,0,1,2,0,2,4,0,4,1,0,2,5,1,0,3,0,1,2,2,0,0,0,0,0,82,0,0,0,0,0,0,13,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,148,62,0,0,0,0,26,0,0,0,0,1,0,0,0,0,45,0,0,0,11,3,0,0,0,0,4,2,2,0,0,0,0,3,0,2,0,0,0,0
255,13148,9,0,0,0,0,4,0,1,4,0,1,5,0,0,4,0,1,6,0,0,4,0,1,1,13,0,0,0,1,2,42,0,0,0,1,3,0,15,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,144,26,1,0,0,0,14,0,0,0,0,5,0,0,0,0,67,0,2,0,5,10,0,0,1,0,3,0,1,0,0,0,0,4,2,0,0,0,0,0
260,13362,15,0,0,0,0,1,0,1,3,0,0,2,0,6,8,0,1,7,0,0,2,0,0,0,0,0,0,0,3,0,79,0,0,0,1,0,0,12,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,189,50,1,0,0,0,23,0,0,0,0,1,0,1,0,0,29,0,1,0,8,2,0,2,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0
270,13791,11,0,0,0,0,0,0,2,6,0,1,4,1,7,6,0,1,8,1,0,1,1,0,1,0,0,0,0,3,0,101,0,0,0,0,3,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,175,71,0,0,0,0,23,0,0,0,0,1,0,0,0,0,22,0,1,0,6,3,0,0,0,0,5,1,4,0,1,0,0,3,0,0,0,0,0,0
275,13943,2.5,0,0,1,0,1,0,2,6,0,1,8,0,3,8,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,1,0,14,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,179,87,0,0,0,0,17,0,0,2,0,1,0,3,0,1,17,0,0,0,7,6,1,0,0,0,5,2,1,0,1,0,0,3,1,0,0,0,0,0
280,14096,6,0,0,0,0,0,0,2,9,0,2,3,0,5,6,1,1,5,0,0,1,0,0,0,0,0,0,0,5,0,114,1,0,1,0,0,0,13,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,162,89.5,1,0,1,0,36,0,1,0,0,0,0,0,2,0,25,0,0,0,8,2,0,1,1,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0
310,15012,2,0,0,0,0,0,0,3,10,0,2,2,0,5,2,0,1,6,0,0,0,1,0,0,1,0,0,0,3,0,83,0,0,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,160,102,0,0,0,0,26,0,1,0,0,1,0,0,0,0,21,0,1,0,2,1,0,2,0,0,8,0,3,0,0,0,0,1,2,1,0,0,0,0
340,15929,6,0,0,0,0,0,0,4,1,1,4,1,0,3,4,0,0,7,0,0,1,0,1,0,0,0,0,0,2,1,88,0,0,0,1,1,0,7,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,135,118,0,0,0,0,16,0,0,0,0,0,0,1,0,0,25,0,2,0,4,5,0,1,0,0,6,2,1,0,0,0,0,5,2,0,0,0,0,0
370,16845,2,0,0,0,0,3,0,1,9,0,1,2,0,0,2,0,2,6,0,0,1,0,0,0,0,0,0,0,1,0,86,0,0,0,2,0,0,8,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,141,128,0,0,0,0,23,0,0,0,0,0,0,1,0,0,11,0,2,0,0,2,0,1,1,0,5,6,4,0,1,0,0,2,3,0,0,0,0,0
400,17761,7,0,0,0,0,0,0,0,2,0,1,1,0,1,4,0,1,3,0,0,0,0,0,0,0,0,0,0,5,2,46,0,0,0,1,3,0,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,124,127,3,0,0,0,21,0,0,0,0,0,0,0,0,0,20,1,3,0,0,1,0,2,0,0,1,4,4,0,0,0,0,1,2,0,0,0,0,0
430,18677,4.5,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,132,138,0,0,0,0,10,0,0,0,0,0,0,1,0,0,15,0,0,0,0,1,0,0,0,2,1,3,0,0,0,1,0,1,0,0,0,0,0,0
460,19593,1,0,0,0,0,0,0,0,3,0,2,1,0,0,3,0,2,6,0,0,0,0,0,2,0,0,0,0,2,0,66,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,137,138,0,0,0,0,24,0,0,0,0,2,0,1,1,0,16,0,0,0,1,1,0,1,0,1,0,3,3,0,0,0,0,1,0,0,0,0,2,0
490,20510,4.5,0,0,0,0,1,0,1,3,0,1,3,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,170,98,0,0,0,0,7,0,0,0,0,2,0,0,0,0,11,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0
520,21289,3,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,6,150,128,1,0,0,0,14,0,0,0,0,0,1,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0
550,21794,2,0,0,0,0,0,1,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,214,85,0,0,0,0,10,0,0,0,0,0,1,0,1,0,3,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
580,22300,2,0,0,0,0,1,0,1,1,0,0,3,0,0,1,0,2,2,1,0,1,0,0,0,0,0,0,0,1,1,16,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,164.5,122,0,0,0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0
