"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Juglans.cinerea","Larix","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Ulmus","Juniperus.type","Amaranthaceae","Cerealia","Plantago","Abies.balsamea","Acer.saccharum","Carya.ovata","Castanea.dentata","Corylus.cornuta","Myrica.gale","Nemopanthus.mucronatus","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Acer.pensylvanicum","Fraxinus.nigra.type","Ostrya.Carpinus","Tilia","Acer.spicatum","Ericaceae","Lonicera.canadensis","Ilex.Nemopanthus.undiff.","Thalictrum","Apiaceae","Rhamnus.alnifolia.R..frangula","Brassicaceae","Asteraceae.subf..Asteroideae.undiff.","Ilex","Taxus","Viburnum.lentago","Rosaceae","Populus.balsamifera.type","Sambucus","Caryophyllaceae","Populus.deltoides.type","Saxifraga.cernua.type","Caprifoliaceae.undiff.","Shepherdia.canadensis","Liliaceae","cf..Oxyria.digyna","Oxytropis.maydelliana.type","Polygonum.viviparum","Saxifraga.oppositifolia.type","Celtis.occidentalis"
270,4234,597,4,10,1,0,0,303,4,39,1,1,0,5,0,2,18,14,0,9,0,3,0,0,0,0,13,19,1,0,15,3,0,1,5,104,0,0,14,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
295,4626,658,0,12,2,0,0,340,3,19,2,2,1,2,0,0,9,17,0,19,0,7,0,0,0,0,7,17,0,0,3,0,0,2,0,158,0,0,16,3,1,10,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,5189,585,1,7,0,0,3,343,3,11,1,2,1,1,0,0,5,9,1,16,0,6,0,0,0,0,17,13,0,0,10,4,0,1,1,46,0,1,66,2,0,6,0,0,1,2,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
345,5753,651,1,12,0,0,0,328,0,12,1,0,0,4,0,0,10,18,0,6,0,5,1,0,0,0,7,12,0,0,4,1,0,6,0,113,0,0,89,3,0,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,6316,513,1,5,1,1,1,245,1,8,1,0,0,1,0,2,10,15,0,15,0,5,0,0,0,0,10,14,0,0,19,0,0,0,2,96,0,5,43,6,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,6880,580,0,7,1,1,1,212,3,9,1,0,0,2,0,1,11,27,0,24,0,6,0,0,0,0,5,8,1,0,6,0,0,12,0,196,0,0,33,3,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
420,7443,716,3,12,1,1,1,139,1,2,1,2,0,6,0,4,18,12,1,30,0,20,0,0,0,0,50,28,1,0,8,2,0,0,8,326,0,0,19,4,0,8,3,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
445,8007,561,2,21,5,1,2,162,4,3,1,0,0,2,0,2,31,15,1,22,2,5,0,0,0,0,15,13,0,0,8,2,0,21,2,162,0,0,19,11,1,10,7,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
470,8570,930,2,13,23,4,2,256,5,2,5,1,0,15,0,22,44,22,10,38,2,7,0,1,0,0,83,8,0,1,38,13,0,40,11,224,0,0,9,13,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
495,9134,496,0,4,18,0,1,196,3,2,0,2,0,5,0,2,16,11,10,28,0,5,1,0,0,0,34,3,0,0,2,4,0,17,0,101,0,0,3,3,0,8,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
510,9472,514,0,4,66,0,2,162,2,0,0,1,0,14,0,4,29,16,27,26,2,5,2,0,0,0,32,6,1,0,3,3,0,27,3,54,0,0,3,7,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0
520,9697,699,0,25,92,0,1,197,1,1,2,0,0,12,0,36,19,6,35,30,6,6,0,1,0,0,80,2,2,0,8,16,0,7,2,57,0,0,8,9,0,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0,20,0,0,0,0,0,0,0,0,0
535,10035,470,0,3,30,3,0,96,14,0,1,0,0,20,0,20,74,13,25,21,1,10,11,0,0,0,17,1,0,0,6,15,0,14,3,31,0,0,3,17,0,4,7,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0
545,10261,341,0,0,17,1,1,81,4,2,0,1,0,5,0,9,76,6,25,9,1,4,4,1,0,0,15,1,2,1,5,1,0,7,0,37,0,1,4,10,0,2,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
555,NA,725,0,4,34,2,6,208,18,0,0,2,1,5,0,1,141,16,41,23,10,4,12,1,0,0,15,3,1,0,3,9,0,17,0,72,0,0,3,43,0,5,7,0,2,0,0,0,3,0,0,0,4,0,0,0,2,3,0,0,0,0,1,2,1,0,0,0,0,0
570,NA,543,0,4,10,0,1,238,76,0,0,17,0,0,0,16,17,9,2,6,20,5,3,0,0,0,6,1,0,0,43,1,0,21,1,27,0,0,3,8,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
585,NA,427,0,5,25,2,38,82,115,1,0,10,1,3,0,2,17,14,10,3,10,1,4,0,0,0,2,0,0,0,3,2,0,13,2,31,0,0,0,8,0,1,4,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,8,0,0,0,0
595,NA,319,0,7,10,0,33,47,97,0,0,2,0,1,0,2,18,12,0,7,8,1,3,0,0,0,5,0,0,1,3,0,0,15,0,23,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,4,0,1,0,0,0,5,1,0,0,0
600,NA,457,0,3,29,0,24,125,54,3,0,23,0,2,0,1,39,11,4,9,16,3,4,1,0,0,7,1,0,0,11,2,0,40,0,24,0,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0
605,NA,550,0,2,34,1,12,176,31,1,0,18,1,4,0,2,41,30,20,16,6,5,4,1,0,0,17,6,0,0,4,4,0,13,0,62,0,0,3,12,0,7,5,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,2,0,0,0,2,1,0,0,0
610,NA,726,0,15,44,2,46,170,84,4,1,18,0,8,0,8,49,21,12,13,19,2,2,0,0,0,24,2,0,1,10,5,0,35,4,69,0,0,5,20,0,2,1,0,0,0,0,0,3,0,0,1,2,0,0,0,8,2,1,0,0,1,0,1,0,10,0,0,1,0
615,NA,268,0,1,3,0,5,47,28,1,1,6,0,0,0,3,36,4,4,6,9,3,2,0,0,0,13,4,0,0,7,0,0,36,0,24,0,0,2,7,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1
690,NA,238,0,1,15,0,3,68,31,2,0,5,0,0,0,0,21,5,0,6,3,1,0,0,0,0,7,2,0,0,1,0,0,3,0,51,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0
705,NA,30,0,1,1,0,0,11,3,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,NA,83,0,0,1,1,0,30,1,5,0,1,0,0,0,0,7,5,0,5,1,1,0,0,0,0,2,0,0,0,2,0,1,2,0,8,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
