"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae.undiff.","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Stellaria","Thalictrum","Urtica","Zea"
36.5,330,580,0,4,4,1,1,0,0,159,2,54,0,0,0,0,1,4,80,4,0,3,6,1,1,0,0,0,8,0,4,2,9,19,52,1,0,66,0,1,0,0,2,56,4,0,10,0,1,1,0,0,0,4,0,1,0,0,0,6,0,0,0,1,7,0,0,0,0
38.5,394,603,0,9,10,2,3,0,2,149,0,64,0,0,1,1,3,0,61,3,1,1,7,6,3,0,0,0,12,0,4,0,8,37,49,0,0,74,0,0,0,0,0,62,3,0,4,0,0,0,0,0,1,0,0,1,0,0,1,10,0,0,0,1,10,0,0,0,0
40.5,457,568,0,9,10,2,7,0,0,142,3,73,0,0,0,0,1,1,61,12,2,2,2,1,0,0,0,0,7,0,2,5,4,20,36,1,0,92,0,0,0,0,1,63,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0
42.5,521,617,0,8,15,2,5,0,1,182,4,44,0,0,0,0,5,1,75,7,1,1,1,2,0,0,0,0,8,0,2,4,5,22,55,1,0,67,1,0,0,0,1,69,3,2,1,0,1,1,0,0,0,1,0,1,0,0,1,8,0,0,0,1,7,0,1,0,0
44.5,584,589,0,6,17,2,2,0,1,194,0,35,0,0,0,0,0,0,62,10,1,3,6,1,0,0,0,0,9,0,3,5,5,17,59,1,0,62,1,0,0,0,1,69,2,2,3,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0
46.5,641,557,0,4,13,2,3,0,1,171,4,28,0,0,0,0,2,2,80,11,4,1,5,1,0,0,0,0,9,0,4,9,5,22,49,1,0,54,0,0,0,0,0,64,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
48.5,679,558,0,5,5,2,1,0,0,172,5,37,0,0,0,0,1,0,62,6,1,1,6,0,0,0,0,0,2,1,4,7,6,22,30,2,0,91,6,1,1,0,4,65,5,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50.5,717,556,0,6,9,2,7,0,0,180,4,30,0,0,0,0,3,2,53,8,3,3,2,3,1,1,0,0,7,0,1,7,8,23,42,1,0,61,0,0,0,0,3,74,5,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
52.5,755,565,1,4,6,2,4,0,1,153,3,29,0,1,0,1,1,2,78,5,2,0,3,1,0,0,0,0,4,0,4,6,4,16,55,0,0,78,0,0,0,0,0,88,5,0,2,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
54.5,793,619,1,10,12,1,6,0,0,166,1,21,0,0,0,10,1,1,108,5,2,0,4,1,0,0,0,0,0,0,2,9,4,14,50,1,0,68,0,0,0,0,1,102,4,1,4,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0
56.5,830,570,0,10,9,0,2,0,1,175,8,17,0,0,0,2,1,0,98,6,2,3,5,1,0,0,0,0,6,1,1,5,4,12,40,1,0,48,0,0,0,0,1,103,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0
58.5,868,555,1,6,11,1,0,0,0,163,3,14,0,1,0,0,3,1,94,5,1,1,3,1,0,0,0,0,1,0,3,3,7,15,29,0,0,45,10,1,0,0,0,125,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
60.5,906,553,0,5,9,1,2,0,0,162,6,12,0,0,0,0,1,1,87,10,3,0,4,0,0,0,0,0,9,2,2,9,9,23,35,1,0,82,0,0,0,0,0,70,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
62.5,944,577,0,4,11,0,2,0,0,167,2,13,0,1,0,1,4,0,110,6,4,1,6,0,0,0,1,0,11,0,2,5,6,13,31,1,0,71,0,0,0,0,2,91,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0
64.5,982,580,0,6,10,1,2,0,0,162,6,9,0,0,0,1,2,1,114,11,2,2,1,0,0,0,0,0,19,0,2,10,14,15,25,1,0,55,0,0,0,0,0,97,4,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
66.5,1020,555,0,4,12,1,2,0,0,152,3,9,0,0,0,1,2,1,101,4,2,2,3,0,0,0,1,0,14,1,2,4,6,5,42,1,0,53,0,0,0,0,1,113,3,1,4,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
68.5,1057,564,1,3,8,1,1,0,1,149,6,5,0,0,0,1,3,2,110,7,1,2,3,0,0,0,0,0,9,0,1,3,7,10,28,0,0,69,0,1,0,0,1,118,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
70.5,1094,527,0,7,12,2,1,0,0,143,5,10,0,0,0,0,1,0,116,4,4,1,2,0,0,0,0,0,10,1,3,2,5,14,29,2,1,39,0,0,0,0,1,103,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
72.5,1131,589,1,7,10,2,9,0,0,155,5,11,0,0,1,0,2,1,119,7,2,2,2,3,0,0,0,0,9,0,5,11,6,6,43,4,0,56,0,0,0,0,1,102,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
74.5,1168,552,1,3,14,2,4,0,0,141,4,4,0,0,0,0,1,1,114,11,1,1,3,1,1,0,0,0,6,1,3,5,6,14,29,1,0,69,0,0,0,0,1,102,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5,1205,566,1,2,8,2,4,0,0,175,3,11,0,1,0,0,2,1,132,11,2,1,2,0,0,0,0,0,15,0,2,5,9,11,30,2,1,54,0,0,0,0,0,69,4,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
78.5,1242,538,1,1,9,3,3,0,1,137,2,9,0,1,0,0,3,2,107,6,0,0,2,2,0,0,0,0,5,0,3,6,5,5,54,2,0,68,0,0,0,0,1,91,2,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80.5,1279,551,0,5,12,1,5,0,0,142,5,8,0,0,0,0,1,1,125,5,2,1,3,1,1,0,1,0,6,0,5,4,4,20,28,0,0,55,0,0,0,0,0,104,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
82.5,1316,553,0,2,10,2,1,0,1,143,4,8,0,1,0,1,1,2,96,15,5,3,2,1,0,0,1,0,8,0,5,5,8,20,42,3,0,52,0,0,0,0,1,92,9,0,1,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
84.5,1353,564,3,3,6,2,2,0,0,167,5,15,0,1,1,0,2,2,82,8,1,0,4,0,0,0,0,0,13,0,5,3,6,21,62,1,0,57,0,0,0,0,0,87,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86.5,1390,567,0,5,8,2,1,0,2,210,4,6,0,1,0,0,1,1,92,7,1,0,2,2,0,0,0,0,5,1,2,6,7,16,45,2,0,48,0,0,0,0,0,85,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88.5,1427,533,0,3,12,4,2,0,1,179,5,2,0,1,0,0,1,1,109,8,4,1,1,0,0,0,0,0,7,1,2,3,3,22,36,1,0,50,0,1,0,0,1,66,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90.5,1464,554,0,5,7,2,4,0,1,166,14,6,0,0,0,0,2,0,90,6,4,2,1,1,0,0,0,0,6,1,2,2,6,21,40,2,0,72,0,0,0,0,1,82,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
92.5,1501,568,1,3,12,1,4,0,2,189,7,1,0,1,0,0,1,1,101,5,2,1,0,0,0,0,0,0,6,1,2,4,4,39,41,2,0,60,0,0,0,0,0,70,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
94.5,1521,538,0,5,10,2,1,0,1,158,7,4,0,0,1,0,1,1,112,9,1,2,1,0,0,0,0,0,2,0,3,2,1,39,29,1,0,43,0,0,0,0,2,90,5,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96.5,1535,541,0,2,8,2,6,0,2,180,3,10,0,1,0,0,1,2,100,8,1,3,2,1,0,0,0,0,5,1,5,1,2,27,30,1,0,59,0,1,0,0,1,71,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.5,1550,522,1,3,9,1,6,0,0,160,4,6,0,0,0,0,0,1,85,11,1,0,2,1,0,0,0,0,2,0,3,2,3,21,27,0,0,66,0,0,0,0,1,95,5,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100.5,1564,534,0,5,9,2,3,0,0,133,4,3,0,0,0,1,0,4,95,3,3,1,3,0,0,0,0,0,3,1,4,1,2,18,36,1,0,88,0,0,0,0,0,102,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102.5,1579,520,0,4,9,4,0,0,0,137,4,6,0,0,0,1,0,1,81,11,4,0,1,1,0,0,0,0,7,0,1,1,3,18,38,2,0,59,0,0,0,0,1,123,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.5,1593,519,0,9,15,1,1,0,1,97,4,11,0,1,0,1,0,0,117,4,0,3,4,2,0,0,0,0,2,0,3,0,4,14,35,3,1,78,0,0,0,0,1,98,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.5,1607,528,0,10,13,3,3,0,1,110,7,8,0,0,0,0,0,1,96,9,1,1,6,1,0,0,0,0,6,0,2,0,2,5,28,2,0,61,0,0,0,0,1,143,4,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108.5,1622,521,0,6,13,4,2,0,1,103,3,9,0,0,0,0,3,2,84,4,4,1,4,2,0,0,0,0,7,0,2,0,3,8,29,0,0,66,0,0,0,0,2,153,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110.5,1636,571,0,12,13,1,3,0,0,166,3,2,0,0,0,0,2,2,121,11,0,2,3,3,0,0,0,0,9,0,2,2,8,11,12,0,0,55,0,0,0,0,2,120,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
112.5,1651,535,0,5,11,1,1,0,0,115,6,6,0,1,0,1,1,1,128,6,1,3,5,3,0,0,0,0,11,0,1,0,2,14,39,0,0,55,0,0,0,0,1,107,4,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
114.5,1665,541,0,9,17,2,1,0,0,152,8,4,0,1,0,2,1,0,129,6,2,2,7,0,0,0,0,0,5,0,4,0,1,10,31,0,0,47,0,0,0,0,2,95,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.5,1680,521,1,3,13,1,3,0,2,100,11,2,0,0,0,0,1,0,112,5,2,1,4,1,0,2,0,0,8,0,1,2,3,11,25,2,0,63,0,0,0,0,1,133,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119.5,NA,545,0,3,10,1,2,0,0,111,6,4,0,0,0,0,0,3,127,8,6,3,6,0,0,0,0,0,11,0,2,1,1,6,25,4,0,55,0,0,0,0,1,144,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
