"sample.depths","sample.ages","Abies","Ambrosia.type","Aquifoliaceae","Betula","Cyperaceae","Ericaceae","Fagus","Asteraceae.subf..Cichorioideae","Picea","Quercus","Rumex","Alnus","Acer","Fraxinus","Pinus","Poaceae","Rosaceae","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Myrica","Ulmus","Salix","Herbs.undiff.","Juglans","Thalictrum","Amaranthaceae","Carya","Artemisia","Shepherdia"
320,6963,0,0.0106382978723404,0.0531914893617021,0.25531914893617,0.0106382978723404,0,0.0106382978723404,0,0.0957446808510638,0.106382978723404,0,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.25531914893617,0,0,0.0851063829787234,0.0106382978723404,0.0106382978723404,0.0106382978723404,0,0.0425531914893617,0,0.0106382978723404,0,0,0,0
330,7215,0,0,0.0194174757281553,0.16504854368932,0.00970873786407767,0.00970873786407767,0,0,0.0388349514563107,0.0776699029126214,0,0.0485436893203883,0.00970873786407767,0.0194174757281553,0.436893203883495,0.00970873786407767,0,0.12621359223301,0,0,0.00970873786407767,0,0.0194174757281553,0,0,0,0,0,0
340,7467,0.0101010101010101,0,0.0202020202020202,0.222222222222222,0.0101010101010101,0,0.0101010101010101,0,0.090909090909091,0.0404040404040404,0,0.0202020202020202,0.0101010101010101,0.0101010101010101,0.323232323232323,0,0,0.181818181818182,0.0101010101010101,0.0101010101010101,0,0,0.0101010101010101,0,0.0101010101010101,0,0,0.0101010101010101,0
350,7719,0.0099009900990099,0,0.0099009900990099,0.158415841584158,0.0297029702970297,0,0,0,0.0594059405940594,0.0792079207920792,0,0.0198019801980198,0.0099009900990099,0.0099009900990099,0.455445544554455,0.0099009900990099,0,0.108910891089109,0.0099009900990099,0.0099009900990099,0.0099009900990099,0,0.0099009900990099,0,0,0,0,0,0
360,7972,0.0099009900990099,0,0.0198019801980198,0.346534653465347,0,0,0,0,0.099009900990099,0.0891089108910891,0,0.0495049504950495,0.0099009900990099,0.0099009900990099,0.326732673267327,0.0099009900990099,0,0.0198019801980198,0,0,0,0,0.0099009900990099,0,0,0,0,0,0
370,8273,0,0,0.00980392156862745,0.215686274509804,0.0196078431372549,0.00980392156862745,0,0,0.0294117647058824,0.127450980392157,0,0.0294117647058824,0,0.00980392156862745,0.431372549019608,0.00980392156862745,0.00980392156862745,0.0588235294117647,0.00980392156862745,0,0.00980392156862745,0,0.00980392156862745,0,0.00980392156862745,0,0,0,0
400,9176,0.0206185567010309,0.0103092783505155,0.0103092783505155,0.278350515463918,0.0103092783505155,0,0.0103092783505155,0,0.0515463917525773,0.0927835051546392,0,0,0,0,0.463917525773196,0,0,0.0412371134020619,0,0,0.0103092783505155,0,0,0,0,0,0,0,0
410,9477,0.0099009900990099,0,0,0.297029702970297,0.0099009900990099,0.0099009900990099,0,0,0.099009900990099,0.0693069306930693,0,0.0396039603960396,0,0.0099009900990099,0.425742574257426,0,0,0.0099009900990099,0,0,0,0,0.0198019801980198,0,0,0,0,0,0
420,9778,0.0102040816326531,0,0,0.204081632653061,0.0102040816326531,0.0102040816326531,0,0,0.153061224489796,0.0510204081632653,0,0.0306122448979592,0,0.0204081632653061,0.479591836734694,0.0102040816326531,0,0.0102040816326531,0.0102040816326531,0,0,0,0,0,0,0,0,0,0
430,10079,0.0106382978723404,0,0,0.563829787234043,0.0106382978723404,0,0,0,0.127659574468085,0.0319148936170213,0,0.0425531914893617,0,0.0106382978723404,0.159574468085106,0.0106382978723404,0,0,0.0106382978723404,0,0,0,0,0,0.0212765957446809,0,0,0,0
440,10380,0,0,0,0.52,0.0133333333333333,0.0133333333333333,0,0,0.133333333333333,0.0533333333333333,0,0.0133333333333333,0.0133333333333333,0.0266666666666667,0.146666666666667,0,0.0133333333333333,0.0133333333333333,0.0133333333333333,0,0,0,0.0133333333333333,0,0,0,0.0133333333333333,0,0
450,10681,0.0166666666666667,0,0,0.516666666666667,0.0333333333333333,0.0166666666666667,0,0,0.1,0.0333333333333333,0,0.0333333333333333,0,0.0166666666666667,0.133333333333333,0.0333333333333333,0,0.0166666666666667,0,0,0,0.0166666666666667,0.0333333333333333,0,0,0,0,0,0
460,10982,0.0138888888888889,0,0,0.347222222222222,0.0833333333333333,0.0833333333333333,0,0,0.125,0.0138888888888889,0,0.0138888888888889,0,0,0.25,0.0138888888888889,0,0.0277777777777778,0,0,0,0.0138888888888889,0,0.0138888888888889,0,0,0,0,0
470,NA,0,0.0256410256410256,0,0.333333333333333,0.128205128205128,0,0,0,0.153846153846154,0.0256410256410256,0,0.0256410256410256,0,0,0.230769230769231,0.0256410256410256,0,0,0,0,0,0.0256410256410256,0.0256410256410256,0,0,0,0,0,0
480,NA,0,0,0,0.451612903225806,0.064516129032258,0.032258064516129,0,0,0.0806451612903226,0.0161290322580645,0,0.0161290322580645,0,0.0161290322580645,0.129032258064516,0.032258064516129,0,0,0.0483870967741935,0,0.0161290322580645,0.0806451612903226,0.0161290322580645,0,0,0,0,0,0
485,NA,0,0,0,0.574074074074074,0.037037037037037,0.037037037037037,0,0,0.0925925925925926,0.037037037037037,0,0.0185185185185185,0,0,0.0740740740740741,0.0555555555555556,0,0,0.037037037037037,0,0,0.0185185185185185,0.0185185185185185,0,0,0,0,0,0
500,NA,0.0126582278481013,0,0,0.455696202531646,0.0506329113924051,0.0126582278481013,0,0,0.0379746835443038,0.0886075949367089,0,0.0126582278481013,0,0.0126582278481013,0.215189873417722,0,0,0.0253164556962025,0.0126582278481013,0,0,0.0126582278481013,0.0253164556962025,0,0,0,0.0126582278481013,0.0126582278481013,0
510,NA,0,0,0,0.217948717948718,0.192307692307692,0.0384615384615385,0,0,0.0897435897435897,0.0641025641025641,0,0,0,0,0.217948717948718,0.0256410256410256,0,0,0,0,0,0.0769230769230769,0.0512820512820513,0,0,0,0.0128205128205128,0.0128205128205128,0
530,NA,0,0,0,0.152542372881356,0.220338983050847,0.186440677966102,0,0,0,0.0677966101694915,0.0338983050847458,0.0169491525423729,0,0.0169491525423729,0.101694915254237,0.0338983050847458,0,0,0,0,0.0169491525423729,0.0847457627118644,0.0338983050847458,0.0169491525423729,0,0,0,0.0169491525423729,0
605,NA,0,0,0.0404040404040404,0.454545454545455,0.0101010101010101,0.0202020202020202,0,0,0.0404040404040404,0.111111111111111,0,0.0707070707070707,0,0,0.191919191919192,0.0101010101010101,0,0,0.0101010101010101,0,0,0.0101010101010101,0.0202020202020202,0,0,0,0,0.0101010101010101,0
632,NA,0.01,0,0.01,0.27,0.02,0,0,0,0.13,0.1,0.01,0.06,0,0,0.28,0.02,0,0.03,0.01,0,0.01,0,0.01,0,0.01,0,0,0.02,0
655,NA,0,0.0101010101010101,0.0202020202020202,0.484848484848485,0.0101010101010101,0.0202020202020202,0,0,0.0505050505050505,0.0707070707070707,0,0.0404040404040404,0.0101010101010101,0.0101010101010101,0.191919191919192,0.0101010101010101,0,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0,0.0101010101010101,0,0,0,0.0101010101010101,0.0101010101010101,0
680,NA,0.0105263157894737,0,0.0105263157894737,0.494736842105263,0,0.0315789473684211,0,0,0.0315789473684211,0.105263157894737,0,0.0526315789473684,0,0,0.189473684210526,0.0105263157894737,0,0.0210526315789474,0,0.0105263157894737,0,0,0,0,0.0105263157894737,0,0,0.0105263157894737,0.0105263157894737
