"sample.depths","sample.ages","Abies","Acer","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Castanea","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Epilobium","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Huperzia.lucidula","Huperzia.selago","Isoëtes","Juglans","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Nuphar","Ostrya","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.viviparum","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubiaceae","Rubus.chamaemorus","Rumex","Salix","Sparganium","Sphagnum","Thalictrum","Tsuga","Ulmus","Unknown"
84,3603,0,0,18,334,3,0,0,7,1,155,0,0,0,0,0,0,3,2,0,1,0,11,0,0,2,0,0,0,0,3,7,0,1,2,5,1,2,598,16,2,11,0,0,9,0,11,1,0,0,2,0,0,0,1,0,0,0,27,0,1,0,2
90,3722,0,0,8,261,1,0,0,5,0,119,0,0,0,0,0,1,3,8,1,1,1,7,0,1,0,0,0,0,0,3,5,2,0,1,4,0,0,429,6,1,1,0,0,1,0,8,0,0,1,0,0,0,0,0,0,1,0,20,0,0,0,0
96,3831,0,0,18,184,0,0,0,6,0,104,0,0,0,0,0,0,2,5,0,0,0,2,0,0,0,0,0,0,0,6,3,2,1,1,2,0,0,404,5,2,15,0,0,3,0,16,0,0,0,0,0,0,0,0,0,2,0,19,1,0,0,0
100,3899,1,0,0,157,0,0,0,4,1,57,0,0,0,0,0,1,1,0,0,0,0,8,0,0,1,0,1,0,0,1,0,1,1,2,4,0,0,368,17,2,7,0,0,1,0,4,0,1,0,0,0,0,0,0,0,3,0,9,0,0,0,0
104,3964,0,0,7,139,0,0,0,4,0,90,0,0,0,0,0,0,3,1,0,0,1,5,0,0,0,1,0,0,0,1,3,0,1,2,2,0,0,324,4,3,4,0,0,3,0,8,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0
112,4084,0,0,10,211,1,2,0,1,0,86,1,0,0,0,0,0,2,5,1,1,1,7,0,0,1,0,0,0,0,2,1,1,3,0,4,1,1,349,6,0,1,0,0,7,0,10,0,0,0,1,0,0,0,0,0,4,0,13,0,0,0,0
116,4141,0,0,6,209,1,0,0,4,0,83,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,4,7,3,1,0,2,0,1,326,5,1,2,0,0,2,0,10,1,1,0,2,0,0,0,0,0,0,0,9,0,0,0,0
120,4196,0,0,18,237,0,0,0,2,0,125,0,0,0,0,0,0,3,2,0,0,1,5,0,0,0,0,0,2,0,2,2,3,1,2,3,0,1,354,5,0,9,0,0,5,0,14,4,0,0,2,0,1,0,0,0,3,0,17,0,0,3,2
124,4250,0,0,7,252,0,0,0,5,2,147,0,0,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,3,4,2,2,2,5,0,0,290,2,1,2,0,0,5,0,16,0,0,1,0,0,0,0,0,1,2,0,26,0,1,0,1
130,4330,0,0,4,249,0,2,0,2,3,100,0,0,0,0,0,0,0,3,0,1,2,3,0,0,0,0,0,1,0,1,1,3,1,3,6,0,1,230,7,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,1,0,5,0,0,1,1
136,4409,0,0,7,191,1,0,0,3,0,142,0,0,0,0,0,1,1,3,1,0,0,5,0,0,0,0,0,1,0,2,5,1,1,0,0,0,0,312,4,0,3,0,0,1,0,6,0,0,0,1,0,1,0,1,0,0,0,16,0,0,0,1
140,4463,0,0,4,255,1,1,0,1,0,103,4,0,0,0,0,2,1,4,2,0,0,3,0,0,1,0,0,0,0,2,1,3,0,1,6,0,1,294,10,0,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0
144,4517,3,0,10,313,1,1,0,0,1,152,0,0,0,0,0,0,0,4,0,0,0,6,0,0,2,0,0,0,0,2,6,1,3,0,1,0,1,308,3,0,5,0,0,5,1,3,0,1,0,2,0,0,0,0,0,3,0,10,0,0,0,0
150,4601,0,0,5,220,1,1,0,1,0,110,0,0,0,0,0,0,2,1,0,0,0,8,0,0,0,0,0,0,0,4,4,1,2,0,3,0,0,281,6,0,2,0,0,1,0,4,0,0,1,0,0,1,0,0,0,1,0,11,0,0,0,0
156,4690,0,0,6,197,0,0,0,4,0,105,0,0,0,0,0,0,0,3,0,2,0,4,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,268,1,0,5,1,0,1,0,2,0,0,1,0,0,0,0,0,0,4,0,7,0,0,0,1
160,4752,0,0,8,292,0,2,0,0,1,104,0,0,0,0,0,0,1,1,1,0,3,3,0,0,1,0,0,0,0,4,3,1,0,3,4,0,0,252,5,1,4,0,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0
166,4852,0,0,20,214,0,0,0,4,0,93,0,0,0,0,0,0,3,2,1,0,0,4,0,0,1,0,0,0,0,2,2,2,0,2,6,0,0,259,4,1,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2
172,4960,0,0,12,212,2,3,0,5,0,127,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,2,3,2,0,0,4,0,0,250,1,0,0,0,0,3,0,4,0,0,1,0,0,0,0,0,0,2,0,4,0,0,2,1
176,5037,0,0,3,250,0,0,0,2,0,133,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,249,4,0,1,0,0,4,0,2,2,0,0,1,0,0,0,0,0,3,0,5,0,0,0,0
180,5119,0,0,7,240,1,0,0,3,1,118,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,3,0,0,0,0,2,0,0,185,8,0,2,0,0,3,0,2,1,2,0,1,0,0,0,0,0,1,0,1,0,0,1,0
184,5207,0,0,6,192,0,0,0,3,0,120,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,2,5,2,1,0,1,0,1,235,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,1
190,5349,0,0,13,511,1,3,0,4,0,187,0,0,0,0,0,0,2,1,0,1,0,4,0,0,0,0,0,1,0,3,4,2,2,2,4,0,0,427,6,0,4,0,1,10,0,3,1,2,1,2,0,1,0,0,0,1,2,9,1,0,1,1
195,5478,0,0,8,283,0,0,0,5,0,119,0,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,1,0,0,1,3,1,1,1,0,0,0,261,4,0,4,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
200,5618,0,0,2,234,0,3,0,1,0,78,0,0,0,0,0,0,1,4,0,1,0,1,0,0,0,0,0,1,0,4,0,3,1,0,3,0,0,232,6,0,3,0,0,2,0,3,3,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0
204,5738,0,0,10,267,1,0,0,4,0,110,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,1,0,0,0,4,5,1,2,2,0,0,0,303,1,3,3,0,0,2,0,2,0,0,0,2,0,0,0,0,0,1,0,7,0,0,0,0
210,5933,0,0,10,282,0,1,0,3,1,57,0,1,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,1,0,4,1,1,1,0,3,0,0,226,2,1,2,0,0,4,0,3,2,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0
216,6147,0,0,3,232,2,1,0,4,1,81,0,0,0,0,0,0,4,6,0,0,0,6,0,0,0,0,0,1,0,6,3,3,2,0,2,0,0,260,3,0,1,0,0,7,0,4,8,0,0,0,0,0,0,0,0,2,0,9,0,0,2,2
220,6302,0,0,21,187,4,0,0,7,0,88,0,0,0,0,0,0,6,7,2,3,0,9,0,0,3,0,0,1,0,28,5,1,3,2,0,0,1,310,8,1,3,0,0,10,0,10,14,0,0,0,0,0,0,0,0,8,0,11,0,0,1,1
224,6465,0,0,6,111,3,2,0,4,3,134,0,0,0,0,0,0,15,15,1,3,0,11,0,0,1,0,0,4,0,56,10,8,10,1,1,0,1,258,7,1,2,1,0,20,0,17,46,1,1,1,0,0,1,0,0,5,0,30,0,0,4,2
230,6730,0,0,10,109,2,7,0,11,0,234,0,1,1,0,0,0,16,23,7,0,0,38,1,0,1,0,1,21,0,67,25,16,16,5,2,0,2,339,8,3,9,0,0,22,0,20,96,4,1,1,0,0,0,0,0,16,1,59,0,0,3,6
236,7019,0,1,22,143,6,4,0,22,2,174,0,1,0,0,0,0,9,29,4,1,0,60,0,0,4,0,0,7,0,7,25,19,19,7,0,0,1,214,13,1,9,1,0,17,0,22,130,0,0,1,0,0,0,0,0,17,0,50,0,0,2,9
240,7225,0,0,4,115,7,10,1,13,2,88,0,0,0,1,0,0,6,40,3,2,0,23,0,0,3,0,0,0,0,2,34,10,21,9,1,0,1,156,2,0,8,2,0,21,0,16,21,1,0,1,0,0,0,0,0,31,0,49,0,0,4,9
