"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Iva.annua.type","Corylus","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Iva.xanthifolia.type","Larix","Morus","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rumex","Salix","Salsola","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Humulus.Cannabis.sativa","Juniperus.Thuja","Populus","Brassicaceae","Acer.saccharum","Pinus.strobus","Juglans.nigra.type","Chenopodium.type","Pinus.banksiana.P..resinosa","Cerealia.type","Acer.negundo","Acer.saccharinum.type","Plantago.undiff.","Sarcobatus.vermiculatus","Tilia","Trifolium.type","Plantago.major.type","Carya","Amorpha","Juglans.cinerea.type","Celtis","Fraxinus.undiff.","Polygonum.lapathifolium.type","Rosaceae.undiff.","Asteraceae.subf..Cichorioideae","Dalea","Xanthium","Acer.spicatum","Thalictrum","Rhus","Lysimachia","Apiaceae","Cornus","Viburnum","Euphorbia","Fabaceae.undiff.","Alnus.undiff.","Rhamnus","Trientalis","Potentilla.type","Castanea","Polygonum.undiff.","Myrica","Shepherdia.argentea","Ephedra.nevadensis.type","Shepherdia.canadensis","Ranunculus","Zanthoxylum","Lamiaceae","Epilobium","Ephedra.viridis.type"
135,1940,537.5,4,1,26,1,7,198,0,5,2,5,1,10,0,8,0,6,6,126,21,0,3,0,1,5,1,0,0,7,0,5,69.5,0,2,12,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1987,333,3,0,8,0,8,104,0,0,5,2,0,6,0,2,0,2,3,59,7,0,1,0,1,3,4,0,1,6,0,7,84,0,2,10,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2040,602.5,5,2,9,0,2,178,0,1,6,3,2,6,0,4,0,11,5.5,71,18,0,1,0,0,9,2,1,0,6,0,5,230,0,2,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2131,454.5,4,0,11,1,6,109,0,4,1,6,2,1,1,3,0,5,4.5,83,23,0,0,0,1,5,2,0,0,7,0,6,145.5,0,0,20.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2273,319.5,4,0,14,3,2,80,0,2,3,1,0,1,0,0,0,7,4.5,80.5,10,1,3,0,0,3,1,0,0,4,0,5,73.5,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2441,381,5.5,1,12,0,3,112,0,0,7,3,0,4,0,1,0,7,4.5,80.5,13,0,1,0,0,2,2,0,1,2,0,2,98.5,0,1,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2638,388,2,1,9,1,1,114,0,2,5,1,0,5,0,1,0,5,7.5,64,15,0,0,0,1,3,2,0,0,12,0,1,114,0,0,17.5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2864,412,4.5,1,14,2,10,121,0,3,3,2,0,2,0,2,0,4,5,136.5,13,0,0,0,2,4,4,0,0,2,0,1,60,0,2,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,3121,353,2.5,0,8,0,3,112,0,5,6,3,0,2,0,0,0,5,3.5,83.5,12,0,2,0,2,3,1,0,1,5,0,2,75,0,0,12.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,3411,378.5,3.5,0,9,0,4,59,0,2,5,4,3,10,0,2,0,11,3,67.5,22,1,2,0,2,8,7,0,0,2,0,7,122.5,0,2,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,3735,361,7,1,13,0,3,77,0,1,7,3,0,5,0,2,0,6,3.5,106.5,39,0,0,0,1,10,5,0,0,4,0,5,48,0,1,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,4087,385.5,1.5,0,21,1,8,115,0,0,8,5,0,5,0,0,0,4,4,49.5,8,1,1,0,1,9,2,0,2,11,0,2,91.5,0,1,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,4459,323.5,1,1,36,2,7,41,0,2,7,3,0,4,0,1,0,5,2.5,30,71,0,0,0,1,4,5,0,0,4,0,1,57.5,0,0,33.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,4845,434,0,0,78,5,12,82,0,6,15,6,1,7,0,1,0,10,1,56.5,59,0,4,0,1,8,9,0,2,7,0,2,25.5,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,5237,383,0,3,47,8,6,105,0,4,8,7,2,10,0,1,0,11,1,13,80,0,2,0,1,3,7,0,0,17,0,0,19,0,4,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,5629,335,1,0,118,4,8,46,0,1,2,2,3,15,0,1,0,3,0,52,37,1,10,0,5,4,4,0,1,4,0,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,6013,318,0,1,86,1,7,52,0,2,2,0,1,6,0,0,0,7,3,43,41,0,16,0,3,3,6,0,0,5,0,0,2,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,6200,456,0,1,44,1,14,76,1,8,5,8,3,8,0,1,0,14,1,113,71,0,5,0,4,10,7,0,0,7,0,0,28.5,0,4,12.5,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
450,6382,372,0.5,1,4,0,10,61,0,3,3,8,1,5,0,0,0,36,7,136,24,0,0,0,5,20,2,0,0,2,0,0,31,0,2,4.5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,6559,459,1,2,10,3,13,101,0,6,2,6,4,6,0,0,0,74,2,116.5,44,0,4,0,2,13,10,1,0,0,0,1,22.5,0,3,3,0,1,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
470,6730,321,1,0,7,0,10,55,0,4,7,9,1,4,0,1,0,57,1,71,62,0,0,0,2,4,10,0,2,1,0,0,2,0,2,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,6894,404,0.5,2,10,1,5,77,0,7,6,7,0,9,0,0,0,41,0.5,50.5,145,0,3,0,0,13,8,0,0,4,0,0,6,0,4,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
490,7052,322,0,0,11,1,12,72,0,3,2,9,4,4,0,0,0,20,0,36,113,0,13,0,3,6,4,0,0,0,0,0,1,0,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
510,7357,365,1,0,14,0,10,118,0,8,4,9,3,14,0,0,0,27,1,44.5,66,0,13,0,4,9,8,0,0,2,0,0,1,0,4,1.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,7652,307,0,0,13,0,13,60,2,15,1,2,3,8,0,0,0,12,0,19.5,89,0,21,0,8,10,14,0,0,1,0,1,3.5,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
550,7948,384,0,0,20,1,22,50,3,15,6,7,3,13,2,0,0,3,0,32,109,0,38,0,6,6,18,3,0,7,0,0,1,0,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
570,8251,346,0,0,45,2,12,40,0,15,6,2,0,15,0,0,0,3,1.5,40,54,2,43,0,8,8,19,0,0,4,0,1,1.5,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
590,8571,366,0,0,37,2,22,47,3,11,4,2,3,24,1,2,0,2,1,55,52,1,26,0,7,8,34,0,1,1,0,0,1,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,8903,310,0,0,62,0,17,24,0,2,7,4,0,20,0,0,0,3,0,69,14,0,18,0,2,3,8,0,0,10,0,0,7,0,6,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,9238,325,1,0,18,0,17,57,1,8,7,4,1,13,1,3,0,4,2,84,15,1,29,0,3,13,16,1,0,2,0,2,1,0,6,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
650,9576,322,0,0,14,0,22,36,1,3,3,0,2,13,0,0,0,5,3,101.5,12,0,19,0,3,8,15,0,0,4,0,0,3,0,4,44.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
670,9916,318,2.5,0,8,0,17,46,2,2,9,4,1,14,0,0,0,5,2.5,112,11,0,15,0,7,11,10,1,0,2,0,0,5,0,8,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
690,10257,301,0,0,4,0,3,28,0,1,3,6,0,53,0,1,0,1,6.5,85.5,2,0,8,0,31,10,6,0,0,10,0,2,1,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,10771,321,0,0,4,0,11,26,0,0,26,3,1,7,1,4,0,2,9.5,152,5,0,12,0,17,12,2,0,0,6,0,0,1,0,5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
740,NA,309,1,0,3,0,11,21,0,2,22,4,0,8,0,7,0,4,53,98,1,0,16,0,5,12,7,0,1,9,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
760,NA,330,0,0,11,1,28,41,0,1,26,1,0,9,0,25,0,8,114,13,4,0,19,0,5,5,2,0,1,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0
778,NA,427,1,0,8,1,61,45,0,1,35,19,0,12,0,6,0,7,138,8,11,0,14,0,10,6,17,3,0,4,0,0,0,0,12,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
800,NA,221,0,0,0,0,21,11,0,0,34,12,0,7,0,2,0,1,67,16,4,0,13,0,5,3,11,0,2,4,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
870,NA,195,0,0,0,0,10,2,0,0,68,2,0,2,0,2,0,0,57,19,0,0,18,0,0,0,5,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,NA,229.5,1,0,1,0,17,2,0,0,70,2,0,4,0,0,0,0,66.5,20,6,0,9,0,5,1,12,0,1,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
1080,NA,210,0,0,1,0,26,4,0,1,50,10,2,7,0,2,0,3,42,4,4,1,15,0,6,6,9,0,1,4,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
