"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Betula","Carya","Cyperaceae","Fagus","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Ilex","Juglans.cinerea","Liquidambar","Nyssa","Platanus","Potentilla.type","Quercus","Rhamnaceae.Vitaceae.undiff.","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Urtica.type","Anacardiaceae","Pinus","Amaranthaceae","Plantago","Rubiaceae","Alnus.incana.type","Artemisia","Castanea","Ericaceae","Ostrya.Carpinus","Cerealia","Abies","Juglans.nigra","Picea","Acer.saccharum.type","Fraxinus.nigra.type","Populus","Corylus","Thalictrum","Myrica","Polygonum","Diospyros.type","Caprifoliaceae","Rhamnaceae","Sanguisorba","Alnus.viridis.type","Caryophyllaceae","Onagraceae","Cupressaceae","Asteraceae.subf..Cichorioideae","Lamiaceae","Polemoniaceae","Brassicaceae","Campanulaceae"
100,13120,284,0,0,19,1,18,0,0,7,0,0,0,0,1,1,23,0,0,1,0,4,0,0,0,136,0,0,0,11,0,1,0,10,0,13,0,27,0,4,1,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
110,13444,281,0,1,15,0,13,1,0,10,0,0,0,0,0,3,21,0,0,2,0,1,0,1,0,152,0,0,0,14,1,0,0,9,0,8,0,15,0,6,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
120,13671,290,0,2,19,0,13,0,0,7,0,0,0,0,0,1,23,0,0,2,0,7,3,0,0,127,0,0,0,5,0,0,0,14,0,20,0,24,0,12,1,4,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0
130,13823,277,0,2,21,0,17,2,0,14,0,0,1,0,0,3,22,0,0,3,0,6,0,1,0,109,0,0,1,14,0,0,0,15,0,10,0,24,0,5,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
135,13877,290,1,0,18,1,11,2,0,8,0,0,0,0,0,3,24,0,0,2,0,5,1,0,0,115,0,0,0,11,0,0,1,13,0,12,0,48,0,6,4,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
140,13920,264,0,1,10,0,14,0,0,25,0,0,0,0,0,2,16,0,0,7,0,17,0,2,0,39,0,0,0,12,0,0,1,3,0,1,0,88,0,4,1,2,1,0,0,0,0,0,15,1,0,0,1,0,0,1,0,0
145,13954,284,0,5,18,0,6,0,0,21,0,0,0,0,0,3,27,0,0,2,0,16,0,0,0,63,0,0,0,9,1,0,0,13,0,4,0,78,0,4,1,1,0,0,0,0,0,0,9,0,0,0,2,0,0,0,1,0
150,13982,281,0,1,22,2,8,0,0,18,0,0,0,0,0,2,31,0,2,0,0,4,0,0,0,85,0,0,0,5,1,0,0,18,0,8,0,62,0,2,1,3,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0
155,14006,282,0,1,17,0,9,0,0,21,0,0,0,0,0,1,16,0,0,7,0,10,0,0,0,55,0,0,0,3,1,0,0,10,0,7,0,104,0,4,0,1,1,0,0,0,1,0,10,0,0,0,3,0,0,0,0,0
160,14028,282,0,0,16,0,13,0,0,22,0,0,0,0,0,1,4,0,0,1,0,9,1,1,0,40,0,0,0,8,0,0,0,0,0,0,0,145,0,4,1,0,4,0,0,0,1,0,8,2,1,0,0,0,0,0,0,0
170,14064,288,0,0,6,0,6,0,0,21,0,0,0,0,0,2,5,0,1,1,0,20,0,0,0,43,0,0,0,5,1,0,1,0,0,0,1,151,0,0,0,0,0,0,0,0,0,0,19,3,0,0,2,0,0,0,0,0
180,14092,280,0,0,11,0,7,0,0,9,0,0,0,0,0,1,8,0,2,2,0,16,0,2,0,42,0,0,0,11,0,0,1,2,0,0,0,135,0,2,4,0,0,0,1,0,0,0,16,4,0,0,4,0,0,0,0,0
190,14114,274,0,0,10,0,4,0,0,15,0,1,0,0,0,3,6,0,0,2,0,8,0,2,0,42,0,0,0,8,1,0,0,1,0,0,1,159,0,1,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
200,14129,288,0,0,7,0,2,0,0,9,0,0,0,0,0,0,9,0,1,1,0,12,1,3,0,40,1,0,0,10,1,0,0,1,0,0,0,159,0,0,0,3,1,1,0,0,0,0,19,6,0,0,1,0,0,0,0,0
210,14140,290,0,1,11,0,2,0,0,10,0,0,0,0,0,1,6,0,0,3,0,12,0,0,0,42,0,0,0,5,0,0,2,2,0,0,0,167,0,0,0,0,2,0,0,0,0,0,17,6,0,0,1,0,0,0,0,0
220,14148,290,0,1,18,1,7,1,0,10,0,0,0,0,0,5,4,0,0,1,0,15,1,0,0,44,1,0,1,19,2,0,1,1,0,1,0,135,0,0,0,2,2,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0
230,14154,292,0,0,19,0,4,0,1,16,0,0,0,0,0,2,11,0,1,3,0,16,0,1,0,29,0,0,1,12,2,0,1,1,0,0,0,155,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
235,14156,297,0,1,29,2,6,0,0,14,0,0,0,0,0,0,4,0,1,0,0,19,1,0,0,40,0,0,0,9,0,0,0,1,0,3,0,151,0,0,0,0,1,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0
240,14159,294,0,1,54,0,7,0,0,35,0,0,0,0,0,0,5,0,1,3,0,14,2,0,0,45,0,0,0,9,0,0,0,2,0,0,0,107,0,1,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,1
245,14161,298,0,1,61,0,19,0,0,48,0,0,0,0,0,0,5,0,1,0,0,13,0,1,0,46,0,0,0,6,0,0,0,0,0,3,0,76,0,0,0,0,1,0,1,0,0,0,5,4,2,0,4,1,0,0,0,0
252,14165,295,0,0,56,1,16,0,0,72,0,1,0,0,0,0,8,0,1,2,0,9,0,1,0,65,0,0,0,6,1,0,0,0,0,1,0,47,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
255,14167,291,0,0,75,0,23,0,0,101,0,0,0,0,0,0,4,0,2,4,0,11,0,0,0,37,0,0,0,5,2,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
265,14174,291,0,3,35,0,40,0,0,111,0,0,0,0,0,1,0,0,0,6,0,16,0,1,0,25,0,0,0,4,3,0,0,0,0,0,1,34,0,0,0,0,1,0,4,0,0,0,1,2,0,0,3,0,0,0,0,0
275,14184,296,0,0,28,0,49,0,0,111,0,0,0,0,0,0,1,0,2,2,0,11,0,1,0,26,0,0,1,5,2,0,1,0,0,0,0,46,0,0,0,0,2,0,3,0,0,0,0,0,2,0,1,2,0,0,0,0
285,14196,295,0,2,25,0,42,0,0,118,0,0,0,0,0,0,1,0,4,4,0,9,0,0,0,28,0,0,0,2,0,0,1,1,0,2,0,43,0,0,0,0,0,0,8,0,0,0,0,2,2,0,0,0,0,1,0,0
295,14210,299,0,0,21,0,44,1,1,139,0,0,0,0,0,0,2,0,3,0,0,10,0,0,0,21,0,0,0,3,0,0,0,0,0,2,0,38,0,0,0,0,0,0,7,0,0,0,1,0,2,0,0,2,0,0,0,2
305,14225,292,0,1,26,0,37,0,0,97,0,0,0,0,0,0,1,0,2,3,0,6,0,0,0,40,0,0,0,4,1,0,0,0,0,4,0,54,0,0,1,0,1,0,1,0,0,1,2,2,3,0,4,0,0,1,0,0
315,14242,295,0,0,21,0,23,0,0,118,0,0,0,0,0,0,2,0,1,2,0,15,0,0,0,48,0,0,0,5,1,0,1,0,0,1,0,50,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,2,0,0
325,14261,284,0,1,25,0,34,0,0,113,0,0,0,0,0,0,2,0,0,5,0,11,1,1,0,39,0,0,0,10,3,0,2,2,0,2,0,28,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0
345,14302,285,0,1,43,0,48,0,0,54,0,0,0,0,0,0,1,0,0,9,0,5,0,1,0,49,0,0,0,3,0,0,2,0,0,5,0,43,1,0,1,0,1,0,2,0,0,0,0,9,3,0,4,0,0,0,0,0
365,14348,258,0,1,40,1,31,0,0,78,0,0,0,0,0,0,2,0,0,10,0,7,0,1,0,47,0,0,0,4,1,0,1,0,0,1,0,23,0,0,0,0,0,0,4,0,0,0,1,1,3,0,0,0,0,0,0,1
385,14397,292,0,2,39,0,26,0,0,89,0,0,0,0,0,0,1,0,0,5,0,6,0,1,0,57,0,0,0,11,2,0,2,1,0,2,0,40,0,0,0,0,2,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0
405,14448,290,0,1,25,0,46,0,0,70,0,0,0,0,0,0,5,0,1,4,0,4,1,0,0,58,0,0,0,10,1,0,1,0,0,0,0,49,0,0,0,0,2,0,1,0,0,0,2,2,6,0,0,1,0,0,0,0
415,14474,248,0,0,43,0,22,0,0,18,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,90,0,0,0,15,3,0,0,1,0,1,0,42,0,0,0,0,3,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0
