"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Ilex","Juglans.cinerea","Juglans.nigra","Liquidambar","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum","Xanthium","Zea"
47,681,0,0.008695652,0.022608696,0.008695652,0.208695652,0.010434783,0.013913043,0,0,0.005217391,0.189565217,0,0.00173913,0,0,0.003478261,0,0.00173913,0.036521739,0.003478261,0.055652174,0.020869565,0.003478261,0,0.139130435,0.00173913,0.00173913,0.234782609,0.006956522,0.00173913,0.003478261,0.00173913,0.003478261,0,0.003478261,0,0,0.005217391,0,0.00173913,0,0,0,0
49,760,0,0.012750455,0.012750455,0.014571949,0.200364299,0.016393443,0.010928962,0,0.001821494,0,0.216757741,0.003642987,0,0,0,0.010928962,0,0.009107468,0.012750455,0.007285974,0.038251366,0.023679417,0,0.001821494,0.138433515,0.001821494,0,0.253187614,0.003642987,0,0.001821494,0,0,0,0.001821494,0,0,0.005464481,0,0,0,0,0,0
51,840,0,0.011214953,0.028037383,0,0.151401869,0.007476636,0.005607477,0.001869159,0,0.007476636,0.218691589,0,0.001869159,0,0,0.007476636,0,0,0.01682243,0.003738318,0.059813084,0.01682243,0.003738318,0,0.140186916,0,0.001869159,0.297196262,0.011214953,0,0,0,0,0,0,0,0,0.005607477,0,0,0,0.001869159,0,0
53,920,0.001834862,0.005504587,0.016513761,0.009174312,0.198165138,0.011009174,0.00733945,0,0,0.001834862,0.209174312,0.005504587,0.003669725,0.001834862,0,0.003669725,0,0.003669725,0.009174312,0.00733945,0.042201835,0.022018349,0.001834862,0,0.132110092,0,0.001834862,0.289908257,0.00733945,0.001834862,0.001834862,0.001834862,0,0,0.001834862,0,0,0,0,0,0,0,0,0
55,1000,0,0.01171875,0.03125,0.005859375,0.15234375,0.009765625,0.005859375,0,0.001953125,0.0078125,0.18359375,0.001953125,0,0,0,0.0078125,0,0.005859375,0.00390625,0.009765625,0.0234375,0.05078125,0.001953125,0,0.158203125,0.001953125,0,0.306640625,0.00390625,0,0.001953125,0,0.001953125,0,0.001953125,0,0,0.00390625,0,0,0.00390625,0,0,0
57,1080,0,0.015686275,0.017647059,0.009803922,0.152941176,0.01372549,0.015686275,0,0.001960784,0.001960784,0.219607843,0.009803922,0.001960784,0,0,0.003921569,0,0.003921569,0.005882353,0.003921569,0.037254902,0.009803922,0.005882353,0.001960784,0.166666667,0.001960784,0,0.270588235,0.017647059,0,0.001960784,0.001960784,0,0,0.001960784,0,0,0.003921569,0,0,0,0,0,0
59,1159,0,0.020676692,0.018796992,0.011278195,0.165413534,0.011278195,0.007518797,0.001879699,0.001879699,0,0.197368421,0.003759398,0.001879699,0,0,0.003759398,0,0.015037594,0.005639098,0.001879699,0.045112782,0.030075188,0.001879699,0.001879699,0.146616541,0,0.001879699,0.281954887,0.005639098,0,0.001879699,0,0,0.003759398,0,0.001879699,0.001879699,0.001879699,0,0,0.005639098,0,0,0
61,1234,0,0.027184466,0.031067961,0.019417476,0.165048544,0.005825243,0,0,0,0.001941748,0.227184466,0,0,0,0,0,0,0,0.009708738,0,0.052427184,0.009708738,0,0.001941748,0.165048544,0,0,0.267961165,0.009708738,0,0,0,0,0,0.001941748,0,0,0.003883495,0,0,0,0,0,0
63,1304,0,0.016333938,0.019963702,0.007259528,0.174228675,0.007259528,0.003629764,0,0,0.001814882,0.190562613,0.003629764,0.003629764,0,0,0.012704174,0,0.010889292,0.005444646,0.019963702,0.056261343,0.021778584,0.001814882,0,0.152450091,0,0.003629764,0.270417423,0.003629764,0,0,0,0,0,0.003629764,0,0,0.005444646,0,0.001814882,0.001814882,0,0,0
65,1374,0.001876173,0.018761726,0.009380863,0.013133208,0.140712946,0.00750469,0.009380863,0.001876173,0,0.001876173,0.227016886,0.001876173,0,0,0,0.001876173,0,0.00750469,0.013133208,0.011257036,0.058161351,0.037523452,0.001876173,0,0.1369606,0,0.001876173,0.273921201,0.015009381,0,0.001876173,0,0,0,0.001876173,0,0,0.001876173,0,0,0.001876173,0,0,0
67,1444,0,0.02037037,0.011111111,0.005555556,0.157407407,0.012962963,0.001851852,0.001851852,0.001851852,0.005555556,0.155555556,0,0.001851852,0.001851852,0,0.011111111,0,0.005555556,0.009259259,0.005555556,0.077777778,0.012962963,0.001851852,0,0.153703704,0.001851852,0,0.324074074,0.012962963,0,0,0,0,0,0.001851852,0,0,0.001851852,0,0.001851852,0,0,0,0
69,1513,0,0.017077799,0.018975332,0.007590133,0.185958254,0.0056926,0.009487666,0.003795066,0,0,0.157495256,0.0056926,0,0,0,0.0056926,0,0.0056926,0.015180266,0.0056926,0.05313093,0.041745731,0,0,0.159392789,0,0,0.280834915,0.0056926,0.001897533,0,0,0,0.001897533,0,0,0,0.007590133,0,0.001897533,0.001897533,0,0,0
71,1583,0,0.023121387,0.013487476,0.009633911,0.144508671,0,0.003853565,0,0,0,0.16955684,0.005780347,0,0,0,0,0,0,0.003853565,0.003853565,0.098265896,0.038535645,0,0.001926782,0.157996146,0,0,0.304431599,0.005780347,0,0,0,0.001926782,0,0.005780347,0,0.003853565,0.003853565,0,0,0,0,0,0
73,1653,0,0.015706806,0.012216405,0.012216405,0.158813264,0.012216405,0.006980803,0,0,0.003490401,0.184991274,0.008726003,0.003490401,0,0,0.001745201,0,0.005235602,0.017452007,0.008726003,0.061082024,0.012216405,0.005235602,0,0.132635253,0,0,0.317626527,0.008726003,0,0.001745201,0,0,0,0.001745201,0,0,0,0,0,0.006980803,0,0,0
75,1723,0,0.013232514,0.017013233,0.007561437,0.166351607,0.009451796,0.003780718,0,0,0.001890359,0.223062382,0.003780718,0,0,0,0.007561437,0,0.007561437,0.007561437,0.007561437,0.049149338,0.02268431,0.005671078,0.003780718,0.119092628,0,0.001890359,0.306238185,0.009451796,0,0,0.001890359,0,0,0.001890359,0,0,0.001890359,0,0,0,0,0,0
77,1792,0,0.014625229,0.023765996,0.009140768,0.157221207,0.007312614,0.009140768,0,0.001828154,0.001828154,0.212065814,0.014625229,0.003656307,0,0,0.014625229,0,0.003656307,0.007312614,0.003656307,0.043875686,0.018281536,0.003656307,0.001828154,0.171846435,0,0.001828154,0.254113346,0.005484461,0.001828154,0.003656307,0,0,0,0.003656307,0,0.003656307,0,0,0.001828154,0,0,0,0
79,1862,0,0.02,0.016,0.004,0.116,0.004,0,0,0.01,0.004,0.214,0,0,0,0,0.006,0,0.006,0.006,0.01,0.042,0.028,0.002,0.002,0.148,0,0.002,0.348,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0
81,1922,0.001869159,0.020560748,0.022429907,0.011214953,0.100934579,0.007476636,0.005607477,0,0.003738318,0.001869159,0.196261682,0.001869159,0,0,0,0.011214953,0,0.001869159,0.020560748,0.005607477,0.037383178,0.031775701,0,0,0.160747664,0,0,0.328971963,0.013084112,0,0,0,0,0,0.005607477,0,0,0.007476636,0,0,0.001869159,0,0,0
83,1982,0,0.005376344,0.021505376,0.008960573,0.111111111,0.016129032,0.005376344,0.001792115,0.005376344,0.001792115,0.23297491,0.003584229,0,0,0,0.010752688,0,0.005376344,0.003584229,0.005376344,0.046594982,0.041218638,0,0,0.146953405,0,0,0.304659498,0.005376344,0.001792115,0.001792115,0,0.001792115,0.001792115,0.001792115,0,0,0.003584229,0,0,0.001792115,0.001792115,0,0
85,2043,0,0.014705882,0.020220588,0.007352941,0.091911765,0.011029412,0.007352941,0.003676471,0,0.001838235,0.231617647,0.007352941,0,0,0,0.007352941,0,0.005514706,0.007352941,0.007352941,0.042279412,0.045955882,0.001838235,0.003676471,0.123161765,0.001838235,0.001838235,0.334558824,0.003676471,0,0,0.003676471,0.001838235,0.001838235,0,0,0,0.007352941,0,0,0.001838235,0,0,0
87,2103,0.003759398,0.009398496,0.018796992,0.018796992,0.112781955,0.005639098,0.005639098,0,0,0.001879699,0.263157895,0.005639098,0,0,0,0.003759398,0,0,0.009398496,0.005639098,0.037593985,0.030075188,0.005639098,0.001879699,0.176691729,0,0,0.27443609,0.001879699,0,0,0.001879699,0,0,0.001879699,0,0,0,0,0,0.003759398,0,0,0
89,2163,0.001897533,0.013282732,0.036053131,0.017077799,0.14800759,0.017077799,0.003795066,0,0.001897533,0.011385199,0.208728653,0.009487666,0,0,0,0.0056926,0,0.0056926,0.003795066,0.003795066,0.036053131,0.034155598,0.001897533,0,0.161290323,0,0,0.256166983,0.011385199,0.001897533,0.0056926,0,0,0,0.001897533,0,0,0,0,0,0.001897533,0,0,0
91,2223,0,0.022727273,0.020833333,0.015151515,0.143939394,0.011363636,0,0.005681818,0.001893939,0.003787879,0.238636364,0.003787879,0.003787879,0,0,0.009469697,0,0.001893939,0.007575758,0.001893939,0.054924242,0.026515152,0.005681818,0,0.176136364,0,0,0.223484848,0.015151515,0.001893939,0.001893939,0.001893939,0,0,0,0,0,0,0,0,0,0,0,0
93,2283,0.001876173,0.009380863,0.020637899,0.011257036,0.159474672,0.018761726,0.005628518,0,0,0.001876173,0.225140713,0.00750469,0.001876173,0,0,0.005628518,0,0.003752345,0.003752345,0.001876173,0.076923077,0.020637899,0.001876173,0,0.157598499,0,0,0.247654784,0.011257036,0,0.001876173,0,0,0,0,0,0,0.003752345,0,0,0,0,0,0
95,2343,0.001890359,0.009451796,0.024574669,0.015122873,0.128544423,0.005671078,0.018903592,0,0,0.001890359,0.213610586,0.013232514,0,0,0,0.017013233,0,0,0.003780718,0,0.079395085,0.037807183,0,0,0.153119093,0,0.003780718,0.255198488,0.009451796,0,0,0.001890359,0.001890359,0,0.001890359,0,0,0.001890359,0,0,0,0,0,0
97,2404,0.005576208,0.011152416,0.013011152,0.00929368,0.141263941,0.007434944,0.007434944,0,0.001858736,0.00929368,0.243494424,0.00929368,0,0,0,0.003717472,0,0.003717472,0.003717472,0,0.048327138,0.057620818,0.005576208,0.001858736,0.118959108,0.005576208,0,0.280669145,0.005576208,0.001858736,0,0.001858736,0.001858736,0,0,0,0,0,0,0,0,0,0,0
99,2464,0,0.022988506,0.024904215,0,0.107279693,0.007662835,0.005747126,0,0.001915709,0.009578544,0.218390805,0.005747126,0.003831418,0,0,0.009578544,0,0.009578544,0.003831418,0.003831418,0.028735632,0.045977011,0,0.001915709,0.189655172,0,0,0.275862069,0.011494253,0,0.003831418,0,0,0,0,0.001915709,0,0.003831418,0,0,0,0,0.001915709,0
