"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Caprifoliaceae","Carya","Castanea","Celtis","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myricaceae","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnaceae","Rhus","Salix","Taxus","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Cannabaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae","Commelinaceae","Cyperaceae","Fabaceae","Galium","Hepatica","Liliaceae","Plantago","Poaceae.undiff.","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Saxifragaceae","Thalictrum","Urticaceae","Zea.mays"
311,3696,449,0,12,35,42,0,20,42,0,0,0,0,0,25,16,2,1,0,0,0,0,0,0,5,0,28,9,3,0,162,0,1,0,0,0,10,12,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0
331,3936,496,0,11,52,33,0,20,31,0,1,0,1,1,13,13,2,0,0,1,0,0,0,0,8,0,21,14,2,0,235,0,0,0,0,1,2,7,1,0,0,3,0,0,0,0,1,0,19,0,0,0,0,0,2,0,0,0,0,0,0,1,0
351,4176,453,0,6,38,25,0,20,8,0,4,3,0,0,20,11,1,3,0,0,1,0,0,0,7,0,18,15,10,0,236,0,0,0,0,0,1,6,1,1,0,0,0,2,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,1,0,0
365,4344,455,1,16,45,24,0,47,13,0,0,0,0,0,21,9,3,2,1,1,1,0,0,0,10,0,13,11,2,0,202,0,0,0,0,0,4,7,1,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,1,0,0
371,4416,434,0,8,24,33,0,24,3,0,1,2,0,0,12,15,0,0,0,0,0,0,0,1,4,0,21,13,2,0,234,0,0,1,0,1,0,7,3,0,0,4,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,4476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,4536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,4656,515,0,10,44,21,0,32,3,0,1,1,0,0,20,20,3,1,0,0,0,0,0,2,7,0,15,14,6,0,271,0,0,1,0,1,5,4,1,1,0,2,0,0,0,0,0,0,26,0,0,0,0,0,2,0,0,0,0,0,1,0,0
401,4776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,4897,396,0,12,29,14,0,15,6,0,0,0,1,0,20,14,0,0,0,0,0,0,0,2,4,0,19,14,4,0,213,0,2,0,0,1,7,2,3,0,1,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
