"sample.depths","sample.ages","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Picea.mariana.type","Pinus.undiff.","Quercus","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Acer.spicatum","Artemisia","Fraxinus.pennsylvanica.type","Larix","Tilia","Myrica.gale","Nemopanthus.mucronatus","Juglans.cinerea","Salix","Rubiaceae","Carya.ovata","Taxus","Asteraceae.subf..Asteroideae.undiff.","Rosaceae","Castanea.dentata","Ambrosia.type","Corylus.cornuta","Amaranthaceae","Populus.tremuloides.type","Populus.balsamifera.type","Thalictrum","Fabaceae","Viburnum.edule","Picea.glauca.type","Polygonaceae","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Shepherdia.canadensis","Caryophyllaceae","Ericaceae","Ranunculaceae.undiff.","Saxifragaceae","cf..Oxyria.digyna","Onagraceae"
190,8020,0,0.00198807157057654,0.0178926441351889,0.025844930417495,0.562624254473161,0.00198807157057654,0.00198807157057654,0.0099403578528827,0.0218687872763419,0.145129224652087,0.0278330019880716,0.0159045725646123,0,0.00198807157057654,0.0218687872763419,0,0.00596421471172962,0.0377733598409543,0,0.00795228628230616,0.025844930417495,0.00795228628230616,0.00596421471172962,0.00198807157057654,0.00198807157057654,0,0.00198807157057654,0,0,0,0,0,0.0178926441351889,0,0,0,0.00397614314115308,0.00397614314115308,0,0.0159045725646123,0.00198807157057654,0.00198807157057654,0,0,0,0,0,0,0,0,0,0,0,0,0
200,8384,0,0,0.0187110187110187,0.0540540540540541,0.517671517671518,0.00831600831600832,0,0.0145530145530146,0.0374220374220374,0.11018711018711,0.0228690228690229,0.0124740124740125,0,0.00623700623700624,0.0207900207900208,0,0.0103950103950104,0.0831600831600832,0,0.00207900207900208,0.0311850311850312,0,0.00415800415800416,0.00207900207900208,0.00207900207900208,0,0.00831600831600832,0,0,0.00207900207900208,0,0,0.00831600831600832,0,0,0,0.00207900207900208,0.00415800415800416,0,0.0145530145530146,0.00207900207900208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,8749,0,0,0.018348623853211,0.0802752293577982,0.626146788990826,0,0,0.00458715596330275,0.0160550458715596,0.091743119266055,0.0091743119266055,0.00458715596330275,0,0,0.0229357798165138,0,0.0091743119266055,0.0389908256880734,0,0,0.0229357798165138,0,0,0,0.00229357798165138,0,0.00688073394495413,0,0.00229357798165138,0,0,0.00229357798165138,0.00458715596330275,0,0,0,0.00229357798165138,0,0,0.0275229357798165,0,0.00229357798165138,0.00229357798165138,0.00229357798165138,0,0,0,0,0,0,0,0,0,0,0
220,9113,0,0.00131061598951507,0.00655307994757536,0.0878112712975098,0.589777195281782,0.00131061598951507,0.00262123197903014,0.00262123197903014,0.0144167758846658,0.123197903014417,0.0157273918741809,0.00524246395806029,0,0.00393184796854522,0.0327653997378768,0,0.0131061598951507,0.0327653997378768,0,0.00262123197903014,0.0235910878112713,0,0,0,0.00393184796854522,0,0.00393184796854522,0,0.00131061598951507,0.00524246395806029,0,0,0.00393184796854522,0,0,0,0,0.00131061598951507,0,0.0170380078636959,0.00262123197903014,0,0,0,0.00131061598951507,0,0,0,0,0,0,0,0,0,0
230,9477,0,0,0,0.15632183908046,0.494252873563218,0.00459770114942529,0,0.00459770114942529,0.0275862068965517,0.0942528735632184,0.0252873563218391,0.00919540229885057,0,0,0.032183908045977,0,0.00459770114942529,0.0413793103448276,0,0,0.0206896551724138,0.00229885057471264,0.00229885057471264,0.00229885057471264,0,0,0.00689655172413793,0,0,0.00229885057471264,0,0,0.00229885057471264,0,0,0,0.00459770114942529,0,0,0.0551724137931034,0.00689655172413793,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,9842,0,0,0.0360065466448445,0.549918166939444,0.20949263502455,0,0,0.0016366612111293,0.0114566284779051,0.055646481178396,0.0180032733224223,0.0016366612111293,0.0016366612111293,0,0.00327332242225859,0,0.00981996726677578,0.0130932896890344,0,0,0.0474631751227496,0,0.0016366612111293,0,0,0,0.00654664484451719,0,0,0.00654664484451719,0,0.0016366612111293,0,0,0,0,0.0016366612111293,0,0.0016366612111293,0.0212765957446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,10206,0,0,0.00328947368421053,0.611842105263158,0.120065789473684,0.00493421052631579,0,0,0.0575657894736842,0.0131578947368421,0.0148026315789474,0.00493421052631579,0,0,0,0,0.0213815789473684,0.00986842105263158,0,0.00328947368421053,0.0641447368421053,0,0.00657894736842105,0,0,0,0.0115131578947368,0,0,0.00164473684210526,0,0,0,0.00328947368421053,0.00164473684210526,0,0,0.00164473684210526,0.00328947368421053,0.0361842105263158,0.00328947368421053,0,0,0,0,0.00164473684210526,0,0,0,0,0,0,0,0,0
255,NA,0,0,0,0.210918114143921,0.337468982630273,0.00248138957816377,0,0,0.0893300248138958,0.064516129032258,0.0223325062034739,0.00248138957816377,0,0.00248138957816377,0.00496277915632754,0,0.0372208436724566,0.0297766749379653,0,0,0.106699751861042,0,0.0248138957816377,0,0,0,0.0272952853598015,0,0,0.00248138957816377,0,0,0,0.00248138957816377,0.00248138957816377,0.00248138957816377,0.00248138957816377,0.00496277915632754,0,0.0099255583126551,0,0,0,0,0.00496277915632754,0,0.00248138957816377,0.00248138957816377,0,0,0,0,0,0,0
260,NA,0,0,0.0032258064516129,0.0274193548387097,0.735483870967742,0.0241935483870968,0,0,0.0112903225806452,0.0112903225806452,0.0241935483870968,0.00483870967741936,0.00483870967741936,0.0112903225806452,0,0,0.0193548387096774,0.0274193548387097,0,0,0.00967741935483871,0,0.0112903225806452,0,0,0,0.0064516129032258,0,0,0.0370967741935484,0,0.00161290322580645,0,0,0,0,0.00161290322580645,0,0.00161290322580645,0.017741935483871,0.00483870967741936,0,0,0,0,0,0,0,0.0032258064516129,0,0,0,0,0,0
265,NA,0,0,0,0.0564971751412429,0.214689265536723,0.149717514124294,0,0.00282485875706215,0.0310734463276836,0.0508474576271186,0.0112994350282486,0.00282485875706215,0,0.101694915254237,0,0,0.0875706214689266,0.0225988700564972,0,0.0141242937853107,0.0141242937853107,0,0.0564971751412429,0,0,0,0,0,0,0.124293785310734,0,0,0,0.0169491525423729,0.00282485875706215,0,0.00564971751412429,0,0.00282485875706215,0.00282485875706215,0,0.00847457627118644,0.00282485875706215,0,0.00282485875706215,0,0,0,0,0.00282485875706215,0.00282485875706215,0.00847457627118644,0,0,0
270,NA,0,0,0.025830258302583,0.047970479704797,0.088560885608856,0.191881918819188,0,0,0.059040590405904,0.018450184501845,0.025830258302583,0.011070110701107,0.011070110701107,0.095940959409594,0,0,0.103321033210332,0.022140221402214,0,0,0.018450184501845,0,0.033210332103321,0,0,0,0,0,0,0.011070110701107,0,0,0,0.011070110701107,0,0,0.007380073800738,0,0.007380073800738,0,0,0.003690036900369,0.003690036900369,0,0,0,0.003690036900369,0,0,0.029520295202952,0,0,0.003690036900369,0.166051660516605,0
280,NA,0,0,0.0132075471698113,0.0358490566037736,0.0830188679245283,0.116981132075472,0,0,0.0943396226415094,0.0113207547169811,0.00754716981132075,0.00188679245283019,0,0.0886792452830189,0,0,0.124528301886792,0.0132075471698113,0,0.0113207547169811,0.0169811320754717,0,0.069811320754717,0,0,0,0.00188679245283019,0,0,0.0283018867924528,0,0,0,0.0264150943396226,0.00188679245283019,0,0.00943396226415094,0,0.00377358490566038,0,0,0,0.00188679245283019,0,0,0,0.00566037735849057,0,0,0.0150943396226415,0,0,0.00188679245283019,0.215094339622642,0
300,NA,0,0,0.0124223602484472,0.0062111801242236,0.0527950310559006,0.118012422360248,0,0.0062111801242236,0.108695652173913,0.015527950310559,0.0217391304347826,0.015527950310559,0.0031055900621118,0.142857142857143,0,0,0.260869565217391,0.0093167701863354,0,0.0031055900621118,0.0248447204968944,0,0.0341614906832298,0.0031055900621118,0,0,0,0,0,0.12111801242236,0,0,0,0.0124223602484472,0.0062111801242236,0,0.0031055900621118,0,0,0,0,0,0.0031055900621118,0,0,0,0.0062111801242236,0,0,0.0031055900621118,0,0,0.0031055900621118,0,0.0031055900621118
320,NA,0,0,0,0.0128205128205128,0.185897435897436,0.0512820512820513,0,0,0.102564102564103,0.0192307692307692,0.0256410256410256,0.0192307692307692,0,0.0448717948717949,0,0.00641025641025641,0.397435897435897,0,0,0,0.0512820512820513,0,0.0641025641025641,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,0,0.00641025641025641,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
