"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Corylus","Cupressaceae","Ephedra","Fagus","Fraxinus","Juglans","Larix","Liquidambar","Ostrya.Carpinus","Other.trees.and.shrubs","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhus","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia.Iva","Apiaceae","Artemisia","Asteraceae.undiff.","Brassicaceae","Cannabis.sativa","Caryophyllaceae","Chenopodiaceae.undiff.","Cyperaceae","Fabaceae","Humulus","Liliaceae","Other.herbs","Plantago","Poaceae","Polemoniaceae","Polygonaceae.undiff.","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Pediastrum","Brasenia.schreberi","cf..Utricularia","Isoëtes","Myriophyllum","Nuphar","Other.aquatics","Potamogeton","Sagittaria","Sparganium","Typha.latifolia","Spore..monolete.","Spore..trilete.","Unknown","pre.Quaternary..spore."
510,4885,0,1,0,6,12,1,0,0,0,4,2,0,0,3,0,0,0,2,17,2,0,197,0,2,0,2,0,8,0,13,0,7,4,0,0,0,3,11,0,0,0,1,0,20,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,3,0,1,0
520,4948,0,3,2,4,9,0,0,0,0,2,2,0,0,1,0,0,6,1,36,0,0,180,0,0,1,1,1,13,0,25,0,9,5,0,0,0,6,4,2,0,0,2,0,16,0,0,0,0,3,0,0,24,0,0,0,1,2,0,0,0,0,6,3,2,0,0
530,5011,0,0,3,1,4,3,0,0,1,2,1,0,0,5,1,2,0,2,29,1,0,169,0,2,0,1,0,10,0,21,3,7,1,0,0,0,3,7,1,1,0,3,0,41,0,0,1,0,0,0,0,6,0,0,0,0,1,0,3,0,0,2,3,1,3,0
540,5074,0,1,3,4,9,0,0,0,0,1,1,0,0,7,0,0,0,0,20,1,0,210,0,0,0,1,0,12,0,22,0,6,7,0,0,0,3,9,0,0,0,2,0,12,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,4,2,0,0
550,5137,0,3,2,2,4,1,0,0,0,5,1,0,0,5,1,0,0,0,20,3,0,176,0,1,0,1,0,12,0,16,0,3,5,0,0,0,2,10,0,0,1,0,0,33,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,5,0,0,0
560,5200,0,2,3,0,7,3,0,0,0,2,0,0,0,6,0,2,5,7,37,0,0,170,0,0,0,0,0,9,0,26,0,4,6,0,0,0,6,3,0,0,1,2,0,17,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0
570,5263,0,4,2,3,7,0,0,0,2,6,4,0,1,6,0,0,0,2,28,2,0,175,0,2,0,1,1,7,0,9,1,7,4,1,0,0,1,9,3,0,0,1,0,25,0,0,1,0,1,0,0,10,0,0,0,0,0,0,0,0,1,0,2,1,6,0
580,5326,0,2,2,6,9,1,1,0,0,3,1,0,0,6,0,1,0,1,24,2,0,212,0,2,0,1,0,10,0,12,0,3,4,1,0,0,1,7,0,0,0,1,0,13,0,0,0,0,1,0,0,8,0,0,0,0,2,0,0,0,0,2,2,2,1,0
590,5389,0,4,1,2,6,0,1,0,1,1,2,0,0,7,1,1,1,7,26,0,1,179,0,1,0,2,1,7,0,14,0,3,5,0,0,0,2,8,0,0,0,0,0,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0
600,5452,0,4,3,1,7,1,0,0,0,3,2,0,0,11,0,0,1,0,27,0,0,144,0,2,0,2,0,32,0,15,0,3,7,0,0,0,3,14,0,0,0,0,0,23,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,8,1,1,1,0
610,5515,0,0,3,2,4,3,0,0,0,2,1,0,0,6,1,0,0,0,12,0,0,222,0,1,0,0,0,6,0,14,0,4,0,0,0,0,2,8,0,0,0,1,0,15,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,2,0,0,0,0
620,5578,0,6,2,2,1,2,0,0,0,6,2,1,0,4,0,1,0,0,15,1,0,186,0,1,0,3,0,19,0,8,0,3,5,0,0,0,7,18,1,0,0,0,0,13,0,0,2,0,0,0,0,7,1,0,0,0,0,0,0,0,0,6,0,2,4,0
630,5641,0,1,5,2,5,0,0,0,0,2,2,0,0,4,1,1,0,0,29,1,0,188,0,0,1,0,0,6,0,25,0,4,6,0,0,0,3,6,0,0,0,2,0,10,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,1,0,1,0
650,5767,0,4,1,1,9,2,0,0,0,4,5,0,0,12,0,0,0,1,23,3,0,155,0,0,0,0,0,35,0,23,1,9,2,0,0,0,2,6,0,0,0,0,0,9,0,0,2,0,0,0,0,19,0,0,0,0,2,0,1,0,0,0,2,2,5,0
680,5956,0,4,3,5,7,2,0,0,0,1,7,0,0,4,1,0,0,0,21,1,0,161,0,3,0,2,0,37,0,24,0,12,6,1,0,0,5,11,0,0,0,2,0,26,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0
705,6113,0,3,1,0,8,0,1,0,1,0,2,0,0,5,0,0,3,8,32,0,0,155,0,0,1,2,0,44,0,18,0,2,3,0,0,0,5,3,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
710,6145,0,4,3,2,11,0,0,0,1,0,3,0,0,7,0,0,0,0,25,0,0,158,0,2,1,5,0,41,0,15,1,1,4,0,0,0,2,6,0,0,0,1,0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
720,6208,0,7,1,1,8,5,0,0,0,4,2,0,0,10,0,1,2,1,18,2,0,200,0,1,0,1,0,28,0,13,0,4,1,0,0,0,2,9,0,0,0,0,0,8,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,1,0,1,2,0
740,6334,0,1,0,1,6,3,0,0,0,0,5,0,0,17,0,0,2,1,29,2,0,133,0,0,0,8,0,46,0,30,0,6,3,1,0,0,3,4,0,0,0,1,0,8,0,0,0,0,2,0,0,15,0,0,0,0,0,0,1,0,0,1,4,0,1,0
760,6460,0,5,3,2,11,6,0,0,0,2,2,0,0,18,0,7,2,0,20,0,0,136,0,0,1,5,0,46,0,30,0,4,2,0,0,0,3,17,0,0,0,1,0,23,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0
770,6523,0,4,1,1,10,2,0,0,0,1,5,0,0,15,1,1,0,1,31,0,0,130,0,2,0,3,1,73,0,19,0,1,3,0,0,0,4,4,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,4,0
780,6586,0,1,3,7,9,2,0,0,0,5,4,0,0,14,0,3,0,0,19,1,0,168,0,1,0,2,0,40,0,16,0,6,1,0,0,0,4,1,0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,2,1,0
790,6649,0,1,1,9,21,3,0,0,1,0,5,0,0,7,1,4,0,0,12,0,0,118,0,2,0,7,0,52,0,26,0,1,9,0,0,0,3,6,0,0,1,2,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
800,6712,0,2,0,2,9,3,1,0,0,3,3,1,0,15,1,2,0,0,30,0,0,114,0,1,0,1,0,30,0,36,0,6,3,0,0,0,4,12,2,0,0,1,0,28,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,1,2,8,0
810,6775,0,4,0,3,12,3,0,0,0,6,1,0,0,11,0,2,0,1,18,0,0,157,0,0,0,1,0,34,0,33,0,6,5,0,0,0,4,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
830,6901,0,3,1,8,9,3,0,0,0,6,1,0,0,14,0,2,3,0,21,0,0,126,0,3,0,2,0,22,0,28,0,2,6,0,0,0,9,15,0,0,0,0,0,33,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,1,2,1,0
840,6964,0,2,3,4,4,3,0,0,0,4,6,0,0,13,0,1,0,1,34,0,0,132,2,0,1,4,0,36,0,31,0,6,5,0,0,0,3,6,0,0,0,0,0,12,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0
850,7027,1,4,1,4,4,1,1,0,0,3,2,1,0,15,1,6,0,0,21,1,0,128,0,2,0,0,1,35,0,24,0,7,9,0,0,0,5,8,1,0,0,1,0,16,0,1,3,2,0,0,0,24,0,0,0,0,0,0,5,0,0,0,1,1,3,0
860,7090,0,4,8,3,4,1,0,0,0,1,4,0,0,13,0,0,1,1,21,1,0,197,0,0,0,2,0,26,0,17,0,5,3,0,0,0,2,4,0,0,0,1,0,10,0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
870,7153,0,1,3,2,10,2,0,0,0,0,2,0,0,19,0,4,0,0,18,1,0,147,0,0,0,1,0,26,0,34,0,5,3,0,0,0,4,9,0,0,0,2,0,15,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0
880,7216,0,2,2,2,6,1,1,0,0,1,4,0,0,14,0,4,0,4,36,1,0,148,0,4,0,2,0,29,0,24,0,9,1,0,0,0,7,23,0,0,0,4,0,24,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,1,2,1,0,1,0
890,7279,0,2,1,0,4,4,2,0,0,4,2,0,0,14,0,1,0,1,25,0,0,133,0,1,0,2,0,31,0,34,0,8,3,1,0,0,9,12,0,0,0,1,0,27,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,1,1,0,0,0
900,7342,1,5,0,2,7,3,1,0,0,0,1,0,0,7,0,9,0,3,26,0,0,140,0,4,0,1,0,41,0,31,1,3,1,1,0,0,5,9,0,0,0,1,0,7,0,1,0,0,0,0,0,58,0,0,0,1,0,0,3,0,0,3,1,0,11,0
910,7405,0,1,1,0,5,1,0,0,0,4,2,0,0,12,0,3,2,6,42,0,0,142,0,1,0,5,0,28,0,27,0,4,1,0,0,0,2,12,0,0,0,0,0,29,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,1,2,2,1,0
920,7468,0,2,2,3,5,5,0,0,0,4,2,0,0,21,1,3,0,2,30,0,0,145,0,1,0,4,0,31,1,27,0,7,7,1,0,0,6,5,1,0,0,1,0,12,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,1,0,3,0,0
930,7531,0,3,1,3,5,2,0,0,0,1,3,0,0,5,1,8,1,3,31,1,0,138,0,0,0,5,0,33,0,35,0,7,7,0,0,0,0,6,0,0,0,1,1,27,0,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,1,0,0,1,0
940,7594,0,1,6,15,5,1,0,0,0,2,2,1,0,18,1,11,0,1,40,3,0,98,0,2,1,1,0,43,0,18,0,8,4,0,0,0,8,12,1,0,0,8,1,16,0,0,0,0,0,0,1,57,0,0,0,0,0,0,0,0,0,1,3,0,0,0
950,7657,0,7,0,6,9,3,2,0,0,6,3,1,0,6,1,14,1,4,51,0,0,100,0,3,0,0,1,36,0,14,0,4,5,2,0,0,2,17,2,0,0,1,0,17,0,0,0,0,0,1,0,65,1,0,0,0,1,0,0,0,0,2,8,6,3,0
960,7720,0,2,1,11,8,2,0,0,0,5,1,0,0,9,1,10,6,13,55,1,0,108,0,1,0,0,0,27,0,15,0,4,3,0,0,0,5,8,0,0,0,1,0,32,0,0,0,0,0,0,1,17,0,0,0,0,2,0,0,0,0,2,3,3,0,0
970,7783,0,1,2,8,3,3,0,0,0,3,2,0,0,7,0,11,3,0,57,1,0,120,0,2,0,3,0,30,0,27,1,10,0,0,0,0,9,10,1,0,0,1,0,14,0,1,0,1,0,0,1,28,0,0,0,0,0,0,0,0,1,2,10,1,0,0
980,7846,0,4,1,4,7,6,0,0,0,11,2,3,0,13,0,14,0,3,42,0,0,89,0,2,0,2,0,32,1,21,0,8,2,1,0,0,2,20,0,0,0,1,0,12,0,1,2,1,0,3,0,123,0,0,0,0,0,0,0,0,1,2,6,7,1,0
990,7909,0,3,1,10,8,2,0,0,0,6,8,0,0,11,0,4,4,3,55,0,0,134,0,1,0,3,0,27,0,19,0,7,3,1,0,0,9,15,0,0,0,1,0,13,0,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1,2,4,8,0
1000,8930,2,1,0,7,6,5,0,0,0,7,0,4,0,3,1,4,0,1,38,0,0,163,0,2,0,5,0,49,0,22,1,3,4,0,0,0,4,8,1,0,0,3,0,17,0,1,1,0,0,1,0,31,0,0,1,0,0,0,0,0,2,1,4,3,2,0
1010,8957,0,3,1,2,7,1,0,0,0,2,4,0,0,5,0,2,0,0,25,0,0,151,0,3,0,0,0,25,0,35,0,3,0,1,0,0,6,3,0,1,0,0,0,15,0,0,0,1,0,2,0,60,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1020,8984,0,0,0,3,11,0,0,0,0,1,4,0,0,10,0,0,1,3,35,1,0,141,0,4,0,2,0,32,0,31,2,2,4,0,0,0,5,2,0,0,0,0,0,15,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,1,0,0,0
1030,9010,0,5,0,3,9,1,0,0,0,4,0,0,0,11,0,0,2,3,33,0,0,151,0,2,0,4,0,32,0,15,0,6,2,0,0,0,4,4,0,0,0,1,0,15,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1040,9037,1,0,1,8,6,1,0,0,0,7,1,0,0,14,0,7,0,0,39,1,0,155,0,1,0,3,0,30,0,34,0,0,3,1,0,0,3,8,0,0,0,0,0,20,0,0,0,0,0,0,0,48,0,0,0,0,1,0,0,0,0,1,5,0,0,0
