"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Urtica.type","Corylus.cornuta","Fagus","Ranunculaceae.undiff.","Sambucus","Sedum","Thalictrum","Onagraceae","Carya.ovata","Tsuga.canadensis","Salix.undiff.","Acer.rubrum","Asteraceae.subf..Asteroideae.undiff.","Castanea.dentata","Abies","Taxus","Ostrya.Carpinus","Potentilla.palustris.type","Abies.balsamea","Acer.saccharum","Populus.balsamifera.type","Rubus.chamaemorus","cf..Diapensia.lapponica","Rubiaceae","Dalea","Juglans.cinerea","Shepherdia.canadensis","Caryophyllaceae","Viburnum","Salix.herbacea.type","Salix.vestita.type","Polygonum.viviparum","Saxifraga.stellaris.type","Rhamnus.alnifolia.R..frangula","Fabaceae.undiff.","Acer.saccharinum"
125,3984,0.0285359801488834,0.409429280397022,0,0.00496277915632754,0.230769230769231,0.00620347394540943,0.00620347394540943,0.00124069478908189,0,0.00372208436724566,0.011166253101737,0.15136476426799,0.011166253101737,0.00248138957816377,0.00248138957816377,0.00124069478908189,0,0.00248138957816377,0.00124069478908189,0.00372208436724566,0.0148883374689826,0.0161290322580645,0.00496277915632754,0.00496277915632754,0.0769230769230769,0,0.00124069478908189,0,0,0,0,0,0,0,0,0.00248138957816377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,4367,0.0509554140127389,0.420382165605096,0.00212314225053079,0.00424628450106157,0.142250530785563,0.0106157112526539,0.0127388535031847,0,0.00212314225053079,0.00212314225053079,0.00636942675159236,0.154989384288747,0.0106157112526539,0.0127388535031847,0.00212314225053079,0,0,0.00212314225053079,0.00212314225053079,0.0148619957537155,0.0148619957537155,0.0212314225053079,0.00636942675159236,0.00424628450106157,0.0849256900212314,0,0.00212314225053079,0,0,0.00212314225053079,0,0,0,0,0,0.00424628450106157,0,0.00212314225053079,0,0,0.00212314225053079,0,0,0.00212314225053079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4781,0.0256410256410256,0.318910256410256,0,0.0016025641025641,0.208333333333333,0.00641025641025641,0.00480769230769231,0,0,0,0.00641025641025641,0.243589743589744,0.00961538461538462,0.0016025641025641,0.0016025641025641,0,0,0.00801282051282051,0,0,0.00801282051282051,0.00641025641025641,0,0.00320512820512821,0.121794871794872,0,0.0016025641025641,0,0,0,0,0,0.0016025641025641,0,0,0.0016025641025641,0,0.00320512820512821,0,0,0,0,0.0016025641025641,0.0144230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,5164,0.00749625187406297,0.359820089955023,0,0,0.254872563718141,0.0119940029985007,0.00599700149925037,0.00299850074962519,0.00149925037481259,0.00599700149925037,0,0.241379310344828,0.00149925037481259,0.00299850074962519,0.00149925037481259,0.00299850074962519,0,0.00299850074962519,0.00149925037481259,0.00449775112443778,0.00599700149925037,0.0254872563718141,0.00599700149925037,0.00149925037481259,0.0434782608695652,0,0,0.00149925037481259,0,0,0,0,0,0,0,0.00149925037481259,0,0.00299850074962519,0,0,0,0,0,0,0,0,0.00149925037481259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,5578,0,0.384873949579832,0.00336134453781513,0.00672268907563025,0.245378151260504,0.00168067226890756,0.00168067226890756,0.00336134453781513,0,0.0100840336134454,0.00336134453781513,0.194957983193277,0.00672268907563025,0.00672268907563025,0.00336134453781513,0.00168067226890756,0,0.00504201680672269,0,0.00336134453781513,0.00672268907563025,0.0134453781512605,0.00840336134453781,0.00336134453781513,0.0789915966386555,0,0.00168067226890756,0,0,0,0,0,0,0,0,0.00168067226890756,0.00168067226890756,0,0,0,0.00168067226890756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,5961,0,0.444983818770227,0,0.00485436893203883,0.189320388349515,0.0194174757281553,0,0.00161812297734628,0,0,0,0.231391585760518,0.00161812297734628,0.00970873786407767,0.00161812297734628,0,0,0.00323624595469256,0,0.00647249190938511,0.00161812297734628,0.0210355987055016,0,0.00161812297734628,0.0469255663430421,0,0,0,0,0,0,0,0.00323624595469256,0,0,0.00323624595469256,0,0.00323624595469256,0,0,0,0,0,0,0.00161812297734628,0,0,0.00161812297734628,0.00161812297734628,0,0,0,0,0,0,0,0,0,0,0,0
200,6375,0.00685871056241427,0.56241426611797,0.00137174211248285,0.00411522633744856,0.170096021947874,0.00960219478737997,0.00137174211248285,0,0,0.00137174211248285,0.00548696844993141,0.11522633744856,0.00411522633744856,0.0109739368998628,0.00548696844993141,0,0,0.00411522633744856,0,0.00411522633744856,0.0109739368998628,0.00823045267489712,0.00823045267489712,0,0.0576131687242798,0,0.00411522633744856,0,0,0,0,0,0,0,0,0.00274348422496571,0,0.00137174211248285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,6598,0.00194931773879142,0.421052631578947,0.00389863547758285,0.0155945419103314,0.130604288499025,0.00974658869395711,0.00974658869395711,0,0,0.00779727095516569,0.00584795321637427,0.0994152046783626,0.00389863547758285,0.050682261208577,0,0.00194931773879142,0,0.00974658869395711,0.00389863547758285,0.0116959064327485,0.0721247563352826,0.00779727095516569,0.00779727095516569,0.00779727095516569,0.0799220272904483,0,0.00389863547758285,0,0,0.00194931773879142,0,0,0,0,0,0.0194931773879142,0,0,0,0,0,0.00584795321637427,0,0,0,0.00389863547758285,0,0,0,0.00194931773879142,0,0,0,0,0,0,0,0,0,0,0
217,6917,0,0.243992606284658,0.00369685767097967,0.00924214417744917,0.0942698706099815,0.0184842883548983,0.00369685767097967,0,0,0.00924214417744917,0,0.0794824399260629,0.00369685767097967,0.194085027726433,0.00184842883548983,0,0,0.129390018484288,0,0.0055452865064695,0.140480591497227,0.0277264325323475,0,0,0.00739371534195933,0,0,0,0,0,0,0,0,0,0,0.0166358595194085,0,0.00369685767097967,0,0,0,0,0,0,0,0,0,0,0,0,0.00184842883548983,0.0055452865064695,0,0,0,0,0,0,0,0,0
225,7172,0.00718132854578097,0.166965888689408,0.00538599640933573,0.00718132854578097,0.10951526032316,0.0610412926391382,0.00897666068222621,0.00179533213644524,0,0.00718132854578097,0,0.0448833034111311,0.00897666068222621,0.138240574506284,0.00359066427289048,0,0,0.14721723518851,0,0.0143626570915619,0.172351885098743,0.0269299820466786,0.0107719928186715,0,0.0179533213644524,0,0,0,0.00179533213644524,0,0,0,0,0,0,0.0107719928186715,0,0.00179533213644524,0,0,0,0,0,0,0,0.00718132854578097,0,0,0,0,0,0.0179533213644524,0,0,0,0,0,0,0,0,0
