"sample.depths","sample.ages","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Abies","Ostrya.Carpinus","Carya","Castanea","Cephalanthus","Chenopodiaceae.Amaranthaceae","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Cyperaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae.undiff.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Larix","Fabaceae","Impatiens","Ericaceae","Morus","Myrica","Parnassia","Potentilla","Nyssa","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.lapathifolium","Populus","Pinaceae.undiff.","Quercus","Rosaceae.undiff.","Rumex","Rhamnus","Salix","Juniperus.Thuja","Tilia","Tsuga","Ulmus","Apiaceae","Verbena","Viburnum","Vitis","Caryophyllaceae","Cerealia","Brassicaceae","Urticaceae"
243,3553,0.00214592274678112,0.00214592274678112,0.0772532188841202,0.0128755364806867,0.00429184549356223,0.00214592274678112,0.036480686695279,0,0.0171673819742489,0.0171673819742489,0,0,0.00214592274678112,0,0,0,0.313304721030043,0.0536480686695279,0,0.00643776824034335,0,0,0.00214592274678112,0,0.00214592274678112,0,0,0,0,0,0,0,0,0.00429184549356223,0,0.0321888412017167,0.167381974248927,0,0.00214592274678112,0,0,0,0.0879828326180258,0,0,0,0,0.0536480686695279,0.0171673819742489,0.0407725321888412,0.0429184549356223,0,0,0,0,0,0,0,0
260,3781,0.00208333333333333,0,0.0666666666666667,0.00416666666666667,0.00625,0.00208333333333333,0.0333333333333333,0,0.0166666666666667,0.00416666666666667,0,0,0,0,0.00416666666666667,0,0.35625,0.025,0.00416666666666667,0.00833333333333333,0,0,0,0,0.00833333333333333,0,0,0,0,0.00416666666666667,0.00625,0,0,0.00208333333333333,0,0.0416666666666667,0.141666666666667,0,0.0125,0,0,0,0.0333333333333333,0,0,0,0,0.154166666666667,0,0.01875,0.04375,0,0,0,0,0,0,0,0
270,3915,0.00714285714285714,0,0.107142857142857,0,0.0178571428571429,0,0.0535714285714286,0,0.0107142857142857,0.0107142857142857,0,0.00357142857142857,0,0,0.0107142857142857,0.00357142857142857,0.128571428571429,0.0571428571428571,0.00714285714285714,0.00357142857142857,0.00714285714285714,0,0,0,0.00714285714285714,0,0,0.00357142857142857,0,0,0.00357142857142857,0,0,0.0142857142857143,0,0.025,0.235714285714286,0,0.0107142857142857,0,0,0,0.1,0,0,0,0.00714285714285714,0.0642857142857143,0.0178571428571429,0.0357142857142857,0.0321428571428571,0.00357142857142857,0,0.00357142857142857,0.00714285714285714,0,0,0,0
280,4210,0.00302114803625378,0,0.102719033232628,0,0.00906344410876133,0.00302114803625378,0.0332326283987915,0,0.00604229607250755,0.00906344410876133,0,0,0,0,0.00906344410876133,0,0.0151057401812689,0.0120845921450151,0,0.00604229607250755,0.00906344410876133,0,0,0,0.0483383685800604,0,0,0.00302114803625378,0,0,0,0,0,0.00302114803625378,0,0.00906344410876133,0.211480362537764,0,0.00302114803625378,0,0,0,0.00906344410876133,0,0,0,0.00604229607250755,0.350453172205438,0.0392749244712991,0.00906344410876133,0.0906344410876133,0,0,0,0,0,0,0,0
305,4949,0,0,0.0678466076696165,0.0088495575221239,0.023598820058997,0.00589970501474926,0.0383480825958702,0,0.00294985250737463,0.0353982300884956,0,0,0,0,0.00589970501474926,0,0.00294985250737463,0.0088495575221239,0,0.0088495575221239,0.00589970501474926,0,0.00589970501474926,0,0.00589970501474926,0,0,0,0,0,0,0,0,0.00294985250737463,0,0.0088495575221239,0.418879056047198,0,0.0147492625368732,0,0,0,0.0147492625368732,0,0,0,0,0.088495575221239,0.0147492625368732,0.0324483775811209,0.176991150442478,0,0,0,0,0,0,0,0
325,5540,0.00301204819277108,0,0.102409638554217,0.00903614457831325,0.0451807228915663,0,0.0421686746987952,0,0,0.0150602409638554,0,0,0.00903614457831325,0,0,0,0,0.00903614457831325,0,0.00301204819277108,0,0,0,0,0.0240963855421687,0,0,0,0,0,0,0,0,0,0,0,0.162650602409639,0,0,0,0,0,0.00301204819277108,0,0,0,0.00301204819277108,0.385542168674699,0.0331325301204819,0.0210843373493976,0.129518072289157,0,0,0,0,0,0,0,0
350,6279,0.00657894736842105,0.00328947368421053,0.0756578947368421,0.00328947368421053,0.0131578947368421,0,0.00657894736842105,0,0.00328947368421053,0.00657894736842105,0,0,0,0,0.00986842105263158,0,0.00328947368421053,0.0230263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0.0131578947368421,0,0,0,0.0328947368421053,0,0,0,0,0.447368421052632,0.0296052631578947,0.0230263157894737,0.111842105263158,0,0,0,0,0,0,0,0
370,7196,0,0,0.0305343511450382,0.00508905852417303,0,0,0.0101781170483461,0,0.00763358778625954,0,0,0,0.00508905852417303,0,0,0,0,0.00763358778625954,0,0,0,0,0,0,0.00254452926208651,0,0,0,0,0,0,0,0,0,0,0,0.127226463104326,0,0.00254452926208651,0,0,0,0.0101781170483461,0,0,0,0,0.681933842239186,0.0203562340966921,0.0254452926208651,0.0636132315521628,0,0,0,0,0,0,0,0
385,7927,0.00238663484486874,0,0.0214797136038186,0.00238663484486874,0.00477326968973747,0,0.0119331742243437,0,0.00238663484486874,0,0,0,0,0,0.0071599045346062,0,0,0,0,0,0.00238663484486874,0,0,0,0.0071599045346062,0,0,0,0,0,0,0,0,0,0,0.00238663484486874,0.0954653937947494,0,0.00954653937947494,0,0,0,0.00477326968973747,0,0,0,0,0.756563245823389,0.0071599045346062,0.0214797136038186,0.0405727923627685,0,0,0,0,0,0,0,0
405,8902,0.0033112582781457,0,0.0728476821192053,0.0033112582781457,0.0231788079470199,0.00662251655629139,0.0298013245033113,0,0.00993377483443709,0,0,0,0.00993377483443709,0,0.00993377483443709,0,0,0,0,0.00662251655629139,0,0,0,0,0.076158940397351,0,0,0,0,0,0,0,0,0.00662251655629139,0,0.00662251655629139,0.56953642384106,0,0.0033112582781457,0,0,0,0.0165562913907285,0,0,0,0,0.0033112582781457,0.0198675496688742,0.0529801324503311,0.0695364238410596,0,0,0,0,0,0,0,0
430,10120,0,0,0.0118694362017804,0,0,0.0029673590504451,0.0178041543026706,0,0,0,0,0,0.0029673590504451,0,0.0029673590504451,0,0,0,0,0,0.00890207715133531,0,0,0,0.0267062314540059,0,0,0.00593471810089021,0,0,0,0,0,0.0029673590504451,0,0.00593471810089021,0.700296735905044,0,0,0,0,0,0.0682492581602374,0.0029673590504451,0,0,0.00593471810089021,0.0979228486646884,0,0.0207715133531157,0.0148367952522255,0,0,0,0,0,0,0,0
440,10713,0.00286532951289398,0,0.00573065902578797,0,0.00573065902578797,0.00286532951289398,0.0286532951289398,0,0.0229226361031519,0,0,0,0,0,0,0.00286532951289398,0.00573065902578797,0,0,0,0.0143266475644699,0,0.00573065902578797,0,0.00573065902578797,0,0,0,0,0,0,0,0,0.0171919770773639,0,0.0487106017191977,0.667621776504298,0,0.00573065902578797,0,0,0.0143266475644699,0.108882521489971,0,0,0,0,0.00286532951289398,0,0,0.0315186246418338,0,0,0,0,0,0,0,0
470,11544,0.00392156862745098,0,0.00784313725490196,0,0,0,0.0117647058823529,0.0392156862745098,0,0.00392156862745098,0,0,0,0,0,0.00784313725490196,0,0,0,0,0.00392156862745098,0,0.00392156862745098,0,0.0980392156862745,0,0,0.00392156862745098,0,0,0,0,0,0.133333333333333,0.0705882352941176,0.00784313725490196,0.525490196078431,0,0,0,0,0.0509803921568627,0.00784313725490196,0,0,0,0,0,0,0,0.0196078431372549,0,0,0,0,0,0,0,0
490,12099,0,0,0.00634920634920635,0.00317460317460317,0.00317460317460317,0,0.00634920634920635,0.0761904761904762,0.0126984126984127,0,0,0,0,0,0.00634920634920635,0,0.00634920634920635,0,0,0.00952380952380952,0.00317460317460317,0,0,0,0.0412698412698413,0,0,0,0,0,0,0,0,0.336507936507937,0.0666666666666667,0.0603174603174603,0.285714285714286,0,0.00317460317460317,0,0.00317460317460317,0,0.0444444444444444,0,0,0,0.00634920634920635,0,0,0,0.019047619047619,0,0,0,0,0,0,0,0
518,NA,0,0,0,0.00421940928270042,0.0210970464135021,0.00421940928270042,0.00421940928270042,0.00421940928270042,0,0,0,0.00421940928270042,0,0.00421940928270042,0,0.122362869198312,0,0,0.00421940928270042,0.0253164556962025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658227848101266,0.00843881856540084,0,0.135021097046413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,NA,0,0,0,0.00324675324675325,0.012987012987013,0.00324675324675325,0,0,0,0,0,0,0,0,0,0,0.204545454545455,0,0,0,0.025974025974026,0,0,0,0,0,0,0,0,0,0,0,0,0.574675324675325,0,0,0.116883116883117,0,0,0,0.00324675324675325,0.0551948051948052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
