"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Aquatics.undiff.","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Caltha","Cannabaceae","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryas.type","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Herbs.undiff.","Indeterminable","Isoëtes","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Plantago","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Vitis","Woodsia"
100,1880,4,1,0,2,0,9,1,0,1,0,0,0,0,109,0,0,0,0,0,0,0,7,15,5,0,0,0,8,3,3,0,0,0,3,0,0,0,0,2,0,1,0,5,1,1,0,0,0,5,12,59,187,0,0,6,0,4,0,5,14,0,0,0,0,0,0,0,3,0,0,5,3,5,0,0,0,0
110,2075,3,1,1,3,0,9,4,1,3,0,0,2,2,104,0,0,0,0,0,0,0,2,30,10,0,0,0,0,5,2,3,0,0,1,0,0,1,0,2,0,4,0,6,0,0,0,0,0,4,13,74,187,0,2,4,2,3,0,2,22,0,0,0,0,2,0,0,4,0,0,3,0,14,0,0,0,0
120,2272,3,0,0,0,5,14,9,1,1,0,0,5,0,93,0,0,0,0,0,0,1,0,14,10,0,1,0,4,3,1,1,0,0,9,0,0,0,0,3,0,1,0,5,3,0,1,0,0,5,17,75,145,0,2,5,0,4,0,4,20,0,1,0,2,3,0,0,3,0,0,4,1,8,2,0,1,0
130,2471,2,0,0,2,0,8,3,0,0,0,0,0,0,107,1,0,0,0,0,0,0,1,26,5,0,0,0,0,3,1,1,0,0,0,0,0,0,0,2,0,1,0,6,0,0,0,0,0,9,15,46,181,0,1,9,0,5,0,6,16,0,0,0,0,0,0,0,4,0,0,3,1,7,0,0,0,0
140,2672,4,0,0,0,1,11,5,0,1,0,0,2,0,93,0,0,0,3,0,0,0,7,7,4,0,0,0,0,2,3,1,0,0,0,0,0,1,0,2,0,0,1,9,3,1,0,0,0,6,6,52,220,0,1,6,0,6,0,3,23,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0
147,2814,2,0,0,2,0,7,4,1,0,0,0,1,1,95,0,0,0,1,0,0,0,1,11,8,0,0,0,8,3,1,2,1,0,2,0,0,0,0,1,0,1,0,11,0,1,0,0,0,3,8,38,169,0,0,3,0,2,1,2,19,0,0,0,1,0,0,0,8,0,0,3,3,2,0,0,0,0
160,3081,1,0,0,0,2,7,13,2,1,0,0,2,1,98,0,0,0,1,0,0,0,0,20,7,0,0,0,0,2,2,1,0,0,3,0,0,0,0,1,0,2,0,7,0,2,1,0,0,1,10,88,158,1,3,5,0,1,0,2,16,0,0,0,0,0,0,0,1,0,0,1,2,2,2,0,0,0
170,3290,1,1,0,1,0,12,4,0,0,0,0,3,0,79,0,0,0,1,0,0,1,1,13,9,0,0,0,4,2,3,0,0,0,1,0,0,0,0,1,0,2,0,10,0,0,0,0,0,5,7,28,222,0,0,1,0,3,0,3,12,0,0,0,0,1,0,0,2,0,0,1,0,6,1,0,1,0
180,3501,1,0,0,0,5,16,4,0,2,0,0,4,0,153,0,0,0,0,0,0,2,4,25,2,0,1,0,4,5,5,3,0,0,0,2,0,0,0,2,0,3,0,5,1,0,0,0,0,5,13,60,206,0,2,5,2,16,0,1,35,0,0,0,0,0,0,0,0,0,1,4,0,15,0,0,0,0
190,3715,2,1,1,2,0,7,7,0,0,0,0,0,0,104,0,0,0,0,0,0,0,2,45,4,0,0,0,0,6,5,1,0,0,2,0,0,0,0,1,0,3,0,6,1,0,0,0,0,3,17,74,255,0,1,2,0,3,0,1,19,0,0,0,0,1,0,0,2,0,0,0,1,12,1,0,0,0
200,3933,4,0,0,0,3,13,13,0,3,0,1,2,2,83,1,0,0,0,0,0,0,3,26,3,0,0,0,0,4,2,4,1,0,4,0,0,2,0,1,0,3,1,2,5,0,1,0,0,4,11,88,187,0,3,6,0,2,0,7,21,0,1,0,0,3,1,0,4,0,0,1,0,11,0,1,0,0
210,4153,3,1,0,1,0,6,7,0,2,0,0,1,0,81,0,0,0,0,0,0,0,3,41,5,0,0,0,0,6,4,4,0,0,1,0,0,1,0,1,0,2,0,11,0,0,0,0,0,4,5,39,210,0,2,5,0,6,0,7,18,0,2,0,0,1,0,0,2,0,0,3,1,6,1,0,0,0
220,4378,1,0,0,0,3,8,9,1,6,1,0,3,0,102,0,0,0,1,0,0,0,3,14,2,0,2,0,0,2,5,4,0,0,0,0,0,2,0,0,0,2,0,6,1,1,4,0,0,7,3,87,287,0,2,2,1,5,0,5,28,0,0,0,1,3,0,0,0,0,0,3,1,7,1,0,0,0
230,4605,1,3,0,2,0,10,3,0,1,0,0,1,0,55,1,0,0,0,0,0,0,2,30,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,4,0,1,0,9,0,1,2,0,0,4,8,59,255,0,1,1,0,3,0,6,23,1,0,0,0,1,0,0,2,0,0,1,0,6,0,0,0,0
240,4837,5,0,0,0,2,6,10,2,0,0,0,3,3,92,0,0,0,2,0,0,0,0,51,4,0,0,0,0,2,0,0,1,0,7,0,0,0,0,3,0,3,0,2,1,0,2,0,0,3,3,95,250,0,2,3,0,3,0,4,18,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0
250,5072,1,1,0,3,0,18,10,2,1,0,0,1,0,65,0,0,0,0,0,0,0,1,33,4,0,1,0,4,0,1,0,1,0,2,0,0,0,1,3,0,2,0,5,0,0,2,0,0,8,4,34,229,0,1,6,1,5,0,9,12,0,1,0,0,0,0,0,0,0,1,2,4,10,0,0,1,0
260,5310,4,0,0,0,3,12,7,0,5,0,0,3,1,64,0,0,0,1,0,0,2,4,30,5,0,0,1,4,2,9,1,0,0,1,0,0,0,0,3,0,1,0,2,0,0,8,0,0,4,6,78,302,0,3,11,1,5,0,5,16,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0
270,5551,1,1,0,3,0,11,10,2,1,0,0,2,0,64,0,0,0,1,0,0,0,1,39,2,0,0,0,0,1,5,0,0,0,2,0,1,0,0,1,0,0,0,8,0,0,3,0,0,3,4,113,247,1,1,4,1,10,0,8,19,0,0,0,0,1,1,0,2,0,0,3,0,5,0,0,0,0
280,5794,7,0,0,0,2,22,40,2,2,0,0,1,0,67,1,0,0,0,0,0,0,5,24,3,0,2,0,0,2,0,1,0,0,2,0,0,1,0,2,0,1,0,6,3,0,4,0,0,11,7,133,154,0,3,2,0,5,1,14,16,0,0,0,0,4,0,0,0,0,0,4,0,3,1,0,0,0
290,6040,6,1,0,2,0,13,8,0,2,0,0,1,1,86,0,0,0,1,0,0,0,1,38,4,0,2,0,4,3,1,3,0,0,2,0,0,0,0,3,0,1,0,7,1,0,6,0,0,7,6,153,313,0,2,4,0,11,1,10,27,0,0,0,0,0,0,0,2,0,0,3,1,10,0,0,0,0
300,6289,0,0,0,0,3,10,11,1,8,0,0,2,1,75,0,0,0,1,0,0,1,5,34,2,0,0,0,0,3,3,0,0,0,1,0,1,0,0,3,0,0,0,4,0,0,2,0,0,8,3,78,240,0,1,0,1,1,0,2,21,0,0,0,3,2,1,1,0,0,0,0,0,6,0,0,0,0
310,6540,1,0,0,1,0,12,21,11,6,0,0,1,0,63,0,0,0,1,1,0,0,4,59,9,0,0,0,4,14,2,3,1,0,3,0,0,0,1,0,0,1,0,6,1,0,3,0,0,3,4,124,206,0,5,2,0,6,0,10,29,0,0,0,0,1,1,0,1,0,0,7,0,12,0,0,0,0
320,6792,2,0,0,0,5,7,21,3,3,0,0,0,1,33,0,0,0,0,0,0,0,0,27,3,0,1,0,4,1,7,2,0,0,5,0,0,0,0,1,0,1,1,1,0,0,5,0,0,5,5,145,145,0,3,11,0,2,0,13,16,0,1,0,0,5,0,0,0,0,0,0,1,9,0,0,0,0
330,7047,0,0,0,2,0,10,48,1,3,0,0,8,1,52,1,0,0,0,0,0,1,1,7,4,0,1,0,0,3,2,1,0,0,3,0,0,0,0,1,0,2,0,7,0,2,1,0,0,5,7,144,263,0,5,4,0,2,0,21,15,0,0,0,1,1,0,0,1,0,0,5,2,13,0,0,0,0
340,7302,3,0,0,0,7,11,8,4,3,0,0,1,1,48,0,1,0,0,0,0,0,5,11,3,0,0,0,0,5,4,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,5,0,0,3,2,137,192,0,4,4,1,3,0,3,15,0,0,0,0,0,0,0,0,0,0,2,0,13,1,0,0,0
350,7559,1,1,0,1,0,2,24,1,3,0,0,6,2,59,0,0,0,1,0,0,0,3,14,8,0,1,0,0,7,2,2,0,0,0,0,0,0,0,3,0,1,0,9,0,0,0,0,0,5,5,154,275,0,7,3,1,7,0,26,29,1,0,0,0,0,0,0,1,0,0,1,4,18,0,0,0,0
360,7818,0,0,0,0,1,2,18,1,2,0,0,0,1,33,0,0,0,0,0,0,0,0,11,6,0,5,0,0,1,3,4,0,0,7,0,0,0,0,1,0,1,0,3,0,0,4,0,0,9,2,175,133,0,3,7,1,4,2,8,15,0,0,0,0,1,0,0,1,0,0,2,3,19,1,0,0,0
370,8076,1,0,0,4,0,4,50,3,9,0,0,2,1,69,0,0,0,2,0,1,0,1,7,6,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,5,0,0,11,1,233,169,0,10,8,3,10,0,20,24,0,0,0,0,4,0,0,0,0,0,2,1,11,0,0,0,0
380,8336,1,0,0,0,3,21,52,0,5,0,0,2,0,65,0,0,0,0,0,0,0,4,8,8,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,3,186,151,0,2,3,1,5,0,10,19,0,0,0,0,2,0,0,0,0,0,0,5,4,1,0,0,0
390,8596,7,0,0,0,2,4,21,1,4,0,0,3,5,111,0,0,0,1,0,0,0,1,32,8,0,0,0,0,1,3,3,0,0,1,0,0,0,0,2,0,1,0,7,0,0,2,0,0,7,8,267,88,0,3,10,0,10,1,15,34,0,0,0,0,0,0,0,2,0,0,1,0,14,1,0,0,0
400,8855,7,0,0,0,4,2,74,5,4,0,0,5,2,72,0,0,0,0,0,0,1,0,23,3,0,2,0,0,0,13,1,0,0,8,0,0,0,0,8,0,0,0,9,0,0,1,0,0,12,5,177,41,0,2,7,0,14,0,28,19,0,0,0,0,8,0,0,0,0,0,0,4,16,1,0,0,0
410,9112,6,1,0,2,0,1,57,2,3,0,0,3,1,80,1,0,0,0,0,0,0,0,16,3,0,0,0,0,0,3,1,0,0,2,0,0,0,1,4,0,2,0,10,1,1,0,0,0,4,9,261,21,0,0,5,0,12,0,7,9,0,0,0,1,1,1,0,0,1,0,1,0,8,0,0,0,0
420,9363,7,0,0,0,0,5,35,3,4,0,0,0,0,95,0,0,0,1,0,0,0,6,7,6,0,0,1,4,0,0,0,0,0,0,0,0,0,0,6,0,1,0,2,1,0,1,0,0,6,8,226,13,0,1,1,0,2,0,1,25,0,0,0,0,3,0,0,0,0,0,0,0,6,2,0,0,0
430,9608,7,0,1,1,0,2,30,2,4,0,0,5,0,93,1,0,0,1,0,0,0,0,12,6,0,0,1,0,0,3,2,0,0,1,0,0,1,0,1,0,0,0,16,0,1,0,0,0,3,13,287,12,0,1,1,1,10,1,8,20,0,0,0,0,3,0,0,1,0,0,0,0,5,2,0,0,0
440,9843,3,0,0,0,0,3,48,1,2,0,0,4,1,55,0,0,0,0,0,0,0,1,14,6,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,6,0,1,0,0,0,11,5,210,5,0,6,5,0,10,1,3,25,0,0,0,0,3,0,1,0,0,0,0,4,7,0,0,0,0
450,10067,6,0,0,1,0,1,28,2,3,0,0,2,4,60,4,0,0,0,0,0,1,2,10,6,0,0,0,0,0,4,2,0,0,4,0,0,0,0,1,0,2,0,14,0,1,1,0,0,3,15,242,12,0,3,5,0,10,1,8,21,0,0,0,0,0,0,0,1,0,0,1,0,5,1,0,0,0
460,10277,0,0,0,0,0,2,18,3,4,0,0,3,0,66,0,0,0,1,0,0,0,3,10,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,12,1,2,0,0,0,4,4,246,13,0,2,8,1,1,0,4,15,0,0,0,0,3,0,0,0,0,0,0,1,9,3,0,0,0
470,10472,10,0,0,0,0,2,2,3,3,0,0,8,7,44,2,0,0,0,0,0,0,0,17,9,0,0,0,0,0,1,0,0,0,3,0,0,1,0,4,0,0,0,28,1,0,0,0,0,5,35,273,3,0,4,9,0,10,0,3,15,0,0,0,1,4,0,1,0,0,0,0,13,4,0,0,0,1
480,10654,0,0,0,0,2,1,2,1,0,0,0,7,5,75,0,0,0,0,0,0,0,0,11,7,0,1,0,0,0,4,3,0,0,6,0,0,1,1,4,0,1,0,32,1,1,0,0,1,9,32,189,3,0,3,8,0,14,0,3,13,0,0,0,0,5,1,1,0,0,0,0,29,8,0,0,0,0
490,10825,1,0,0,0,0,1,0,1,2,0,0,17,5,128,0,0,0,2,0,0,0,0,60,6,0,0,3,0,0,5,2,0,0,1,0,0,0,0,10,0,0,0,47,2,2,0,0,0,11,69,91,8,0,6,1,0,18,0,2,23,0,0,0,0,4,0,0,0,1,0,1,6,7,0,0,0,0
500,10986,7,0,0,1,0,1,6,1,9,0,0,26,1,127,0,0,0,0,0,0,1,9,17,3,0,0,0,0,1,8,0,0,0,11,0,0,0,0,9,0,0,0,31,2,2,0,0,1,13,76,91,5,0,2,2,2,6,0,3,42,0,0,0,0,11,0,0,0,0,0,1,8,10,4,0,1,0
510,11141,1,0,0,0,1,0,1,0,3,0,0,10,6,29,0,0,0,2,0,0,1,0,52,4,0,0,0,0,1,11,1,0,0,8,0,0,2,0,8,0,0,2,34,2,0,0,0,1,16,102,54,3,0,3,5,1,72,3,9,38,0,0,0,0,5,0,0,0,0,0,0,1,13,0,0,0,0
520,11292,6,0,0,0,3,2,0,2,6,0,0,16,0,52,0,1,0,3,0,0,0,6,37,9,0,1,0,0,0,7,2,0,1,27,0,0,0,0,3,0,0,0,37,2,0,0,0,0,22,133,71,5,0,6,6,4,75,2,6,79,0,0,0,0,12,0,0,0,0,0,1,10,37,5,0,0,0
529,11426,0,0,0,0,3,0,0,0,5,0,0,16,2,30,0,0,0,4,0,0,0,3,88,9,0,1,1,0,0,13,2,0,0,9,0,0,1,1,2,0,2,0,13,0,0,0,1,0,13,158,65,4,1,4,9,4,18,3,4,30,0,0,0,0,3,0,0,0,0,0,0,0,22,7,1,0,0
540,NA,2,0,0,0,3,0,0,0,2,0,0,15,5,126,0,0,0,0,1,0,0,1,504,24,0,0,1,0,0,3,0,0,0,58,0,0,1,0,0,0,0,0,0,6,0,0,1,0,13,76,135,11,0,0,11,1,49,0,4,26,0,0,0,0,10,0,6,0,0,0,2,6,16,5,1,0,1
550,NA,0,0,0,0,0,1,3,1,3,0,0,17,1,40,0,0,0,2,1,0,0,3,26,27,0,0,0,0,0,4,1,0,0,32,0,0,1,0,1,0,1,0,5,0,0,0,0,4,9,66,122,1,1,2,24,0,23,0,2,23,0,0,0,0,29,1,0,1,0,0,3,0,7,3,2,0,1
555,NA,1,0,0,0,1,1,3,1,1,0,0,12,1,20,0,0,0,1,0,0,0,2,20,10,0,0,0,0,0,2,2,0,0,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,44,131,1,0,1,12,0,2,0,1,8,0,0,0,0,10,0,0,3,1,0,3,5,7,2,0,0,0
560,NA,0,0,0,0,0,2,0,0,2,0,0,3,2,10,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,21,0,0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,1,0,0,2,6,2,2,0,0,0
565,NA,0,0,0,0,0,1,1,0,1,0,0,8,2,12,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,24,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,1,0,1,1,0,5,1,1,0,0
572,NA,0,0,0,1,0,1,1,0,1,0,0,2,1,13,0,0,0,0,0,0,0,2,11,5,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,7,30,1,1,0,7,0,0,0,2,6,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,0,0
