"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Cyperaceae","Ericaceae","Picea.mariana.type","Pinus.undiff.","Populus.balsamifera.type","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Fabaceae","Poaceae","Abies.balsamea","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Ambrosia.type","Larix","Quercus","Salix","Ulmus","Juniperus.type","Tsuga.canadensis","Rosaceae","Corylus.cornuta","Fagus","Populus.tremuloides.type","Myrica.gale","Amaranthaceae","Saxifraga.cernua.type","Acer.saccharum","Fraxinus.nigra.type","Acer.spicatum","Ostrya.Carpinus","cf..Taxus","Viburnum.edule","Juglans.cinerea","Caryophyllaceae","Ranunculaceae.undiff.","Onagraceae","Castanea.dentata","cf..Oxyria.digyna","Carya.ovata","Viburnum.lentago"
110,4771,504,9,207,2,98,21,1,132,0,0,0,6,0,5,2,6,3,0,7,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,5197,576,10,255,2,173,21,1,67,1,0,0,3,0,11,0,8,2,1,14,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
130,5487,519,33,231,1,152,7,0,69,1,0,0,0,0,13,2,1,2,0,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,5776,578,10,294,0,161,16,0,77,1,0,0,4,0,2,0,1,0,1,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,6065,565,5,358,1,102,15,0,59,0,0,0,2,0,3,0,3,1,1,6,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
160,NA,652,10,481,0,65,16,0,38,1,1,0,0,0,1,3,4,0,0,3,0,16,1,4,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
165,NA,480,11,209,3,88,13,0,74,4,1,0,1,0,7,0,16,7,0,20,2,0,5,5,1,1,0,1,0,0,3,1,1,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0
170,NA,286,10,89,2,133,2,0,18,1,0,0,0,0,0,1,6,6,10,0,0,0,1,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
175,NA,438,2,234,4,90,9,1,56,1,0,0,1,0,6,1,14,3,0,2,3,0,0,3,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
180,NA,427,8,204,2,62,2,1,56,9,0,0,0,0,1,1,53,21,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,NA,401,4,198,8,108,6,0,46,0,0,0,3,0,2,1,10,4,4,1,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,NA,511,6,241,4,204,6,0,26,1,1,1,0,0,4,5,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,NA,421,12,190,11,73,13,1,40,2,3,0,1,0,2,0,39,16,3,2,1,0,0,3,2,1,0,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
215,NA,451,17,210,13,113,10,1,34,3,1,0,5,0,6,0,24,1,0,2,3,0,0,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
