"sample.depths","sample.ages","upland.sum","Acer.undiff.","Betula","Carya","Corylus","Cyperaceae","Ericaceae","Fagus","Poaceae.undiff.","Juglans.cinerea","Nyssa","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Ranunculaceae.undiff.","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Zea.mays","Alnus.incana","Ambrosia","Fabaceae","Myrica.Comptonia.peregrina","Amaranthaceae","Caprifoliaceae","Plantago","Rosaceae","cf..Hypericum","Fraxinus.nigra","Fraxinus.pennsylvanica","Cupressaceae.Taxaceae","Platanus","Apiaceae","Brassicaceae","Acer.rubrum","Ilex","Castanea","Cephalanthus","Ostrya.Carpinus","Rhamnus","Artemisia","Tilia","Caryophyllaceae","Rhus","Abies","Salix","Thalictrum","Lamiaceae","Iva","Asteraceae.subf..Cichorioideae"
95,563,385,4,27,15,3,0,7,15,2,0,4,0.5,1,2,21.5,190,0,0,4,2,3,0,5,1,0,49,0,0,0,16,2,2,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0
105,669,329.5,0,21,12,6,0,1,25,5,0,3,2.5,1,1,17,171,0,0,5,4,2,0,4,2,0,36,0,0,0,3,1,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,795,353,1,19,12,8,1,1,16,5,0,4,0.5,0,4,22.5,180,0,0,3,3,3,0,7,2,0,36,0,0,0,4,0,3,1,0,0,0,0,7,1,6,0,0,0,1,0,0,2,0,0,0,0,0,0
125,944,279,2,31,18,2,1,2,14,3,1,5,0,2,5,11,125,0,0,5,4,2,0,6,2,0,16,0,0,0,9,0,0,2,1,0,0,0,3,2,1,0,1,0,1,0,0,1,0,0,0,1,0,0
135,1120,380.5,0,26,18,2,2,1,9,4,1,5,1.5,2,2,18,211,0,0,9,1,2,0,3,0,0,39,0,0,0,10,2,0,2,0,0,0,0,5,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0
145,1326,307,4,21,21,3,4,0,7,3,0,4,0,3,1,14,156,0,0,3,4,2,0,4,0,0,34,2,0,0,7,0,0,2,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0
155,1567,331,3,23,21,6,0,0,12,2,0,7,0.5,0,1,10.5,171,0,0,1,3,6,0,2,2,0,44,0,0,0,6,0,2,3,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
165,1845,350.5,2,28,17,4,0,0,14,6,0,5,1.5,1,0,20,168,0,0,6,4,3,0,5,3,0,48,0,0,0,5,0,2,2,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
175,2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2528,349.5,1,29,20,3,0,1,26,0,1,6,0,0,2,15.5,178,0,0,5,3,6,0,15,0,0,28,0,0,0,3,0,1,0,0,1,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0
195,2940,388,2,36,14,6,0,1,31,0,1,7,0,1,1,18,190,0,0,2,1,4,0,20,2,0,35,0,0,0,1,0,2,1,1,0,0,0,7,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0
205,3404,320,0,32,11,3,0,0,46,1,1,1,0,1,4,13,152,0,0,1,4,2,0,28,2,0,2,1,0,0,4,0,0,2,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
215,3919,346,3,21,21,6,0,0,12,2,1,5,0.5,0,0,21.5,160,0,0,0,2,1,0,72,1,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
225,4479,313.5,4,18,15,2,0,2,13,1,3,4,0,1,1,17.5,158,2,0,0,0,3,0,42,0,0,12,0,0,0,3,0,5,2,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
235,5079,347.5,2,31,4,2,0,4,9,2,0,4,0.5,1,0,8,178,0,0,2,1,1,0,75,1,0,10,1,0,0,2,0,4,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,5715,380,0,18,1,4,0,0,21,2,0,4,0,0,0,16,232,0,0,7,1,4,0,44,2,0,7,0,0,0,1,0,4,0,1,0,1,0,6,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
255,6380,346.5,7,10,3,1,1,0,11,5,0,5,2,0,2,12.5,220,0,0,8,0,10,0,28,2,0,6,0,0,0,1,0,2,1,2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
265,7069,325.5,3,16,3,1,2,0,12,2,1,2,0.5,1,0,17,161,0,1,6,5,4,0,65,2,0,12,0,0,0,1,0,1,2,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
275,7775,388,2,24,0,11,6,1,6,3,0,2,2,1,1,16,198,0,0,3,12,4,0,67,1,0,21,1,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
285,8460,339.5,1,16,1,9,2,0,3,1,0,2,1,0,0,23.5,176,0,0,4,1,3,0,77,2,0,13,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
295,9068,371.5,1,22,0,6,1,1,0,4,0,0,6.5,3,9,51,148,0,0,8,4,2,0,77,9,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
305,9548,372,0,22,2,18,3,0,0,3,0,1,11.5,1,14,66.5,118,0,0,6,5,4,0,53,16,0,17,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0
315,9895,376.5,0,25,0,13,2,0,0,8,1,1,0,2,7,71,155,0,0,2,6,3,0,28,9,0,35,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0.5,0,0,0,0,0
325,10154,335,1,23,0,8,3,1,0,6,1,0,2,2,2,50,173,1,0,7,6,3,0,11,5,0,24,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
335,10373,317,1,27,2,9,4,0,0,3,0,0,3.5,2,12,57.5,127,0,0,3,4,5,0,10,5,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0
345,10598,391.5,0,22,0,20,1,0,0,6,0,1,1.5,4,13,90,157,0,0,13,5,2,0,8,4,0,30,0,0,0,2,0,2,1,2,0,0,0,2,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0
355,10877,459,1,30,0,15,6,2,1,6,0,1,3,2,9,102,179,0,0,6,4,2,0,5,6,0,67,2,0,0,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0
365,11257,492.5,4,76,0,7,1,2,0,2,1,0,2.5,6,41,123,177,0,0,1,2,5,0,5,1,0,27,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0
375,11783,355,1,30,0,12,2,5,1,1,0,0,63.5,2,7,103.5,46,0,0,5,1,1,0,32,0,0,20,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0
385,12447,374,1,92,0,4,3,0,0,5,0,0,61.5,11,7,98.5,16,0,0,3,0,1,0,53,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0
395,13208,348,0,48,0,12,4,3,2,5,0,0,94.5,12,0,96,33,0,0,0,2,2,0,5,1,0,4,0,0,0,0,0,6,0,0,0,0,0,2,2,0,0,11,0,0,0,0,0,3.5,0,0,0,0,0
405,14024,334,0,24,0,11,10,2,1,14,1,0,87.5,23,0,81.5,30,0,0,0,6,0,0,6,0,0,7,0,4,0,0,0,2,2,1,0,0,0,0,0,0,0,12,0,1,0,0,0,3,4,0,0,0,1
411,NA,330.5,0,21,1,5,7,0,0,18,0,0,104,19,1,94.5,19,0,0,0,10,0,0,2,1,0,10,0,0,0,2,0,0,0,6,0,0,4,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0
417,NA,210,0,1,1,0,184,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
