"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Campanulaceae","Carya","Corylus","Cyperaceae","Elaeagnus","Ephedra","Ericaceae","Fagus","Fraxinus","Ilex","Indeterminable","Juglans","Juniperus.Thuja","Larix","Liquidambar","Myrica","Ostrya","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Ulmus","Unknown","Vitis","Xanthium"
110,1169,1,0,1,0,3,0,0,5,0,1,3,0,93,0,0,0,1,0,0,0,0,3,0,1,0,10,1,0,0,1,4.5,167.5,0,1,1,1,24,0,0,0,0,0,31,7,0,0,0
115,1224,1,0,2,1,5,0,0,3,1,4,1,1,96,0,0,0,1,1,0,0,1,4,0,1,0,25,0,0,0,2,8.5,190.5,0,1,3,5,22,0,0,1,0,0,24,5,0,0,0
120,1278,1,0,4,1,7,0,0,7,0,3,2,0,88,0,0,0,7,0,0,0,0,1,0,5,0,45,3,0,1,3,4,192,0,0,1,3,18,0,0,0,0,0,23,5,0,0,0
125,1333,0,0,2,0,4,0,0,10,2,2,4,0,96,0,0,0,1,0,0,0,0,4,0,5,0,23,0,0,0,6,6.5,177,0,1,0,3,16,0,0,1,0,0,25,8,0,0,0
130,1387,2,0,2,1,5,0,0,13,0,2,2,2,75,0,0,2,4,0,0,0,2,6,0,1,0,11,0,1,0,8,0,204,0,1,0,1,25,0,0,1,0,0,6,2,0,0,0
132,1409,1,0,0,1,2,0,0,8,1,2,3,2,63,0,0,1,0,0,0,0,0,1,0,3,0,8,0,0,0,4,3,196.5,0,0,0,0,26,0,0,0,0,1,16,4,1,0,0
142,1518,1.5,0,0,0,4,0,0,7,0,0,3,1,87,0,0,0,3,0,0,0,0,1,0,1,0,6,3,0,0,0,1,165.5,0,0,1,3,26,0,0,0,0,0,15,6,1,0,0
148,1583,1.5,0,2,1,1,0,0,12,1,5,0,0,57,0,0,0,2,0,0,0,2,2,0,0,1,14,0,0,1,3,4,145,0,1,1,0,8,0,0,1,0,1,12,1,1,0,0
150,1605,1,0,0,0,8,0,0,6,0,1,0,0,71,0,0,0,1,0,0,0,0,3,0,0,0,6,1,0,0,3,2,147.5,0,0,2,2,17,0,0,1,0,1,13,5,0,0,0
154,1643,1,0,0,0,7,1,0,12,1,2,2,0,81,0,1,0,1,0,1,0,1,4,0,0,0,10,0,0,0,7,1,102.5,0,1,0,0,30,0,0,0,0,0,47,7,0,0,0
168,1776,0,0,4,0,9,0,0,8,1,0,2,1,64,0,0,0,1,0,0,0,1,1,0,1,1,37,0,0,0,3,4,156.5,0,0,0,7,26,1,0,1,0,1,33,6,2,0,0
182,1909,3,0,1,0,6,0,0,15,0,4,1,0,91,0,0,0,0,0,0,0,1,3,0,0,0,5,0,0,0,4,2,138,0,0,1,0,18,0,0,1,0,1,30,4,0,0,0
190,1984,3,0,0,1,5,0,0,20,1,3,1,1,82,0,0,1,2,0,0,1,1,6,0,2,0,7,0,0,0,4,1,161,0,1,1,2,12,0,0,1,0,0,15,4,3,0,0
217,2240,2,0,1,1,8,0,0,8,2,1,0,0,101,0,0,0,0,0,0,0,0,2,0,0,1,5,1,0,0,1,1,149.5,0,1,1,1,21,0,0,1,0,1,36,4,1,0,0
220,2269,0,0,1,0,8,0,0,7,1,0,7,1,79,0,0,0,3,0,0,0,0,5,1,0,0,4,0,0,0,3,5.5,161,0,1,0,2,25,0,1,1,0,0,37,5,2,0,0
260,2648,0.5,0,0,0,5,0,0,5,0,0,2,0,71,0,0,0,1,0,0,0,0,3,0,0,0,13,0,0,0,3,0,145,0,1,1,1,18,0,0,1,0,1,30,1,1,0,0
319,3342,2,0,2,0,8,0,0,8,1,0,1,1,54,0,0,0,2,0,0,0,1,1,0,0,0,17,0,0,0,4,0,146,0,1,5,2,16,0,1,0,0,0,16,2,1,0,0
359,3944,1,0,1,0,9,0,0,8,0,2,2,0,42,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,7,2,110,0,1,2,1,28,0,0,1,0,0,16,5,2,0,1
399,4547,0,0,1,0,5,0,0,5,0,1,4,0,24,0,0,0,2,0,0,0,1,1,0,0,2,8,0,0,0,6,5,195.5,0,1,4,1,21,1,0,2,0,2,6,3,0,0,0
430,5014,8,0,1,0,10,0,0,10,1,0,3,0,47,0,0,0,4,0,0,0,1,4,0,0,1,9,1,0,1,8,3.5,247,0,0,2,1,45,0,0,1,0,0,12,3,0,0,0
440,5165,2,0,2,0,4,0,0,7,0,0,1,0,24,0,0,1,0,0,0,0,1,8,0,1,0,9,0,0,0,2,0,193,0,0,0,4,33,0,0,0,0,0,10,5,0,0,0
450,5316,4.5,0,1,0,5,0,0,10,0,2,4,1,52,0,0,1,0,0,0,0,0,3,0,0,1,15,0,0,2,0,3,179,0,0,0,1,33,2,0,1,0,1,9,4,0,0,0
455,5425,4,0,10,0,12,0,0,16,2,6,9,2,113,0,1,0,6,0,0,0,2,9,0,1,0,16,3,0,1,16,2.5,323,0,0,10,7,76,1,0,1,1,0,25,8,0,0,0
460,5534,1,0,4,0,6,0,0,17,4,5,7,1,86,0,0,1,2,0,0,0,0,15,0,0,1,13,3,0,0,13,2,311,0,1,7,1,54,0,0,2,0,0,75,10,0,0,0
470,5752,0,0,0,0,2,0,0,3,3,0,1,0,23,0,0,0,1,0,0,0,0,3,0,0,0,11,0,0,0,1,1,150,0,0,3,2,21,0,0,1,0,0,28,5,0,0,0
480,5971,0,0,0,0,8,1,0,25,3,6,5,2,68,0,0,0,5,0,0,0,0,6,0,1,0,13,1,0,0,16,0,294.5,0,0,1,5,49,2,0,0,0,0,33,12,2,0,0
500,6408,0,0,2,1,6,0,0,16,3,7,2,1,93,0,0,0,0,0,0,0,1,13,0,2,0,11,1,1,0,3,0.5,313.5,0,1,3,3,66,0,0,2,0,2,3,13,2,0,0
519,6713,1,0,2,0,1,0,0,4,4,4,1,0,38,0,0,0,2,0,0,0,0,8,0,1,0,0,1,0,0,14,0,245.5,0,0,3,6,32,1,0,1,0,0,0,6,2,0,0
549,7195,0,0,0,0,6,0,0,8,4,3,2,1,36,0,0,0,3,0,0,0,0,8,0,0,1,2,0,0,0,8,0,235.5,0,1,7,5,38,0,0,0,0,2,0,7,0,0,0
579,7708,1,0,1,1,3,0,0,4,3,2,3,2,59,0,0,0,2,0,0,0,0,10,0,0,2,9,1,2,0,6,0,345.5,0,0,3,4,18,0,0,1,0,0,0,14,3,0,0
615,8567,1,0,0,0,0,1,0,10,6,5,4,1,75,0,0,1,1,0,0,0,0,8,0,0,1,10,0,0,0,3,2.5,231.5,0,2,2,3,14,0,1,0,0,0,0,12,4,0,0
630,8926,0,0,1,0,2,0,0,19,4,9,7,0,69,0,0,0,2,0,0,0,0,4,0,0,0,4,0,0,1,7,2.5,377,0,0,2,1,5,1,0,3,0,0,0,12,2,0,1
650,9296,0.5,0,0,0,2,0,0,2,2,4,5,2,33,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,0,6,15,199,0,0,5,1,10,0,0,1,0,1,0,9,2,0,0
667,9442,6.5,0,0,0,0,0,0,17,1,3,7,1,46,0,0,0,2,0,0,0,0,3,0,0,0,11,2,0,0,2,4,162.5,0,0,4,0,10,6,0,0,0,0,2,10,1,0,0
670,9468,3,0,0,0,0,0,0,9,4,5,3,3,42,0,1,0,0,0,0,0,0,2,0,1,1,13,1,0,0,5,12.5,167.5,0,0,4,1,16,3,0,0,0,0,0,10,3,0,0
672,9485,2,0,0,0,0,1,0,12,2,5,5,3,42,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,5,7,152.5,0,0,1,1,4,0,0,2,0,1,0,2,1,0,0
675,9511,2,0,0,0,1,0,0,8,3,3,3,1,41,0,0,0,1,0,0,0,0,1,0,1,2,10,2,0,1,5,9,169.5,0,0,0,1,11,0,0,1,0,0,0,14,2,0,0
680,9554,2.5,0,0,0,0,0,0,7,3,3,6,3,40,0,2,0,1,0,0,0,0,3,0,0,0,7,0,0,0,6,14,163,0,0,0,3,13,2,0,4,0,0,0,9,1,0,0
682,9571,3.5,0,0,0,0,0,0,11,3,6,2,3,46,0,0,0,1,0,1,0,0,1,0,0,1,15,1,0,1,3,6.5,185.5,0,0,1,3,14,0,1,4,0,0,0,4,2,0,0
685,9597,4.5,0,0,0,0,1,0,3,2,4,3,0,31,0,0,1,1,0,0,0,0,1,0,0,0,10,0,0,0,2,14,152.5,0,2,3,5,8,2,0,2,0,0,1,5,0,0,2
712,9969,1.5,0,0,0,1,0,0,2,1,2,5,0,52,0,1,0,0,0,0,0,0,5,0,0,0,7,2,0,0,7,14,232,0,0,3,0,13,0,0,3,0,0,0,10,1,0,0
732,10453,1,0,0,0,0,0,0,1,3,0,5,1,25,0,1,0,2,0,0,0,0,4,0,0,2,5,1,0,2,10,20.5,174,0,0,4,2,12,0,0,0,0,0,2,16,0,0,0
738,10598,1,0,0,0,1,0,0,2,1,1,7,0,51,0,0,0,5,0,0,0,0,1,0,0,0,12,0,0,0,9,21.5,159.5,0,1,3,3,13,0,0,1,0,0,1,15,0,0,0
742,10694,0.5,0,0,0,1,0,0,2,3,2,5,0,41,0,0,1,0,0,0,0,0,3,0,0,0,3,3,0,0,6,11,227,0,4,1,5,21,1,0,2,0,0,0,14,1,0,0
743,10719,2,0,0,1,0,0,0,0,1,1,4,0,26,0,0,0,6,0,0,0,1,4,0,1,2,10,3,0,0,6,32,221.5,0,1,5,4,17,0,0,3,0,0,1,10,1,0,0
747,10815,3,0,0,0,0,0,0,4,1,1,1,1,18,0,2,0,1,0,0,0,0,3,0,1,0,1,0,0,0,8,18.5,156,0,0,4,1,11,1,0,4,0,0,0,6,1,0,0
748,10840,1.5,0,0,0,1,0,0,0,0,4,4,1,37,0,0,1,6,0,0,0,0,5,0,0,0,11,1,0,0,3,15,224.5,0,2,2,2,21,2,0,1,0,0,1,22,0,0,0
752,10936,1,0,0,0,0,0,0,1,0,5,2,1,22,0,2,0,1,0,0,0,0,2,0,1,1,4,0,0,0,5,18.5,155,0,0,2,2,7,0,0,0,0,0,0,15,2,0,0
753,10960,3,0,0,0,1,0,0,2,5,5,10,1,30,0,2,0,0,0,0,0,0,9,0,0,0,1,0,0,0,12,43,251.5,0,0,1,0,25,0,0,5,0,0,0,15,4,0,0
756,11033,2,0,0,0,0,0,0,0,0,3,8,0,8,0,0,0,5,0,0,0,0,5,0,3,1,11,0,0,0,1,19,104.5,0,0,6,5,21,1,0,1,0,0,0,18,2,0,2
762,NA,4.5,1,0,0,0,0,0,2,5,10,9,0,20,0,0,0,2,0,0,0,0,3,0,2,0,24,4,0,0,8,68,103.5,0,2,3,13,32,1,0,3,0,0,0,11,4,0,0
773,NA,0,0,0,0,2,0,0,0,0,4,11,7,5,0,0,0,3,0,0,0,0,5,0,0,0,21,0,0,0,6,25,95,0,0,8,10,18,0,0,5,0,0,0,12,2,0,0
783,NA,0,0,0,0,2,0,0,0,0,4,8,0,4,0,2,0,2,0,0,0,0,4,0,2,4,4,2,0,1,0,32,78.5,0,0,5,7,12,2,0,3,0,0,0,12,0,0,0
793,NA,0,0,0,0,2,0,0,0,0,2,3,2,5,0,0,1,6,0,0,0,0,2,0,4,1,7,0,0,0,2,52,152.5,0,0,1,2,16,1,0,1,0,0,1,4,0,0,0
805,NA,0,0,0,0,0,0,0,1,2,3,13,3,10,0,1,0,0,0,0,0,0,4,0,0,1,3,0,0,0,3,25,144.5,0,0,3,4,16,0,1,2,0,0,0,9,1,0,0
815,NA,2,0,0,0,0,0,0,0,2,4,11,2,12,0,1,1,3,0,0,0,0,3,0,3,1,6,1,0,0,4,34.5,99,0,0,6,4,21,0,0,1,0,0,0,16,1,0,0
