"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Galium","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum","Xanthium","Zea"
23,65,0,0.004497751,0.017991004,0.004497751,0,0.143928036,0.017991004,0.076461769,0.00149925,0,0.007496252,0,0.034482759,0.002998501,0,0,0,0.002998501,0.004497751,0.002998501,0,0,0,0.004497751,0.004497751,0.011994003,0.074962519,0.023988006,0.098950525,0,0.00149925,0.182908546,0,0.00149925,0.053973013,0.008995502,0,0.064467766,0.004497751,0.004497751,0,0.007496252,0,0,0.002998501,0.043478261,0,0.00149925,0.08095952,0,0,0
25,77,0,0.009408602,0.02016129,0.01344086,0,0.11155914,0.004032258,0.061827957,0.001344086,0.001344086,0.008064516,0,0.040322581,0.004032258,0.004032258,0,0.002688172,0,0.002688172,0,0,0.001344086,0,0.004032258,0.004032258,0.00672043,0.053763441,0.02016129,0.115591398,0.004032258,0.002688172,0.206989247,0,0,0.044354839,0.004032258,0.002688172,0.075268817,0.001344086,0.004032258,0,0.004032258,0,0,0,0.083333333,0,0.002688172,0.073924731,0,0,0
27,98,0,0.002881844,0.007204611,0.024495677,0,0.128242075,0.004322767,0.048991354,0,0,0.008645533,0.002881844,0.044668588,0.008645533,0.004322767,0,0.004322767,0.002881844,0.004322767,0,0,0,0,0.011527378,0.002881844,0.0129683,0.069164265,0.017291066,0.121037464,0.004322767,0,0.21037464,0,0,0.050432277,0.0129683,0,0.057636888,0,0.002881844,0,0.002881844,0,0,0,0.07204611,0,0,0.054755043,0,0,0
29,118,0,0.00312989,0.009389671,0.017214397,0,0.082942097,0.012519562,0.089201878,0.001564945,0.001564945,0.007824726,0,0.0657277,0.004694836,0.001564945,0,0.007824726,0,0.001564945,0,0,0,0,0.014084507,0.00312989,0.014084507,0.021909233,0.009389671,0.162754304,0,0,0.241001565,0.00312989,0,0.076682316,0.004694836,0,0.00312989,0,0.00312989,0.00312989,0,0,0.031298905,0,0.054773083,0,0,0.046948357,0,0,0
31,138,0,0.009104704,0.012139605,0.009104704,0,0.125948407,0.010622155,0.098634294,0.001517451,0.001517451,0.006069803,0,0.042488619,0.009104704,0.004552352,0,0.006069803,0.001517451,0,0,0,0,0,0.015174507,0.007587253,0.004552352,0.02276176,0.083459788,0.077389985,0,0,0.20030349,0,0,0.069802731,0.010622155,0,0,0.037936267,0.007587253,0.001517451,0.006069803,0,0,0,0.060698027,0,0,0.056145675,0,0,0
33,158,0.001612903,0.006451613,0.009677419,0.024193548,0,0.108064516,0.014516129,0.067741935,0,0.00483871,0.003225806,0.003225806,0.067741935,0.014516129,0,0,0.006451613,0,0.001612903,0,0,0.001612903,0,0.00483871,0.003225806,0.001612903,0.077419355,0.035483871,0.114516129,0.003225806,0,0.216129032,0,0.003225806,0.058064516,0.009677419,0,0.030645161,0.003225806,0.009677419,0,0,0,0,0.001612903,0.04516129,0,0.001612903,0.043548387,0.001612903,0,0
35,178,0,0.012903226,0.024193548,0.019354839,0,0.093548387,0.012903226,0.080645161,0.001612903,0,0.014516129,0.003225806,0.069354839,0.012903226,0,0,0.012903226,0,0.00483871,0,0,0,0,0.024193548,0.00483871,0.009677419,0.051612903,0.022580645,0.103225806,0.00483871,0,0.233870968,0,0,0.056451613,0.008064516,0,0.038709677,0,0.00483871,0,0.003225806,0,0,0,0.037096774,0,0.001612903,0.032258065,0,0,0
37,198,0,0.00660066,0.024752475,0.00990099,0,0.132013201,0.004950495,0.082508251,0.001650165,0,0.00330033,0,0.070957096,0.00990099,0.00330033,0,0.00660066,0,0.004950495,0,0,0,0,0.00990099,0.004950495,0.00660066,0.04950495,0.03960396,0.100660066,0,0.00330033,0.244224422,0,0,0.066006601,0.008250825,0,0.03960396,0.00330033,0.004950495,0.00330033,0.00330033,0,0,0,0.021452145,0,0,0.02970297,0,0,0
39,270,0,0.003577818,0.025044723,0.01431127,0,0.166368515,0.008944544,0.037567084,0,0,0.003577818,0,0.069767442,0.008944544,0,0.003577818,0.005366726,0.003577818,0.001788909,0,0,0,0,0.019677996,0.005366726,0.003577818,0.089445438,0.026833631,0.125223614,0.001788909,0,0.250447227,0.001788909,0,0.08765653,0.008944544,0,0.005366726,0.001788909,0,0.001788909,0.005366726,0,0,0.001788909,0.010733453,0,0,0,0,0,0
41,394,0,0.003663004,0.014652015,0.009157509,0.001831502,0.188644689,0.018315018,0.023809524,0,0.009157509,0.003663004,0.003663004,0.111721612,0.003663004,0.001831502,0,0,0,0.005494505,0,0,0,0,0,0.003663004,0.005494505,0.100732601,0.038461538,0.115384615,0.009157509,0,0.221611722,0,0.003663004,0.076923077,0.005494505,0,0.003663004,0.001831502,0,0,0.003663004,0,0,0,0.003663004,0.001831502,0,0.005494505,0,0,0
43,492,0,0.007079646,0.019469027,0.014159292,0,0.12920354,0.008849558,0.024778761,0,0,0,0.003539823,0.072566372,0.008849558,0.003539823,0,0.014159292,0,0.003539823,0,0,0,0,0.005309735,0.008849558,0.007079646,0.107964602,0.026548673,0.143362832,0.005309735,0,0.238938053,0.001769912,0,0.100884956,0.010619469,0,0.014159292,0,0.001769912,0,0,0,0,0,0.008849558,0,0,0.008849558,0,0,0
45,562,0,0.003533569,0.017667845,0.008833922,0,0.132508834,0.008833922,0.030035336,0,0.005300353,0,0.003533569,0.083038869,0.010600707,0.005300353,0,0.003533569,0,0.014134276,0,0,0,0,0.014134276,0.005300353,0.005300353,0.100706714,0.042402827,0.121908127,0,0.003533569,0.21024735,0.003533569,0.001766784,0.128975265,0.005300353,0,0.005300353,0,0.001766784,0,0.005300353,0,0,0,0.008833922,0,0,0.008833922,0,0,0
47,632,0,0.003629764,0.019963702,0.014519056,0,0.152450091,0.014519056,0.014519056,0.001814882,0.003629764,0.003629764,0,0.085299456,0.010889292,0,0,0,0,0.005444646,0,0,0,0,0.005444646,0,0.007259528,0.112522686,0.050816697,0.13430127,0,0.001814882,0.21415608,0.001814882,0.001814882,0.101633394,0.014519056,0,0.003629764,0.001814882,0.001814882,0,0.005444646,0,0,0,0.005444646,0,0,0.005444646,0,0,0
49,702,0,0.005524862,0.023941068,0.009208103,0,0.139963168,0.025782689,0.020257827,0,0,0.003683241,0,0.077348066,0.005524862,0.003683241,0,0,0,0,0,0,0,0,0.011049724,0.009208103,0.012891344,0.104972376,0.02946593,0.139963168,0.003683241,0,0.220994475,0,0.003683241,0.110497238,0.020257827,0,0.003683241,0,0.003683241,0,0,0,0,0,0.001841621,0,0,0.009208103,0,0,0
51,766,0,0.007532957,0.020715631,0.013182674,0,0.161958569,0.030131827,0.035781544,0,0,0.001883239,0,0.101694915,0.003766478,0.003766478,0,0,0,0.005649718,0,0,0,0,0.005649718,0.003766478,0.003766478,0.099811676,0.028248588,0.107344633,0,0,0.25047081,0,0.003766478,0.092278719,0.003766478,0,0.009416196,0.001883239,0,0,0,0,0,0,0.003766478,0,0,0,0,0,0
53,823,0,0.009451796,0.024574669,0.013232514,0,0.139886578,0.020793951,0.009451796,0,0,0.003780718,0.003780718,0.071833648,0.005671078,0.005671078,0,0,0,0.003780718,0,0,0,0,0.009451796,0.003780718,0,0.103969754,0.024574669,0.15879017,0,0.001890359,0.24952741,0.001890359,0.003780718,0.102079395,0.015122873,0,0,0,0,0,0.003780718,0,0,0,0.005671078,0.001890359,0,0.001890359,0,0,0
55,880,0,0.005376344,0.028673835,0.039426523,0.001792115,0.123655914,0.014336918,0.039426523,0,0,0,0.003584229,0.075268817,0.010752688,0.001792115,0,0.005376344,0,0.003584229,0,0,0,0,0.010752688,0.010752688,0.007168459,0.100358423,0.043010753,0.103942652,0.001792115,0.003584229,0.234767025,0,0.003584229,0.094982079,0.014336918,0,0,0.003584229,0,0,0.003584229,0,0,0,0.003584229,0,0,0.005376344,0.001792115,0,0
57,937,0,0.007285974,0.023679417,0.016393443,0,0.178506375,0.029143898,0.034608379,0,0.003642987,0.012750455,0,0.094717668,0.003642987,0.005464481,0.003642987,0.001821494,0,0,0,0,0,0,0.018214936,0.007285974,0.009107468,0.081967213,0.023679417,0.140255009,0,0,0.209471767,0,0,0.074681239,0.003642987,0.001821494,0.003642987,0,0,0,0.003642987,0,0,0,0.003642987,0,0,0.003642987,0,0,0
59,994,0,0.009140768,0.016453382,0.010968921,0,0.144424132,0.010968921,0.016453382,0,0,0.007312614,0,0.118829982,0.005484461,0.005484461,0,0.001828154,0,0.003656307,0,0,0,0,0.009140768,0.007312614,0.007312614,0.085923218,0.032906764,0.148080439,0.001828154,0,0.224862888,0,0.001828154,0.1023766,0.005484461,0,0.005484461,0.003656307,0.003656307,0,0.003656307,0,0,0,0.001828154,0,0,0.003656307,0,0,0
61,1051,0,0.009174312,0.023853211,0.005504587,0.001834862,0.177981651,0.011009174,0.025688073,0,0.001834862,0,0,0.064220183,0.005504587,0,0.001834862,0.009174312,0,0,0,0,0,0,0.012844037,0.003669725,0.00733945,0.078899083,0.025688073,0.146788991,0.00733945,0,0.236697248,0,0.003669725,0.104587156,0.005504587,0,0.003669725,0,0.003669725,0.001834862,0.005504587,0,0,0,0.011009174,0,0,0.003669725,0,0,0
63,1108,0,0.003676471,0.027573529,0.011029412,0.001838235,0.136029412,0.012867647,0.016544118,0,0,0,0.001838235,0.125,0.005514706,0.003676471,0,0,0,0.001838235,0,0,0,0,0.022058824,0.003676471,0.007352941,0.099264706,0.012867647,0.139705882,0.003676471,0,0.226102941,0,0.001838235,0.099264706,0.012867647,0,0.005514706,0,0,0,0.003676471,0,0,0.001838235,0.007352941,0,0.001838235,0.003676471,0,0,0
65,1165,0,0.003717472,0.029739777,0.00929368,0,0.154275093,0.024163569,0.016728625,0,0,0.011152416,0.001858736,0.079925651,0.018587361,0.001858736,0.005576208,0,0,0.007434944,0,0,0,0,0.013011152,0.003717472,0.014869888,0.065055762,0.029739777,0.143122677,0.005576208,0,0.234200743,0,0.003717472,0.107806691,0.003717472,0,0.005576208,0,0.001858736,0,0,0,0,0,0.003717472,0,0,0,0,0,0
67,NA,0,0.003649635,0.02189781,0.018248175,0,0.135036496,0.010948905,0.031021898,0,0,0.005474453,0.001824818,0.065693431,0.00729927,0.005474453,0,0.003649635,0,0.001824818,0,0,0,0,0.02189781,0.001824818,0.00729927,0.093065693,0.047445255,0.147810219,0.005474453,0,0.195255474,0,0,0.135036496,0.009124088,0,0.003649635,0.003649635,0.003649635,0,0,0,0,0,0.012773723,0,0,0,0,0,0
69,NA,0,0.003802281,0.019011407,0.005703422,0.001901141,0.114068441,0.019011407,0.013307985,0,0,0.003802281,0,0.091254753,0.009505703,0.005703422,0,0,0.001901141,0.003802281,0,0,0,0,0.009505703,0.005703422,0.001901141,0.096958175,0.039923954,0.144486692,0.003802281,0,0.275665399,0.001901141,0.001901141,0.102661597,0.005703422,0,0.001901141,0.001901141,0.001901141,0,0.003802281,0.001901141,0,0.001901141,0.003802281,0,0,0,0,0,0
