"sample.depths","sample.ages","Iva.annua.type","Corylus","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Iva.xanthifolia.type","Larix","Picea","Pinus.undiff.","Plantago.major","Populus.tremuloides.type","Quercus","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Humulus.Cannabis.sativa","Juniperus.type","Myrica","Chenopodium.type","Pinus.banksiana.P..resinosa","Pinus.strobus.type","cf..Rhamnus.alnifolia","Fabaceae.cf..Melilotus","Ilex","Juglans.nigra","Ostrya.Carpinus","Platanus","Ulmus","Geum","Carya","Juglans.cinerea","Tilia","Fagus","Ericaceae.undiff.","Ledum.Chamaedaphne.calyculata","Salix","Ephedra","Fraxinus.undiff.","Caryophyllaceae","Rosaceae.undiff.","Ranunculus.flabellaris.type","Rubus.chamaemorus","Prunus.americana.type","cf..Viburnum.lentago","Gaultheria.procumbens","Populus.balsamifera.type","Dalea","Liquidambar","Toxicodendron.radicans.type","Cornus.canadensis","Apiaceae","Castanea","Zea.mays","Potentilla","Laportea"
280,5423,0,0.0068259385665529,0.0273037542662116,0.0136518771331058,0,0.00341296928327645,0,0.0136518771331058,0,0.47098976109215,0,0,0.0443686006825939,0,0,0,0,0,0,0,0.0102389078498294,0.324232081911263,0,0,0,0,0.0170648464163823,0.00341296928327645,0.0443686006825939,0,0,0.00341296928327645,0.0068259385665529,0,0.00341296928327645,0,0,0,0.00341296928327645,0,0,0,0.00341296928327645,0,0,0,0,0,0,0,0,0,0,0,0,0
320,6014,0,0,0.0136518771331058,0.0136518771331058,0,0.0068259385665529,0,0,0,0.344709897610922,0,0.0102389078498294,0.10580204778157,0,0,0.0068259385665529,0,0.0068259385665529,0,0,0.00341296928327645,0.313993174061433,0,0,0,0,0.0477815699658703,0.00341296928327645,0.0921501706484642,0,0,0.0068259385665529,0,0,0,0.00341296928327645,0,0,0,0,0,0,0,0.0170648464163823,0.00341296928327645,0,0,0,0,0,0,0,0,0,0,0
360,6605,0,0.00325732899022801,0.0456026058631922,0,0,0.00325732899022801,0,0.00651465798045603,0.00977198697068404,0.348534201954397,0,0.00651465798045603,0.0456026058631922,0,0,0.00651465798045603,0,0.00651465798045603,0,0.00325732899022801,0.0228013029315961,0.41042345276873,0,0,0,0,0.0390879478827362,0.00325732899022801,0.0260586319218241,0,0,0.00651465798045603,0.00325732899022801,0,0,0.00325732899022801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,7196,0.00326797385620915,0,0.0588235294117647,0.00980392156862745,0,0.00326797385620915,0,0.00326797385620915,0,0.454248366013072,0,0,0.0228758169934641,0,0,0.00980392156862745,0,0.00326797385620915,0,0.00326797385620915,0.00326797385620915,0.362745098039216,0,0,0,0,0.0294117647058824,0,0.0228758169934641,0,0,0,0,0,0,0,0,0,0.00326797385620915,0,0,0,0,0,0,0.0065359477124183,0,0,0,0,0,0,0,0,0,0
420,7489,0.00425531914893617,0.00851063829787234,0.0808510638297872,0.00851063829787234,0.00425531914893617,0,0,0.00851063829787234,0.00425531914893617,0.268085106382979,0,0,0.148936170212766,0,0,0.00425531914893617,0,0.00425531914893617,0,0.025531914893617,0.00425531914893617,0.0382978723404255,0.00425531914893617,0,0,0,0.182978723404255,0,0.127659574468085,0,0,0,0.0127659574468085,0,0.00425531914893617,0.0382978723404255,0,0,0,0,0,0,0,0,0,0,0.00851063829787234,0.00851063829787234,0,0,0,0,0,0,0,0
426,7563,0.00319488817891374,0.00958466453674121,0.073482428115016,0.00638977635782748,0.00319488817891374,0.00958466453674121,0,0,0,0.274760383386581,0,0,0.0798722044728434,0,0,0.00638977635782748,0,0.00638977635782748,0,0,0.00958466453674121,0.297124600638978,0.00319488817891374,0,0,0,0.115015974440895,0.00319488817891374,0.0638977635782748,0,0.00319488817891374,0.00319488817891374,0.00638977635782748,0,0,0,0.00638977635782748,0,0.00319488817891374,0,0,0,0,0,0,0.00958466453674121,0,0,0.00319488817891374,0,0,0,0,0,0,0
470,8103,0,0.00732600732600733,0.0512820512820513,0.0366300366300366,0.00366300366300366,0,0,0.00732600732600733,0,0.318681318681319,0,0.0183150183150183,0.128205128205128,0,0,0.010989010989011,0,0.010989010989011,0.00732600732600733,0.00732600732600733,0,0.179487179487179,0,0,0,0,0.10989010989011,0.00366300366300366,0.0695970695970696,0,0,0.00366300366300366,0.010989010989011,0,0,0,0.00732600732600733,0,0,0,0,0,0,0.00366300366300366,0,0,0,0,0,0.00366300366300366,0,0,0,0,0,0
480,8226,0,0.00380228136882129,0.0418250950570342,0.0380228136882129,0,0.00380228136882129,0,0.00760456273764259,0,0.429657794676806,0,0.00760456273764259,0.0418250950570342,0,0,0.00380228136882129,0.00380228136882129,0.00380228136882129,0,0.0114068441064639,0.0114068441064639,0.262357414448669,0,0,0,0,0.064638783269962,0,0.0456273764258555,0,0,0,0.00380228136882129,0,0,0,0.00760456273764259,0,0,0,0,0,0,0.00380228136882129,0,0,0,0,0,0,0.00380228136882129,0,0,0,0,0
520,8717,0,0.00346020761245675,0.0173010380622837,0.0069204152249135,0.00346020761245675,0,0,0.00346020761245675,0,0.539792387543253,0,0.00346020761245675,0,0,0,0.0069204152249135,0,0.00346020761245675,0,0.00346020761245675,0,0.339100346020761,0,0,0,0,0.0484429065743945,0,0.013840830449827,0,0,0.00346020761245675,0.00346020761245675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,8962,0,0.0120481927710843,0.0160642570281124,0.0240963855421687,0.0120481927710843,0.0281124497991968,0,0.0200803212851406,0,0.317269076305221,0,0.0481927710843374,0.0803212851405622,0,0,0.00401606425702811,0,0.00401606425702811,0.00401606425702811,0,0.0401606425702811,0.269076305220884,0,0,0,0,0.0441767068273092,0,0.0642570281124498,0,0,0,0,0,0,0,0.00401606425702811,0,0.00401606425702811,0,0,0,0,0,0,0,0,0,0,0,0,0.00401606425702811,0,0,0,0
556,9158,0,0.00377358490566038,0,0.00754716981132075,0,0,0,0.0150943396226415,0.0113207547169811,0.415094339622642,0,0,0.030188679245283,0,0,0,0,0.00754716981132075,0,0.0113207547169811,0.0113207547169811,0.392452830188679,0,0,0,0,0.0490566037735849,0,0.030188679245283,0,0.00377358490566038,0.00377358490566038,0.00754716981132075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,9698,0,0.00401606425702811,0.0120481927710843,0.00803212851405622,0,0.00803212851405622,0.00803212851405622,0.00401606425702811,0,0.437751004016064,0,0.00401606425702811,0.0321285140562249,0.00401606425702811,0,0,0,0.00803212851405622,0,0.0160642570281124,0.0522088353413655,0.349397590361446,0,0,0,0,0.0120481927710843,0,0.0281124497991968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00401606425702811,0.00401606425702811,0.00401606425702811,0
620,9944,0,0,0,0.0107913669064748,0,0,0,0.00359712230215827,0.0107913669064748,0.338129496402878,0,0.0287769784172662,0.0719424460431655,0,0,0,0,0.0143884892086331,0,0.0179856115107914,0.0323741007194245,0.348920863309353,0.00359712230215827,0,0,0,0.0179856115107914,0.00719424460431655,0.0899280575539568,0,0,0,0,0,0,0,0.00359712230215827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,10189,0.00469483568075117,0,0.0140845070422535,0.0140845070422535,0.00469483568075117,0.07981220657277,0.00938967136150235,0.028169014084507,0.00938967136150235,0.267605633802817,0,0.0140845070422535,0.126760563380282,0.00469483568075117,0,0.0234741784037559,0,0.0140845070422535,0,0.0563380281690141,0.0469483568075117,0.136150234741784,0,0,0,0,0.00938967136150235,0,0.0751173708920188,0,0.0140845070422535,0,0,0,0.00469483568075117,0,0.0187793427230047,0,0.00938967136150235,0,0,0,0,0,0,0.00469483568075117,0,0,0,0,0,0.00469483568075117,0,0,0,0.00469483568075117
660,10434,0,0.00387596899224806,0.00775193798449612,0.0193798449612403,0.00387596899224806,0.0155038759689922,0.00387596899224806,0.0116279069767442,0.00775193798449612,0.329457364341085,0,0.0232558139534884,0.0658914728682171,0.00387596899224806,0,0.0193798449612403,0,0.0116279069767442,0.00775193798449612,0.00387596899224806,0.0852713178294574,0.127906976744186,0,0,0,0,0.0232558139534884,0.00387596899224806,0.189922480620155,0,0.0155038759689922,0,0,0.00387596899224806,0,0,0.00387596899224806,0,0.00775193798449612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,10680,0,0,0.0263157894736842,0.0473684210526316,0.00526315789473684,0,0,0.0263157894736842,0.00526315789473684,0.121052631578947,0,0.00526315789473684,0.0894736842105263,0,0,0.00526315789473684,0,0.0157894736842105,0,0.0315789473684211,0.205263157894737,0.0526315789473684,0,0,0,0,0.0421052631578947,0.00526315789473684,0.268421052631579,0,0.0210526315789474,0.00526315789473684,0.0157894736842105,0,0,0,0.00526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,NA,0,0.00359712230215827,0.0143884892086331,0.0719424460431655,0,0.0143884892086331,0,0.0287769784172662,0.539568345323741,0.0287769784172662,0,0.0575539568345324,0.0179856115107914,0,0,0.00359712230215827,0,0.0575539568345324,0,0.00359712230215827,0.0431654676258993,0,0,0,0,0,0.0287769784172662,0.00359712230215827,0.0431654676258993,0,0,0,0,0,0,0,0.0359712230215827,0,0,0.00359712230215827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,NA,0.00851063829787234,0.0127659574468085,0.114893617021277,0.00851063829787234,0,0.025531914893617,0,0.0297872340425532,0.540425531914894,0.00425531914893617,0,0.0212765957446809,0.025531914893617,0,0,0.0170212765957447,0,0.051063829787234,0,0.0127659574468085,0,0,0,0,0,0,0.00851063829787234,0,0.0297872340425532,0,0.00851063829787234,0,0,0,0.00425531914893617,0,0.0595744680851064,0,0.00425531914893617,0,0.00851063829787234,0,0.00425531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0
