"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Arceuthobium","Betula","Carya","Castanea","Corylus","Cyperaceae","Juglans.cinerea","Juglans.nigra","Nyssa","Ostrya.Carpinus","Pinus.undiff.","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Populus","Poaceae","Cephalanthus.occidentalis","Platanus.occidentalis","Liquidambar.styraciflua","Fagus.grandifolia","Ambrosia.Iva","Ericaceae","Fraxinus.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Polygonum.lapathifolium.type","Fabaceae","Acer.rubrum","Ilex","Ulmus","Apiaceae","Brassicaceae","Acer.saccharum","Picea.undiff.","Thalictrum","Tilia","Cornus","Lamiaceae","Abies","Acer.negundo","Fraxinus.pennsylvanica.type","Amaranthaceae","Urticaceae","Fraxinus.nigra.type","Plantago","Diospyros","Artemisia","Rhamnaceae","Acer.undiff.","Cupressaceae","Alnus.undiff.","Caryophyllaceae","Epilobium","Polemonium","Sanguisorba.canadensis","Coniferophyta.undiff.","Larix","Rosaceae.undiff.","Picea.glauca","Picea.mariana","Campanula","Asteraceae.subf..Cichorioideae","Galium"
250,15937,375,185,20,1,5,0,0,0,36,0,0,0,0,28,2,1,0,20,0,5,0,0,0,1,0,0,0,5,5,0,0,0,0,0,0,0,0,32,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
260,16034,369,205,10,1,1,0,0,0,21,1,0,0,1,29,5,1,0,15,0,8,0,0,0,0,0,0,0,9,4,1,0,0,0,1,0,0,0,33,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,0,0,0,0,0,0,0,0
270,16092,376,197,8,1,8,0,0,1,24,0,0,0,0,34,0,0,0,25,0,6,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,1,0,33,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0
280,16133,385,129,28,0,3,0,0,0,27,0,0,0,1,54,1,0,0,19,0,7,0,0,0,1,0,0,0,18,8,0,0,0,0,0,0,0,0,47,0,0,0,1,15,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,3,8,0,0,0,0,0,0,0
290,16181,422,209,3,2,4,0,0,0,14,0,0,0,3,61,6,0,0,24,6,5,0,0,0,0,0,0,0,16,2,0,0,0,1,0,2,0,0,19,2,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3,5,0,0,16,0,0,1,1
300,16260,420,180,29,4,8,1,0,0,22,1,0,0,2,40,6,0,0,19,0,6,0,0,0,0,0,0,0,6,5,0,0,0,0,1,1,0,0,41,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,17,0,1,1,1,8,0,1,0,0,0,1,0
310,16391,419,231,8,1,6,0,0,0,18,0,0,0,2,50,8,0,0,29,1,4,1,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,1,10,2,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,3,6,0,1,9,0,0,1,0
310.1,16393,415,234,12,1,5,0,0,0,15,0,0,0,3,34,7,0,0,25,1,6,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,32,2,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,15,0,1,0,2,0,0,0
320,16583,409,201,30,1,7,1,0,0,13,0,0,0,0,48,1,1,0,33,0,3,0,0,0,0,0,0,0,8,6,0,0,1,0,0,0,0,0,24,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,7,0,2,0,0,0,2,0
330,16836,419,154,4,0,3,0,0,0,22,1,0,0,6,81,6,0,0,30,10,13,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,14,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,1,30,4,0,1,0
335,16986,420,122,4,0,8,0,0,0,12,0,0,0,1,83,5,0,0,23,2,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,53,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,0,0,31,18,0,0,0
340,17151,381,48,21,2,2,0,0,0,8,0,0,0,0,117,9,1,0,12,0,6,0,0,0,0,0,0,0,2,4,0,0,1,0,0,1,0,0,70,3,0,0,0,15,0,0,0,0,1,0,0,2,0,0,0,16,0,0,1,1,23,0,1,12,1,0,0,1
345,17332,406,24,16,0,6,0,0,0,26,0,0,0,2,178,8,1,0,14,5,6,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,50,1,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,16,0,0,23,14,0,0,0
350,17527,360,29,7,1,2,0,0,0,25,0,1,0,1,100,17,1,0,4,1,6,0,0,0,0,1,0,0,14,0,0,0,1,0,0,3,1,0,72,2,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,16,0,4,17,4,1,0,0
360,17957,399,15,0,0,2,0,0,0,11,0,0,0,1,148,8,0,0,16,0,9,0,0,0,0,0,0,0,4,2,0,0,0,0,1,2,5,0,119,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,6,27,0,0,2,0,0,0,0
370,18429,474,165,6,0,8,0,0,0,23,0,0,0,0,122,5,0,0,31,2,9,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,44,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,0,0,10,14,0,0,0
380,18932,484,16,1,0,8,1,0,1,20,0,0,0,1,243,6,0,1,14,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,63,2,0,1,0,11,0,2,1,0,1,0,0,6,0,0,0,0,0,0,0,1,18,0,1,27,28,0,0,0
390,19457,425,2,3,1,5,1,0,0,16,0,0,0,0,198,6,2,0,10,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,99,5,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,17,0,0,15,21,0,1,0
400,19991,363,0,2,0,0,0,0,0,10,0,0,0,0,164,6,0,0,9,1,13,0,1,0,0,2,0,0,6,11,0,0,0,0,0,1,1,0,104,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,2,18,0,0,0,0,0,3,0
400.1,19996,549,3,1,0,1,0,0,1,35,0,0,0,4,286,7,1,0,11,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,116,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,24,27,0,4,1
405,NA,449,0,0,0,0,0,0,0,5,0,0,0,0,235,2,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,95,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,77,0,3,2,11,0,0,0
