"sample.depths","sample.ages","Alnus.viridis.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Picea.mariana.type","Pinus.undiff.","Asteraceae.subf..Asteroideae.undiff.","Amaranthaceae","Poaceae","Corylus.cornuta","Pinus.banksiana.type","Picea.undiff.","Saxifragaceae.undiff.","Alnus.incana.type","Ambrosia.type","Fraxinus.nigra.type","Picea.glauca.type","Quercus","Rosaceae.undiff.","Juniperus.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Salix.undiff.","Fagus","Populus.tremuloides.type","Abies.balsamea","Ulmus","Pinus.resinosa.type","Myrica.gale","Fraxinus.pennsylvanica.type","Saxifraga.oppositifolia.type","Tsuga.canadensis","Brassicaceae","Potentilla.palustris.type","Acer.rubrum","Caryophyllaceae","Epilobium","Acer.saccharum","Ribes","Salix.vestita.type","Juglans.cinerea","Sambucus","Populus.balsamifera.type","Shepherdia.canadensis","cf..Oxyria.digyna"
275,3865,0.438077634011091,0,0.127541589648799,0.0184842883548983,0.00924214417744917,0.00184842883548983,0.343807763401109,0.00184842883548983,0,0,0.00369685767097967,0,0.0055452865064695,0.0369685767097967,0,0,0,0,0,0,0,0,0,0,0.0055452865064695,0,0,0,0.00369685767097967,0,0,0,0,0,0,0,0,0.00184842883548983,0.00184842883548983,0,0,0,0,0,0,0,0
300,4154,0.539354838709677,0.00387096774193548,0.227096774193548,0.0193548387096774,0.00774193548387097,0.0103225806451613,0.131612903225806,0.00129032258064516,0,0,0.0116129032258065,0,0.00903225806451613,0.0309677419354839,0,0.00258064516129032,0.00129032258064516,0,0,0,0,0.00129032258064516,0,0,0.00129032258064516,0,0,0,0.00129032258064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,NA,0.54380664652568,0.00453172205438067,0.214501510574018,0.0241691842900302,0.00453172205438067,0.00151057401812689,0.141993957703928,0.00302114803625378,0,0.00151057401812689,0.0241691842900302,0,0.0105740181268882,0.0151057401812689,0,0.00453172205438067,0,0,0,0,0,0.00453172205438067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151057401812689,0,0,0,0,0,0,0
325,NA,0.422818791946309,0,0.324384787472036,0.0134228187919463,0.0111856823266219,0.00223713646532438,0.187919463087248,0,0,0,0.0223713646532438,0,0.00447427293064877,0.00447427293064877,0,0,0.00223713646532438,0,0,0,0,0.00447427293064877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,NA,0.467005076142132,0.0050761421319797,0.350253807106599,0.0186125211505922,0.0050761421319797,0.0101522842639594,0.101522842639594,0.00169204737732657,0,0,0.011844331641286,0,0.00846023688663283,0.0135363790186125,0,0.00338409475465313,0,0,0,0,0,0.00169204737732657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169204737732657,0,0,0,0,0,0,0
350,NA,0.388613861386139,0.00495049504950495,0.418316831683168,0.0495049504950495,0.00495049504950495,0.00742574257425743,0.0594059405940594,0.00742574257425743,0,0,0.0148514851485149,0,0.0123762376237624,0.0198019801980198,0,0,0,0,0,0,0,0.00495049504950495,0,0,0,0,0,0,0.00247524752475248,0,0,0,0,0.00247524752475248,0,0,0,0,0,0,0.00247524752475248,0,0,0,0,0,0
365,NA,0.397321428571429,0.00892857142857143,0.399553571428571,0.0401785714285714,0.0111607142857143,0,0.0870535714285714,0.00223214285714286,0,0.00223214285714286,0.015625,0,0.00669642857142857,0.0111607142857143,0,0.00223214285714286,0,0,0,0,0,0.00223214285714286,0,0,0.00669642857142857,0,0.00223214285714286,0,0,0,0.00223214285714286,0,0,0,0,0,0,0,0,0,0,0.00223214285714286,0,0,0,0,0
375,NA,0.296240601503759,0.00601503759398496,0.622556390977444,0.0285714285714286,0.00902255639097744,0.00300751879699248,0.0135338345864662,0,0,0.00150375939849624,0.0075187969924812,0,0,0,0,0,0.00300751879699248,0,0,0,0,0.00451127819548872,0.00150375939849624,0,0.00150375939849624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150375939849624,0,0,0,0
385,NA,0.295698924731183,0.00537634408602151,0.483870967741935,0.0537634408602151,0.0089605734767025,0,0.07168458781362,0.0017921146953405,0,0,0.0161290322580645,0,0.0304659498207885,0.0197132616487455,0,0,0.0017921146953405,0,0,0,0,0,0,0,0.003584229390681,0,0,0,0,0,0.00537634408602151,0,0,0,0,0,0,0,0,0,0,0,0,0.0017921146953405,0,0,0
400,NA,0.241290322580645,0.0116129032258065,0.508387096774194,0.0980645161290323,0.0064516129032258,0,0.032258064516129,0.00258064516129032,0.00129032258064516,0.00387096774193548,0.0270967741935484,0.00129032258064516,0.0129032258064516,0.00774193548387097,0,0,0.00129032258064516,0,0,0,0,0.0129032258064516,0.00258064516129032,0,0.0154838709677419,0,0.00258064516129032,0,0.00258064516129032,0,0.00129032258064516,0,0,0,0,0,0,0,0,0,0,0.00129032258064516,0,0,0.00129032258064516,0.00129032258064516,0.00258064516129032
