"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Corylus","Elaeagnus","Asteraceae.subf..Cichorioideae","Picea","Quercus","Salix","Ulmus","Alnus","Fraxinus","Pinus","Amaranthaceae","Poaceae","Plantago","Shepherdia","Acer.spicatum","Asteraceae.subf..Asteroideae.undiff.","Polygonaceae","Thalictrum","Cyperaceae","Populus","Rosaceae","Juglans","Ostrya.Carpinus","Ephedra","Myrica","Cupressaceae","Ericaceae","Abies","Larix","Carya"
70,764,492,0,17,86,18,13,2,0,6,107,11,3,8,6,55,26,87,0,0,0,19,0,3,24,0,0,0,1,0,0,0,0,0,0,0
90,1013,518,1,8,79,13,9,3,0,12,128,8,2,6,4,98,26,77,0,0,0,18,0,1,22,1,0,0,2,0,0,0,0,0,0,0
110,1262,441,0,7,63,22,17,2,0,5,113,21,3,3,2,82,23,62,0,0,0,13,0,0,2,0,0,0,0,1,0,0,0,0,0,0
130,1510,520,1,11,83,16,7,0,0,20,89,10,3,10,1,120,17,82,0,0,0,16,0,2,25,3,0,0,3,0,1,0,0,0,0,0
150,1759,537,0,14,106,14,12,3,0,17,113,9,3,9,0,104,22,83,0,1,0,18,0,1,2,0,0,0,6,0,0,0,0,0,0,0
170,2008,405,0,6,91,11,4,0,1,22,48,6,2,8,1,111,19,55,0,0,0,9,0,2,9,0,0,0,0,0,0,0,0,0,0,0
195,2319,526,1,10,69,22,4,0,0,15,151,7,5,8,6,64,12,97,0,0,1,21,1,2,27,0,0,0,0,0,0,3,0,0,0,0
215,2552,531,0,8,82,16,5,0,0,15,68,11,4,15,1,101,11,128,1,0,0,26,0,1,32,0,1,0,2,0,0,2,1,0,0,0
235,2734,542,1,9,83,29,9,0,0,15,82,13,3,22,1,50,25,128,1,0,0,17,1,2,44,2,0,1,0,1,0,2,0,1,0,0
255,2917,450,0,8,87,24,4,0,0,14,66,19,3,27,6,47,37,83,2,0,0,4,0,0,18,0,0,0,0,0,0,1,0,0,0,0
275,3099,520,0,20,102,32,3,0,0,14,80,15,1,20,7,50,21,109,0,0,0,21,0,1,21,1,0,0,0,0,0,2,0,0,0,0
295,3282,541,0,15,78,24,6,0,0,7,54,8,0,13,5,75,23,145,0,1,2,33,2,1,44,1,0,0,1,0,0,3,0,0,0,0
315,3465,525,0,15,123,19,3,0,0,3,23,6,4,16,7,67,36,146,0,0,0,23,0,4,29,0,0,0,0,0,0,1,0,0,0,0
340,3769,521,0,10,59,22,0,0,0,10,18,10,5,16,4,37,21,259,0,1,0,10,0,0,28,3,0,0,1,0,0,7,0,0,0,0
355,3952,535,1,20,62,27,3,0,0,6,21,7,8,24,6,66,45,154,0,1,2,22,2,3,43,1,0,0,2,0,0,9,0,0,0,0
375,4196,419,0,15,120,15,0,0,0,7,21,1,4,16,7,46,21,93,0,0,0,18,0,2,24,0,0,0,0,0,0,9,0,0,0,0
400,4500,525,2,33,81,12,0,0,0,9,31,7,9,17,7,76,46,144,0,0,0,18,0,1,28,0,0,0,0,0,0,4,0,0,0,0
410,4622,542,2,35,74,21,1,0,0,9,38,4,10,16,10,73,46,123,1,0,0,21,0,5,43,0,0,0,0,0,0,10,0,0,0,0
420,4744,531,1,25,72,26,1,0,1,8,28,8,2,16,3,94,37,145,0,0,0,17,0,2,38,0,0,0,0,0,0,7,0,0,0,0
430,4866,528,0,30,77,21,2,0,1,6,25,5,6,17,3,65,67,145,0,0,2,17,2,4,27,0,0,0,0,0,1,5,0,0,0,0
440,4988,546,0,23,146,21,1,0,0,5,13,10,5,18,3,64,25,128,0,0,0,29,0,0,48,0,0,1,1,0,0,5,0,0,0,0
455,5153,526,1,28,97,21,1,0,0,3,41,2,5,19,9,85,32,133,0,0,0,20,0,1,26,0,0,0,0,0,0,2,0,0,0,0
470,5283,540,0,17,109,13,1,0,0,8,5,3,6,15,5,66,20,201,0,0,0,19,0,1,46,0,0,0,0,0,0,5,0,0,0,0
485,5412,553,0,18,103,15,0,0,1,5,8,1,2,19,2,77,25,192,0,0,2,19,2,0,54,0,0,0,2,0,0,6,0,0,0,0
505,5585,523,0,10,122,15,3,0,0,2,8,4,4,16,2,74,65,146,1,0,0,13,0,0,30,1,0,0,0,0,0,7,0,0,0,0
525,5759,539,0,23,124,7,4,0,0,3,8,7,2,20,2,67,40,165,0,0,0,18,0,0,43,1,0,0,0,0,0,5,0,0,0,0
550,5975,526,0,18,136,6,0,0,1,4,9,0,5,19,2,97,57,117,0,0,2,25,2,1,19,0,0,0,0,0,0,6,0,0,0,0
574,6222,542,0,31,113,1,0,0,0,12,13,6,4,16,3,112,36,126,0,0,0,11,0,1,47,2,0,0,1,0,0,7,0,0,0,0
594,6592,530,8,30,98,9,0,0,0,5,14,4,3,11,8,84,59,126,0,1,0,17,2,1,34,3,0,0,0,0,2,11,0,0,0,0
614,6961,532,2,25,93,12,0,0,0,6,16,4,9,16,6,72,50,149,1,0,0,15,0,0,43,1,0,0,1,0,0,11,0,0,0,0
634,7331,305,0,11,83,7,2,0,0,5,13,1,2,5,0,37,27,96,0,0,0,6,0,0,6,0,0,0,0,0,0,4,0,0,0,0
654,7701,506,0,32,123,6,1,0,0,4,12,1,6,9,4,53,33,189,2,0,0,14,0,1,10,0,0,0,0,0,0,6,0,0,0,0
674,8070,512,0,30,132,6,0,0,2,6,23,13,3,16,16,61,88,96,0,0,0,8,0,2,2,0,0,0,3,0,0,5,0,0,0,0
694,8440,524,0,54,112,10,1,0,0,10,18,0,6,18,6,68,54,116,0,0,0,13,0,0,29,2,0,0,0,0,0,7,0,0,0,0
715,8828,523,0,57,108,12,3,0,0,3,11,4,9,14,8,44,38,145,1,2,2,26,2,1,22,2,0,0,1,0,0,8,0,0,0,0
735,9198,516,0,29,130,9,0,0,1,5,11,8,8,8,3,63,51,143,0,0,0,18,0,0,21,1,0,0,0,0,0,7,0,0,0,0
755,9567,531,0,39,134,15,0,0,0,2,10,7,6,6,4,75,52,123,0,0,0,7,0,0,37,3,0,0,0,0,0,11,0,0,0,0
775,9937,523,0,36,185,6,2,0,0,4,7,2,6,12,3,69,66,78,3,0,0,9,0,0,26,3,0,0,1,0,0,5,0,0,0,0
795,10307,517,0,40,156,21,0,0,0,8,7,1,5,6,3,49,46,130,1,0,0,19,0,2,21,0,0,0,1,0,0,1,0,0,0,0
815,10676,536,0,24,142,6,1,0,0,6,2,1,4,10,0,77,77,136,0,0,0,8,0,0,36,0,0,0,0,0,0,5,0,0,1,0
835,11046,521,0,22,211,14,0,0,0,13,1,4,2,10,1,68,41,91,1,0,1,10,1,0,22,1,0,0,0,0,0,5,0,0,2,0
855,11416,440,1,64,152,5,1,0,0,9,1,4,3,5,3,61,56,48,0,1,0,16,0,0,8,2,0,0,0,0,0,0,0,0,0,0
865,11601,523,0,35,130,13,1,0,1,7,6,2,8,10,8,34,69,124,3,0,1,23,1,0,27,0,2,0,2,0,0,16,0,0,0,0
870,11693,514,0,61,106,6,0,0,1,10,3,3,0,8,3,36,104,126,0,2,0,18,0,0,20,0,1,0,0,0,0,6,0,0,0,0
875,11785,525,0,49,151,6,0,0,0,9,4,2,3,7,1,34,66,129,1,2,0,15,0,2,30,3,2,0,0,0,0,9,0,0,0,0
880,11878,510,0,77,111,3,1,0,0,7,1,3,1,8,0,44,46,165,0,0,0,10,0,0,29,0,2,0,0,0,0,2,0,0,0,0
885,11970,510,0,59,138,7,0,0,0,6,1,4,0,8,2,54,68,113,1,1,0,19,0,2,19,1,2,0,0,0,0,5,0,0,0,0
890,12063,526,1,49,125,7,0,0,0,6,2,13,0,6,1,30,45,164,0,4,0,20,0,3,34,4,0,0,1,0,0,10,0,0,0,1
895,12155,524,0,56,148,5,0,0,0,5,2,10,2,7,2,40,63,121,0,3,2,12,2,0,34,0,3,0,0,0,0,7,0,0,0,0
900,12247,518,0,72,161,6,1,0,0,5,1,2,3,1,1,34,56,113,0,3,0,14,0,2,30,0,3,0,2,0,0,8,0,0,0,0
905,12340,518,1,112,137,8,0,0,1,16,2,5,2,4,0,38,81,60,0,3,0,10,0,0,23,1,2,0,0,0,0,12,0,0,0,0
910,12432,526,0,45,115,5,0,0,1,10,2,11,1,3,1,37,72,170,0,2,0,13,0,2,29,0,3,0,0,0,0,4,0,0,0,0
915,12525,538,0,14,104,11,2,0,3,6,5,11,2,9,1,38,33,219,0,3,0,14,0,1,44,1,2,0,0,0,0,15,0,0,0,0
920,12617,527,0,26,134,9,0,0,0,16,5,13,3,3,0,40,56,161,0,7,0,10,0,1,36,1,0,0,1,0,0,5,0,0,0,0
925,12710,539,0,19,88,18,0,0,0,20,8,29,3,3,1,44,44,166,0,4,0,19,0,3,44,2,2,0,5,0,0,17,0,0,0,0
930,12802,664,1,28,93,22,3,0,1,67,8,34,30,11,2,73,31,126,0,5,0,10,0,3,75,5,5,1,0,0,0,27,0,0,3,0
935,12894,570,0,17,75,19,5,0,1,61,13,45,17,5,3,29,31,91,0,1,0,8,0,2,72,34,2,1,10,0,0,27,0,0,1,0
940,12987,556,0,15,53,27,2,0,0,143,10,22,9,1,5,28,14,72,0,1,0,5,0,1,61,40,1,0,0,0,0,46,0,0,0,0
945,13079,545,0,4,53,53,2,0,0,246,8,15,4,5,5,15,7,27,0,2,0,7,0,0,47,26,0,0,3,0,0,15,0,0,1,0
960,13356,532,1,58,183,4,1,0,1,13,5,7,3,4,1,43,49,93,0,2,1,12,1,0,34,3,0,0,0,0,0,13,0,0,0,0
965,13449,678,0,37,128,17,1,0,0,32,13,32,22,7,3,63,43,122,0,3,0,11,0,5,87,22,0,0,2,0,0,28,0,0,0,0
970,13541,556,0,1,54,36,0,0,0,315,4,10,0,3,0,7,3,40,0,0,0,5,0,0,60,8,0,0,0,0,0,7,0,2,1,0
975,13634,547,0,2,67,32,0,0,0,308,2,9,0,3,4,14,7,28,0,1,0,3,0,1,53,7,0,0,0,0,0,6,0,0,0,0
980,13726,549,1,0,66,42,2,0,0,314,3,11,2,2,4,9,6,19,0,1,0,0,0,1,52,5,1,0,0,0,0,7,0,0,1,0
985,13819,553,0,4,82,30,0,2,0,261,0,10,2,0,0,14,17,46,0,1,0,8,0,0,63,3,0,0,2,0,0,8,0,0,0,0
990,NA,536,0,3,76,19,2,0,0,359,0,7,1,1,2,1,8,13,0,1,0,2,0,0,41,0,0,0,0,0,0,0,0,0,0,0
995,NA,696,0,10,111,16,0,0,0,165,6,26,1,1,21,21,9,46,3,6,0,7,0,3,209,13,1,1,4,0,0,15,0,0,0,1
1000,NA,597,0,12,84,7,0,1,0,241,1,19,0,3,10,22,14,50,0,14,0,7,0,0,106,3,0,0,2,0,0,1,0,0,0,0
