"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Caltha","Carya","Caryophyllaceae","Castanea","Corylus","Cupressaceae","Cyperaceae","Dryas.type","Equisetum","Ericaceae","Fabaceae","Fagus","Filicopsida.undiff.","Fraxinus","Galium","Ilex","Indeterminable","Isoëtes","Juglans","Lamiaceae","Larix","Liquidambar","Lycopodium.type","Myrica","Nemopanthus","Nuphar","Nymphaea","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Potentilla.type","Quercus","Ranunculaceae.undiff.","Rhamnaceae","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Urtica.type"
225,2870,0,28,6,0,2,0,0,0,0,27,0,0,5,0,0,0,1,0,0,0,0,0,86,0,19,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,10,3,3,17,14,4,2,2,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,24,0
245,3211,0,43,2,1,4,0,0,1,1,29,0,1,6,0,0,0,1,2,0,0,0,0,78,1,19,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,10,1,1,12,16,3,0,2,0,0,46,0,0,0,0,0,1,0,0,0,0,0,1,3,34,0,44,0
265,3550,0,26,0,0,2,0,0,0,0,37,0,2,6,0,0,1,0,0,0,0,0,0,74,1,20,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,16,1,1,24,21,8,1,1,0,0,67,0,0,0,0,0,0,0,0,0,0,0,1,2,35,0,33,0
285,3884,0,39,0,2,3,0,0,0,0,35,0,1,11,0,0,0,0,2,0,0,0,0,82,2,21,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,16,0,2,30,16,1,1,1,0,0,83,0,0,0,0,0,1,0,0,0,0,0,0,5,31,0,28,0
305,4208,0,25,1,1,1,0,2,1,0,28,0,2,6,0,1,1,1,2,0,0,0,0,66,1,16,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,10,1,0,30,17,4,1,1,0,0,53,0,1,0,0,0,0,0,0,0,0,0,0,5,11,0,30,1
325,4519,0,30,4,1,1,0,2,1,0,22,0,0,5,0,0,1,3,1,0,0,0,0,84,3,13,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,9,0,0,12,11,8,1,3,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,47,0
345,4813,0,40,1,1,3,0,1,0,0,24,0,1,7,0,0,0,6,1,0,0,0,1,90,4,26,0,1,3,0,4,0,3,0,0,0,0,0,0,0,1,14,0,2,47,26,8,0,0,0,0,82,0,0,0,0,0,1,0,0,0,0,0,1,1,11,0,36,0
365,5087,0,38,1,1,3,0,1,3,0,19,1,2,4,0,0,1,3,0,0,0,0,0,72,6,21,0,3,5,0,2,0,1,0,0,0,0,0,0,0,2,16,0,0,27,20,7,1,2,0,0,68,0,0,1,0,0,0,0,0,0,0,0,1,3,13,0,55,0
385,5338,0,20,1,0,1,0,1,1,0,7,0,1,3,0,0,1,3,3,0,0,0,0,52,4,12,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,12,1,0,14,11,3,1,3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,4,34,0,37,0
405,5575,0,21,1,0,1,0,1,0,0,9,0,2,6,0,1,0,1,0,0,0,0,0,35,3,10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,21,20,9,1,1,0,0,60,0,1,0,0,0,1,1,0,0,0,0,0,1,26,0,30,1
425,5807,0,20,0,1,2,0,0,1,0,12,0,2,10,0,0,1,2,0,0,0,0,0,62,3,17,0,1,6,0,6,0,1,0,0,0,0,0,0,0,0,14,2,1,13,10,2,0,2,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,5,29,1,33,2
446,6054,0,15,2,0,2,0,0,1,0,6,0,2,7,0,0,0,1,0,0,0,0,0,84,3,9,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,11,1,0,3,13,10,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,6,69,0,38,2
465,6289,0,33,0,0,1,0,2,0,0,6,0,1,4,0,0,0,0,0,0,0,0,0,68,3,11,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,21,0,1,10,9,3,2,0,0,0,75,0,0,1,0,1,0,0,0,0,0,0,0,8,32,0,55,0
485,6555,0,31,0,0,2,0,2,1,0,5,0,5,6,0,0,1,1,0,0,0,0,0,108,5,17,0,1,6,0,3,0,0,0,0,0,0,0,0,0,0,20,1,1,6,12,3,1,0,0,0,48,0,0,0,0,1,1,0,0,0,0,0,0,4,27,0,61,0
505,6839,0,28,2,0,1,0,0,0,0,4,2,4,11,0,0,1,1,0,0,0,0,0,93,1,9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,25,1,0,8,7,9,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,4,23,1,40,1
510,6914,0,34,1,3,2,0,2,0,0,7,2,3,7,0,0,0,3,0,0,0,0,0,129,5,16,0,0,5,0,1,0,2,0,0,0,0,0,1,0,0,25,2,0,19,10,7,1,1,0,0,64,0,0,1,0,0,4,0,0,0,0,0,0,7,24,0,63,0
525,7144,0,36,2,1,1,0,1,1,0,4,1,4,7,0,0,3,0,3,0,0,0,0,111,5,12,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,51,0,1,7,16,8,0,1,0,0,111,0,0,1,0,0,1,0,0,0,0,0,0,7,28,0,88,0
535,7305,0,19,1,0,1,0,1,1,0,9,0,0,5,0,0,1,1,1,0,0,0,0,70,2,19,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,32,0,2,13,8,5,1,1,0,0,64,0,1,0,0,0,1,1,0,1,0,0,0,9,31,0,51,0
545,7471,0,26,1,1,1,0,1,1,0,6,1,1,8,0,0,1,2,2,0,0,0,0,93,2,6,0,0,2,0,4,0,2,0,1,0,0,0,0,0,1,29,0,1,10,5,5,0,1,0,0,50,0,0,0,0,0,3,0,0,1,0,0,0,4,32,0,51,0
555,7642,0,18,0,0,0,1,0,0,0,6,0,1,6,0,0,0,1,1,0,0,0,0,68,1,10,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,24,1,2,6,9,5,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,4,102,0,47,0
565,7819,0,18,2,2,6,0,1,3,0,10,0,1,11,0,0,2,3,3,0,0,0,0,62,3,31,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,32,2,4,31,20,4,1,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,5,77,0,49,1
575,8003,0,24,1,0,2,0,0,0,0,9,0,1,11,0,1,1,2,0,0,0,1,0,11,4,21,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,37,4,5,43,40,2,4,2,1,0,66,0,1,0,0,0,0,0,0,0,0,0,0,2,74,0,42,0
585,8192,2,13,1,2,3,0,3,0,0,10,0,3,6,0,0,0,0,1,0,0,0,0,6,2,11,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,26,1,13,58,41,5,0,3,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,8,117,0,26,1
595,8388,0,23,1,1,0,0,0,1,0,11,0,3,2,0,0,1,0,3,0,0,0,0,4,0,9,0,0,3,0,2,0,1,0,0,1,0,0,0,0,0,78,2,18,94,40,4,3,4,0,0,76,0,1,0,0,0,1,0,0,0,0,0,1,7,52,0,29,3
605,8590,6,24,3,0,3,0,0,2,0,17,0,1,7,0,1,3,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,85,9,58,116,37,7,2,2,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,25,6
615,8799,0,3,0,2,1,0,1,0,0,14,0,0,2,0,0,1,0,1,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,36,41,36,4,1,1,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0
625,9016,1,6,0,2,2,0,1,1,0,19,0,0,2,0,0,1,0,3,0,0,0,0,0,3,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,7,52,85,34,5,2,1,0,0,62,0,1,0,0,0,1,0,0,0,0,0,0,4,5,0,11,4
635,9243,2,9,0,0,2,0,2,1,0,8,0,1,3,0,0,0,0,1,0,0,0,0,4,4,11,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,28,12,56,97,29,0,1,7,0,0,57,0,0,0,1,0,0,0,0,0,0,0,0,2,18,1,17,3
645,9480,2,1,1,0,0,0,3,0,0,28,0,1,1,0,0,1,0,0,0,0,0,0,0,7,12,1,0,1,0,1,0,2,0,0,1,0,0,0,0,0,21,4,102,149,35,0,4,7,0,0,63,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,8,3
655,9729,3,3,0,1,0,0,3,1,0,15,0,1,2,0,0,0,0,2,0,0,0,0,0,6,7,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,12,5,87,102,63,0,3,5,0,0,50,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,16,1
665,9991,4,6,0,1,1,0,2,3,0,18,0,4,6,0,0,1,0,1,0,0,0,0,3,4,9,0,0,4,0,0,0,4,0,0,1,0,0,0,0,0,15,2,118,63,54,0,2,4,0,0,58,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,15,3
675,10267,3,2,1,1,1,0,1,1,0,20,0,3,4,0,0,1,0,1,0,1,0,0,2,6,7,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,9,2,100,85,53,0,0,2,0,0,31,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,6,1
685,10559,7,2,3,0,3,0,2,0,0,38,0,3,1,0,0,4,0,0,0,0,0,0,0,3,1,0,0,5,0,1,0,2,0,0,1,0,0,0,0,0,15,8,141,110,53,0,1,13,0,0,43,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,13,3
695,10867,4,4,1,0,3,0,0,1,0,21,0,4,3,0,0,3,0,2,0,0,0,0,0,5,15,0,0,2,0,1,0,3,0,1,1,0,0,0,0,0,16,5,82,96,40,0,1,14,0,0,56,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,30,0
705,11194,9,4,0,0,1,0,3,4,0,55,0,3,2,0,0,2,0,4,0,0,0,0,1,3,15,0,0,3,0,0,0,5,0,1,1,0,1,0,0,0,25,18,90,82,60,0,2,7,0,0,63,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,35,1
715,11552,10,1,1,1,2,0,2,2,0,50,0,1,5,0,0,7,0,3,1,0,0,0,1,5,12,0,0,1,0,3,0,5,0,2,1,0,0,0,0,0,51,17,61,23,50,0,2,2,0,0,98,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,29,1
725,11951,3,1,2,1,3,0,4,0,0,12,0,0,2,0,0,8,0,2,0,0,0,1,0,4,13,0,0,2,0,6,0,2,0,0,0,0,0,0,0,0,23,36,100,8,55,0,4,3,0,0,31,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,11,3
735,12392,0,2,6,0,1,0,8,5,0,27,0,0,1,0,0,0,0,4,0,0,0,0,0,3,15,0,0,2,1,0,0,7,0,0,0,0,0,0,0,0,12,68,27,8,25,0,13,14,0,0,42,0,0,1,0,0,2,0,2,0,0,0,0,0,4,0,23,4
745,12865,0,0,5,1,6,0,18,3,0,17,0,0,1,1,0,0,0,11,0,0,0,0,0,0,1,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,1,182,34,0,22,0,11,5,0,0,20,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,3,2
750,13109,1,0,2,0,5,0,17,5,0,12,0,0,0,0,0,0,0,13,0,1,0,0,0,1,2,0,0,1,0,1,0,14,0,1,0,0,0,0,0,0,3,184,19,0,13,0,14,4,0,1,15,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,6,0
755,13357,1,0,1,1,7,0,18,4,0,8,0,0,1,0,0,0,0,7,0,0,0,0,0,0,9,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,234,13,0,2,0,1,3,0,0,21,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0
759,13556,3,0,1,1,3,0,9,1,0,6,0,0,3,0,0,0,0,13,0,0,0,0,0,4,10,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,11,196,9,0,4,0,1,0,0,0,16,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,2,0
766,NA,2,1,0,0,9,0,26,0,0,3,0,0,2,0,0,0,1,24,0,0,1,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,104,6,0,4,0,7,2,0,0,15,0,0,0,0,0,2,0,0,0,1,0,1,0,0,2,3,6
770,NA,2,0,4,0,2,0,46,6,0,7,0,0,0,0,1,0,3,46,0,0,0,0,0,5,7,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,5,98,5,1,12,0,13,1,2,0,12,0,0,2,0,0,10,0,0,1,3,0,2,0,0,0,2,0
