"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Elaeagnus","Ephedra.torreyana.type","Equisetum","Ericaceae","Fraxinus.americana.type","Fraxinus.nigra","Humulus","Indeterminable","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Larix","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown","Xanthium"
180,8316,0,48,6,17,0,6,0,60,0,0,0,0,9,1,4,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,1,1,0,10,126,5,3,0,0,3,0,1,4,0,0,1,0,0,0,1,0,1,0
190,8540,0,31,7,11,0,4,3,79,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,10,130,10,2,0,1,4,0,0,4,2,0,0,0,0,0,4,0,4,0
200,8765,0,45,4,3,1,5,0,53,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,12,155,4,5,0,1,1,0,0,2,1,0,0,0,0,0,1,1,0,0
210,8990,0,73,8,10,0,9,1,69,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,15,106,3,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
220,9214,0,72,3,5,0,11,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,27,82,4,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,1,1
230,9439,0,24,18,15,0,25,4,127,0,0,1,0,2,0,1,1,0,1,0,0,1,0,8,0,0,0,0,0,0,8,0,0,0,1,19,39,4,0,0,0,3,0,0,5,1,0,0,0,0,0,1,0,1,1
240,9664,0,5,3,4,0,16,2,83,0,0,0,0,6,5,0,0,0,0,0,1,0,0,3,0,0,0,0,4,0,4,0,0,0,1,38,119,2,2,0,0,1,0,0,1,3,1,0,1,0,0,0,0,1,0
250,9889,0,2,3,8,0,21,3,70,0,0,0,0,13,10,3,0,0,2,0,1,0,0,2,0,0,0,0,4,0,2,0,0,0,0,73,54,5,19,0,2,4,0,1,4,0,0,0,0,0,0,1,3,3,0
260,10113,0,0,7,7,0,24,3,55,0,0,0,0,18,8,3,0,0,2,1,0,0,0,2,0,0,0,0,7,0,9,0,0,0,0,71,47,6,19,2,1,4,0,1,5,2,0,0,0,0,0,1,6,2,0
265,NA,1,2,8,16,0,42,3,54,0,1,0,0,10,5,1,1,0,0,0,0,0,0,4,0,1,0,0,2,1,37,0,0,0,2,24,41,7,25,1,1,6,0,0,5,0,0,0,0,0,0,0,7,2,0
270,NA,0,2,9,9,0,32,1,16,0,0,0,0,15,27,5,0,0,2,1,0,0,0,6,0,0,0,1,0,0,42,0,0,0,0,27,72,4,23,2,5,4,0,0,7,1,1,0,0,0,0,0,6,1,0
275,NA,0,3,7,8,0,24,2,23,0,0,0,0,5,23,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,9,1,0,0,1,33,108,3,15,1,4,12,1,0,0,0,2,0,1,1,0,1,18,2,0
