"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Larix","Picea","Quercus","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Ambrosia","Fraxinus","Pinus","Populus","Amaranthaceae","Poaceae","Ericaceae","Asteraceae.subf..Cichorioideae","Ulmus","Ephedra","Ranunculaceae.undiff.","Plantago","Rosaceae","Carpinus","Shepherdia.argentea","Myrica","Shepherdia.canadensis","Juglans","Abies","Rumex","Symphoricarpos","Carya","Polygonum"
65,1554,1426,108,390,20,2,64,2,218,34,42,2,8,168,18,0,250,2,20,68,0,0,4,0,2,0,4,0,0,0,0,0,0,0,0,0,0
70,1656,1872,106,614,38,2,94,4,264,60,58,2,8,220,16,8,234,12,14,114,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
75,1792,1508,100,448,26,0,68,6,206,52,48,8,12,190,4,8,212,12,12,82,2,0,4,0,2,2,2,0,0,0,0,0,0,0,2,0,0
80,1962,1846,106,624,36,0,96,0,242,42,42,4,14,194,14,2,286,8,30,98,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0
85,2131,1200,94,458,24,0,46,2,140,38,44,2,12,90,12,2,104,16,18,88,0,0,4,0,0,2,4,0,0,0,0,0,0,0,0,0,0
90,2301,2324,174,844,46,4,70,8,358,70,52,16,18,178,20,0,292,6,40,106,0,0,10,0,4,2,6,0,0,0,0,0,0,0,0,0,0
95,2471,216,36,52,4,2,10,0,4,10,8,2,6,10,10,2,24,2,8,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2810,598,82,174,36,0,12,0,4,48,24,0,2,22,28,18,56,0,14,46,0,16,8,0,2,0,4,0,0,0,0,2,0,0,0,0,0
115,3150,370,66,88,26,4,12,0,10,6,14,0,8,16,16,2,40,0,10,44,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
125,3489,532,114,112,40,4,16,0,10,0,34,0,20,30,16,4,56,0,20,48,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
135,3828,532,136,44,24,2,34,0,12,4,36,2,10,34,28,0,60,0,36,50,0,0,2,0,2,2,10,0,2,0,2,0,0,0,0,0,0
145,4168,448,86,30,32,2,16,0,12,6,20,0,10,30,20,8,54,0,62,46,0,0,2,0,2,0,8,2,0,0,0,0,0,0,0,0,0
155,4507,478,132,22,56,10,22,0,10,2,10,2,8,20,30,0,50,0,32,56,0,0,8,0,0,0,4,4,0,0,0,0,0,0,0,0,0
165,4847,456,152,28,10,2,10,0,0,6,14,2,28,22,20,0,50,0,52,50,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0
175,5186,532,136,56,32,2,16,0,8,10,24,0,8,30,24,8,38,0,58,68,0,0,2,0,0,0,6,2,2,0,0,0,0,0,0,2,0
185,5526,452,118,22,16,0,32,0,8,2,12,0,16,36,28,2,70,0,28,58,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
195,5857,436,88,34,14,2,42,0,6,2,12,0,12,26,24,2,68,0,32,56,0,0,8,0,2,0,4,2,0,0,0,0,0,0,0,0,0
205,6166,502,108,20,28,4,24,0,10,2,24,2,14,42,48,2,46,0,50,64,0,0,0,0,2,0,10,0,0,0,0,0,0,0,2,0,0
215,6474,418,110,10,54,0,42,0,8,2,12,0,6,24,24,0,40,0,32,44,0,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0
225,6782,580,162,16,42,0,26,0,10,0,20,2,20,26,48,2,46,0,48,94,0,2,6,0,2,0,8,0,0,0,0,0,0,0,0,0,0
235,7082,582,136,26,36,0,42,0,6,2,40,4,8,26,46,0,50,0,48,86,0,4,4,0,4,2,10,0,0,0,2,0,0,0,0,0,0
245,7357,750,192,24,16,4,72,0,20,0,34,0,20,24,74,0,76,0,78,98,0,0,4,0,8,0,6,0,0,0,0,0,0,0,0,0,0
255,7631,462,134,14,16,0,46,0,4,2,26,0,22,24,30,2,36,0,38,56,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0
265,7905,672,158,10,4,2,86,0,40,6,28,0,20,14,52,0,60,2,90,84,0,6,4,0,0,0,4,2,0,0,0,0,0,0,0,0,0
275,8128,764,192,34,18,6,56,0,22,6,24,0,22,24,66,0,86,0,86,116,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0
285,8198,1154,270,26,10,16,88,0,56,2,84,4,32,26,130,6,94,0,148,142,0,0,2,0,4,2,6,0,2,0,4,0,0,0,0,0,0
295,8268,804,176,14,2,2,114,0,34,2,48,2,22,22,70,2,64,2,86,126,0,2,0,0,2,0,6,0,2,2,2,0,0,0,0,0,0
305,8338,846,202,6,4,6,94,0,46,2,38,0,18,14,98,0,66,0,110,132,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0
315,8408,892,162,22,6,12,86,0,24,4,88,0,32,24,80,0,86,10,108,136,0,0,0,0,2,2,2,2,0,0,2,0,0,2,0,0,0
325,8478,622,96,20,0,4,96,0,14,2,44,0,16,14,62,0,44,4,86,106,0,2,0,0,0,2,6,0,0,0,2,0,0,2,0,0,0
335,8548,626,124,10,2,8,56,0,32,0,50,4,10,16,50,2,60,0,76,112,0,0,4,0,2,2,4,0,2,0,0,0,0,0,0,0,0
345,8723,710,156,10,0,4,66,0,28,2,56,2,12,28,60,2,76,4,56,138,0,0,0,0,0,0,2,0,0,4,4,0,0,0,0,0,0
355,9213,648,106,18,0,8,74,0,28,0,60,0,12,22,56,2,64,0,72,116,0,0,0,0,0,0,4,0,2,0,4,0,0,0,0,0,0
365,9703,556,114,10,2,4,50,0,40,2,38,0,4,14,74,0,34,0,64,96,0,0,0,0,0,0,4,0,4,0,2,0,0,0,0,0,0
375,10193,1154,274,34,2,36,130,0,102,14,82,0,12,8,136,2,46,12,128,118,0,0,8,0,0,0,4,0,4,0,2,0,0,0,0,0,0
385,10684,1076,180,58,4,18,140,0,228,6,66,0,36,2,30,0,68,4,96,116,0,0,10,0,0,0,4,2,2,0,6,0,0,0,0,0,0
395,11174,1110,212,38,0,18,152,0,230,10,120,2,22,4,48,4,50,0,80,112,0,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0
400,11419,1726,344,90,14,20,198,0,416,14,106,10,24,22,62,4,76,10,122,130,0,0,32,0,0,0,2,4,0,0,22,4,0,0,0,0,0
405,11664,1678,186,74,0,10,108,0,926,6,60,6,6,4,36,0,76,2,52,82,0,0,24,0,2,2,0,0,0,0,16,0,0,0,0,0,0
410,11909,1496,112,36,0,6,70,0,954,6,42,2,30,2,40,0,74,0,44,62,0,0,4,0,0,0,2,2,0,0,6,2,0,0,0,0,0
420,12400,1454,72,22,0,0,58,0,1094,14,44,2,4,0,16,0,32,18,20,44,0,0,6,0,0,0,0,2,0,0,6,0,0,0,0,0,0
425,12645,1458,90,68,2,8,246,0,752,14,64,2,8,12,16,2,38,16,22,78,0,0,12,0,0,0,0,0,0,0,4,4,0,0,0,0,0
430,12890,1008,12,2,0,0,318,0,582,0,38,0,4,0,6,0,28,2,0,8,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0
435,NA,234,2,10,0,0,40,0,164,0,0,0,0,0,0,0,8,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,NA,114,0,4,0,0,50,0,42,0,2,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
