"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Caltha","Campanulaceae","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryas.type","Equisetum","Ericaceae","Fabaceae","Fagus","Filicopsida.undiff.","Fraxinus","Galium","Herbs.undiff.","Ilex","Indeterminable","Isoëtes","Juglans","Lamiaceae","Larix","Lycopodium.type","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Polygonum","Populus","Potamogetonaceae","Potentilla.type","Quercus","Ranunculaceae.undiff.","Rhamnaceae","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarracenia","Selaginella","Shepherdia","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha","Ulmus"
350,7100,0,8,12,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,2,8,3,0,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,3,10,185,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,5,0,0,57,1,3
360,7303,5,1,5,0,0,0,0,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,9,120,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0,4
370,7506,1,7,3,0,1,0,1,0,1,67,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,5,0,0,0,4,0,1,0,0,2,0,0,0,0,1,0,0,2,7,225,0,3,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,2,0,0,42,2,5
380,7708,1,3,5,2,2,0,1,0,0,68,0,0,0,0,0,0,0,0,4,0,5,0,0,1,0,1,4,6,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,2,9,199,0,1,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,5,0,0,41,1,3
390,7911,2,1,8,0,2,0,0,2,0,95,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,4,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,1,9,163,0,1,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5
400,8114,7,2,24,0,2,0,0,0,0,82,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,1,5,2,0,0,0,5,0,0,0,0,0,0,7,0,1,0,0,0,0,8,123,0,1,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,1,0,0,11,0,1
410,8317,2,1,10,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,5,132,0,1,0,2,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0
420,8520,5,0,14,0,0,1,0,1,0,118,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,1,3,5,0,0,1,1,3,1,0,0,1,0,10,0,3,2,0,0,3,8,174,0,1,0,4,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3
430,8722,8,1,13,0,0,0,0,0,1,75,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,9,0,0,0,1,4,0,0,0,4,0,7,0,0,2,0,0,4,3,236,0,2,0,4,0,0,44,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,3
440,8925,4,3,24,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,6,0,0,0,0,3,0,0,1,1,0,8,0,1,1,0,0,2,3,175,0,2,0,3,0,0,60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
450,9128,2,0,10,0,0,0,0,1,0,65,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,6,0,0,0,0,1,0,0,0,1,0,7,0,0,1,0,0,4,7,151,0,0,0,4,0,0,49,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,7
460,9331,6,2,19,0,2,0,0,1,0,94,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,11,3,0,0,0,1,1,1,0,1,0,0,10,0,0,1,0,0,2,8,169,0,1,0,2,0,0,25,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,2
470,9533,5,1,13,0,0,0,0,0,1,72,1,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,17,7,0,0,0,0,1,0,0,0,1,0,13,0,1,0,1,0,3,6,204,0,5,0,4,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2
480,9736,5,4,13,0,0,0,0,1,1,136,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,27,1,0,0,0,0,10,0,0,3,3,0,7,0,1,1,0,1,4,17,198,0,3,0,11,0,0,23,0,0,0,1,0,2,0,0,0,0,0,1,0,3,1,3
490,9939,7,2,20,0,0,0,0,0,1,189,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,5,1,0,0,0,0,1,0,0,1,2,0,11,0,0,0,0,0,5,10,128,0,2,0,1,0,0,32,0,0,1,0,0,4,0,0,0,0,4,0,0,1,1,1
500,10142,9,3,15,0,0,0,0,0,2,143,0,0,0,0,0,0,0,0,2,0,8,0,0,1,0,0,4,2,0,0,0,1,5,0,0,7,4,0,4,2,0,0,0,0,3,24,68,0,1,0,11,0,0,13,0,0,0,0,0,2,0,0,0,0,1,0,0,1,3,1
510,10346,19,2,34,0,0,0,0,2,1,92,0,1,0,0,2,0,0,0,6,0,8,0,0,0,0,0,12,2,0,0,0,3,1,0,0,8,1,0,24,1,0,0,0,0,3,19,42,0,3,0,15,0,0,26,0,1,0,0,0,2,0,0,0,0,1,1,0,2,0,1
520,10574,29,3,27,0,0,0,0,0,3,57,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,20,5,0,0,0,0,3,1,0,11,9,0,16,0,1,0,0,0,5,46,42,0,1,0,18,0,0,20,0,0,0,0,0,1,0,0,0,0,2,0,0,1,8,1
525,10689,33,2,18,0,0,0,0,0,3,51,0,0,1,0,0,0,0,0,3,1,11,0,3,2,0,0,29,4,0,0,0,1,2,1,0,8,12,0,23,3,1,0,0,0,13,80,47,0,1,0,42,0,0,21,0,0,0,0,0,2,0,0,0,0,0,1,0,3,7,3
530,10803,0,1,12,0,1,0,0,1,0,49,0,0,0,0,0,0,0,0,2,1,22,0,0,2,0,0,25,6,0,0,0,1,4,1,0,1,7,0,26,5,0,0,0,0,0,41,29,0,1,0,47,0,0,17,0,0,0,0,0,12,0,0,0,0,1,0,0,1,10,2
535,10917,3,0,17,1,0,0,0,0,0,62,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,0,11,3,0,0,0,0,7,0,0,0,18,0,15,2,0,0,0,0,8,65,27,0,1,0,29,0,0,17,0,0,0,0,0,9,0,0,0,0,2,0,0,3,15,3
540,11031,0,0,14,1,0,0,0,0,5,228,0,0,0,0,0,1,0,0,2,4,36,0,0,3,0,0,17,0,0,0,0,4,43,0,0,1,17,0,93,1,0,0,0,0,1,49,50,0,9,0,7,0,1,11,3,0,3,0,0,21,0,0,0,0,0,0,0,0,1,0
545,11145,0,0,20,0,0,0,0,3,1,121,0,0,0,0,0,1,2,0,3,1,48,0,0,3,0,0,8,1,0,0,0,5,31,0,0,0,6,0,1,2,0,0,0,0,14,53,43,0,3,0,1,0,0,2,0,0,1,1,0,9,0,1,0,0,0,2,0,1,0,1
565,11602,0,1,32,0,0,0,0,4,2,52,0,0,0,0,0,1,0,0,1,1,58,0,0,1,0,0,22,0,0,0,0,11,3,0,0,0,1,0,4,1,0,0,0,0,32,52,40,0,12,0,0,0,0,4,0,0,4,4,0,16,0,0,0,0,2,3,0,0,0,0
595,12288,1,0,13,1,1,0,0,5,2,44,0,0,0,0,0,0,1,0,2,3,49,0,0,0,0,0,17,0,0,0,0,6,3,0,0,0,2,0,1,4,0,0,0,0,11,60,52,0,6,0,0,0,0,0,0,0,1,1,0,12,0,0,1,0,3,1,0,0,0,0
620,12859,0,0,23,1,2,0,0,3,5,31,0,0,0,0,1,0,0,0,0,0,29,0,0,2,0,0,8,0,0,0,0,3,12,0,0,0,2,0,1,16,0,0,0,0,6,120,57,0,6,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0
622,12904,0,0,22,0,0,0,0,6,3,24,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,0,6,2,0,0,0,0,18,0,0,0,2,0,2,15,0,0,0,0,7,214,65,0,8,0,6,0,0,2,0,0,0,1,0,5,0,0,0,2,2,1,0,0,0,1
624,12979,0,0,8,0,0,0,0,1,0,35,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,1,0,4,13,0,0,0,0,5,158,27,0,3,0,4,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
630,13459,0,0,2,0,1,0,0,6,0,49,0,0,0,0,0,0,0,0,0,0,49,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,13,170,29,0,2,0,34,0,0,7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1
635,13859,1,0,2,0,0,2,0,10,3,92,0,0,0,0,0,1,0,0,0,15,78,0,0,0,0,0,4,0,1,1,0,2,0,0,0,0,4,0,5,3,0,0,0,0,0,36,31,0,11,0,256,3,0,2,0,0,0,0,0,8,0,0,5,2,2,0,0,0,0,1
638,14099,0,0,1,0,0,0,0,5,1,88,0,0,0,0,1,0,0,0,0,3,68,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,4,1,0,0,0,0,1,36,47,0,5,0,79,3,0,2,0,0,0,0,0,2,0,0,2,7,0,0,0,0,0,0
641,14339,0,0,0,0,1,0,0,19,6,39,0,0,0,0,1,2,0,0,0,4,57,0,0,3,0,1,3,0,1,2,0,2,0,0,0,0,2,0,5,0,0,0,0,0,4,35,59,2,8,0,77,2,0,0,2,0,0,0,0,15,0,0,4,0,0,0,0,0,0,0
647,NA,2,0,0,0,1,0,0,21,2,26,0,0,0,0,1,1,0,0,1,0,46,1,0,0,0,0,7,1,0,3,0,9,0,0,0,0,0,0,1,0,0,0,0,0,7,25,39,2,11,0,6,0,0,6,2,0,1,1,0,30,0,0,4,0,3,0,0,0,0,3
652,NA,2,1,6,0,2,2,0,13,3,17,0,0,0,0,0,1,0,0,0,0,64,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,2,0,1,0,0,0,0,0,5,27,91,1,18,0,1,0,0,5,0,0,2,0,0,29,0,0,1,0,0,0,0,0,0,0
655,NA,0,1,4,1,3,0,0,5,1,39,0,0,0,0,2,0,0,0,3,0,34,7,0,0,1,0,6,1,0,2,0,5,0,0,0,0,1,0,1,0,0,0,0,0,10,24,43,0,16,0,1,0,0,10,0,0,0,0,0,39,0,0,16,0,3,1,0,0,1,4
660,NA,0,1,4,0,1,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,18,2,0,1,1,0,3,3,0,2,0,8,0,0,0,0,2,0,1,0,0,0,0,0,1,19,48,0,26,0,1,0,0,12,0,0,5,0,0,31,0,0,6,1,1,0,0,0,0,6
665,NA,0,0,10,0,1,0,0,1,0,9,0,0,0,0,2,0,0,0,1,1,5,6,0,2,0,0,3,1,0,0,0,8,0,0,0,0,3,0,4,1,0,0,0,0,5,12,19,0,5,0,7,0,0,7,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0
