"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.undiff.","Betula","Carya","Celtis","Cephalanthus","Corylus","Cupressus","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Indeterminable","Juglans","Larix","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Other.herbs","Picea","Pinaceae.undiff.","Pinus.strobus","Pinus.undiff.","Poaceae","Populus","Potamogetonaceae","Quercus","Rosaceae","Sagittaria","Salix","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete."
398,17938,0,0,6,1,3,3,3,4,0,0,0,2,2,75,0,0,7,12,2,0,1,0,0,0,0,5,1,32,380,0,0,14,0,0,28,1,0,4,1,0,2,0,1,1,2,2,0,0
448,NA,0,0,0,2,0,2,1,0,1,0,0,0,1,29,0,0,0,3,0,2,0,0,0,0,1,1,3,102,13,0,3,4,0,1,7,0,1,0,0,0,1,0,0,2,0,1,3,0
468,NA,0,0,0,1,1,0,1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,71,17,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
488,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,58,0,0,0,1,0,2,0,0,0,0,0,0,0,224,34,0,4,2,0,2,3,0,0,1,0,0,0,0,0,2,0,0,0,0
508,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,33,0,0,0,0,0,4,0,0,0,0,0,0,0,280,55,0,7,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,41
528,NA,2,1,0,0,0,2,0,1,0,0,0,0,0,20,0,1,0,3,1,2,0,0,0,0,0,0,1,285,46,1,12,5,0,0,3,1,1,0,0,0,0,0,0,3,0,0,0,0
548,NA,4,0,0,0,1,1,3,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,1,294,44,1,21,3,0,1,6,0,1,0,0,0,0,0,0,1,0,0,0,0
568,NA,2,0,0,1,2,7,5,0,0,0,0,0,0,28,0,0,0,6,0,6,0,0,0,0,0,0,0,141,90,1,21,3,0,1,12,0,0,0,1,0,0,0,0,0,0,0,2,0
588,NA,0,0,0,0,1,5,3,0,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,0,1,1,102,86,0,1,3,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0
608,NA,0,0,0,0,0,1,2,0,0,0,0,0,0,36,0,0,0,2,0,0,0,0,0,0,0,0,0,56,53,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
648,NA,2,0,0,1,1,1,0,0,0,0,0,0,0,30,0,0,0,6,0,0,0,0,0,0,0,0,1,252,113,0,11,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3
688,NA,2,0,11,1,3,10,1,0,2,0,0,2,0,33,0,0,6,6,0,7,0,0,0,0,0,3,1,242,82,1,23,6,0,1,26,0,0,0,4,0,0,0,0,0,0,1,0,0
708,NA,0,0,2,4,5,13,3,3,0,0,1,0,0,41,0,0,4,15,0,6,0,2,0,0,0,2,1,174,108,1,23,12,0,0,9,2,0,0,3,1,0,1,0,0,1,1,0,1
728,NA,0,1,8,2,7,39,10,3,0,0,2,0,0,38,0,0,1,15,0,0,0,0,0,0,0,9,1,52,24,0,1,13,0,0,35,0,0,0,2,0,0,0,0,0,0,0,0,0
748,NA,1,0,0,1,1,0,0,0,0,0,0,0,0,23,0,0,0,5,0,0,0,0,0,0,0,0,1,42,68,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0
768,NA,5,0,2,2,8,12,4,1,1,0,0,0,0,30,0,0,2,11,0,1,0,0,0,0,0,2,1,205,63,0,20,0,0,0,24,0,0,0,0,0,1,0,0,0,0,2,0,0
778,NA,1,0,19,4,18,37,10,10,0,0,4,4,0,51,0,1,0,29,0,2,0,5,0,0,0,9,5,77,87,0,3,8,1,10,51,2,0,10,2,0,0,0,0,3,0,3,1,6
788,NA,2,1,3,1,5,37,10,7,0,0,6,0,0,54,0,0,3,22,0,1,0,4,0,0,0,6,3,111,144,3,18,7,0,7,27,0,0,6,3,0,0,0,0,1,0,0,2,6
