"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Liquidambar","Liriodendron","Magnolia","Moraceae","Myrica","Nyssa","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus","Rhus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Vitis","Allium","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Boraginaceae","Brassicaceae","Cannabis.sativa","Caryophyllaceae","Cerealia.undiff.","Chenopodiaceae.Amaranthaceae","Cyperaceae.undiff.","Fabaceae.undiff.","Hypericum","Impatiens","Iva.annua.type","Lamiaceae","Plantago.undiff.","Plantago.rigida.type","Poaceae.undiff.","Polygonaceae.undiff.","Ranunculus","Rosaceae","Rumex","Saxifragaceae","Secale","Thalictrum","Trifolium","Urticaceae","Xyris","Zea","Asplenium.type","Diphasiastrum.complanatum","Huperzia.lucidula","Huperzia.selago","Lycopodium","Osmunda","Pteridium.type","Selaginella","Thelypteris.palustris","Sphagnum","Brasenia.schreberi","Cladium","Eriocaulon","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Nymphoides","Potamogeton","Sagittaria","Sparganium","Typha","Spore..trilete.","Coniferophyta.undiff.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..degraded.","Indeterminable..hidden.","Unknown"
20,151,0,0,1,3,0,5,0,36,3,6,3,0,0,2,0,5,5,3,9,1,2,0,0,1,1,0,1,0,12,2,3,1,0,5,22,6,237,0,1,152,0,0,0,0,15,1,0,0,0,12,0,1,3,0,0,0,1,0,0,1,4,1,0,0,0,0,0,22,22,0,0,0,24,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,5,0,0,4,13,2
22,178,0,0,0,1,0,9,0,35,3,6,3,0,0,1,0,3,4,5,10,0,2,0,1,2,1,0,0,0,13,4,6,0,0,3,10,4,215,2,1,132,0,0,0,1,5,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,1,0,23,12,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,33,0,0,1,0,0,0,0,1,0,0,2,0,0,4,1,3
24,205,0,2,2,5,0,2,0,59,1,6,3,0,0,1,0,3,9,4,8,0,5,0,0,1,0,0,0,1,16,0,3,1,0,2,21,3,179,0,0,149,0,0,0,1,27,1,0,2,0,4,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,14,0,0,2,8,0,0,0,0,2,0,0,0,0,1,0,0,1,13,0,1,2,0,0,0,25,2,0,0,1,0,0,0,0,1,1,1,0,2,9,2,0
26,232,0,0,4,2,0,7,0,55,1,0,3,0,0,0,0,3,5,2,18,7,0,0,0,0,0,0,0,0,14,3,11,0,0,3,13,4,238,0,1,143,0,0,0,0,12,3,0,2,0,6,0,1,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,32,27,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,4,6,0,2,1,0,0,0,29,1,0,0,0,1,0,0,0,0,0,2,0,1,4,1,3
28,259,0,0,2,3,0,5,0,54,0,8,1,0,0,0,0,3,1,2,12,0,0,0,0,2,1,0,0,0,11,3,0,1,0,5,17,6,194,2,0,124,0,0,0,0,33,2,0,0,0,5,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,1,1,19,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,8,0,2,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,1,0,1,8,5,2
30,287,0,0,1,4,0,9,0,64,3,8,6,0,0,0,0,7,9,4,16,0,7,0,0,0,1,0,0,0,20,2,3,1,0,4,10,5,180,3,1,152,0,0,0,0,35,4,0,0,0,5,0,0,7,0,0,0,0,0,0,1,4,1,0,0,0,0,0,11,21,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,2,21,0,1,1,0,0,0,19,1,0,0,0,0,0,0,0,0,1,0,0,0,9,1,4
32,310,2,5,1,5,0,7,0,39,2,7,0,0,0,0,0,4,4,3,14,0,5,0,0,0,2,0,0,1,12,0,5,0,0,7,19,2,255,1,0,154,0,0,0,0,33,4,0,0,0,1,0,1,2,0,0,0,0,0,0,0,11,0,0,0,1,1,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,0,1,0,1,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,1,12,3,4
34,330,0,0,0,6,0,3,0,44,2,8,6,0,0,0,0,2,4,6,8,0,1,0,0,0,1,0,0,0,10,1,2,0,1,6,6,4,204,1,2,133,0,0,0,0,25,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,18,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
36,351,0,0,1,3,0,3,1,38,2,7,2,0,0,5,0,0,6,3,11,1,3,0,0,1,1,0,0,0,11,3,7,4,0,6,17,3,217,0,0,135,0,0,0,0,17,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,29,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,1,2,2,0,0,6,1,5
38,371,0,0,3,2,0,8,0,31,1,12,3,0,0,0,0,4,9,0,9,1,1,0,0,1,1,0,0,0,6,0,3,2,0,4,8,2,234,3,2,127,0,1,1,0,22,1,0,1,0,6,0,0,3,0,0,0,0,0,0,0,9,0,1,0,0,1,0,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,27,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
40,391,0,0,0,5,0,5,0,38,0,5,1,0,0,0,0,3,8,2,13,0,0,1,0,0,0,0,0,0,9,1,1,1,0,1,34,6,201,0,0,143,0,0,0,0,6,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,21,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,0,0,1,0,0,0,20,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,3
44,432,0,0,0,4,0,3,1,26,0,8,3,0,0,0,0,0,6,1,8,1,2,0,0,1,1,0,0,0,11,1,3,1,0,5,27,6,173,1,1,164,0,0,0,1,26,4,0,0,0,2,0,1,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,26,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,19,1,0,0,1,0,0,0,0,0,0,3,0,1,3,3,2
48,473,0,0,1,6,0,5,0,29,0,8,3,0,0,1,0,0,10,2,13,0,4,0,0,1,0,0,0,0,10,0,4,1,0,4,28,4,214,0,0,127,0,0,0,0,23,4,0,2,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,17,0,0,1,0,0,0,11,0,0,0,0,0,0,0,1,0,1,9,0,1,4,5,1
52,504,0,0,0,7,0,6,0,47,2,10,1,0,0,0,0,0,12,2,14,2,1,0,0,0,0,0,0,0,4,1,6,1,0,3,13,4,256,0,0,164,1,0,1,1,22,4,0,1,0,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,27,11,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,20,0,0,1,0,0,0,23,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
56,533,0,0,0,5,0,3,0,41,2,9,3,0,1,0,0,2,11,2,8,1,1,0,0,0,1,0,0,1,4,2,2,1,0,7,25,4,246,0,0,131,0,0,0,0,22,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,1,37,0,0,0,2,0,0,0,0,0,1,5,0,1,2,1,3
60,562,0,0,2,6,0,4,0,32,0,8,1,0,0,0,0,2,7,0,17,1,0,0,0,0,0,0,0,0,3,0,2,2,2,1,26,5,247,0,1,133,0,0,0,0,6,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
64,590,1,0,0,5,1,8,0,57,1,5,5,0,0,0,0,0,12,1,12,1,3,0,0,0,0,0,0,0,4,0,3,3,1,1,70,3,205,0,1,171,0,0,0,0,22,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,1
68,619,1,0,1,2,0,5,0,38,1,5,4,0,0,0,0,2,9,0,4,1,4,0,0,0,1,0,0,1,6,0,4,2,0,2,20,4,210,0,0,138,0,0,0,0,21,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,37,0,0,1,0,0,0,0,0,0,1,0,0,1,4,2,0
72,648,0,1,0,2,0,7,0,30,0,12,3,0,0,0,0,2,15,1,18,3,7,0,1,0,1,0,0,1,8,0,4,3,0,4,49,3,173,0,0,116,0,0,0,0,34,3,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,16,0,1,0,1,0,0,31,0,0,0,1,0,0,0,0,1,1,3,0,0,6,1,1
76,677,0,0,0,4,0,7,0,48,1,10,2,0,0,0,0,2,6,0,11,1,5,0,0,0,0,0,0,0,2,0,4,0,1,1,24,3,196,0,1,108,0,0,0,0,23,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,29,0,0,0,0,2,0,0,0,0,0,6,0,0,15,1,2
80,708,1,0,0,3,0,5,0,27,0,16,2,0,0,0,0,0,6,2,12,4,1,0,0,0,0,0,0,0,18,0,0,3,1,4,60,5,196,1,0,142,0,0,0,0,20,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,41,11,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,7,11,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,3
84,748,0,0,2,1,0,3,0,48,2,10,1,0,0,0,0,2,3,3,15,0,4,0,0,0,1,0,0,0,15,0,6,3,1,1,13,7,192,2,0,161,0,0,1,0,21,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,19,0,2,0,0,0,0,30,0,0,0,1,0,0,0,0,0,1,4,0,0,1,1,2
88,787,0,0,2,7,0,1,0,51,2,14,6,0,0,0,0,0,9,0,7,0,2,0,0,0,0,0,0,0,20,0,3,0,0,2,73,6,205,2,0,173,0,0,1,0,17,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,3,12,0,1,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,4,0,1,5,0,2
92,827,0,1,1,1,0,5,0,30,0,7,3,0,0,0,0,0,4,0,12,0,2,0,0,0,1,0,0,0,10,0,2,0,0,2,21,0,198,0,0,144,0,0,0,0,22,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2
96,867,0,0,4,1,0,5,0,48,0,6,1,0,0,1,0,0,3,2,23,1,1,0,2,1,1,0,0,0,7,2,1,0,0,2,28,10,210,0,0,132,0,0,0,0,17,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,1,0,0,1,21,0
100,907,0,0,2,4,0,2,0,33,1,14,5,0,0,0,0,1,11,1,14,0,4,0,0,0,0,0,0,1,8,0,4,3,0,3,11,8,183,2,0,155,0,0,0,0,22,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,40,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0
104,946,0,0,0,8,0,6,0,46,2,7,1,0,1,0,0,0,9,4,15,3,3,0,0,0,0,0,0,1,14,0,5,0,0,2,45,11,168,0,0,147,0,0,0,0,16,3,0,0,0,2,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,0,1,1,0,0,0,22,0,0,0,0,0,0,0,0,1,0,1,0,0,8,4,3
108,986,0,2,1,19,2,10,0,101,3,11,6,0,0,1,0,6,10,2,20,4,8,0,0,1,1,0,0,0,31,2,11,3,0,2,27,6,341,1,0,178,0,0,1,1,42,5,0,0,0,2,0,0,2,0,0,1,0,0,0,0,4,1,0,0,0,0,0,44,11,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,22,1,1,2,0,0,0,50,0,0,0,0,0,0,0,0,0,1,1,0,0,7,2,2
112,1026,0,1,1,5,0,6,0,40,2,10,1,0,0,0,0,0,4,0,22,2,5,0,0,0,1,0,0,0,15,0,0,0,0,3,60,13,196,0,3,139,0,0,0,0,24,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
120,1119,0,0,0,2,0,4,0,47,3,10,3,0,0,0,0,5,2,4,21,2,5,0,0,1,0,0,0,0,10,0,4,1,0,5,23,1,208,0,0,141,0,0,1,0,21,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2
128,1214,0,0,0,2,0,1,2,34,0,5,1,0,0,0,0,6,4,1,15,0,1,2,0,0,1,0,0,0,10,0,3,0,0,1,32,6,227,2,1,142,0,0,0,0,12,5,0,0,0,1,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,62,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2
136,1310,0,0,1,1,0,4,0,34,1,11,0,0,0,0,0,3,3,2,13,0,2,1,0,0,0,0,0,0,4,1,4,0,0,0,20,3,245,1,2,129,1,0,0,0,11,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,1,9,1,3
144,1405,0,0,0,2,0,6,0,45,1,14,2,2,0,0,0,4,9,3,17,1,4,0,1,2,1,0,0,0,30,0,4,1,0,2,2,1,210,2,0,196,0,0,0,0,15,5,0,0,0,2,0,0,3,0,0,0,0,0,0,0,4,1,0,0,0,1,0,19,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,2,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,1,0,3,6,1,1
152,1501,0,0,2,5,0,7,0,45,0,19,1,0,0,0,0,8,21,0,17,2,4,0,0,0,1,0,0,0,20,0,6,1,0,0,14,4,207,0,0,173,0,0,0,1,19,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,4,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,3
160,1598,1,0,3,14,0,20,0,91,2,17,5,0,0,0,1,6,18,5,43,0,5,0,0,0,1,0,0,0,37,0,10,1,0,2,26,6,302,1,1,254,0,0,0,0,27,10,0,0,0,1,3,0,3,0,0,0,0,0,0,1,8,0,0,0,0,0,0,91,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,3,1,0,0,0,35,1,0,3,0,3,0,1,0,0,1,2,0,2,9,0,4
168,1711,0,0,0,3,0,8,0,40,0,13,4,0,0,2,0,2,7,4,34,2,4,0,0,0,0,0,0,0,34,0,5,0,0,2,17,2,158,2,0,164,0,0,1,0,33,5,0,0,0,2,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,47,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,20,0,0,4,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1
176,1824,0,0,2,5,0,8,0,35,1,12,3,0,0,4,0,8,11,2,15,3,2,0,2,0,0,0,0,0,25,0,0,2,0,1,14,4,141,1,0,172,0,0,0,0,27,4,0,1,1,3,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,3,0,1,0,13,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1
184,1936,2,0,1,3,0,7,0,34,0,17,1,1,0,2,1,5,14,3,24,0,7,0,0,1,0,0,0,0,26,2,2,1,0,1,34,4,166,2,0,181,0,0,0,0,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,2,1,0,1,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1,2
192,2049,0,0,1,6,0,14,0,70,3,23,5,0,0,0,0,9,13,6,31,6,6,0,6,2,2,0,0,0,29,2,4,0,0,4,28,11,251,2,0,220,1,0,0,2,32,6,0,0,0,1,0,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,59,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2
200,NA,0,0,1,8,0,17,0,53,2,8,5,0,0,0,0,12,7,2,22,0,5,0,1,1,0,0,1,0,22,1,5,0,0,2,9,6,143,4,0,167,0,0,0,0,28,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,1
208,NA,1,0,0,2,1,5,0,46,4,11,5,0,0,2,0,7,11,0,20,1,2,0,0,2,1,0,1,0,28,1,3,0,0,2,39,9,152,0,0,131,0,0,0,0,29,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,21,0,0,0,1,0,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,3,3,0
216,NA,0,0,0,2,3,13,0,52,3,12,0,0,0,0,0,5,4,0,26,1,4,0,8,1,0,0,0,1,23,2,13,1,0,1,10,5,220,0,0,172,0,0,0,1,22,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,51,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0
