"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Adiantum","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Caryophyllaceae","Castanea","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Fagus","Fraxinus.americana","Fraxinus.nigra","Ilex.Nemopanthus","Impatiens","Indeterminable","Isoëtes","Iva.xanthifolia","Larix","Lycopodium.type","Lycopodium.annotinum","Menyanthes.trifoliata","Myrica","Nuphar","Nymphaea","Onagraceae","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Selaginella.rupestris","Selaginella.selaginoides","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown"
290,3603,33,0,0,1,11,0,0,0,0,0,0,0,128,0,0,0,0,2,4,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,17,8,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
300,4144,36,0,0,2,5,0,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,42,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3
310,4684,29,0,0,1,6,0,0,0,0,0,1,0,101,0,0,0,0,1,7,0,0,0,1,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,40,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
320,5225,44,0,0,0,4,1,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
330,5765,26,0,0,1,3,0,0,0,0,0,0,0,84,0,0,0,0,1,4,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,47,23,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0
340,6306,23,0,1,0,4,0,0,0,0,0,0,0,86,0,0,0,0,0,6,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,39,33,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,3,0,2,1,2,0
350,6847,37,0,0,1,0,0,0,0,0,0,0,0,65,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,6,0,2,0,2,0,0,0,0,0,0,46,37,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1
355,7117,22,0,1,2,3,0,0,0,0,0,0,0,106,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,1,32,27,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2
370,7928,17,0,0,0,1,0,1,0,0,0,0,0,129,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1,2,1,0,1,0,0,0,0,33,11,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
380,8468,18,0,0,0,11,0,0,0,0,1,0,0,122,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,26,17,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
390,9009,9,0,0,0,4,0,0,0,0,0,0,0,139,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,29,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,9549,21,0,0,0,3,0,0,0,0,0,0,0,132,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,28,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
410,10090,7,0,0,0,8,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,20,12,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
420,10630,19,0,0,0,6,0,0,0,0,0,0,0,115,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
425,10930,5,0,0,0,4,0,0,0,0,0,0,0,153,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,2,0,0,0,0,26,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,11296,2,0,0,0,0,0,2,0,0,0,0,0,131,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,53,8,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,11662,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,39,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
440,12029,1,0,0,0,2,0,0,1,0,0,0,0,55,0,0,0,2,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,24,0,0,0,0,0,0,126,1,0,1,4,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
445,12395,0,0,0,0,1,0,1,0,0,0,0,0,38,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,3,0,0,0,0,124,14,0,1,9,0,0,6,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
450,12761,0,0,0,0,7,0,0,0,0,2,1,0,130,0,0,0,1,5,5,0,1,0,0,0,0,0,0,9,0,0,0,1,19,0,3,0,0,0,0,9,5,0,4,12,0,2,4,0,0,0,16,0,0,0,0,0,1,0,0,0,1,0
455,NA,0,0,0,0,2,0,0,0,0,1,0,0,128,0,0,0,3,6,6,1,2,0,0,0,0,0,0,4,0,0,0,2,18,0,5,0,0,0,0,6,9,0,6,13,0,1,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2
460,NA,0,0,0,0,1,0,0,0,0,1,1,0,149,0,0,0,0,5,2,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,5,15,0,3,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0
465,NA,0,0,0,0,1,0,0,0,0,0,2,0,151,0,0,0,1,2,1,0,1,0,0,0,0,0,0,5,0,0,0,1,11,0,2,0,0,0,0,4,4,0,7,4,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,2,0
470,NA,0,0,0,0,3,0,0,1,0,0,1,0,151,0,0,0,0,6,2,0,7,0,0,0,0,0,0,2,0,0,0,5,11,0,2,0,0,0,0,7,6,0,1,0,0,1,5,0,0,0,9,0,0,0,0,0,3,0,0,0,1,0
475,NA,0,0,0,0,8,0,1,0,0,3,3,0,87,1,1,0,0,12,8,0,19,0,0,0,0,0,0,3,0,0,0,3,2,0,0,0,0,0,0,5,19,0,7,0,0,0,4,1,0,0,29,0,0,0,0,0,1,0,0,0,0,3
480,NA,0,0,0,0,9,0,1,1,0,11,4,0,43,0,0,0,0,37,11,0,14,0,0,0,0,0,0,2,0,0,0,3,6,0,0,0,0,0,0,10,23,0,10,0,0,0,3,2,0,1,25,0,0,0,0,0,1,0,1,0,1,3
485,NA,0,0,0,0,7,0,0,0,0,9,5,0,37,0,6,0,3,92,0,0,1,0,0,0,0,0,0,10,0,0,0,2,0,0,1,0,0,0,0,1,15,0,11,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3
490,NA,0,0,0,0,10,0,1,0,0,35,1,0,6,0,1,0,0,85,2,0,0,0,0,0,0,0,0,28,0,0,0,2,0,0,0,0,0,0,0,10,21,0,14,0,0,0,0,0,0,5,8,0,0,0,1,0,3,0,0,0,0,4
495,NA,0,0,0,0,10,0,0,0,0,40,1,1,10,0,11,0,2,68,0,0,1,0,0,0,0,0,0,17,0,0,0,2,1,0,0,0,0,0,0,6,23,0,10,0,0,0,0,0,0,2,12,0,0,0,0,0,3,2,0,0,0,11
500,NA,1,148,0,0,4,0,0,0,0,17,3,0,12,0,9,0,0,109,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,18,0,6,0,0,0,2,0,1,2,3,0,0,0,2,0,0,0,0,0,0,2
