"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Campanulaceae","Cannabaceae","Caprifoliaceae.undiff.","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cyperaceae","Epilobium","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.nigra.type","Galium","Gentianaceae","Huperzia.lucidula","Ilex","Indeterminable","Indeterminable.undiff.","Juglans.cinerea","Juglans.nigra","Lamiaceae","Liquidambar","Lycopodiaceae.undiff.","Myrica","Myriophyllum","Nemopanthus","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Platanus","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Potentilla.type","Pteridium.type","Quercus","Ranunculus","Rhamnaceae","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sambucus","Sanguisorba","Sarracenia","Saxifragaceae","Selaginella","Shepherdia","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.undiff.","Ulmus","Unknown","Urtica.type","Utricularia","Viburnum","Vitis"
90,1796,0,5,18,1,0,1,0,1,0,0,17,0,0,0,0,8,0,2,0,0,0,0,0,0,13,89,0,3,0,0,0,0,0,0,8,34,0,1,0,0,1,0,0,0,3,0,16,0,0,6,24,0,0,0,3,1,0,0,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,62,0,0,16,0,0,0,0,0
100,2124,0,9,38,1,0,0,0,0,1,0,32,0,0,0,0,4,0,5,0,0,0,4,0,0,9,62,0,1,0,0,0,0,1,0,13,14,2,2,0,0,0,0,0,0,0,0,24,0,0,2,27,0,0,0,1,1,0,0,0,0,0,0,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,28,0,0,7,0,0,0,0,0
110,2452,0,3,40,2,0,5,0,1,0,0,34,0,0,0,0,3,0,5,0,0,1,0,0,0,9,55,0,7,0,0,0,0,0,0,22,41,1,0,0,0,0,0,0,0,3,3,26,0,0,14,35,0,0,0,4,0,0,1,2,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,0,0,6,1,0,0,0,0
120,2774,0,5,33,2,0,1,0,0,1,0,52,0,0,0,0,3,0,5,0,0,0,1,0,0,9,46,0,6,1,0,0,0,0,0,23,59,1,0,0,0,0,0,0,2,2,1,20,0,0,9,26,0,0,0,2,0,0,0,2,0,0,0,52,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,30,0,0,14,3,0,0,0,0
130,3081,0,2,27,5,1,1,0,1,0,0,31,0,0,0,0,3,0,5,0,0,2,2,0,0,18,49,0,9,1,0,0,0,0,0,34,65,1,0,0,0,1,0,0,1,3,0,25,0,0,38,41,0,0,0,7,0,0,0,0,0,0,0,41,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,16,0,0,13,7,0,0,1,0
140,3367,0,6,25,1,0,2,0,0,0,0,32,0,0,0,0,5,0,2,0,0,1,2,0,0,25,63,0,4,0,0,0,0,0,0,28,68,1,0,0,0,1,0,0,0,2,11,29,0,0,6,33,0,0,0,6,0,0,2,2,0,0,1,69,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,9,0,0,11,6,0,0,6,0
150,3625,0,15,25,1,0,2,0,2,0,0,39,0,0,0,0,2,0,1,0,0,3,1,0,0,18,64,0,1,0,0,0,0,0,0,27,19,2,2,0,0,2,6,0,15,0,11,14,0,0,19,32,0,0,0,6,0,0,0,0,0,0,1,58,0,1,0,0,0,2,0,0,1,0,0,0,0,7,0,2,16,0,0,8,0,0,0,0,0
170,4056,0,3,31,0,0,1,0,0,0,0,40,0,0,0,0,3,0,2,0,0,5,4,1,0,9,73,1,5,0,0,0,0,0,0,28,20,2,1,0,0,0,0,0,3,3,15,16,2,0,14,26,0,0,0,4,1,0,10,2,0,0,1,52,0,0,0,0,0,0,0,0,3,0,0,0,0,22,1,1,15,0,0,12,2,0,0,4,0
190,4417,0,7,25,2,0,0,0,1,1,0,41,0,0,0,0,6,0,4,0,0,6,2,1,0,20,60,0,5,5,0,0,0,1,0,24,28,1,1,0,0,0,0,0,3,1,27,16,2,0,11,34,1,0,0,4,0,0,6,3,0,0,0,60,0,0,0,0,0,0,0,0,4,0,0,0,0,35,0,2,26,0,0,8,3,0,0,11,0
200,4586,0,9,33,3,0,4,0,0,1,0,63,0,0,0,0,5,0,5,0,0,0,1,0,0,3,112,0,6,1,0,0,0,0,0,10,27,5,0,1,0,0,0,1,2,5,11,8,0,0,17,14,0,0,0,6,2,0,47,7,0,0,0,47,0,0,0,0,0,0,1,0,3,0,0,0,0,34,0,1,44,23,8,19,4,0,0,0,0
210,4754,0,2,22,7,0,1,0,0,9,0,70,0,0,0,0,6,0,4,0,0,0,1,1,0,0,88,0,12,2,0,0,0,0,0,1,18,2,1,0,0,0,0,0,1,1,3,5,0,0,6,7,0,0,0,5,0,0,4,1,0,0,0,31,0,0,0,0,0,0,0,0,12,0,0,0,0,98,0,2,31,17,0,9,4,0,0,0,0
230,5136,0,3,23,2,1,3,0,1,1,0,22,0,0,0,0,2,0,0,0,0,5,0,11,0,2,48,0,3,1,0,0,0,0,0,7,38,3,1,0,0,0,0,0,124,2,74,12,0,0,5,12,0,0,0,3,1,0,148,2,0,0,0,52,0,0,4,0,0,1,0,0,5,0,0,0,0,4,0,2,105,25,0,12,4,0,0,0,0
250,5710,0,1,10,0,0,1,0,0,0,0,8,0,0,0,0,1,0,4,0,0,3,0,3,0,1,16,0,0,1,0,1,0,0,0,5,48,0,0,0,0,0,0,0,41,0,131,6,1,0,4,10,0,0,0,3,0,0,273,0,0,0,3,17,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,7,210,3,0,5,0,0,0,0,0
270,6594,0,4,17,3,0,2,0,1,0,0,17,0,0,0,0,2,0,0,0,0,0,2,1,0,3,29,0,5,2,0,0,0,0,0,8,35,2,1,0,0,0,0,0,14,1,168,9,0,0,12,16,0,0,0,4,1,0,62,1,0,0,5,31,0,0,2,0,0,1,0,0,3,0,0,0,0,32,0,1,144,7,0,7,0,0,0,0,0
290,7716,0,3,15,6,1,1,0,0,0,0,22,0,0,0,0,1,0,0,0,1,2,1,2,0,1,24,0,8,1,0,0,0,0,0,24,35,4,0,0,0,0,0,0,0,2,84,13,1,0,33,27,0,0,0,7,1,0,39,0,0,0,0,36,1,0,0,0,0,1,0,0,0,0,0,0,0,44,0,2,133,1,0,6,3,0,0,0,0
310,8955,1,1,6,95,0,1,0,1,1,0,5,0,0,0,0,1,0,0,0,0,0,0,12,0,1,3,0,4,1,0,0,0,0,0,26,15,2,0,0,0,0,0,0,1,0,19,16,0,0,63,64,0,0,0,2,2,0,29,0,0,0,0,48,0,0,1,0,0,2,0,0,0,0,0,0,0,4,1,3,81,0,0,14,0,0,0,7,0
330,10191,4,3,6,23,0,4,0,0,0,0,17,0,0,0,0,2,0,1,0,0,1,3,9,0,3,7,0,2,1,0,0,0,0,0,44,18,0,0,0,1,3,0,0,1,0,31,10,1,0,68,72,0,0,0,3,0,1,9,0,0,0,0,36,0,0,0,0,0,1,0,0,1,0,0,0,0,28,0,1,70,0,0,7,0,0,0,0,0
350,11303,18,1,4,32,0,0,0,0,0,0,13,0,0,0,0,2,1,0,0,0,0,2,4,0,1,1,0,0,1,0,0,0,0,0,97,15,0,0,0,0,4,0,0,0,0,10,5,5,16,74,132,0,0,0,2,0,1,4,0,0,0,0,31,0,0,0,1,0,1,0,0,0,0,0,0,0,24,0,0,19,0,0,6,2,0,0,0,0
370,12218,21,0,1,18,0,0,2,2,20,0,13,0,0,0,0,1,0,0,0,1,0,2,24,0,0,3,0,5,6,0,0,1,0,0,96,26,3,1,2,0,3,0,2,0,1,9,22,11,3,37,89,0,0,0,3,19,0,8,1,5,2,0,45,0,0,0,0,7,22,0,0,0,0,0,0,0,5,0,0,35,0,0,7,8,0,0,0,0
390,12967,8,0,0,0,0,1,0,6,20,0,9,1,0,0,0,0,0,0,0,0,3,4,35,0,0,2,0,5,29,0,0,0,0,0,118,25,0,0,0,0,2,2,2,0,0,0,39,87,9,4,58,0,0,0,2,51,0,2,0,5,5,0,53,6,0,1,1,2,46,0,0,0,0,0,3,0,0,2,0,2,0,0,6,4,0,0,0,0
400,13284,18,0,3,3,2,3,0,9,43,0,15,0,0,0,0,1,0,0,2,0,0,2,100,0,0,1,0,7,44,0,0,1,0,0,141,39,1,1,1,0,0,1,14,0,0,0,74,174,5,1,94,0,0,0,0,40,7,2,0,10,4,1,86,19,0,9,3,14,82,0,2,0,0,0,0,0,1,3,0,0,0,1,4,5,3,0,0,0
420,13828,5,0,5,1,0,1,0,9,13,0,4,0,1,0,0,2,0,0,0,0,0,2,30,0,0,0,0,1,0,17,0,0,0,0,96,13,0,0,0,0,1,0,1,0,0,0,24,132,7,2,66,0,0,0,0,28,0,1,0,5,1,0,48,0,0,0,1,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
440,14280,5,0,0,12,0,6,2,6,14,0,8,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,1,31,0,0,0,0,0,66,11,0,0,0,0,0,0,3,0,0,1,21,164,9,0,35,0,0,0,0,30,0,1,0,2,0,0,54,0,0,0,3,7,27,0,0,0,0,0,0,0,2,2,0,0,0,1,2,5,0,0,0,0
460,14675,1,0,1,6,1,4,1,9,28,0,11,0,0,0,0,1,2,0,1,0,0,3,48,3,0,0,0,2,19,0,0,0,0,0,101,23,0,0,1,0,0,0,3,0,0,1,17,196,11,1,25,0,0,0,0,31,0,9,0,6,1,0,21,4,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,1,0,0
480,NA,2,0,1,18,0,3,0,23,16,1,20,0,0,0,0,2,0,1,0,0,0,1,118,0,0,0,0,9,22,0,0,0,0,1,61,45,0,0,0,0,0,0,6,0,0,0,16,142,22,4,38,0,0,0,0,92,0,6,0,1,1,0,45,13,0,0,0,3,26,0,0,0,1,1,1,0,0,9,0,0,0,0,4,20,0,0,0,0
500,NA,2,0,0,14,1,0,0,23,8,0,3,0,0,0,1,0,0,0,0,0,0,1,102,0,0,0,0,1,16,0,0,0,0,0,15,2,0,0,0,0,0,0,2,0,0,1,9,87,7,0,49,0,0,0,0,66,0,5,0,0,0,0,25,38,0,0,3,0,15,0,1,0,0,0,1,0,1,20,0,0,0,0,1,20,0,0,0,0
520,NA,2,0,5,33,1,1,0,44,28,0,17,0,0,0,0,6,1,0,0,0,0,0,218,0,0,0,0,3,15,0,0,0,0,0,28,27,0,0,0,0,8,0,0,0,0,0,7,118,24,4,76,0,0,0,0,84,2,2,0,1,0,0,29,73,0,1,0,1,36,0,3,0,0,0,1,0,0,16,0,1,0,0,0,2,0,0,0,0
540,NA,1,0,1,16,0,2,0,24,16,1,10,0,0,0,0,1,1,0,0,0,0,3,165,0,0,0,0,2,27,0,0,0,0,0,8,3,0,1,1,0,1,0,0,0,0,0,12,69,5,2,48,0,0,1,0,75,0,3,0,1,0,0,26,32,0,0,2,0,23,0,0,0,0,0,0,0,0,14,0,0,0,0,1,32,0,0,0,0
560,NA,3,0,2,14,0,2,0,18,20,0,6,0,1,0,0,2,1,0,0,0,0,1,154,0,0,0,0,1,6,0,0,0,0,0,8,30,0,0,0,0,2,0,0,0,0,1,7,79,6,1,71,0,0,0,0,38,1,3,0,0,1,0,18,7,0,0,0,0,12,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0
580,NA,2,0,0,6,2,0,0,17,6,1,6,0,0,0,0,0,0,0,0,0,0,3,95,1,0,1,0,1,10,0,0,0,0,0,13,1,0,0,0,0,2,0,0,0,0,3,10,70,1,1,75,0,0,0,0,43,0,3,0,0,0,0,18,5,0,0,0,0,7,0,0,0,0,0,0,0,2,7,0,5,0,0,0,20,0,1,0,0
600,NA,4,0,4,8,0,3,0,42,23,2,16,0,1,0,0,1,4,1,0,0,0,2,116,0,0,0,0,3,13,0,0,0,0,0,37,25,0,0,0,0,0,0,6,0,0,6,14,109,5,3,64,0,0,0,2,62,0,0,0,4,1,0,63,1,0,1,0,2,30,0,0,0,0,0,1,0,1,8,0,6,0,0,3,9,0,0,0,0
620,NA,0,0,0,6,1,2,0,15,6,0,5,0,0,0,0,1,3,0,0,0,0,1,172,0,0,0,0,0,6,0,0,0,0,0,17,1,0,1,0,0,1,0,0,0,0,0,5,47,1,0,67,0,0,0,0,42,0,2,0,0,0,0,18,1,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,2,35,0,0,0,0
640,NA,0,0,0,7,0,4,1,16,8,1,7,0,0,0,0,1,1,0,0,0,0,5,174,0,0,0,0,1,3,0,0,0,0,0,15,48,0,0,0,0,1,0,0,0,0,0,2,88,8,0,80,0,0,0,0,69,0,4,0,0,0,0,19,0,0,0,1,0,7,0,0,0,0,0,0,0,2,19,0,0,0,0,2,3,0,0,0,0
660,NA,1,0,0,6,1,0,0,16,6,0,4,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,1,3,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,1,1,63,3,0,69,0,0,0,0,39,0,6,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,1,0,13,0,0,0,0,2,46,0,0,0,0
680,NA,2,2,4,18,0,4,0,8,2,0,8,1,0,0,0,0,2,0,0,0,0,0,89,0,1,7,0,4,5,0,1,0,0,0,23,22,1,0,0,0,0,0,2,2,0,14,10,43,2,1,65,0,0,0,0,19,0,7,0,0,0,1,30,1,0,0,0,0,8,0,0,0,0,0,0,0,1,5,1,17,0,0,5,3,0,0,1,0
710,NA,0,0,2,12,0,0,0,9,4,1,8,0,0,0,0,0,0,0,0,0,0,0,276,0,0,4,0,1,3,0,1,0,0,0,22,35,0,0,0,0,0,1,1,0,0,1,5,72,3,1,85,0,0,0,0,29,0,4,0,0,1,0,19,0,0,0,1,0,3,0,0,0,0,0,0,0,0,11,0,4,0,0,3,13,0,0,0,0
