"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Herbs.undiff.","Indeterminable","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown"
360,3340,0,0,0,32,1,0,0,2,0,0,36,1,0,0,0,0,16,10,2,0,0,0,83,4,9,0,7,0,0,0,1,0,1,0,12,2,0,0,29,0,0,0,1,0,19,0,0,0,0,0,0,0,0,4,26,1,33,1
380,3642,0,0,0,51,1,0,1,0,1,0,42,9,0,0,0,1,7,13,0,0,0,0,77,2,3,0,6,0,1,0,0,0,0,0,8,0,0,0,23,0,1,0,0,0,24,0,0,0,0,1,0,0,0,6,28,0,36,0
400,3944,0,0,0,41,3,0,0,2,0,0,55,2,0,0,0,0,10,10,0,0,0,0,57,8,15,0,12,0,1,0,0,1,0,0,17,2,0,0,31,2,1,0,1,0,30,0,0,0,0,0,0,0,0,3,11,1,37,1
420,4244,0,0,1,45,3,2,0,0,0,0,38,6,0,0,0,0,1,3,1,0,0,0,82,3,5,0,5,0,2,0,0,0,0,0,9,0,0,0,29,0,1,2,0,1,22,0,0,0,2,0,0,0,0,5,7,2,39,0
440,4541,1,0,0,34,1,0,1,0,0,0,65,6,0,0,0,0,13,6,0,1,0,0,70,4,9,0,7,0,3,0,0,0,0,0,21,2,0,0,32,0,1,0,0,1,33,0,0,0,1,0,0,0,0,7,7,0,33,0
460,4834,0,0,0,46,2,0,3,0,1,0,64,8,0,0,0,1,10,5,2,0,0,0,120,5,5,0,10,0,6,1,0,0,0,1,15,1,0,0,26,1,1,0,0,1,11,0,0,0,0,1,0,0,0,8,11,1,57,1
480,5119,0,0,0,32,0,0,1,0,0,0,78,3,0,0,0,0,11,6,2,0,0,0,110,4,14,0,8,0,3,0,1,0,0,0,11,0,0,0,31,5,0,2,0,0,33,0,0,0,0,0,0,0,0,4,15,0,36,0
500,5396,0,0,0,29,1,0,2,1,1,0,52,4,0,0,0,0,5,6,1,0,0,0,63,3,12,0,11,0,1,0,1,0,0,0,7,2,0,0,42,1,2,0,0,0,21,0,0,0,0,0,0,0,0,7,24,1,25,1
520,5665,0,0,0,29,2,0,1,0,2,0,30,3,0,0,0,0,4,3,2,0,0,0,50,6,10,0,6,0,0,0,1,0,0,0,11,3,0,0,53,5,1,0,0,0,23,0,0,0,1,0,0,0,1,5,65,0,18,1
540,5927,1,0,0,39,1,0,0,0,1,0,25,1,0,0,0,0,4,4,0,0,0,0,93,5,6,0,10,0,0,1,0,0,0,0,4,0,0,0,45,2,0,0,0,0,24,0,0,0,1,0,0,0,0,0,77,0,25,1
560,6184,0,0,0,26,1,0,2,1,0,0,28,3,0,0,1,0,4,2,2,0,0,0,64,2,4,0,10,0,2,1,0,0,0,0,2,1,0,0,32,1,0,0,0,0,19,0,0,0,1,0,0,0,0,3,119,0,31,0
580,6436,0,0,0,19,1,0,0,0,1,0,42,4,0,0,0,0,2,0,2,0,0,0,84,5,2,0,14,0,2,0,1,0,0,0,3,0,0,0,24,3,1,0,0,0,8,0,0,0,1,0,0,0,0,3,159,0,26,2
620,6931,0,0,0,24,0,1,2,0,2,0,37,3,0,0,0,0,0,3,0,0,1,0,90,4,1,0,15,0,0,1,0,0,0,0,5,0,0,0,24,1,1,0,0,0,12,0,0,0,0,0,0,0,0,7,105,0,26,0
640,7176,0,0,1,31,1,0,0,3,0,0,32,2,0,0,1,1,11,3,1,0,0,0,72,7,5,0,10,0,0,0,0,0,0,0,19,1,0,0,54,2,0,1,0,1,30,0,0,0,0,0,0,0,0,7,134,0,30,0
660,7420,0,0,0,26,1,0,0,1,1,0,28,0,0,0,0,1,8,5,1,0,0,0,74,6,6,0,14,0,0,2,1,0,0,0,16,1,0,0,43,5,0,0,1,0,28,0,0,1,0,0,0,0,0,6,96,1,34,1
680,7665,0,0,0,25,0,0,2,0,0,0,26,2,0,0,0,0,9,8,4,0,0,0,64,4,3,0,7,0,1,1,1,0,0,0,10,1,0,0,56,2,1,2,0,0,23,0,0,0,0,0,0,0,0,3,88,0,27,0
700,7911,0,0,1,37,3,0,0,1,0,0,15,1,1,0,0,0,11,3,0,0,0,0,70,7,10,0,6,0,0,0,0,0,0,0,11,0,14,31,0,6,0,0,0,0,18,0,0,0,0,0,0,0,0,6,55,0,21,0
720,8161,0,0,0,33,1,0,0,0,0,0,11,2,0,0,0,0,14,5,2,0,0,0,73,9,6,0,13,0,0,0,0,0,0,0,16,1,11,43,0,8,1,0,1,0,30,0,0,0,0,0,0,0,0,4,75,0,18,2
740,8414,0,0,0,28,1,0,2,0,0,0,4,0,0,0,0,1,11,6,5,0,1,0,73,9,5,0,10,0,0,0,0,0,0,0,10,0,15,74,2,4,1,0,1,0,12,0,0,0,1,0,0,0,0,5,61,0,24,1
760,8672,0,0,0,27,0,1,1,1,0,0,10,2,0,0,0,0,15,3,1,0,0,0,59,6,9,0,9,0,0,0,0,0,0,0,12,0,5,54,0,0,4,0,0,0,24,0,0,0,1,0,0,0,0,1,92,0,26,0
780,8936,1,0,0,20,2,0,2,0,0,0,5,1,0,0,1,0,11,4,0,0,0,0,47,11,4,0,9,0,1,0,0,0,0,0,9,0,6,72,0,1,0,0,0,0,29,0,0,0,2,0,0,0,0,4,75,0,21,0
800,9207,1,0,1,20,1,1,1,0,2,0,5,2,0,0,0,0,6,2,5,0,0,0,50,9,2,0,9,0,2,0,0,0,0,0,9,0,23,91,0,3,4,2,2,1,26,0,0,0,1,0,0,0,0,1,51,0,24,0
820,9485,2,0,0,22,1,1,1,0,0,0,4,3,0,0,0,0,14,7,3,0,0,0,50,11,11,0,4,0,1,0,0,0,0,0,17,0,10,85,0,0,1,0,1,0,28,0,0,0,0,0,0,0,0,3,46,0,12,0
840,9773,2,0,0,14,0,1,2,0,0,0,1,1,0,0,0,1,5,4,2,0,0,0,48,4,6,0,6,1,0,0,0,0,0,0,13,0,9,108,0,4,1,0,1,1,26,0,0,0,0,0,0,0,0,6,77,0,17,2
860,10071,3,0,0,16,2,1,3,2,1,0,2,1,0,0,0,0,14,5,1,0,0,0,31,6,6,0,3,0,0,0,4,0,0,0,19,0,7,104,0,4,0,0,1,2,45,0,0,0,0,0,0,0,0,3,83,0,20,0
880,10380,7,0,0,15,1,0,0,0,0,0,12,1,0,0,0,0,10,4,1,1,0,0,11,5,13,0,10,0,1,0,1,0,0,0,24,0,10,119,0,2,2,0,0,0,60,0,0,0,0,0,0,0,0,10,40,0,20,0
900,10701,8,0,0,14,0,0,1,0,2,0,6,2,0,0,0,0,10,2,2,0,0,0,5,10,6,0,11,0,0,1,1,0,0,0,26,1,17,125,0,5,4,0,0,0,50,0,0,0,0,0,0,0,0,3,19,0,19,1
910,10867,7,0,1,21,0,1,1,1,1,0,8,3,0,0,0,0,12,5,2,0,0,0,4,9,8,0,4,0,0,0,3,0,0,0,26,1,12,185,0,0,0,1,0,1,63,0,0,0,0,0,0,0,0,3,16,2,28,0
920,11036,4,0,0,17,0,1,1,1,1,0,13,2,0,0,0,0,13,6,1,0,0,0,7,11,6,0,8,0,1,0,2,0,0,0,25,0,34,134,0,7,3,2,0,0,55,0,0,0,0,0,0,0,2,7,11,1,18,0
930,11208,2,0,1,17,1,0,1,0,0,0,15,2,0,0,0,1,1,3,2,0,0,0,6,2,4,0,5,0,0,0,3,0,0,0,18,2,14,161,0,1,2,0,0,2,71,0,0,0,2,0,0,0,0,4,11,0,30,1
940,11385,9,0,0,1,0,0,3,2,1,0,49,0,0,0,0,0,4,6,0,0,0,0,2,10,2,0,8,0,1,0,9,0,0,0,12,14,190,36,0,2,2,2,0,5,30,0,0,0,0,0,0,0,0,0,2,1,11,0
950,11564,17,0,0,1,0,0,1,1,2,0,61,0,0,0,1,3,3,6,0,0,1,0,0,2,0,0,5,0,0,0,11,0,0,0,8,20,135,18,0,0,1,11,0,1,28,0,0,0,0,0,0,0,1,0,0,1,11,0
960,11745,9,0,0,2,4,0,2,2,0,0,14,2,0,0,0,1,7,20,0,0,3,0,1,8,1,0,5,0,2,0,28,0,0,0,21,88,65,16,0,1,3,19,0,1,36,0,0,0,0,0,1,0,0,0,4,1,10,0
970,NA,2,0,0,0,4,1,3,10,1,0,19,0,0,0,0,0,3,29,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,1,225,44,5,0,0,7,1,1,0,12,0,0,0,2,0,0,1,5,0,3,0,1,2
980,NA,2,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,3,42,1,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,1,255,0,0,26,0,4,1,0,0,7,0,0,0,0,0,0,0,3,0,2,0,1,2
990,NA,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,282,0,0,27,0,5,1,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0
995,NA,0,0,0,0,2,1,4,2,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,2,278,0,0,19,0,3,0,0,0,3,0,0,0,2,0,3,0,0,0,1,0,0,0
1020,NA,1,0,0,1,1,0,5,15,4,0,1,0,0,0,0,0,20,158,0,0,23,1,0,3,1,0,23,0,0,0,1,1,0,0,2,241,0,0,43,0,8,2,0,0,7,0,0,0,4,0,23,0,2,0,0,0,0,3
1025,NA,0,0,0,0,0,0,2,3,5,0,1,1,0,0,0,0,7,145,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,259,0,0,78,0,5,8,1,0,1,0,0,0,1,0,88,2,0,0,1,0,0,51
1030,NA,0,0,0,0,0,0,2,13,0,0,6,0,0,0,0,0,8,35,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,288,0,0,26,0,6,0,0,2,10,0,1,0,1,0,6,0,2,0,2,0,1,0
