"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Indeterminable","Iva.annua","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Osmunda","Ostrya.Carpinus","Picea","Pinus","Poaceae","Populus","Pteridium","Quercus","Salix","Selaginella.selaginoides","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
220,5956,0,13,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,12,1,95,0,0,0,30,0,0,0,0,0,0,7,20,0,12,0
240,6434,0,4,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,4,0,146,1,0,1,17,1,0,0,0,0,0,0,9,0,7,0
260,6908,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,5,0,0,0,0,0,0,1,13,1,143,0,0,0,23,0,0,0,0,0,0,0,8,0,3,0
280,7375,0,8,1,0,1,0,0,0,1,0,2,0,0,0,1,0,0,6,0,0,0,3,0,0,0,0,0,0,0,12,0,133,0,0,0,22,0,0,0,0,0,0,1,9,0,3,0
300,7836,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1,16,1,159,0,0,0,13,0,0,0,0,0,0,0,2,0,1,0
320,8288,1,2,1,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,8,0,160,0,0,0,16,0,0,0,0,0,0,0,1,0,4,0
340,8731,0,2,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,6,1,168,0,0,0,5,1,0,0,0,0,0,0,1,0,5,0
360,9164,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12,1,158,0,0,1,9,0,0,0,0,1,0,1,6,0,5,0
380,9586,2,3,0,0,0,1,0,0,7,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,160,0,0,0,9,0,0,0,0,0,0,0,6,0,2,0
400,9996,1,4,0,1,0,0,1,0,6,0,1,0,0,0,1,0,0,0,1,0,4,2,0,0,0,0,0,0,0,6,3,156,0,0,0,14,0,0,0,0,1,0,1,4,0,0,0
420,10389,2,1,0,0,0,0,0,0,11,0,0,0,0,0,2,29,0,0,0,0,0,6,0,0,0,0,0,1,0,2,4,160,1,0,0,9,0,0,0,1,0,0,0,2,2,5,0
430,NA,1,0,2,0,1,2,0,0,1,0,1,0,0,0,1,69,1,0,0,0,0,4,0,0,0,0,0,1,0,0,8,165,0,0,0,0,0,0,0,0,1,0,0,4,0,5,0
440,NA,0,0,1,1,0,1,1,0,4,0,1,0,0,0,0,66,1,0,0,0,0,3,0,0,0,0,0,67,0,0,20,154,1,0,1,7,0,0,1,0,11,0,1,3,3,3,0
450,NA,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,88,1,0,0,0,0,2,0,0,0,0,0,21,0,1,24,160,0,0,2,0,0,0,0,0,10,0,0,2,2,6,0
460,NA,0,0,0,1,1,1,2,0,4,0,0,0,0,0,3,108,0,0,0,0,0,5,0,0,0,0,0,342,0,0,27,137,1,0,3,11,0,0,1,0,4,0,1,1,3,3,0
470,NA,0,1,0,2,0,0,1,1,5,3,0,1,0,0,4,60,0,0,1,0,1,2,0,0,0,0,2,1,0,0,78,101,0,2,2,2,0,14,0,0,0,0,0,1,1,1,2
480,NA,2,1,1,0,0,0,0,0,4,0,0,0,0,1,6,45,0,2,1,0,1,4,0,0,0,0,2,2,0,2,47,104,1,0,0,12,0,7,0,0,1,0,0,4,0,4,1
