"sample.depths","sample.ages","upland.sum","Abies","Betula","Carya","Caryophyllaceae","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Juglans.cinerea","Juglans.nigra","Larix","Picea","Quercus","Rumex","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Pinus","Populus","Poaceae","Iva.xanthifolia","Plantago","Ranunculus","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Ostrya","Artemisia","Salix","Sarcobatus.vermiculatus","Rosaceae","Asteraceae.subf..Cichorioideae","Iva.annua","Platanus","Corylus","Impatiens","Thalictrum","Taxus","Shepherdia.canadensis"
360,2004,300,1,46,0,0,0,5,0,102,0,1,0,1,11,0,2,52,1,23,0,0,1,10,0,0,0,0,0,35,1,1,4,1,0,0,0,0,0,2,0,0,0,0,0
380,2166,299,2,40,4,0,0,5,0,87,0,0,0,0,24,0,4,25,0,51,0,0,0,22,0,0,0,0,0,21,2,4,7,0,0,0,0,0,0,1,0,0,0,0,0
400,2328,301,2,56,2,0,0,3,0,75,0,0,0,0,17,0,2,49,0,41,0,0,0,10,0,0,0,0,0,34,3,1,4,0,1,0,0,0,0,0,0,0,1,0,0
420,2490,301,3,51,5,0,0,7,0,63,2,0,1,2,13,0,2,40,1,39,0,2,0,13,1,1,0,0,0,36,2,4,11,0,1,0,0,0,0,1,0,0,0,0,0
440,2652,305,1,61,0,0,0,16,0,50,0,0,0,0,20,0,1,42,0,33,0,1,2,14,0,1,0,0,0,40,1,3,13,2,0,0,0,0,0,4,0,0,0,0,0
460,2814,295,2,43,3,0,0,14,2,58,1,0,0,1,14,0,3,56,1,31,0,2,1,11,4,1,0,0,0,10,1,8,26,0,0,0,0,0,0,1,0,0,0,1,0
480,2976,300,1,50,2,0,0,1,0,49,0,1,0,0,25,0,0,59,0,40,0,1,1,15,1,0,0,0,0,32,2,5,14,1,0,0,0,0,0,0,0,0,0,0,0
500,3138,301,2,104,8,0,0,3,0,36,0,0,0,1,18,0,7,31,0,30,0,2,0,10,0,0,0,0,0,28,3,0,17,1,0,0,0,0,0,0,0,0,0,0,0
520,3300,301,1,107,1,0,0,16,0,51,0,0,0,0,14,0,5,26,0,21,0,3,0,10,0,0,0,0,0,21,1,8,16,0,0,0,0,0,0,0,0,0,0,0,0
540,3462,304,1,67,5,0,0,15,2,60,1,0,0,1,11,0,6,45,0,33,0,0,1,9,2,0,0,0,0,22,4,3,15,0,0,1,0,0,0,0,0,0,0,0,0
560,3624,304,3,80,2,0,1,24,1,43,0,0,0,0,10,0,4,38,0,31,0,2,2,9,1,0,0,0,0,29,4,4,15,0,0,0,0,0,0,1,0,0,0,0,0
580,3786,300,1,44,2,0,1,2,0,71,0,0,0,0,18,0,7,30,1,36,0,3,2,15,1,2,0,0,0,41,3,5,13,1,0,1,0,0,0,0,0,0,0,0,0
600,3948,304,2,57,1,0,1,14,1,50,1,1,2,0,11,0,6,44,1,39,0,0,0,16,0,1,0,0,0,39,2,3,12,0,0,0,0,0,0,0,0,0,0,0,0
620,4109,300,3,51,3,0,0,12,0,53,1,0,0,0,21,0,7,41,0,47,0,0,1,23,0,0,0,0,0,21,1,2,11,1,0,0,0,0,0,1,0,0,0,0,0
640,4271,305,1,75,3,0,0,5,0,47,0,0,0,1,15,0,8,34,0,53,0,0,3,10,1,2,0,0,0,27,6,1,12,0,0,0,0,0,0,1,0,0,0,0,0
660,4433,300,3,57,3,0,0,17,0,45,0,1,0,0,13,0,12,32,0,44,0,1,0,10,0,0,0,0,0,37,7,5,11,0,1,0,0,0,0,1,0,0,0,0,0
680,4595,300,1,50,2,0,1,3,0,70,0,0,0,0,34,0,9,15,0,50,0,4,2,21,0,0,0,0,0,21,1,3,9,3,0,0,0,0,0,1,0,0,0,0,0
700,4757,297,1,60,0,0,0,25,2,43,2,1,0,1,22,0,7,11,2,29,0,1,3,31,2,0,0,0,0,30,7,3,13,0,0,0,0,0,0,0,1,0,0,0,0
720,4919,300,1,57,2,0,0,4,0,58,6,0,0,0,18,0,11,14,1,29,0,1,0,26,0,0,0,0,0,38,2,7,19,0,2,0,0,0,0,4,0,0,0,0,0
740,5081,304,0,76,0,0,0,3,0,66,1,0,0,1,18,0,7,24,0,31,0,1,3,9,0,0,0,0,0,43,2,4,14,0,0,0,1,0,0,0,0,0,0,0,0
760,5729,300,0,33,1,0,0,8,0,79,0,0,0,0,14,0,1,77,0,27,0,5,0,11,1,0,0,0,0,26,2,5,7,0,0,0,0,0,0,3,0,0,0,0,0
780,6376,303,0,20,2,0,0,6,0,91,1,1,0,0,21,0,6,61,0,36,0,0,2,13,0,0,0,0,0,26,2,5,8,1,0,0,0,0,0,1,0,0,0,0,0
800,7024,301,0,8,1,0,0,3,0,55,1,0,1,1,19,0,3,105,0,33,0,0,0,19,0,0,0,0,0,27,6,4,10,1,1,0,0,0,0,3,0,0,0,0,0
820,7672,304,1,8,4,0,0,6,0,59,1,0,0,0,29,0,7,67,0,24,0,0,3,57,0,0,0,0,0,24,3,0,9,0,0,0,0,1,0,1,0,0,0,0,0
840,8319,304,1,11,0,0,1,9,1,13,1,0,0,0,31,0,2,107,0,29,0,1,2,52,0,0,0,0,0,19,4,5,15,0,0,0,0,0,0,0,0,0,0,0,0
860,8967,303,2,90,0,0,1,4,0,4,0,0,0,1,38,0,0,1,0,15,0,1,2,116,0,0,0,0,0,3,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0
880,9614,307,6,80,1,0,0,1,4,1,0,0,0,5,51,0,0,1,0,11,0,0,0,128,1,2,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,1,0,0
890,NA,307,3,57,1,0,0,6,4,23,0,0,2,11,14,0,2,10,0,9,0,0,0,128,1,4,0,0,0,10,4,3,12,0,0,0,0,0,0,0,0,0,0,0,3
