"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
80,792,571,0,4,14,0,8,0,0,42,4,23,0,0,4,1,0,1,2,1,26,2,3,1,3,2,0,0,0,0,20,0,11,0,0,6,2,0,76,0,0,238,0,0,0,0,0,24,6,0,1,0,1,8,0,0,0,14,0,0,0,1,0,1,14,1,0,0,1,4,0,1,0,0
88,885,609,0,0,6,0,3,0,0,31,3,19,1,0,3,0,0,1,2,1,11,5,3,4,0,1,0,0,0,0,22,1,4,0,0,0,9,5,74,0,0,292,0,0,0,0,0,35,3,0,1,0,0,7,0,0,1,46,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0
96,985,730,0,3,8,0,6,0,0,38,5,12,0,0,5,0,0,1,2,2,15,1,9,0,4,0,0,0,0,0,24,3,7,0,0,4,16,4,110,0,1,332,0,0,0,0,0,29,5,0,2,0,0,17,0,0,1,41,1,0,0,1,0,0,19,0,0,0,2,0,0,0,0,0
104,1109,608,0,1,3,0,6,0,0,42,3,21,2,0,3,0,0,0,0,3,13,2,3,1,1,1,0,0,0,0,12,4,3,0,0,0,2,0,90,0,0,291,0,0,0,0,0,25,7,0,3,0,0,16,0,0,0,31,1,0,0,0,0,0,15,1,0,0,0,2,0,0,0,0
112,1271,585,0,1,9,0,5,0,0,40,6,20,0,0,2,0,0,1,1,0,24,1,1,1,0,1,0,0,0,0,20,1,2,0,0,2,1,0,92,0,0,255,0,0,0,0,0,29,8,0,2,0,1,14,0,0,1,19,0,0,0,1,0,2,17,3,0,0,0,2,0,0,0,0
120,1433,594,0,4,6,0,4,0,0,48,1,17,3,0,2,0,0,2,1,2,16,1,2,3,1,0,0,0,0,0,11,1,0,0,0,0,5,1,54,1,0,301,0,0,0,0,0,13,6,0,3,0,1,3,0,0,1,49,5,0,0,1,0,0,24,1,0,0,0,0,0,0,0,0
128,1595,627,0,2,3,0,3,0,0,34,16,7,0,0,4,0,0,2,1,2,14,7,1,5,3,0,0,0,0,1,30,3,11,0,0,1,2,3,36,0,0,309,0,1,0,0,2,29,2,0,2,0,0,22,0,0,0,44,0,1,0,3,0,0,19,1,0,0,1,0,0,0,0,0
136,1757,669,0,0,8,0,2,0,0,41,9,14,0,0,4,1,0,2,1,0,19,2,5,1,3,0,0,0,0,0,17,3,3,0,0,1,3,2,48,2,0,308,0,0,0,0,0,30,5,0,4,0,0,19,0,0,0,71,0,0,0,2,2,0,34,0,0,0,0,0,0,3,0,0
144,1919,644,0,1,7,0,6,0,0,50,8,10,1,0,6,0,0,1,3,1,22,0,4,0,2,1,0,0,0,1,28,3,4,0,0,1,2,2,47,1,0,283,0,0,0,0,1,23,4,0,1,0,0,10,0,0,0,64,1,0,0,1,2,0,37,2,0,0,2,0,0,1,0,0
152,NA,627,0,0,7,0,6,0,0,47,10,12,2,0,0,0,0,0,3,0,14,0,1,1,5,4,1,0,0,0,17,1,4,1,0,1,2,1,38,1,0,323,0,0,0,0,1,17,0,0,1,0,1,18,0,0,1,39,3,0,0,1,0,0,40,1,0,0,0,0,0,2,0,0
160,NA,655,0,2,8,0,5,0,0,44,7,18,1,0,4,1,0,2,0,2,18,1,3,0,0,1,0,0,0,0,18,0,1,3,0,1,1,3,62,2,0,297,0,1,0,0,0,27,3,0,0,0,3,20,0,0,2,54,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0
168,NA,633,0,0,4,0,7,0,0,46,7,3,0,0,4,0,0,0,2,0,22,1,6,1,0,1,0,0,0,0,16,2,4,3,0,0,0,1,60,2,0,314,1,0,0,0,0,13,7,0,0,0,1,18,0,0,0,36,0,0,0,1,0,0,46,3,0,0,0,0,0,1,0,0
176,NA,655,0,0,3,0,11,0,0,44,11,8,0,0,5,0,0,0,0,0,6,3,1,0,3,3,0,0,1,0,13,5,3,2,0,1,0,2,60,0,1,349,0,0,0,0,1,12,2,0,1,0,3,15,0,0,0,30,1,0,0,0,0,0,54,0,0,1,0,0,0,0,0,0
