"sample.depths","sample.ages","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Picea","Quercus","Salix","Sarcobatus.vermiculatus","Tsuga","Alnus","Ambrosia","Poaceae","Humulus","Pinus.banksiana.P..resinosa","Cupressaceae","Ericaceae","Larix","Asteraceae.subf..Asteroideae.undiff.","Myrica","Abies","Ulmus","Corylus","Ostrya.Carpinus","Thalictrum","Populus","Fraxinus.nigra","Fraxinus.americana.type","Apiaceae","Juglans.cinerea","Iva.annua","Rosaceae","Iva.xanthifolia","Xanthium","Caryophyllaceae","Elaeagnus","Shepherdia.canadensis","Carya","Ephedra.torreyana.type","Ranunculus"
120,6967,0.0299003322259136,0.146179401993355,0.0166112956810631,0.00332225913621262,0.0398671096345515,0.00664451827242525,0.00664451827242525,0,0,0.209302325581395,0.0132890365448505,0.0132890365448505,0,0.491694352159468,0,0,0,0.00664451827242525,0.00332225913621262,0,0.00332225913621262,0.00332225913621262,0.00332225913621262,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,7192,0.0333333333333333,0.173333333333333,0.0133333333333333,0.00333333333333333,0.0533333333333333,0.01,0.0133333333333333,0,0,0.173333333333333,0.0166666666666667,0.0366666666666667,0,0.44,0.0166666666666667,0,0,0.00333333333333333,0,0,0.00333333333333333,0.00666666666666667,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
140,7417,0.0233333333333333,0.213333333333333,0.0166666666666667,0.00666666666666667,0.02,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0.16,0.0333333333333333,0.01,0,0.476666666666667,0.01,0,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0.00333333333333333,0,0,0,0,0.00333333333333333,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0
150,7641,0.0433333333333333,0.19,0.01,0.01,0.0366666666666667,0.00666666666666667,0,0,0,0.116666666666667,0.0433333333333333,0.0133333333333333,0,0.5,0.0166666666666667,0,0,0.00666666666666667,0,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,7866,0.06,0.16,0.0133333333333333,0.00666666666666667,0.0333333333333333,0.00666666666666667,0,0.00666666666666667,0,0.133333333333333,0.0566666666666667,0.03,0,0.453333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.01,0,0,0.00333333333333333,0.00333333333333333,0,0.00333333333333333,0.00666666666666667,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
170,8091,0.0466666666666667,0.3,0.0233333333333333,0,0.0433333333333333,0.0166666666666667,0.02,0,0,0.136666666666667,0.04,0.02,0,0.306666666666667,0.01,0,0.00666666666666667,0.01,0,0,0.00333333333333333,0,0,0,0.00666666666666667,0,0,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0
180,8316,0.02,0.2,0.02,0.00333333333333333,0.0333333333333333,0.01,0.0133333333333333,0,0,0.16,0.0566666666666667,0.0166666666666667,0,0.42,0.03,0.00333333333333333,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0
190,8540,0.0133333333333333,0.263333333333333,0.0233333333333333,0,0.0333333333333333,0.0133333333333333,0.0133333333333333,0.00666666666666667,0,0.103333333333333,0.0366666666666667,0.0333333333333333,0,0.433333333333333,0.00333333333333333,0,0,0.01,0,0,0,0,0.00333333333333333,0,0.00666666666666667,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0
200,8765,0.0166666666666667,0.176666666666667,0.0133333333333333,0.00666666666666667,0.04,0.00333333333333333,0.00666666666666667,0.00333333333333333,0,0.15,0.01,0.0133333333333333,0,0.516666666666667,0.00666666666666667,0,0.00666666666666667,0,0.00666666666666667,0,0.00333333333333333,0,0,0,0.0166666666666667,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0
210,8990,0.03,0.23,0.0266666666666667,0.00333333333333333,0.05,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0.243333333333333,0.0333333333333333,0.01,0,0.353333333333333,0,0.00333333333333333,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,9214,0.0366666666666667,0.296666666666667,0.01,0,0.09,0.00333333333333333,0.00666666666666667,0,0,0.24,0.0166666666666667,0.0133333333333333,0,0.273333333333333,0,0,0.00333333333333333,0,0.00333333333333333,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0
230,9439,0.0836120401337793,0.424749163879599,0.0602006688963211,0,0.0635451505016722,0.0100334448160535,0.0167224080267559,0.00334448160535117,0,0.080267558528428,0.0501672240802676,0.0133779264214047,0,0.130434782608696,0.00668896321070234,0,0,0.0133779264214047,0.0267558528428094,0,0,0,0.00334448160535117,0,0,0.00334448160535117,0,0,0,0,0,0,0.00334448160535117,0.00334448160535117,0.00334448160535117,0,0,0,0
240,9664,0.053156146179402,0.275747508305648,0.00996677740863787,0.0166112956810631,0.12624584717608,0.00332225913621262,0.00332225913621262,0.00996677740863787,0,0.0166112956810631,0.0132890365448505,0.00664451827242525,0,0.395348837209302,0.0199335548172757,0,0.0132890365448505,0.00664451827242525,0.0132890365448505,0,0,0,0.00332225913621262,0,0.00664451827242525,0,0.00332225913621262,0,0,0,0,0,0,0,0,0.00332225913621262,0,0,0
250,9889,0.07,0.233333333333333,0.01,0.0333333333333333,0.243333333333333,0.0133333333333333,0.0133333333333333,0,0,0.00666666666666667,0.0266666666666667,0.0166666666666667,0,0.18,0.0433333333333333,0,0.0133333333333333,0.01,0.00666666666666667,0,0.01,0,0,0,0.0633333333333333,0,0.00333333333333333,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0
260,10113,0.08,0.183333333333333,0.0233333333333333,0.0266666666666667,0.236666666666667,0.0133333333333333,0.0166666666666667,0.00666666666666667,0,0,0.0233333333333333,0.02,0,0.156666666666667,0.06,0.00333333333333333,0.0233333333333333,0.01,0.03,0,0.02,0,0,0,0.0633333333333333,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0
265,NA,0.14,0.18,0.0266666666666667,0.0166666666666667,0.08,0.02,0.0166666666666667,0,0,0.00666666666666667,0.0533333333333333,0.0233333333333333,0,0.136666666666667,0.0333333333333333,0,0.00666666666666667,0.01,0.123333333333333,0.00333333333333333,0.0233333333333333,0,0.00666666666666667,0,0.0833333333333333,0,0,0,0,0.00333333333333333,0,0,0,0,0.00333333333333333,0,0.00333333333333333,0,0
270,NA,0.106666666666667,0.0533333333333333,0.03,0.09,0.09,0.0133333333333333,0.0233333333333333,0.00333333333333333,0,0.00666666666666667,0.03,0.0133333333333333,0,0.24,0.05,0.00333333333333333,0,0.00333333333333333,0.14,0,0.02,0,0,0,0.0766666666666667,0,0,0,0.00333333333333333,0,0,0,0,0,0,0.00333333333333333,0,0,0
275,NA,0.080267558528428,0.0769230769230769,0.0234113712374582,0.0769230769230769,0.110367892976589,0.040133779264214,0,0,0,0.0100334448160535,0.0267558528428094,0.0100334448160535,0,0.361204013377926,0.0167224080267559,0,0,0.00668896321070234,0.0301003344481605,0,0.0602006688963211,0,0.00334448160535117,0.00334448160535117,0.0501672240802676,0,0,0,0,0,0,0,0,0,0,0.00668896321070234,0,0.00334448160535117,0.00334448160535117
