"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.undiff.","Ambrosia.type","Aquifoliaceae","Artemisia","Betula","Carya","Castanea","Pinaceae.undiff.","Corylus","Cyperaceae","Ericaceae","Fagopyrum","Fagus","Poaceae.undiff.","Juglans.cinerea","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Fabaceae","Fraxinus","Populus","Amaranthaceae","Viburnum","Cerealia","Urticaceae","Plantago","Rosaceae","Caryophyllaceae","Cephalanthus","Juglans.nigra","Rhus","Sambucus","Thalictrum","Myrica","Rhamnaceae.Vitaceae","Galium","Lamiaceae","Ranunculus","Liquidambar","Nyssa","Juglans.undiff.","Ranunculaceae.undiff.","Rubiaceae.undiff.","Gentianaceae","Celtis","Impatiens"
143,1131,597,0,45,0,4,0,2,69,17,4,5,0,1,0,0,99,0,1,0,0,16,0,2,7,27,1,77,0,0,6,131,1,42,0,10,0,27,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,1324,575,0,54,1,2,0,0,61,7,1,2,0,0,1,0,117,0,2,0,0,20,1,3,5,34,12,71,0,0,3,114,1,37,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
193,1449,593,1,45,0,3,2,1,58,12,3,6,1,2,0,0,126,0,1,0,0,10,1,8,11,26,5,68,0,1,11,101,1,40,0,6,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
223,1629,589,0,53,0,2,0,0,56,9,4,6,0,1,0,0,100,1,1,1,0,22,0,6,5,24,6,101,0,0,13,86,1,48,0,12,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
248,1777,604,0,49,2,2,1,1,57,15,3,7,1,2,0,0,111,0,3,0,0,14,2,4,7,29,9,108,0,0,7,79,0,42,0,8,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
273,1924,595,0,38,5,0,1,1,67,18,0,5,2,2,0,0,102,0,2,0,0,11,0,4,5,27,7,121,0,0,11,78,0,44,0,11,0,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
298,2073,595,1,54,0,1,0,2,61,17,2,2,1,1,0,0,76,0,2,1,0,20,0,9,10,44,2,102,0,0,5,67,2,53,0,8,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,2224,598,0,43,2,4,0,1,59,12,8,7,1,3,0,0,94,1,4,2,0,14,1,2,17,25,9,76,0,2,10,123,0,34,0,15,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,2379,603,0,52,2,4,0,2,66,10,3,5,0,1,1,0,119,1,5,0,0,13,1,4,11,27,4,79,0,0,9,110,0,39,0,10,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
373,2541,606,0,49,2,5,1,0,79,17,0,1,1,6,0,0,121,1,1,1,0,15,0,4,5,18,7,90,0,0,7,74,3,47,0,4,0,42,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,2677,578,0,52,0,2,1,4,44,14,3,3,0,1,0,0,124,2,1,0,0,18,0,3,9,16,7,80,0,3,13,77,0,42,1,9,0,47,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,2818,559,0,0,54,2,0,0,50,16,7,15,8,2,0,0,87,1,0,0,0,14,0,2,3,14,5,95,0,0,9,82,0,28,0,7,0,53,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
438,3005,553,0,0,53,1,4,1,42,11,4,11,13,1,0,0,98,1,0,0,0,19,1,1,2,20,3,102,2,2,8,62,0,33,0,5,0,47,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
463,3205,570,0,0,70,1,1,1,47,16,7,28,5,0,0,0,88,1,0,0,0,11,0,0,2,20,2,98,0,1,10,59,1,49,0,7,0,38,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
488,3419,567,0,0,43,5,1,2,53,9,10,25,11,3,0,0,98,0,0,0,0,14,0,2,3,26,11,89,0,2,6,57,0,42,0,5,0,46,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
513,3650,559,0,0,70,3,2,1,26,19,7,19,9,1,0,0,85,0,0,0,0,15,0,1,2,23,4,107,0,0,8,40,0,54,0,9,0,45,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
538,3899,551,0,0,36,5,0,0,50,18,2,15,9,1,0,0,97,0,0,0,0,21,0,1,6,20,2,117,0,2,9,27,0,53,0,5,0,44,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0
563,4168,564,0,0,41,6,0,0,52,24,3,15,9,1,0,0,94,1,0,0,0,20,0,1,4,15,12,94,0,2,7,37,1,61,0,5,0,37,7,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,11,0,0,0,1,0
588,4459,534,0,0,43,4,0,0,55,16,2,11,7,0,0,0,95,0,0,0,0,15,0,0,1,16,9,112,0,0,9,23,0,42,0,6,0,56,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
613,4774,551,0,0,52,6,0,0,69,15,3,23,11,0,0,0,95,1,0,0,0,11,0,0,0,14,7,91,0,0,5,44,0,42,0,9,0,39,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
638,5113,569,0,0,53,5,1,1,46,16,0,13,11,0,0,0,107,0,0,0,0,20,0,0,1,20,5,109,0,2,5,39,0,48,0,5,0,45,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,3,0,1,1
663,5480,552,0,0,42,3,0,0,55,8,2,16,6,2,0,0,68,0,0,0,0,8,1,1,0,9,17,67,0,0,9,132,0,44,0,2,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
688,5877,600,0,0,21,2,0,1,28,11,2,33,2,0,0,0,65,0,0,0,0,8,1,0,0,12,13,56,0,0,7,244,0,42,0,3,0,38,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0
706,6183,555,0,0,21,3,0,2,19,11,1,22,3,0,0,0,60,1,0,0,0,8,0,0,0,13,21,72,0,1,3,207,0,36,0,3,0,30,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
721,6452,559,0,0,22,4,0,1,27,11,0,8,5,0,0,0,54,1,0,0,0,6,0,1,0,5,25,72,0,0,5,210,1,31,0,3,0,45,4,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,10,0,1,0,0,0
736,6734,559,0,0,26,5,0,0,20,11,2,16,2,2,1,0,66,0,0,0,0,6,1,0,0,7,26,80,0,0,11,183,0,36,0,0,0,41,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,12,0,1,0,0,0
756,7132,557,0,0,26,4,0,2,24,8,1,12,2,0,0,0,64,3,0,0,0,7,1,0,0,17,19,68,0,0,7,196,0,47,0,4,0,39,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
771,7447,553,0,0,24,2,0,4,24,11,2,22,6,0,1,0,51,0,0,0,0,12,0,0,1,19,29,67,0,0,11,171,1,48,0,1,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
786,7777,570,0,0,35,0,0,2,24,10,2,16,5,3,0,0,76,0,0,0,0,5,0,0,3,14,30,82,0,1,6,135,0,44,0,6,0,54,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0
801,8124,538,0,0,34,1,0,1,23,13,4,13,2,2,0,0,61,0,0,0,0,6,0,1,0,16,24,83,0,0,8,146,2,41,0,1,0,45,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
813,8413,556,0,0,20,3,0,1,32,12,1,13,5,0,0,0,69,2,0,0,0,17,0,0,0,11,19,85,0,0,8,149,2,41,0,5,0,54,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
825,8713,568,0,0,22,1,0,4,33,7,1,21,5,1,0,0,65,1,0,0,0,19,0,0,1,13,19,82,0,1,4,146,1,48,0,2,0,60,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
837,9024,551,0,0,18,8,0,0,25,17,1,9,4,0,0,0,78,0,0,0,0,6,0,0,1,27,14,84,0,0,2,154,0,40,0,4,0,47,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0
849,9346,543,0,0,18,2,0,2,29,14,0,20,4,1,0,0,68,1,0,0,0,18,0,1,2,17,11,81,0,0,6,171,0,25,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13,0,0,0,1,0
861,9681,555,0,0,16,5,0,1,64,13,0,25,9,2,0,0,46,0,0,0,0,9,1,0,1,20,9,82,0,0,7,165,1,40,0,1,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0
873,10027,544,0,0,26,2,1,2,34,14,0,19,3,2,1,0,39,0,0,0,0,14,0,2,4,23,5,81,0,1,6,161,0,38,0,1,0,46,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0
884,10356,550,0,0,18,2,0,3,22,8,0,20,7,0,0,0,18,0,0,0,0,18,1,0,6,41,9,73,0,0,6,193,0,39,0,1,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
896,10727,544,0,0,18,1,0,1,26,2,0,25,1,1,0,0,17,2,0,0,0,16,0,2,4,32,6,116,0,1,4,140,2,26,0,2,0,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
901,10885,563,1,0,19,0,0,1,25,4,0,25,1,0,0,0,13,1,0,0,0,21,0,2,6,41,1,109,0,0,3,173,0,27,0,1,0,55,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,0,0,0,0,0
907,11078,550,0,0,12,5,0,2,12,5,0,24,1,1,0,0,5,1,0,0,0,20,0,0,4,42,3,120,0,0,6,178,1,36,0,2,0,57,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
913,11274,560,2,0,24,5,0,1,16,4,0,31,1,0,0,0,1,1,0,0,0,35,0,3,15,121,2,114,0,2,5,103,0,39,0,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
919,11474,588,3,0,23,0,0,1,26,2,0,30,3,0,0,0,0,0,0,0,0,35,0,8,26,149,0,174,0,1,2,25,2,39,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
925,11677,562,6,0,20,1,0,0,39,1,0,22,3,0,0,0,0,0,0,0,0,22,9,3,24,249,0,90,0,0,0,5,2,42,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
931,11882,610,12,0,0,3,0,8,13,1,0,53,2,3,0,0,0,16,0,0,0,9,278,3,0,153,0,21,1,2,0,4,8,2,1,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0
941,12227,642,22,0,1,5,0,7,7,0,0,60,2,22,1,0,0,8,0,0,0,18,307,5,3,81,0,58,1,5,0,4,2,5,0,3,0,7,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0
955,12717,666,17,0,1,10,0,11,7,3,0,53,1,30,1,0,0,18,0,0,0,31,335,9,0,33,0,69,0,7,0,0,7,0,0,0,0,15,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
967,13140,586,13,0,1,5,0,8,10,3,0,41,3,46,0,0,1,9,0,0,0,30,270,4,0,41,0,44,1,5,0,0,7,0,0,3,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
979,13567,528,14,0,0,5,0,9,13,2,0,25,3,19,0,0,0,10,0,0,0,19,271,8,1,48,0,41,0,4,0,0,6,3,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0
991,NA,492,11,0,3,4,0,11,17,3,0,18,5,27,0,0,0,5,0,0,0,37,218,2,0,22,0,48,0,8,0,0,3,5,0,2,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0
