"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Castanea.dentata","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus.grandifolia","Fraxinus","Huperzia.lucidula","Huperzia.selago","Ilex","Isoëtes","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix.laricina","Liquidambar.styraciflua","Liriodendron.tulipifera","Myricaceae","Myriophyllum","Nuphar","Nymphaea","Nyssa","Oenothera","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Quercus","Rubus","Rumex","Salix","Sanguisorba","Selaginella.selaginoides","Sparganium","Sphagnum","Thalictrum","Tilia.americana","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown..trilete.","Utricularia","Verbena"
120,1046,0,0,3,4,0,2,0,0,6,0,31,28,0,15,3,0,0,1,19,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,30,0,1,0,0,4,0,155,0,0,0,0,0,0,0,0,1,19,1,5,1,1,0
130,1159,0,0,4,9,0,0,0,0,4,0,33,18,0,10,0,0,0,0,11,6,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,14,0,0,0,1,0,3,204,0,0,0,0,0,0,0,0,1,8,0,6,0,1,0
140,1272,0,0,0,12,0,0,0,0,4,0,26,19,0,8,0,0,0,2,4,5,0,0,0,1,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,1,0,24,0,2,0,0,5,0,138,0,0,2,0,0,0,0,0,0,8,0,4,0,1,0
150,1385,0,2,2,10,0,0,0,0,1,0,31,19,0,14,1,0,0,1,10,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,20,0,1,0,0,7,1,214,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0
160,1498,0,0,3,18,0,0,0,0,2,0,47,28,0,7,0,0,0,0,17,6,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5,1,0,0,21,0,0,0,0,3,0,202,0,0,0,0,0,1,0,0,0,9,0,3,1,1,0
170,1611,0,0,7,9,0,1,0,0,0,0,29,18,0,3,0,0,0,0,11,3,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,22,0,5,0,0,4,0,193,0,0,1,0,0,0,0,0,2,14,0,2,2,0,0
180,1723,0,0,0,11,0,0,0,1,2,0,38,24,0,4,3,0,0,0,5,1,0,0,1,1,3,0,0,0,0,0,10,0,0,1,0,0,1,1,0,0,0,24,0,4,0,0,0,1,189,0,0,3,0,0,0,0,0,1,18,0,4,0,3,0
190,1836,0,2,6,13,0,0,0,0,5,0,24,11,0,10,7,0,0,0,14,10,0,0,0,0,2,0,0,0,0,0,6,0,0,1,0,0,0,4,0,0,0,18,0,3,0,0,0,1,213,0,0,0,0,0,0,0,0,0,10,0,6,4,1,0
200,1949,0,0,7,15,0,0,0,0,2,0,32,19,0,7,3,0,0,1,19,9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,8,0,0,0,22,0,1,0,1,0,2,197,0,0,2,0,0,0,0,0,1,16,0,6,0,1,0
205,1998,0,0,3,24,0,0,0,0,2,0,48,18,0,14,0,1,0,0,17,7,0,0,0,0,3,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,28,0,1,0,0,1,1,186,0,0,0,0,0,0,0,0,1,17,0,4,4,2,0
210,2039,0,0,6,13,0,0,0,0,2,0,27,8,0,17,3,0,0,0,26,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,1,10,0,3,0,0,3,1,189,0,0,0,0,0,0,0,0,0,5,0,7,2,1,0
215,2081,0,0,5,22,1,0,0,0,0,0,20,8,0,19,0,0,0,0,13,5,0,0,1,0,1,0,0,1,0,0,8,0,0,0,0,0,0,9,0,0,1,21,0,0,0,1,0,0,150,0,0,1,0,0,0,0,0,1,15,0,4,1,2,0
220,2122,0,4,0,13,0,0,0,0,2,0,43,21,0,17,3,0,0,0,10,4,0,0,0,4,5,0,0,0,0,0,7,1,0,1,0,0,1,1,0,4,0,17,0,0,0,2,0,1,142,0,0,4,0,0,0,0,0,1,18,0,1,0,2,0
225,2164,0,2,4,17,0,0,0,0,2,0,35,11,0,11,1,1,0,0,9,6,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,6,30,0,2,0,4,1,0,162,0,0,0,0,0,0,0,0,0,12,0,2,2,2,0
230,2205,0,1,7,25,0,0,0,0,3,0,28,13,1,22,5,1,0,1,18,5,0,0,0,0,3,0,0,1,0,0,6,0,0,0,0,0,0,8,0,0,2,18,1,1,0,0,0,0,173,1,0,0,0,0,0,0,0,0,7,0,8,1,4,0
235,2247,0,0,4,14,0,0,0,0,4,0,27,23,1,11,2,0,0,0,13,11,0,0,0,0,2,0,0,2,0,0,5,0,0,0,0,0,0,6,0,0,0,28,0,1,0,0,1,0,163,0,0,0,0,0,0,0,0,0,18,0,3,1,1,0
240,2288,0,0,5,12,0,0,0,0,1,0,30,9,0,18,5,0,0,1,14,10,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,5,0,0,0,13,0,1,0,0,2,1,182,0,0,0,0,0,0,0,0,0,1,0,7,1,2,0
245,2330,0,0,2,5,0,0,0,0,1,0,29,27,0,5,0,0,0,0,19,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,26,0,0,0,0,1,0,187,0,0,0,0,0,0,0,0,1,12,0,4,0,0,0
250,2371,0,0,1,17,0,0,0,0,1,0,28,13,0,28,1,0,0,1,14,9,0,0,1,0,3,0,0,0,1,0,2,0,0,0,0,0,0,7,0,0,2,14,1,1,0,1,1,0,175,0,0,1,0,0,0,0,0,0,5,0,7,1,0,0
255,2413,0,0,3,11,0,0,0,0,0,0,24,27,1,6,1,0,0,1,6,2,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,25,0,0,0,1,0,0,179,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0
260,2454,0,4,1,30,0,0,0,0,1,0,30,23,0,14,0,1,0,0,14,3,1,0,0,4,0,0,0,0,0,0,7,0,0,2,1,0,0,6,0,0,0,15,0,3,0,1,0,0,187,0,0,3,0,0,0,2,0,1,7,0,7,3,8,0
265,2496,0,3,3,29,0,0,0,0,3,0,42,3,0,20,1,0,0,0,8,12,0,0,2,0,0,0,0,0,1,0,9,0,0,0,0,0,0,5,0,0,0,11,0,3,0,1,0,1,185,0,0,3,0,0,0,0,0,1,4,0,3,1,1,0
270,2537,0,1,6,25,1,0,0,0,1,0,27,24,0,26,7,0,0,0,11,3,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,1,14,0,1,0,0,4,0,152,0,0,0,0,0,0,0,0,0,8,0,6,4,0,0
275,2579,0,2,2,38,0,0,0,0,0,0,42,2,0,19,9,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,13,0,0,0,1,2,0,0,0,2,0,126,0,0,3,0,0,0,0,0,1,1,0,3,0,0,0
280,2620,0,0,5,34,0,0,0,0,2,0,26,13,0,13,12,0,0,0,15,3,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,12,0,2,0,0,1,0,167,0,0,1,0,0,0,0,0,2,7,0,6,2,0,0
285,2662,0,1,1,19,0,0,1,0,2,0,44,4,1,18,2,0,0,0,2,8,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0,6,1,2,0,0,0,0,199,0,0,0,0,0,0,0,0,0,4,0,6,2,0,0
290,2703,0,2,3,17,0,0,0,0,2,0,36,17,0,21,8,0,0,1,22,9,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,1,20,0,2,0,0,1,0,181,0,0,0,0,0,0,0,0,0,6,0,3,2,0,0
295,2744,0,0,7,22,1,0,0,0,7,0,27,4,0,15,1,0,0,0,2,15,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,3,0,2,0,0,1,0,202,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0
300,2806,0,0,3,19,0,0,0,0,2,0,23,13,0,10,2,0,0,0,13,1,0,0,0,6,1,0,0,0,2,0,11,0,0,0,0,0,0,2,0,2,0,11,0,1,0,0,0,1,171,0,0,1,0,0,0,0,0,0,6,0,5,0,8,0
305,2888,0,0,1,14,0,0,0,0,0,0,39,24,0,6,0,0,0,2,17,7,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,1,36,1,1,0,2,0,0,188,0,0,0,0,0,0,0,0,0,23,0,2,1,1,0
310,2970,0,0,2,22,0,0,0,0,1,0,29,16,0,19,10,0,0,0,13,6,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,3,0,0,0,14,0,4,0,0,1,0,210,0,0,0,0,0,0,0,0,3,5,0,9,3,1,0
315,3053,0,0,2,30,1,0,0,1,3,0,47,1,0,14,2,0,0,0,6,21,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,5,0,0,0,7,0,1,0,1,2,0,174,0,0,2,0,0,0,0,0,0,5,0,6,2,1,0
320,3135,0,0,7,15,0,0,0,0,3,0,29,27,0,16,4,0,0,0,24,6,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,5,0,0,1,30,0,1,0,2,0,0,150,0,0,2,0,0,0,0,0,0,3,0,9,3,0,0
325,3217,0,0,8,17,0,0,0,0,3,0,43,4,0,9,12,1,0,0,11,13,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,11,0,0,1,14,1,2,0,1,2,0,160,1,0,2,0,0,0,0,0,0,4,0,9,3,0,0
330,3299,0,0,8,22,0,0,0,0,2,0,35,9,0,26,10,0,0,0,13,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,12,0,0,0,0,1,1,154,0,0,2,0,0,0,0,0,0,0,0,6,1,0,0
335,3381,0,0,4,22,2,1,0,0,0,0,45,2,0,17,0,0,0,0,15,10,0,0,1,0,1,0,0,0,3,0,3,0,0,0,0,0,0,11,0,0,0,8,0,2,0,0,2,0,178,1,0,1,0,0,0,0,0,0,4,0,5,1,1,0
340,3463,0,3,4,15,0,0,0,0,3,0,39,13,0,19,3,2,0,1,12,2,0,0,0,4,1,0,0,0,1,0,9,0,0,0,1,0,2,4,1,1,0,21,0,0,0,0,0,5,126,0,0,2,0,0,0,0,0,1,7,0,6,1,6,0
345,3545,0,1,8,20,0,1,0,0,1,0,47,33,0,13,5,0,0,0,38,21,0,0,0,0,4,0,0,0,1,0,2,0,1,0,0,0,0,9,0,0,3,26,2,3,0,1,1,0,187,0,0,0,0,0,0,0,0,2,14,0,4,0,0,0
350,3627,0,0,4,19,0,0,0,0,0,0,38,11,0,22,3,0,0,0,22,11,0,0,1,0,3,0,0,0,0,0,5,0,0,1,0,0,0,6,0,0,3,13,0,2,0,1,3,0,189,0,0,0,0,0,0,0,0,0,6,0,7,2,0,0
355,3709,0,1,4,30,0,0,0,0,4,0,39,5,0,28,10,0,0,0,3,21,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,1,11,1,2,0,0,4,0,125,0,0,3,0,0,0,0,0,0,3,0,3,3,0,0
360,3791,0,1,8,18,0,0,0,0,3,0,38,13,0,36,3,0,0,0,29,4,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,7,0,0,5,27,0,2,0,1,1,0,204,0,0,2,0,0,0,0,0,0,11,0,2,3,0,0
365,3873,0,2,6,20,0,0,0,1,2,0,32,23,0,18,3,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,4,27,0,1,0,2,0,0,156,0,0,1,0,0,0,0,0,0,4,0,8,2,0,0
370,3956,0,0,7,27,0,0,0,0,2,0,27,7,0,50,9,0,0,0,19,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,1,0,1,0,1,208,0,0,1,0,0,0,0,0,1,3,0,6,2,0,0
375,4038,0,0,3,21,0,0,0,0,5,0,19,6,0,32,6,0,0,0,10,39,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,10,0,1,0,0,1,0,105,0,0,1,0,0,0,0,0,0,6,0,4,0,2,0
380,4120,0,0,3,12,0,0,0,0,5,0,15,15,0,12,2,3,0,0,6,8,0,0,1,5,1,0,0,1,0,0,5,0,0,2,0,0,0,7,1,2,0,20,0,4,0,3,5,3,188,0,0,1,0,0,0,0,0,0,4,0,5,1,9,0
385,4202,0,0,7,13,0,0,0,0,2,0,7,21,0,13,7,2,0,0,8,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,1,10,0,0,0,1,0,0,210,0,0,0,0,0,0,0,0,1,8,0,7,0,0,0
390,4284,0,1,6,10,1,0,0,0,1,0,18,10,0,13,4,0,0,0,20,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,10,0,0,0,0,2,0,232,0,0,1,0,0,0,0,0,0,3,0,6,1,0,0
395,4366,0,0,5,23,0,0,0,0,2,0,12,15,0,9,4,0,0,1,13,11,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,5,0,0,0,17,0,3,0,0,1,0,219,0,0,0,0,0,0,0,0,2,4,0,3,5,0,0
400,4448,0,0,4,16,1,0,0,0,0,0,18,14,0,17,1,0,6,0,11,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,1,26,0,2,0,1,0,0,221,0,0,1,0,0,0,0,0,0,6,0,3,1,0,0
405,4496,0,2,7,25,0,0,0,0,3,0,15,14,0,24,1,1,0,0,10,6,0,0,0,0,3,0,0,2,2,0,1,0,0,1,0,0,0,7,0,0,2,20,0,0,0,3,0,0,189,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0
410,4543,0,0,7,15,0,0,0,0,3,0,6,8,0,25,14,0,0,0,15,18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,8,0,4,0,0,1,0,203,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0
415,4591,0,0,7,11,0,0,0,0,6,0,4,16,0,26,5,0,0,0,7,12,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,16,0,2,0,0,0,0,201,0,0,0,0,0,0,0,0,0,4,0,8,2,0,0
420,4639,0,1,5,21,1,0,0,0,1,0,16,13,0,27,0,9,0,0,5,6,0,0,0,7,1,0,0,0,0,0,2,0,0,1,1,0,0,3,0,1,0,8,1,5,0,0,6,0,178,0,0,6,0,0,0,1,0,0,2,0,2,4,5,0
425,4686,0,0,2,18,0,0,0,0,4,0,11,31,0,16,3,0,0,0,15,12,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,3,26,0,1,0,1,0,0,233,0,0,1,0,0,0,0,0,0,4,0,5,5,0,0
430,4734,0,0,6,9,0,0,0,0,3,0,5,16,0,18,8,0,0,0,13,10,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,13,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,1,5,0,7,2,0,0
435,4781,0,0,5,10,0,0,0,0,4,0,9,20,0,11,3,4,0,0,9,14,0,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,10,0,0,0,20,0,2,0,1,0,0,214,0,0,0,0,0,0,0,0,1,12,1,8,3,0,0
440,4829,0,0,8,17,0,0,0,0,2,0,11,16,1,7,1,0,0,0,12,5,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,3,0,0,4,24,0,0,0,2,1,0,196,0,0,1,0,0,0,0,0,0,6,0,2,1,0,0
445,4877,0,0,9,25,0,0,0,0,2,0,4,21,0,9,5,0,0,0,14,3,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,7,0,0,0,32,0,2,0,1,0,0,183,0,0,0,0,0,0,0,0,0,9,0,3,6,0,0
450,4924,0,0,3,20,0,0,0,0,3,0,5,12,0,13,4,1,0,0,10,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,10,0,1,0,0,5,0,231,0,0,0,0,0,0,0,0,1,5,0,5,0,0,0
455,4972,0,0,4,9,1,0,0,0,2,0,12,12,0,5,5,0,0,0,10,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,2,0,0,3,0,193,0,0,0,0,0,0,0,0,2,5,0,7,2,0,0
460,5019,0,1,1,15,0,0,0,0,1,0,13,17,0,5,1,0,0,2,13,9,0,0,0,4,1,0,0,0,0,0,5,0,0,1,0,0,0,2,0,1,0,7,0,1,0,1,0,1,189,0,0,4,0,0,0,0,0,0,9,0,8,2,12,0
465,5067,0,1,3,24,0,0,0,0,2,0,13,9,0,10,2,0,0,0,8,8,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,2,13,0,2,0,1,2,0,205,0,0,1,0,0,0,0,0,0,4,0,5,1,0,0
470,5115,0,0,3,18,1,0,0,0,5,0,6,10,0,9,6,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,4,1,0,0,0,1,0,219,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0
475,5162,0,0,4,24,0,0,0,0,4,0,20,10,2,15,1,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,5,0,0,1,19,0,0,0,1,0,0,300,0,0,0,0,0,0,0,0,0,11,0,3,3,1,0
480,5210,0,0,9,18,1,1,0,0,3,0,10,12,0,8,8,0,0,2,12,13,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,20,0,1,0,2,0,0,238,1,0,2,0,0,0,0,0,0,13,0,4,3,0,0
485,5257,0,0,6,18,1,0,0,0,3,0,14,17,0,8,4,0,0,0,12,8,0,0,1,0,1,0,0,1,0,0,4,0,0,0,1,0,0,12,0,0,3,11,0,0,0,4,0,0,210,0,0,1,0,0,0,0,0,0,8,0,7,1,1,0
490,5305,0,0,0,16,0,0,0,0,3,0,10,9,0,4,4,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,5,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,5,0,4,1,0,0
495,5353,0,0,5,22,0,0,0,0,2,0,5,13,0,5,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,11,0,0,0,1,0,0,212,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0
500,5400,0,1,3,14,0,0,0,0,6,0,19,23,0,2,1,1,0,0,7,5,0,0,1,6,2,0,0,0,0,0,6,0,0,1,0,0,2,1,0,2,0,10,0,10,0,3,0,2,198,0,0,5,0,0,0,2,0,0,6,0,7,4,10,0
505,5466,0,0,0,19,0,0,0,0,5,0,15,11,0,5,1,2,0,0,13,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,11,0,1,0,0,0,0,226,0,1,0,0,0,0,0,0,1,4,0,2,0,0,0
510,5531,0,0,2,24,0,0,0,0,3,0,4,7,0,2,8,1,0,0,8,19,0,0,2,0,3,0,0,0,1,0,0,0,1,1,0,0,0,20,0,0,0,14,0,0,0,0,0,0,221,0,0,1,0,0,0,0,0,2,8,0,2,0,0,0
515,5596,0,0,0,23,1,0,0,0,4,0,11,10,0,3,0,0,0,0,9,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,10,0,2,0,1,1,0,210,0,0,1,0,0,0,0,0,0,4,0,5,1,0,0
520,5662,0,0,4,19,0,0,0,0,1,0,5,17,0,5,1,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,15,0,1,0,1,0,0,207,0,0,0,0,0,0,0,0,0,14,0,8,0,0,0
525,5727,0,0,1,19,0,0,0,0,0,0,12,13,1,4,1,0,0,1,7,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,19,0,0,0,1,0,0,210,0,0,0,0,0,0,0,0,0,15,1,11,2,1,0
530,5792,0,0,1,23,1,0,0,0,3,0,9,9,0,5,3,0,0,0,8,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,9,1,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,6,0,5,2,0,0
535,5858,0,0,3,13,0,0,0,0,4,0,3,15,0,1,1,0,0,0,12,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,20,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,31,0,6,0,0,0
540,5923,0,3,3,9,0,0,0,0,6,0,18,16,2,6,0,7,0,2,9,7,0,0,0,6,1,1,0,1,0,0,4,0,1,1,0,0,0,3,1,0,0,6,0,1,1,4,0,2,184,0,0,8,0,0,0,2,0,1,13,0,14,1,9,0
545,5988,0,0,3,12,0,0,0,0,1,0,8,10,0,4,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,11,0,0,0,2,0,0,220,0,0,0,0,0,0,0,0,2,20,0,11,3,0,0
550,6054,0,0,6,12,0,0,0,0,4,0,0,15,0,1,5,1,0,0,19,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,1,13,0,4,0,0,0
555,6119,0,2,10,18,0,0,0,0,4,0,8,5,0,6,0,1,0,1,19,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,9,0,3,0,0,0,0,189,0,0,0,0,0,0,0,0,0,13,0,7,3,0,0
560,6184,0,0,8,17,0,0,0,0,7,0,4,19,0,3,7,2,0,0,17,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,0,0,0,13,0,3,0,0,0,0,206,0,0,1,0,0,0,0,0,1,15,1,5,0,0,0
565,6250,0,0,1,16,0,0,0,0,1,0,4,10,0,1,0,1,0,1,8,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,8,0,0,0,1,0,0,206,0,0,0,0,0,0,0,0,1,21,0,6,1,0,0
570,6315,0,5,0,18,0,0,0,0,4,0,12,21,0,1,6,0,0,2,8,6,0,0,1,0,2,0,0,5,0,0,1,0,0,0,3,0,0,5,0,0,0,7,0,1,0,1,2,0,286,0,0,5,0,0,0,0,0,2,26,2,10,0,0,0
575,6381,0,0,0,20,1,0,0,0,3,0,4,8,1,2,0,0,0,0,25,10,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,13,0,6,0,0,0
580,6446,0,0,4,11,0,0,0,0,3,0,8,11,0,2,1,2,0,0,26,9,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,3,0,0,197,0,0,0,0,0,0,0,0,0,15,0,12,1,0,0
585,6511,0,0,2,8,0,0,0,0,1,0,7,7,1,1,2,0,0,0,16,8,0,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,12,0,0,0,1,0,0,194,0,0,0,0,0,0,0,0,0,18,0,6,1,0,0
