"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus..pentaporate.","Alnus..tetraporate.","Betula","Carya","Celtis","Corylus","Ephedra","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Myrica","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Epilobium","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Plantago","Poaceae","Polygonum.lapathifolium.type","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Xanthium"
100,2975,0.0027027027027027,0.00675675675675676,0,0.0148648648648649,0.00135135135135135,0.00135135135135135,0.0108108108108108,0.027027027027027,0.325675675675676,0.00135135135135135,0,0.00135135135135135,0,0.0027027027027027,0,0.00810810810810811,0.0027027027027027,0,0.00135135135135135,0,0,0.00135135135135135,0,0,0.0135135135135135,0.0027027027027027,0.0135135135135135,0.104054054054054,0.283783783783784,0,0.00135135135135135,0.0662162162162162,0,0.00135135135135135,0.0513513513513514,0.022972972972973,0,0.00810810810810811,0,0.0121621621621622,0.00135135135135135,0,0,0.0027027027027027,0.00135135135135135,0,0,0,0,0,0.00405405405405405,0,0,0,0,0,0
105,3098,0.00297619047619048,0.00297619047619048,0,0.00892857142857143,0,0.00595238095238095,0.0148809523809524,0.0327380952380952,0.285714285714286,0,0,0.00595238095238095,0,0,0,0.00595238095238095,0.00297619047619048,0,0,0,0,0,0,0.00297619047619048,0.00892857142857143,0.00892857142857143,0,0.056547619047619,0.398809523809524,0,0,0.0505952380952381,0.00595238095238095,0,0.00892857142857143,0.0208333333333333,0,0.0148809523809524,0,0.0119047619047619,0.0238095238095238,0.00297619047619048,0.00297619047619048,0.00297619047619048,0,0,0,0,0,0,0.00892857142857143,0,0,0,0,0,0
115,3291,0.00598802395209581,0,0,0.0029940119760479,0,0,0.0149700598802395,0.0389221556886228,0.206586826347305,0,0,0.0029940119760479,0,0.0029940119760479,0,0.0029940119760479,0.00898203592814371,0,0.0029940119760479,0,0,0,0,0.0119760479041916,0.0149700598802395,0,0,0.095808383233533,0.455089820359281,0,0,0.0479041916167665,0.00598802395209581,0.0029940119760479,0.00898203592814371,0.0269461077844311,0,0.0179640718562874,0,0.0119760479041916,0.0029940119760479,0,0,0,0.00598802395209581,0,0,0,0,0,0,0,0,0,0,0,0
120,3395,0.0021505376344086,0,0,0.0043010752688172,0,0,0.0150537634408602,0.0451612903225806,0.178494623655914,0.0021505376344086,0,0.0150537634408602,0,0.0021505376344086,0,0.0043010752688172,0,0,0,0,0.0021505376344086,0.0064516129032258,0,0,0.0150537634408602,0.0021505376344086,0.0387096774193548,0.152688172043011,0.337634408602151,0.0021505376344086,0.0021505376344086,0.105376344086022,0,0.0043010752688172,0.0021505376344086,0.0279569892473118,0,0.0064516129032258,0,0.0150537634408602,0.0021505376344086,0,0.0021505376344086,0.0021505376344086,0.0021505376344086,0,0.0021505376344086,0,0,0,0,0,0,0,0,0,0
125,3500,0.0113960113960114,0.00284900284900285,0,0.0113960113960114,0,0,0.0199430199430199,0.0512820512820513,0.182336182336182,0,0.00284900284900285,0.0256410256410256,0,0.00854700854700855,0,0.0113960113960114,0.00284900284900285,0,0.0056980056980057,0,0,0,0,0,0.0455840455840456,0.0056980056980057,0,0.0683760683760684,0.356125356125356,0.0056980056980057,0,0.108262108262108,0.00854700854700855,0,0.00284900284900285,0.0199430199430199,0,0.0142450142450142,0,0.00284900284900285,0,0,0,0.00854700854700855,0.00284900284900285,0,0,0,0,0,0.0142450142450142,0,0,0,0,0,0
135,3709,0.0121212121212121,0,0,0.00303030303030303,0,0,0.0121212121212121,0.0636363636363636,0.145454545454545,0.00303030303030303,0,0.00606060606060606,0,0,0,0,0,0,0.00606060606060606,0,0,0,0,0,0.0181818181818182,0.00303030303030303,0,0.0333333333333333,0.5,0,0,0.127272727272727,0,0,0.00606060606060606,0.0333333333333333,0,0.00606060606060606,0,0.0121212121212121,0.00303030303030303,0,0,0.00303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0.00303030303030303
145,3918,0.00225733634311512,0,0,0.0090293453724605,0,0,0.0214446952595937,0.0519187358916479,0.101580135440181,0.00112866817155756,0,0.0090293453724605,0,0.00338600451467269,0,0.0090293453724605,0.00338600451467269,0,0.00225733634311512,0.00225733634311512,0.00225733634311512,0,0,0,0.00677200902934537,0.00451467268623025,0.0451467268623025,0.0948081264108352,0.428893905191874,0.00112866817155756,0.00225733634311512,0.103837471783296,0.00225733634311512,0.00338600451467269,0.00338600451467269,0.0237020316027088,0,0.0214446952595937,0.00112866817155756,0.00677200902934537,0.0090293453724605,0,0,0.00451467268623025,0,0,0.00112866817155756,0,0,0,0.0146726862302483,0,0,0.00112866817155756,0,0,0.00112866817155756
150,4023,0.0176470588235294,0.00294117647058824,0,0.00588235294117647,0,0,0.0088235294117647,0.0352941176470588,0.0764705882352941,0.00588235294117647,0,0,0,0.0088235294117647,0,0.0088235294117647,0.00294117647058824,0,0,0.00294117647058824,0,0,0,0,0.0117647058823529,0.00294117647058824,0,0.0411764705882353,0.588235294117647,0.00294117647058824,0.00588235294117647,0.088235294117647,0,0.00294117647058824,0.0088235294117647,0.0205882352941176,0,0.0264705882352941,0,0.0088235294117647,0.00294117647058824,0,0,0.00294117647058824,0,0,0,0,0,0,0.0088235294117647,0,0,0,0,0,0
155,4128,0.00303951367781155,0,0,0.0060790273556231,0,0,0.0212765957446809,0.0364741641337386,0.103343465045593,0,0,0,0,0.0060790273556231,0,0.00303951367781155,0,0,0,0,0,0,0,0,0.0121580547112462,0.0060790273556231,0,0.0820668693009119,0.519756838905775,0,0,0.11854103343465,0.00303951367781155,0,0.0121580547112462,0.0121580547112462,0,0.027355623100304,0,0.00303951367781155,0.00303951367781155,0,0,0,0.00303951367781155,0,0,0,0,0,0.0151975683890578,0,0,0.00303951367781155,0,0,0
160,4232,0.00276625172890733,0.00829875518672199,0.00829875518672199,0.00138312586445367,0,0,0.0235131396957123,0.0401106500691563,0.0926694329183956,0.00138312586445367,0,0.00968188105117566,0,0.00138312586445367,0,0.012448132780083,0.004149377593361,0,0,0,0.00553250345781466,0,0,0,0.00968188105117566,0.00276625172890733,0.0470262793914246,0.102351313969571,0.390041493775934,0,0.00691562932226833,0.123098201936376,0.004149377593361,0.00276625172890733,0.004149377593361,0.0345781466113416,0,0.0193637621023513,0,0.016597510373444,0.00553250345781466,0,0,0.00276625172890733,0.004149377593361,0,0,0,0,0,0.012448132780083,0,0,0,0,0,0
170,4445,0.0123076923076923,0,0,0,0,0,0.0215384615384615,0.0492307692307692,0.0923076923076923,0.00307692307692308,0,0,0,0,0,0.00923076923076923,0.00307692307692308,0,0,0,0.00307692307692308,0,0,0,0.0246153846153846,0,0,0.0123076923076923,0.584615384615385,0,0.00307692307692308,0.0953846153846154,0.00307692307692308,0,0,0.0246153846153846,0,0.0246153846153846,0,0.00923076923076923,0,0,0,0.00615384615384615,0,0,0,0,0,0,0.0153846153846154,0,0,0,0.00307692307692308,0,0
180,4669,0.00140056022408964,0,0,0.00840336134453781,0,0,0.015406162464986,0.0518207282913165,0.0854341736694678,0.00140056022408964,0,0.00560224089635854,0,0,0,0.0168067226890756,0.00140056022408964,0,0.00700280112044818,0,0,0.00420168067226891,0,0,0.00700280112044818,0,0.030812324929972,0.103641456582633,0.470588235294118,0.00140056022408964,0.00420168067226891,0.0994397759103641,0,0.00140056022408964,0.00420168067226891,0.0406162464985994,0,0.00980392156862745,0,0.00840336134453781,0.00140056022408964,0,0,0.0126050420168067,0.00140056022408964,0,0,0,0,0,0.00420168067226891,0,0,0,0,0,0
190,4892,0,0.00505050505050505,0,0.0176767676767677,0,0,0.00757575757575758,0.0454545454545455,0.0732323232323232,0.00505050505050505,0,0,0,0.00252525252525253,0,0.0252525252525253,0.00252525252525253,0,0.0101010101010101,0,0,0,0,0,0.0303030303030303,0,0.0606060606060606,0.0984848484848485,0.424242424242424,0,0.00757575757575758,0.108585858585859,0.00252525252525253,0,0,0.0151515151515152,0,0.0202020202020202,0,0.0151515151515152,0.00252525252525253,0,0,0.0101010101010101,0.00252525252525253,0,0,0,0,0,0.00757575757575758,0,0,0,0,0,0
200,5116,0.00542740841248304,0.00271370420624152,0,0.00271370420624152,0,0,0.0149253731343284,0.0488466757123474,0.0814111261872456,0,0,0.00407055630936228,0,0,0,0.0149253731343284,0.00271370420624152,0,0,0,0.00949796472184532,0.00271370420624152,0,0,0.00814111261872456,0.00271370420624152,0.0502035278154681,0.180461329715061,0.388059701492537,0.00407055630936228,0.00135685210312076,0.0814111261872456,0.00542740841248304,0.00135685210312076,0.0067842605156038,0.0298507462686567,0,0.0149253731343284,0,0.0108548168249661,0.00542740841248304,0.00135685210312076,0,0.00542740841248304,0.00135685210312076,0,0.00135685210312076,0,0.00135685210312076,0,0.00814111261872456,0,0,0,0,0,0
210,5339,0,0.00259067357512953,0,0.00259067357512953,0,0,0.0103626943005181,0.0492227979274611,0.106217616580311,0,0,0.0103626943005181,0,0,0,0.0207253886010363,0.00259067357512953,0,0.00259067357512953,0,0.00259067357512953,0.00518134715025907,0,0,0.0233160621761658,0,0.038860103626943,0.11139896373057,0.435233160621762,0,0.00518134715025907,0.0803108808290155,0.00518134715025907,0,0.0103626943005181,0.0259067357512953,0,0.0077720207253886,0,0.0077720207253886,0.0077720207253886,0,0,0.0077720207253886,0.0129533678756477,0,0,0,0,0,0,0,0,0,0,0,0.00518134715025907
220,5550,0.0026525198938992,0,0,0.00795755968169761,0,0,0.00795755968169761,0.0371352785145889,0.0530503978779841,0,0,0.00530503978779841,0,0.0013262599469496,0,0.00795755968169761,0.0013262599469496,0,0,0,0,0,0,0,0.00397877984084881,0.0013262599469496,0.0225464190981432,0.181697612732096,0.493368700265252,0,0.00397877984084881,0.0689655172413793,0,0,0,0.0318302387267905,0.0013262599469496,0.0225464190981432,0.0013262599469496,0.0159151193633952,0.0026525198938992,0,0,0.013262599469496,0.00530503978779841,0,0,0,0,0,0.00397877984084881,0,0,0,0,0.0013262599469496,0
240,5965,0.00277777777777778,0,0,0.00972222222222222,0,0,0.00972222222222222,0.0416666666666667,0.0791666666666667,0.00138888888888889,0,0.00277777777777778,0,0.00277777777777778,0,0.0152777777777778,0.00138888888888889,0,0,0,0.00138888888888889,0,0,0,0.00416666666666667,0,0.0152777777777778,0.1375,0.455555555555556,0.00277777777777778,0.00277777777777778,0.0930555555555556,0,0.00416666666666667,0,0.0555555555555556,0,0.0125,0,0.0208333333333333,0.00277777777777778,0,0,0.00833333333333333,0.00416666666666667,0,0,0,0,0,0.0125,0,0,0,0,0,0
260,6381,0.00275862068965517,0,0,0.0124137931034483,0,0,0.0124137931034483,0.0303448275862069,0.0675862068965517,0.00137931034482759,0,0.00413793103448276,0,0.00551724137931034,0.00137931034482759,0.00827586206896552,0.00137931034482759,0,0,0,0.00275862068965517,0.00137931034482759,0,0,0.00551724137931034,0.00275862068965517,0.0427586206896552,0.153103448275862,0.444137931034483,0.00137931034482759,0.00137931034482759,0.0744827586206896,0,0.00137931034482759,0,0.056551724137931,0,0.016551724137931,0,0.0151724137931034,0.00275862068965517,0,0,0.00413793103448276,0.0096551724137931,0,0.00137931034482759,0,0,0,0.0124137931034483,0,0,0,0,0.00137931034482759,0.00137931034482759
280,6797,0.00309597523219814,0,0,0.00309597523219814,0,0,0.0123839009287926,0.00928792569659443,0.0681114551083591,0.00309597523219814,0,0,0,0,0,0.0154798761609907,0,0,0.00619195046439629,0,0,0.00619195046439629,0,0,0.0154798761609907,0.00309597523219814,0,0.117647058823529,0.55108359133127,0,0.0185758513931889,0.0712074303405573,0,0.00619195046439629,0,0.0464396284829721,0,0.0185758513931889,0,0.00309597523219814,0,0,0,0.00928792569659443,0,0,0,0,0,0,0.0123839009287926,0,0,0,0,0,0
300,7212,0.00677966101694915,0,0,0.00677966101694915,0,0,0.0101694915254237,0.0220338983050847,0.0627118644067797,0,0.00169491525423729,0.00338983050847458,0,0,0,0.00847457627118644,0.00338983050847458,0.00338983050847458,0,0,0,0.00338983050847458,0,0,0.0288135593220339,0.00169491525423729,0.0338983050847458,0.157627118644068,0.408474576271186,0,0.00508474576271186,0.0847457627118644,0.00508474576271186,0.00508474576271186,0,0.0542372881355932,0,0.0288135593220339,0,0.011864406779661,0.00847457627118644,0,0.00169491525423729,0.00847457627118644,0.00169491525423729,0.00169491525423729,0.00169491525423729,0,0,0,0.0169491525423729,0,0.00169491525423729,0,0,0,0
320,7628,0.0128,0,0,0.008,0,0,0.0032,0.0208,0.0352,0.0048,0.0016,0.0016,0,0,0.0016,0.016,0.0032,0,0,0,0.0048,0.0032,0.0016,0,0.0192,0,0.0464,0.1456,0.4816,0,0.008,0.0624,0.0016,0.0032,0,0.0464,0,0.0128,0,0.0112,0,0,0,0.0112,0.0096,0,0.0048,0,0,0,0.0176,0,0,0,0,0,0
340,NA,0,0,0,0.0053475935828877,0,0,0.00267379679144385,0.0508021390374332,0.0962566844919786,0,0,0.00267379679144385,0.00267379679144385,0,0,0.0053475935828877,0.00267379679144385,0,0,0,0.00267379679144385,0.00267379679144385,0,0,0.0320855614973262,0.0053475935828877,0.13903743315508,0.117647058823529,0.347593582887701,0,0,0.072192513368984,0.00267379679144385,0.0053475935828877,0,0,0,0.0347593582887701,0,0.018716577540107,0.00267379679144385,0,0.00267379679144385,0.0053475935828877,0,0,0,0,0,0,0.0374331550802139,0,0,0,0,0.00267379679144385,0
360,NA,0,0,0,0.00254452926208651,0,0,0.0101781170483461,0.0407124681933842,0.0585241730279898,0,0,0.00254452926208651,0,0.00254452926208651,0,0.00508905852417303,0,0,0.00254452926208651,0,0,0,0,0,0.0254452926208651,0,0.157760814249364,0.0865139949109415,0.419847328244275,0,0,0.0534351145038168,0.00508905852417303,0,0,0.0585241730279898,0,0.0279898218829517,0,0.0127226463104326,0.00254452926208651,0,0,0.00763358778625954,0.00763358778625954,0,0.00254452926208651,0.00254452926208651,0,0,0.00508905852417303,0,0,0,0,0,0
380,NA,0.00468384074941452,0,0,0,0,0,0.00234192037470726,0.0140515222482436,0.0491803278688525,0,0,0,0,0,0,0.0140515222482436,0.00234192037470726,0,0.00234192037470726,0,0,0,0,0,0.0117096018735363,0,0.259953161592506,0.0608899297423888,0.440281030444965,0,0,0.0444964871194379,0.00234192037470726,0,0,0.0351288056206089,0,0.0140515222482436,0,0.0140515222482436,0,0,0,0.0117096018735363,0.00702576112412178,0,0.00234192037470726,0,0,0,0.00702576112412178,0,0,0,0,0,0
400,NA,0.0075046904315197,0,0,0.00187617260787992,0,0,0.00187617260787992,0.026266416510319,0.0450281425891182,0.00187617260787992,0,0,0,0,0,0.0112570356472795,0.00375234521575985,0,0,0,0,0.00187617260787992,0,0,0.0281425891181989,0.0187617260787993,0.215759849906191,0.0431519699812383,0.412757973733583,0,0.0075046904315197,0.0469043151969981,0.00187617260787992,0.00375234521575985,0,0.0787992495309568,0,0,0,0.0131332082551595,0.00375234521575985,0,0,0.00187617260787992,0.0187617260787993,0,0,0,0,0,0.00375234521575985,0,0,0,0,0,0
420,NA,0,0,0,0.0029585798816568,0,0,0.00887573964497041,0.0236686390532544,0.215976331360947,0.0029585798816568,0,0.0029585798816568,0,0,0,0.00591715976331361,0,0,0,0,0,0,0,0,0.0236686390532544,0.0769230769230769,0.0680473372781065,0.0325443786982249,0.331360946745562,0,0.0029585798816568,0.0355029585798817,0.00887573964497041,0,0,0.0650887573964497,0,0.029585798816568,0,0.0177514792899408,0.0029585798816568,0,0,0.00887573964497041,0.0029585798816568,0,0,0,0,0,0.0266272189349112,0.0029585798816568,0,0,0,0,0
