"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Arceuthobium.pusillum","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brassicaceae","Campanula.type","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Epilobium","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Impatiens","Indeterminable","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodium.annotinum","Lycopodium.clavatum","Myrica.gale","Myriophyllum","Nuphar","Nymphaea","Onagraceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae.Triglochin","Quercus","Ranunculaceae.undiff.","Rhus","Rosaceae","Salix","Saxifraga.oppositifolia.type","Selaginella.selaginoides","Selaginella.undiff.","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.undiff."
80,8415,1,0,0,0,1,0,15,326,0,1,0,3,2,169,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,23,24,2,10,13,0,2,0,1,10,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0
85,9036,0,0,0,0,0,1,3,161,0,3,0,0,0,111,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,11,0,7,2,0,0,1,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
90,9658,4,0,0,0,2,0,11,231,0,3,0,1,3,227,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,12,0,1,0,1,0,5,0,1,0,0,0,0,0,0,2,1,0,43,48,8,15,31,0,1,0,0,9,1,14,0,0,1,3,0,0,0,0,2,2,0,0,2,0,1,0,7,0,0,1
95,10279,2,0,1,0,1,0,0,201,2,1,0,1,1,179,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,27,21,10,5,9,0,4,0,0,6,0,17,0,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0
100,10900,7,0,1,0,1,1,5,227,1,0,0,2,2,280,0,0,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,20,0,9,1,1,0,9,1,4,0,0,0,0,0,0,1,3,3,68,90,14,36,60,0,3,0,0,7,0,23,0,0,2,5,0,0,0,0,2,1,0,0,2,0,1,5,11,5,0,1
105,11521,0,0,0,0,0,0,0,49,0,1,0,2,1,74,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,2,35,25,13,3,11,0,3,0,0,1,1,13,0,1,0,3,0,0,0,0,0,0,2,0,0,2,0,0,4,1,0,0
110,11774,1,0,0,0,0,0,3,160,1,1,0,6,5,170,0,0,0,0,0,0,1,0,4,4,0,0,0,0,0,1,0,0,0,13,0,2,0,0,0,1,3,3,1,0,0,1,0,0,0,2,0,128,121,22,22,49,0,5,0,0,18,1,18,0,0,0,6,0,0,0,1,0,0,0,0,1,0,3,1,6,6,0,1
115,12027,1,0,0,0,1,0,1,67,1,1,0,7,1,154,0,0,0,3,0,0,2,0,1,5,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,35,37,11,2,9,0,1,0,2,8,0,10,0,0,0,7,0,0,0,1,0,0,0,0,1,0,2,1,2,2,1,0
120,12280,3,0,0,0,0,0,1,43,0,2,0,11,2,193,0,0,0,0,0,0,0,0,2,15,0,0,0,0,1,0,0,0,0,7,0,10,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,33,33,8,9,22,0,4,0,1,30,0,12,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0
125,12532,0,0,0,0,0,0,0,24,0,1,0,18,3,375,0,0,0,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,13,0,3,1,0,0,3,1,5,0,0,0,0,1,0,0,0,0,9,12,12,0,21,0,3,0,3,18,5,23,0,0,0,5,0,0,0,2,0,0,0,0,1,3,1,0,10,6,0,0
130,NA,0,1,0,0,1,0,1,15,1,1,0,18,2,245,0,2,1,0,1,0,0,0,0,46,0,2,0,0,1,1,0,0,0,9,0,6,0,0,0,0,3,6,0,0,0,0,0,0,0,0,1,12,37,8,9,41,0,2,0,6,14,1,37,0,0,0,8,1,0,0,7,2,0,0,0,3,0,3,0,3,3,0,0
140,NA,0,0,0,0,1,1,1,57,0,7,0,54,5,293,0,0,0,0,1,0,0,1,0,63,0,1,1,0,1,2,0,0,0,18,0,2,0,0,0,10,2,9,0,0,0,0,0,0,0,1,0,27,20,30,11,47,0,12,0,0,1,7,20,0,0,3,46,0,0,0,7,3,0,1,0,2,0,1,2,33,13,0,0
145,NA,0,0,0,0,0,0,0,6,0,2,0,4,0,47,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,3,3,0,5,1,1,0,0,0,0,2,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0
152,NA,0,0,0,0,0,0,0,17,0,3,0,20,2,154,0,0,0,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,8,1,0,0,0,0,0,0,0,0,0,2,8,10,2,18,0,5,0,0,1,0,2,0,0,5,13,0,0,0,1,2,0,1,0,0,0,0,0,4,3,0,0
160,NA,0,0,0,0,0,0,1,6,0,5,0,8,7,104,7,0,0,1,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,7,9,4,0,0,0,0,0,0,0,0,0,1,2,18,6,31,0,7,0,0,2,0,4,1,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,14,7,0,0
180,NA,0,0,0,0,0,0,1,44,1,1,0,30,8,63,0,0,0,0,4,0,0,29,0,102,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,10,8,71,7,48,0,20,0,0,4,0,4,0,0,1,5,0,0,0,0,9,0,7,0,0,1,4,1,9,14,0,0
195,NA,0,0,0,0,0,0,0,2,0,1,0,15,8,39,0,0,0,0,0,0,0,2,0,61,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,7,5,1,0,0,0,0,0,0,0,0,1,19,16,41,5,37,0,21,0,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,1,0,3,0,12,5,0,0
215,NA,0,0,0,0,0,0,0,1,0,6,0,35,5,30,1,0,0,1,2,0,0,2,0,59,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,4,2,0,0,0,0,1,2,0,0,0,0,5,15,44,1,30,0,15,0,0,7,9,7,0,0,2,28,1,1,0,1,3,0,0,0,0,0,4,3,8,6,0,0
230,NA,0,0,0,0,0,0,0,0,0,1,0,2,4,11,1,0,0,0,0,0,0,1,0,32,1,0,0,0,2,0,0,0,1,14,0,0,0,0,0,11,13,1,0,0,0,0,0,0,1,0,0,3,8,29,0,26,0,12,0,0,0,0,3,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,1,11,6,0,0
