"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Artemisia","Betula","Carya","Corylus","Cyperaceae","Juglans.cinerea","Larix","Ostrya.Carpinus","Populus.undiff.","Quercus","Thalictrum","Ulmus","Alnus.incana","Ambrosia","Myrica","Amaranthaceae","Poaceae","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Fraxinus.nigra","Picea.glauca","Picea.mariana","Alnus.undiff.","Castanea","Cupressaceae","Ericaceae","Lamiaceae","Populus.balsamifera","Asteraceae.subf..Asteroideae.undiff.","Alnus.viridis","Acer.saccharum","Salix","Apiaceae","Acer.undiff.","Celtis","Rhamnus.frangula","Shepherdia.canadensis","Asteraceae.subf..Cichorioideae","Epilobium","Empetrum","Fagus","Humulus","Rumex","Linnaea.borealis","Fraxinus.americana","Populus.tremuloides","Urtica","Polygonum","Fabaceae","Caryophyllaceae","Ilex","Viburnum","Ranunculaceae.undiff.","Pinus.undiff.","Dryas","Sanguisorba.canadensis","Picea.undiff.","Nyssa","Brassicaceae","Rumex.Oxyria.digyna.undiff."
839,11462,239,2,0,2,47,0,0,6,0,0,5,0,13,1,2,5,0,38,0,9,15,38,4,1,13,13,1,0,3,5,0,0,5,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,11576,258,0,0,3,71,0,0,17,0,0,3,0,4,0,0,11,0,33,0,7,27,16,1,2,13,11,4,0,3,15,0,0,4,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,11691,280,2,0,1,68,0,0,26,0,1,6,0,4,0,0,5,1,51,0,5,26,17,2,0,5,18,5,0,2,15,0,0,8,6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842,11769,249,1,0,1,67,1,1,11,0,0,6,0,0,1,0,14,0,37,0,13,14,25,0,0,8,13,3,1,0,12,0,0,10,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,11855,245,2,0,3,55,0,0,15,0,1,3,0,1,0,0,6,2,40,0,10,20,33,0,0,5,14,3,0,0,10,0,2,8,3,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
846,11941,232,0,0,1,52,1,0,19,0,0,3,0,1,0,0,6,1,49,0,6,15,27,0,0,8,8,5,0,0,7,0,0,10,2,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848,12027,322,1,0,3,47,0,0,23,0,0,4,0,6,0,0,15,1,57,0,26,13,48,2,1,10,15,4,0,1,14,0,0,18,3,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,12113,262,0,0,0,41,0,1,24,0,0,1,0,4,1,0,8,0,70,0,4,21,9,0,0,8,8,1,0,0,11,0,0,25,6,0,12,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,12199,310,0,0,0,58,0,0,28,0,0,5,0,0,1,0,11,1,73,1,20,21,29,0,0,6,20,3,1,4,4,0,0,10,5,0,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,12285,282,0,0,0,58,0,0,26,0,0,7,0,3,0,0,8,0,76,0,16,22,16,0,0,3,11,2,0,0,5,0,0,18,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856,12370,253,1,0,4,51,0,1,17,0,0,3,0,3,1,0,6,2,68,0,19,19,17,0,0,2,3,2,0,3,4,0,0,22,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857,12419,286,1,0,5,39,0,1,19,0,1,3,0,3,0,0,7,1,63,0,24,33,14,2,0,14,17,4,0,1,5,0,0,13,5,0,7,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858,12467,305,0,0,2,40,0,0,18,0,0,1,0,7,0,0,11,1,77,0,32,41,8,0,0,20,9,3,0,2,2,0,0,18,4,0,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859,12516,290,0,0,1,31,0,0,16,0,1,4,0,8,1,1,5,0,77,0,17,49,4,0,0,7,17,7,0,7,5,0,0,21,4,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,12564,308,0,0,3,35,0,0,10,0,0,9,0,7,0,1,1,0,77,0,26,39,17,0,1,21,19,3,1,7,6,0,0,12,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,12661,299,0,0,2,33,0,1,16,0,0,5,0,16,0,0,1,0,74,0,34,33,4,0,3,19,15,0,0,20,2,0,0,17,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,12758,301,0,0,4,33,0,1,6,0,0,5,0,8,0,0,0,2,76,0,27,48,3,0,1,20,15,1,0,25,8,0,0,10,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866,12855,385,1,0,2,36,0,2,14,0,0,6,0,15,0,1,5,0,77,0,60,56,4,0,0,32,20,1,0,22,3,0,0,19,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868,12952,284,0,0,3,24,0,0,12,0,0,7,0,13,0,0,2,1,72,0,34,44,3,0,0,29,14,1,0,5,2,0,0,8,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,13049,405,0,0,3,48,0,1,8,0,0,13,0,18,0,0,3,0,137,1,35,44,1,0,3,26,9,0,0,23,3,0,2,15,0,0,7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,13146,379,1,0,3,32,0,0,14,0,0,10,0,17,1,0,0,0,110,1,35,41,0,1,3,26,17,0,0,47,2,0,0,8,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874,13243,408,1,0,2,45,0,0,7,1,0,8,3,19,0,1,2,1,116,0,48,36,4,0,5,20,5,0,0,56,4,0,4,8,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
876,13340,409,0,1,1,49,0,1,13,0,1,7,0,20,0,0,1,1,91,1,50,32,5,0,3,26,6,0,0,69,10,0,3,7,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,13437,353,0,0,2,39,0,3,5,0,0,5,0,3,0,0,0,1,64,0,55,35,0,0,4,19,6,0,0,81,9,0,4,14,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
880,13534,277,1,0,4,54,0,0,8,0,2,2,0,5,0,0,5,1,27,0,40,32,1,0,0,7,5,0,0,60,5,0,3,6,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
882,13631,356,0,0,0,56,1,0,18,0,0,4,0,21,1,1,3,1,45,0,41,47,1,0,0,24,12,0,1,27,7,0,2,22,1,0,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,13728,316,1,0,1,46,0,2,15,0,1,20,0,26,0,0,1,2,45,0,28,51,1,0,6,11,9,0,0,14,9,0,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
886,13825,303,0,0,5,57,0,0,27,0,0,11,0,25,0,1,0,0,58,0,10,21,1,0,1,18,5,0,0,4,18,0,0,20,0,0,15,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
888,13922,327,0,0,5,65,2,2,29,0,0,13,1,9,0,0,0,0,50,0,8,52,1,0,2,32,3,0,0,5,10,0,0,10,0,0,21,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
890,14018,457,0,0,1,66,0,0,19,0,0,15,2,13,0,1,1,1,57,0,150,41,1,0,3,24,3,0,0,9,18,0,6,8,0,0,9,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
892,NA,298,1,0,6,51,0,1,31,2,0,7,0,11,0,0,6,1,11,0,17,42,2,0,1,31,3,0,0,1,17,0,1,4,0,1,30,6,0,0,0,5,0,1,3,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0
894,NA,288,0.5,0,6,39,0,0,42,0,0,1,0,6,2,1,3,2,4,0,17,15,0,0,7,1,0.5,2,0,0,15,0,2,5,16,0,33,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,53.5,1,1,6.5,0,0,0
896,NA,284,0,0,9,48,0,0,72,0,0,3,0,6,4,0,2,1,0,0,19,3,0,0,1,0.5,2,5,0,0,0,0,2,1,20,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,43,0,0,4.5,1,1,2
