"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.nevadensis.type","Ephedra.torreyana.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Galium","Humulus","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Liquidambar","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Plantago.lanceolata","Platanus","Poaceae","Polygonum","Populus","Potamogetonaceae","Pteridium","Quercus","Ribes","Rosaceae","Rumex","Salix","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium"
75,857,3,2,12,0,0,1,0,49,0,1,0,0,0,0,4,22,2,3,0,0,0,0,0,9,0,1,0,0,1,15,0,0,0,0,1,0,2,1,0,0,1,4,1,5,9,11,142,0,0,0,0,0,0,2,11,0,0,0,0,0,0,3,0,0,24,1,3,1,0,2
85,985,4,4,25,0,1,0,0,70,0,1,0,0,1,0,3,25,4,12,0,0,0,1,0,5,0,2,0,0,1,38,3,0,0,0,4,0,2,0,2,0,1,2,5,5,12,7,181,0,0,2,0,2,0,8,3,0,0,0,1,0,0,8,0,0,14,1,3,3,0,0
95,1113,4,1,18,0,2,1,0,42,0,0,0,0,1,0,5,19,6,12,1,0,0,0,0,6,0,1,0,0,2,27,2,0,0,0,4,0,1,0,1,0,2,0,5,1,13,21,154,0,0,1,0,1,0,4,4,0,0,0,0,0,0,8,0,0,9,0,2,1,0,0
100,1177,3,15,8,0,1,1,1,107,0,0,0,0,0,0,1,25,3,4,0,0,0,0,0,11,2,6,0,0,1,24,0,0,0,0,1,0,1,0,1,0,1,2,5,7,12,27,224,0,1,1,0,1,0,0,6,0,0,0,0,0,0,7,0,0,43,0,7,0,0,0
105,1241,1,10,8,0,0,1,0,67,0,0,1,0,0,0,5,25,3,2,0,1,0,0,0,9,0,2,0,0,1,12,2,0,0,0,1,0,0,0,1,0,0,1,1,2,10,15,152,0,1,0,0,2,0,0,7,0,0,0,0,0,0,6,0,0,42,0,2,0,0,0
110,1308,3,6,5,0,0,0,0,58,0,1,0,0,0,0,0,31,1,0,0,0,0,0,0,6,1,3,0,0,0,11,0,0,0,0,3,0,0,0,0,0,2,0,1,1,14,20,99,0,1,0,0,1,3,0,6,0,0,0,1,0,0,1,0,0,25,0,1,1,0,1
125,1507,6,11,6,0,2,1,1,55,0,0,0,0,1,0,1,44,2,2,1,0,0,1,0,5,0,2,0,0,2,13,1,0,0,0,1,0,1,0,0,0,0,0,2,3,13,0,182,0,0,0,0,0,3,1,9,0,0,0,0,0,0,1,0,1,24,0,7,1,0,0
135,1640,5,6,13,0,0,0,0,54,2,0,0,0,0,0,3,26,2,4,3,0,0,1,0,7,1,4,0,1,1,16,0,0,0,0,3,0,0,0,0,0,0,2,0,5,10,16,131,0,2,1,0,4,0,1,7,0,0,0,1,0,0,4,0,0,22,0,1,1,0,0
145,1773,2,4,6,0,0,0,0,40,0,0,0,0,0,0,4,9,1,5,0,0,0,0,0,8,1,2,0,0,0,12,0,0,0,0,0,0,2,0,0,0,1,0,0,5,7,6,151,0,2,0,0,0,0,2,8,0,0,0,1,0,4,3,0,2,31,0,2,1,0,0
155,1906,2,5,3,0,0,1,1,42,1,0,0,0,0,0,3,22,0,2,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,1,0,0,0,2,0,0,1,1,2,6,23,130,0,0,0,0,0,0,0,2,0,0,0,0,1,1,4,0,0,19,0,5,0,0,0
165,2039,6,4,4,0,0,0,1,87,0,0,1,0,0,0,1,28,2,1,0,0,1,0,0,6,1,3,0,0,1,9,0,0,0,0,1,0,1,1,1,0,1,2,0,4,10,14,99,0,0,1,0,2,0,0,5,0,0,0,0,0,0,1,0,0,11,0,2,3,0,0
175,2172,2,5,5,0,1,0,1,63,0,0,1,0,0,0,3,27,1,4,0,0,0,0,0,18,1,1,0,0,0,12,1,1,0,0,2,0,2,0,0,0,0,1,1,3,11,24,126,0,0,1,0,0,0,0,6,0,0,0,0,0,0,4,0,0,19,0,4,0,0,0
184,2291,1,4,7,0,1,2,1,73,0,0,0,1,0,0,3,38,0,1,1,0,0,0,0,8,1,3,0,0,1,15,1,0,0,0,1,0,0,0,1,0,0,1,1,3,0,35,115,0,2,0,0,1,0,2,9,0,0,0,1,0,0,1,0,0,30,0,6,1,0,0
186,2318,0,2,6,0,0,2,0,49,1,0,0,0,0,0,1,33,0,1,0,0,0,0,0,6,0,2,0,0,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,4,7,6,123,1,0,0,0,0,1,0,9,0,0,0,0,0,0,5,0,1,7,0,3,3,0,0
195,2437,1,2,8,0,0,0,0,47,0,0,2,0,0,0,0,33,1,0,0,0,0,0,0,8,1,1,0,0,1,5,3,0,0,0,4,0,0,0,0,0,1,1,2,2,9,13,135,0,1,0,0,1,0,4,10,0,0,0,0,0,0,0,0,0,20,0,3,1,0,0
205,2570,0,5,4,0,0,0,0,45,0,0,0,0,2,0,2,41,1,3,0,0,0,0,0,7,1,4,0,0,1,13,0,0,0,0,6,0,1,0,0,0,0,0,2,1,6,25,160,0,1,2,0,3,2,1,10,0,0,0,0,0,0,6,0,0,18,0,4,0,0,0
215,2798,2,1,9,0,0,1,0,67,0,0,1,0,0,0,4,39,3,4,0,0,0,1,0,5,0,0,0,0,2,17,2,0,0,0,4,0,0,0,0,0,0,0,4,2,12,13,150,0,0,1,0,2,0,0,10,0,0,0,0,0,0,7,0,0,15,1,3,2,0,0
224,3003,5,3,8,0,0,0,0,62,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,6,1,6,0,1,1,9,2,0,0,0,4,0,0,0,1,0,0,1,2,3,1,29,201,0,0,3,0,1,0,2,7,0,0,0,0,0,0,4,0,0,13,0,6,0,0,0
225,3025,1,2,6,0,0,1,0,58,0,0,1,0,0,0,5,18,3,1,0,0,0,1,0,5,0,1,0,0,1,9,0,0,0,0,3,0,0,0,2,0,0,0,5,4,9,27,192,0,0,0,0,3,0,0,6,0,0,0,1,0,0,7,0,0,17,1,2,1,0,0
235,3253,2,3,7,0,2,1,0,45,0,0,0,0,0,0,2,27,2,1,0,0,0,1,0,0,2,2,0,0,1,3,1,0,0,0,1,0,1,0,0,0,0,0,1,3,4,7,191,0,0,0,0,2,0,1,10,0,0,0,0,0,0,2,0,0,10,0,1,3,0,0
245,3480,2,3,4,0,1,0,0,42,0,0,0,0,0,0,1,6,1,2,0,0,0,0,0,2,3,1,0,0,0,6,4,0,0,0,1,0,0,0,1,0,0,0,3,3,5,27,169,0,0,0,0,1,0,0,4,0,0,0,1,0,0,8,0,0,8,0,0,2,0,0
255,3708,1,2,5,0,0,1,0,56,0,0,2,0,0,0,0,18,0,2,0,0,0,0,0,4,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,0,257,0,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0
265,3935,1,1,9,1,1,0,0,43,0,0,0,0,0,0,2,30,2,2,0,0,0,0,0,2,0,1,0,0,1,11,0,0,0,0,3,0,0,0,1,0,0,0,1,5,8,12,191,0,0,0,1,4,0,1,7,0,0,0,1,0,0,5,0,0,8,0,2,1,0,0
275,4163,1,6,2,0,0,0,0,41,0,0,1,0,0,0,2,18,1,2,0,0,0,0,0,2,1,6,0,0,3,9,0,0,0,0,1,0,1,0,0,0,1,1,3,1,2,0,225,0,0,0,0,0,0,0,6,0,0,0,1,0,0,2,0,0,6,0,3,3,0,0
285,4391,0,4,6,0,0,0,0,46,0,0,0,0,0,0,0,22,0,2,0,0,0,0,0,0,1,3,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,1,2,9,30,208,0,1,1,0,1,0,3,14,0,0,0,0,0,0,4,0,0,1,0,1,3,0,0
305,4846,1,2,7,0,0,2,0,57,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,3,2,2,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,3,1,1,4,10,139,0,0,0,0,0,0,3,9,0,0,0,1,0,0,0,1,0,2,0,2,1,1,0
315,5022,3,1,5,0,0,1,0,38,0,0,0,0,0,0,0,23,1,1,0,0,0,0,0,3,2,5,0,0,1,8,0,0,0,0,2,0,0,0,0,0,0,0,2,2,3,30,126,0,0,3,0,2,0,0,12,0,0,0,1,0,0,0,0,0,31,0,5,2,0,0
325,5198,1,6,8,0,0,1,0,35,0,0,0,0,0,0,1,23,1,0,0,0,0,0,0,2,2,1,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,3,3,45,164,0,2,0,0,5,1,1,14,0,0,0,0,0,0,1,0,0,24,1,3,0,0,2
336,5392,0,4,3,0,0,0,0,29,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,3,1,3,0,0,1,12,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,21,163,0,0,2,0,2,0,1,12,0,0,0,1,0,0,0,0,0,14,0,8,3,0,1
345,5550,3,1,3,0,1,0,0,27,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,2,4,3,0,0,0,8,0,0,0,0,1,0,0,0,1,0,1,1,0,4,4,19,211,0,0,2,0,4,0,2,15,0,0,0,0,0,1,1,0,0,13,1,3,0,0,0
352,5674,1,4,5,0,0,1,0,18,0,0,0,0,0,0,2,6,0,2,0,0,0,0,0,6,1,4,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,3,2,40,194,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
365,5903,4,1,7,0,1,0,0,17,0,0,0,0,0,0,1,12,0,5,0,0,0,0,0,2,0,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,24,233,0,2,0,0,3,0,4,14,0,0,0,0,0,0,1,0,0,10,0,3,0,0,0
374,6061,2,7,9,1,0,0,0,19,0,0,0,0,0,0,2,3,3,7,0,0,0,1,0,4,1,5,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,40,192,0,0,0,0,3,0,1,11,0,0,0,0,0,0,1,0,0,7,0,1,0,0,0
384,6237,1,0,8,0,3,0,0,13,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,2,0,1,0,0,0,5,0,0,1,0,0,0,0,0,1,1,0,0,0,4,1,17,199,0,1,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,8,0,2,1,0,0
392,6378,3,0,6,0,0,1,0,24,0,0,0,24,0,0,1,1,2,1,0,0,0,0,0,5,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,54,185,0,2,1,0,3,0,1,16,0,0,0,1,0,0,0,0,0,3,0,3,1,0,0
406,6628,1,2,7,2,2,3,0,14,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,4,2,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,48,184,0,1,0,0,1,0,5,9,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0
416,6840,1,0,7,0,1,0,0,13,0,0,0,0,0,0,1,7,0,7,0,0,0,0,0,0,3,5,0,1,0,11,0,0,0,0,2,0,0,0,1,0,0,2,0,8,2,50,219,0,0,0,0,1,0,3,6,0,0,0,2,0,0,1,0,0,1,0,5,0,0,0
426,7051,1,2,3,0,0,0,0,5,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,4,0,0,0,9,0,0,0,0,0,0,0,0,1,0,1,5,1,4,6,90,160,0,0,0,0,4,0,4,9,0,0,0,1,0,0,0,0,0,4,0,1,1,0,0
435,7241,4,1,3,1,0,0,0,14,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,5,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,3,8,49,236,0,1,0,0,1,0,3,7,0,0,0,0,0,0,1,0,0,1,0,6,0,0,1
445,7452,2,0,8,1,1,0,0,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,62,185,0,0,2,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
454,7642,5,0,7,2,0,1,0,33,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,1,7,0,0,0,11,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2,136,142,0,1,2,0,2,0,4,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
465,7874,7,0,1,0,1,0,2,29,0,0,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,1,2,72,198,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
475,8085,10,1,7,0,4,1,1,49,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,5,0,0,0,8,1,0,0,0,1,1,0,0,0,0,0,0,0,7,5,65,176,0,1,1,0,8,0,3,10,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4
485,8296,10,0,17,1,4,1,3,41,0,0,0,0,0,0,3,21,2,3,0,0,0,0,0,0,0,3,0,1,0,5,1,0,0,0,1,0,0,0,1,0,0,1,0,5,4,138,118,0,1,1,0,1,0,4,12,0,0,0,3,0,0,0,0,0,2,1,4,2,0,2
495,8507,4,1,17,1,0,2,1,60,0,0,0,0,0,0,2,14,3,0,0,0,0,0,0,2,0,4,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,1,0,3,3,80,146,0,4,1,0,7,0,2,12,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
508,8804,10,1,17,2,1,2,1,68,0,0,0,0,0,0,2,11,1,2,0,0,0,0,0,0,1,4,0,0,0,10,1,0,0,0,1,0,1,0,0,0,0,0,0,2,5,90,100,0,0,3,0,12,1,5,16,0,0,0,1,0,1,0,0,0,0,0,3,2,0,0
516,9033,4,1,21,1,0,2,0,42,0,0,0,0,0,0,2,25,3,5,0,0,0,0,0,0,3,4,0,0,0,9,1,0,0,0,5,0,1,0,4,0,0,0,0,2,6,168,59,0,1,2,0,2,0,4,11,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0
525,9291,6,0,16,0,2,2,0,70,0,0,0,0,0,0,2,19,3,8,0,0,0,0,0,0,0,1,0,0,0,19,0,1,0,0,5,0,0,0,1,0,0,0,0,5,15,253,11,0,0,1,0,10,1,1,10,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
535,9577,7,0,35,0,0,1,1,35,0,0,0,0,0,0,3,16,2,5,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,4,0,0,0,4,0,0,0,0,1,6,261,14,0,1,7,0,8,0,4,7,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0
545,9863,6,0,36,3,0,2,0,61,0,0,0,0,0,0,2,20,6,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,4,0,0,0,1,0,0,0,0,3,12,255,0,0,1,1,0,6,0,4,14,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
555,10149,1,0,13,0,1,2,0,36,0,0,1,0,0,0,1,11,5,2,0,0,0,0,0,0,1,3,0,0,0,8,0,0,0,0,4,0,0,0,5,0,0,0,0,3,15,213,8,0,0,3,0,4,0,3,18,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1
565,10436,2,0,8,1,0,3,1,68,0,0,0,0,1,0,0,12,6,4,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,3,0,0,0,6,0,0,0,0,2,14,219,6,0,1,2,0,3,1,1,17,0,0,0,3,0,0,2,0,0,3,0,5,0,0,0
575,10722,2,3,0,1,2,1,0,96,0,0,1,0,2,0,2,20,8,2,0,2,0,0,0,0,1,4,0,0,0,14,0,1,0,0,6,0,0,1,12,0,0,0,0,7,42,153,4,0,1,5,0,9,0,6,15,0,0,0,5,0,0,0,0,0,0,0,12,2,0,0
585,11008,1,0,3,2,1,2,1,79,0,0,2,0,2,0,6,31,7,2,0,1,0,0,0,0,0,5,1,1,0,14,0,0,0,0,5,0,0,0,10,0,0,0,0,6,59,64,24,0,0,4,0,2,0,2,23,0,0,0,9,0,0,0,0,0,1,1,11,1,0,0
597,11351,1,2,1,2,0,4,3,32,0,0,1,0,3,0,3,80,14,4,0,0,0,0,0,0,1,13,0,0,0,58,0,0,1,1,1,0,0,0,10,0,0,0,0,12,50,48,9,0,1,1,0,15,1,3,30,2,0,0,8,0,0,0,0,0,0,1,10,1,0,0
604,NA,0,0,4,2,1,11,2,27,0,0,2,0,3,0,2,77,20,1,0,0,0,1,0,0,1,11,0,4,0,39,0,1,0,0,0,0,1,0,12,0,0,0,0,4,102,29,19,0,2,1,0,9,0,4,29,0,1,0,6,0,0,0,0,0,0,2,9,4,0,0
614,NA,0,1,1,0,1,8,0,5,0,0,0,0,0,0,3,40,5,0,0,0,0,0,0,0,0,7,0,0,0,31,0,1,0,0,0,0,0,0,1,0,0,0,1,6,55,17,5,0,1,1,0,0,0,0,11,0,0,0,2,2,0,0,0,0,0,0,5,2,1,0
625,NA,0,1,2,0,0,3,0,12,0,0,0,0,0,0,2,60,4,2,0,0,0,0,0,0,0,6,0,0,0,21,0,1,0,0,0,0,1,0,0,0,0,0,0,2,32,17,15,0,0,0,0,1,0,2,14,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0
