"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.undiff.","Betula","Carya","Caryophyllaceae","Cupressaceae","Cyperaceae","Ericaceae","Juglans.cinerea","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Fraxinus","Myricaceae","Amaranthaceae","Poaceae","Plantago","Polygonum","Castanea.dentata","Tsuga.canadensis","Fagus.grandifolia","Artemisia","Ilex","Tilia.americana","Salix","Asteraceae.subf..Cichorioideae","Larix.laricina","Thalictrum","Liquidambar.styraciflua","Corylus","Populus","Abies","Apiaceae","Sanguisorba"
65,777,321,1,2,37,10,0,0,1,0,0,3,0,6,27,182,0,0,1,6,5,2,0,0,0,0,0,8,17,11,0,1,1,0,0,0,0,0,0,0,0,0,0
70,837,340,0,5,38,9,0,0,1,1,1,2,0,1,22,212,0,0,2,4,2,4,1,0,1,0,0,3,9,21,0,1,0,0,0,0,0,0,0,0,0,0,0
75,897,351,0,7,39,17,0,0,3,1,0,13,1,0,15,184,0,0,3,8,0,10,0,1,0,0,0,13,15,19,1,1,0,0,0,0,0,0,0,0,0,0,0
80,956,318,0,3,36,19,0,3,1,0,1,10,0,1,7,191,0,1,4,2,0,4,0,0,0,0,0,12,9,12,0,2,0,0,0,0,0,0,0,0,0,0,0
85,1016,332,0,6,42,14,0,0,1,2,1,4,0,0,21,184,0,0,4,4,0,6,0,0,0,0,0,17,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1076,354,0,5,47,30,1,0,1,0,1,3,0,2,13,191,0,0,4,5,1,10,0,0,0,0,0,7,17,15,0,0,0,1,0,0,0,0,0,0,0,0,0
95,1136,320,0,3,36,20,0,1,3,0,2,4,0,5,20,173,1,1,4,9,0,7,1,0,0,0,0,5,13,11,1,0,0,0,0,0,0,0,0,0,0,0,0
100,1196,375,0,5,46,28,1,0,1,0,1,5,1,5,18,192,0,0,5,6,3,7,0,0,1,0,0,11,28,7,2,0,1,1,0,0,0,0,0,0,0,0,0
105,1255,317,0,1,37,15,0,0,0,0,0,6,0,2,20,184,0,2,1,3,0,5,1,0,0,1,0,11,13,14,0,1,0,0,0,0,0,0,0,0,0,0,0
110,1315,315,0,2,35,28,0,0,0,0,1,4,1,1,19,164,0,1,5,3,0,10,0,0,0,0,0,7,20,13,0,0,1,0,0,0,0,0,0,0,0,0,0
115,1375,320,0,2,39,11,1,0,2,0,0,3,0,2,18,195,0,3,4,5,0,5,0,0,0,0,0,7,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1435,304,0,5,34,16,0,0,3,0,1,4,0,2,13,166,0,3,9,5,0,6,0,0,0,0,0,11,13,11,1,0,1,0,0,0,0,0,0,0,0,0,0
125,1495,320,3,0,35,22,0,0,2,0,0,3,1,3,12,194,0,0,5,5,0,7,0,0,0,0,0,2,13,12,0,0,1,0,0,0,0,0,0,0,0,0,0
130,1554,329,0,2,32,26,0,0,0,0,0,6,0,3,11,180,0,2,0,8,0,6,2,0,2,0,0,7,23,17,1,0,1,0,0,0,0,0,0,0,0,0,0
135,1614,322,2,10,38,19,0,0,4,0,0,7,0,1,13,172,0,1,5,6,0,11,0,0,2,0,0,9,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1674,337,0,5,44,12,0,0,5,0,3,5,0,0,16,187,0,0,7,3,0,5,2,0,0,0,0,6,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1734,333,0,1,34,22,0,0,4,1,1,2,0,0,13,203,0,1,5,5,0,7,0,0,0,0,0,9,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1793,329,0,4,27,13,0,0,2,0,0,7,0,4,15,204,0,0,4,7,0,7,0,0,0,0,0,9,9,16,0,0,1,0,0,0,0,0,0,0,0,0,0
155,1853,354,0,4,35,17,0,0,3,0,1,6,0,1,20,206,0,5,4,12,0,7,0,0,0,0,0,5,5,20,0,0,3,0,0,0,0,0,0,0,0,0,0
160,1913,328,0,10,33,22,1,0,2,0,2,5,0,4,12,194,0,2,2,7,0,10,0,0,0,0,0,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
165,1973,344,0,5,43,17,0,0,3,0,0,4,0,1,17,202,0,0,4,7,0,8,0,1,0,0,0,4,7,20,0,1,0,0,0,0,0,0,0,0,0,0,0
170,2033,339,0,3,26,25,0,0,5,0,3,8,0,4,20,188,0,2,5,6,0,10,0,0,0,0,0,12,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2092,314,0,2,33,20,0,0,3,0,2,2,0,0,23,184,0,2,4,5,0,4,0,0,0,0,0,4,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2168,300,0,2,36,21,0,0,4,0,2,5,0,4,21,163,0,1,4,4,0,3,2,0,2,0,0,4,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2545,331,0,2,25,19,0,0,2,0,0,5,0,1,15,212,0,1,6,5,0,7,0,0,0,0,0,5,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2621,311,0,4,27,30,0,0,0,0,1,5,0,1,13,191,0,3,1,0,0,11,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2696,330,1,2,34,23,0,0,0,0,0,11,0,2,23,166,0,1,7,3,0,11,1,0,0,0,0,8,2,33,1,1,0,0,0,0,0,0,0,0,0,0,0
220,2771,306,0,2,38,28,0,0,1,0,2,5,0,3,21,167,0,2,4,8,0,4,0,0,0,0,0,7,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2847,305,0,0,27,30,0,0,5,0,1,2,0,0,25,165,0,0,4,7,0,8,0,1,0,0,0,4,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2922,346,0,8,40,34,0,0,1,0,5,10,0,2,17,159,0,2,12,6,0,9,0,1,0,0,0,4,8,27,0,0,0,1,0,0,0,0,0,0,0,0,0
235,2998,295,0,4,29,22,2,0,4,0,2,5,0,0,23,163,0,0,8,9,0,7,0,0,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0
240,3073,313,0,5,29,18,1,0,2,0,2,4,0,1,23,178,0,3,3,7,0,9,0,1,0,0,0,8,5,11,2,1,0,0,0,0,0,0,0,0,0,0,0
245,3149,328,0,4,42,24,1,0,0,0,1,5,0,0,23,169,0,2,5,7,0,8,1,0,0,1,0,0,7,25,0,1,2,0,0,0,0,0,0,0,0,0,0
250,3224,350,0,9,41,24,0,0,1,2,0,6,0,9,9,192,0,1,6,10,0,15,0,0,0,0,0,5,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0
255,3300,311,0,4,31,21,0,0,1,0,0,13,0,2,13,186,0,0,2,6,0,5,0,0,0,0,0,2,3,20,0,1,1,0,0,0,0,0,0,0,0,0,0
260,3375,336,0,3,46,36,0,0,1,0,1,5,1,3,24,164,0,5,3,6,0,6,0,0,0,0,0,11,2,18,1,0,0,0,0,0,0,0,0,0,0,0,0
265,3450,309,0,4,50,18,1,0,2,0,0,5,0,3,18,161,0,1,9,6,0,5,0,0,0,0,0,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0
270,3526,350,0,3,44,6,0,0,1,0,4,13,0,2,17,207,0,0,4,10,0,12,0,0,0,0,0,10,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0
275,3601,303,0,3,22,19,0,0,3,0,2,7,0,4,13,201,0,1,2,2,0,7,0,0,0,0,0,3,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0
280,3677,336,0,4,30,45,0,0,0,0,1,6,0,3,21,188,0,0,4,6,0,8,1,0,0,0,0,4,2,10,1,0,2,0,0,0,0,0,0,0,0,0,0
285,3752,312,0,2,26,27,1,0,5,0,4,8,0,1,13,177,0,0,6,8,0,8,0,0,0,0,0,0,9,15,0,0,2,0,0,0,0,0,0,0,0,0,0
290,3828,302,0,2,32,23,0,0,3,0,2,4,1,3,11,170,0,0,6,14,0,2,0,1,1,0,0,11,5,10,0,0,1,0,0,0,0,0,0,0,0,0,0
305,4199,331,0,3,16,27,1,0,0,0,1,11,0,1,10,181,0,1,7,9,0,10,0,0,1,0,0,0,32,14,2,2,2,0,0,0,0,0,0,0,0,0,0
310,4323,325,0,3,14,29,0,0,0,0,2,4,0,5,12,185,0,3,10,5,0,13,0,0,0,0,0,0,25,14,1,0,0,0,0,0,0,0,0,0,0,0,0
315,4447,336,0,2,9,26,2,0,1,0,3,9,0,0,16,189,0,4,8,6,0,5,0,0,0,0,0,1,38,15,0,1,1,0,0,0,0,0,0,0,0,0,0
320,4571,311,0,3,18,30,0,0,1,0,1,4,0,0,17,158,0,4,9,4,0,7,0,0,2,0,0,0,30,22,0,0,1,0,0,0,0,0,0,0,0,0,0
325,4695,338,0,4,20,14,1,0,1,1,1,7,0,0,8,206,0,1,7,9,0,20,0,0,0,0,0,0,23,14,0,0,1,0,0,0,0,0,0,0,0,0,0
330,4819,311,0,2,8,15,1,0,2,1,1,6,0,0,12,194,0,1,6,8,0,14,0,0,0,0,0,0,26,13,0,0,0,1,0,0,0,0,0,0,0,0,0
335,4943,313,0,6,17,14,0,0,1,1,1,7,0,0,7,186,0,4,6,10,0,8,0,0,0,0,0,0,26,18,0,1,0,0,0,0,0,0,0,0,0,0,0
340,5067,323,0,2,16,5,1,0,1,0,2,5,0,1,7,221,0,3,2,14,0,7,0,0,2,0,0,0,15,18,0,0,1,0,0,0,0,0,0,0,0,0,0
345,5191,335,0,5,13,27,0,0,3,0,2,5,0,0,8,203,0,4,8,5,0,7,0,1,1,1,0,2,24,15,0,1,0,0,0,0,0,0,0,0,0,0,0
350,5315,303,0,6,12,17,0,0,2,0,2,5,0,3,10,176,0,2,9,6,0,2,0,0,1,0,0,0,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0
355,5438,346,0,5,9,16,1,0,0,1,5,3,0,1,11,227,0,1,4,9,0,8,0,0,1,0,0,0,22,21,0,1,0,0,0,0,0,0,0,0,0,0,0
360,5562,326,0,4,15,12,2,0,4,0,1,7,0,2,13,195,0,2,7,14,0,10,0,0,0,0,0,0,26,10,0,0,2,0,0,0,0,0,0,0,0,0,0
365,5686,301,0,5,7,18,0,0,0,0,1,7,0,0,9,203,0,1,4,4,0,4,0,0,0,0,0,1,21,14,0,1,1,0,0,0,0,0,0,0,0,0,0
370,5810,332,0,4,8,20,0,0,1,1,2,9,1,0,11,183,0,3,5,19,0,8,0,0,0,0,0,0,35,21,0,0,1,0,0,0,0,0,0,0,0,0,0
375,5934,318,0,3,10,16,2,0,1,1,1,8,0,1,17,187,0,3,4,13,0,7,1,0,0,0,0,1,24,17,0,1,0,0,0,0,0,0,0,0,0,0,0
380,6058,301,0,2,7,12,0,0,1,0,3,6,0,0,11,187,0,5,7,10,0,10,0,0,1,0,0,2,20,14,1,0,1,0,0,1,0,0,0,0,0,0,0
385,6112,302,0,1,19,13,0,0,0,1,2,6,0,0,12,169,0,7,8,9,0,7,0,1,1,0,0,0,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0
390,6165,314,0,2,11,16,0,0,0,0,2,5,0,2,11,190,0,7,6,9,0,7,0,0,0,0,0,0,31,13,0,0,2,0,0,0,0,0,0,0,0,0,0
405,6327,308,0,2,13,4,1,0,2,1,1,2,0,0,13,193,0,2,6,16,0,6,1,1,0,0,0,0,21,22,0,1,0,0,0,0,0,0,0,0,0,0,0
410,6380,371,0,3,18,14,1,0,0,0,4,8,0,5,5,231,0,4,4,21,0,11,0,0,0,0,0,0,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0
415,6434,310,0,9,5,7,0,0,0,0,1,8,0,0,20,180,0,2,6,15,0,9,0,0,1,0,0,2,24,20,0,0,1,0,0,0,0,0,0,0,0,0,0
420,6488,327,0,4,7,16,1,0,0,0,0,5,0,0,13,204,0,5,12,12,0,5,1,0,0,0,0,0,28,12,0,0,2,0,0,0,0,0,0,0,0,0,0
425,6542,304,0,3,10,12,0,0,1,0,0,9,0,0,12,187,0,2,4,6,0,6,0,0,1,0,0,2,27,21,0,0,1,0,0,0,0,0,0,0,0,0,0
430,6595,311,0,4,11,15,1,0,0,0,2,8,0,2,4,174,0,5,12,23,0,9,0,0,0,0,0,0,25,14,0,0,2,0,0,0,0,0,0,0,0,0,0
435,6649,318,0,1,8,10,0,0,0,0,1,4,0,0,12,194,0,4,8,11,0,11,0,0,2,0,0,0,22,25,0,1,4,0,0,0,0,0,0,0,0,0,0
440,6703,334,0,3,15,17,1,0,0,2,0,4,0,2,4,181,0,4,7,14,0,11,1,0,0,0,0,0,39,28,0,0,1,0,0,0,0,0,0,0,0,0,0
445,6756,317,0,2,11,8,0,0,1,0,1,3,0,1,12,213,0,2,2,7,0,2,0,1,1,1,0,0,24,24,0,0,1,0,0,0,0,0,0,0,0,0,0
450,6810,311,0,0,13,5,0,0,0,0,1,6,0,2,7,183,0,1,11,8,0,11,2,0,1,0,0,1,25,33,0,0,1,0,0,0,0,0,0,0,0,0,0
455,6864,309,0,2,12,10,0,0,2,0,1,8,0,0,8,194,0,3,7,9,0,6,0,0,0,0,0,0,27,19,0,0,1,0,0,0,0,0,0,0,0,0,0
460,6918,316,0,4,16,11,2,0,0,0,1,4,0,0,12,177,0,2,8,6,0,9,0,0,0,0,0,0,22,42,0,0,0,0,0,0,0,0,0,0,0,0,0
465,6971,330,0,4,14,13,2,0,0,0,3,7,0,1,9,193,0,1,6,5,0,10,2,0,0,0,0,0,21,39,0,0,0,0,0,0,0,0,0,0,0,0,0
470,7025,331,1,8,18,12,0,0,1,1,3,5,0,0,14,208,0,1,5,4,0,8,0,0,0,0,0,0,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0
475,7079,319,0,1,13,8,3,0,0,0,0,5,0,0,14,189,0,4,6,8,0,10,0,0,1,0,0,1,27,28,0,1,0,0,0,0,0,0,0,0,0,0,0
480,7133,384,0,5,22,16,0,0,0,0,2,8,0,0,15,222,0,4,5,5,0,9,0,0,1,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0
485,7182,328,0,3,14,6,0,0,0,0,0,13,0,0,13,181,0,1,8,11,0,11,0,0,0,0,0,0,28,37,0,0,2,0,0,0,0,0,0,0,0,0,0
490,7230,307,0,6,3,4,0,0,0,0,1,12,0,0,9,209,0,2,9,9,0,10,1,0,2,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0
505,7377,328,0,3,7,5,0,0,0,0,1,13,0,0,9,210,0,2,8,13,0,7,0,0,0,1,0,2,19,27,0,0,1,0,0,0,0,0,0,0,0,0,0
510,7426,347,0,8,10,8,0,0,0,1,1,6,0,0,15,230,0,3,8,15,0,11,0,0,0,0,0,0,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0
515,7475,317,0,0,6,7,2,0,1,0,0,8,0,0,7,218,0,6,7,5,0,5,0,0,0,0,0,0,13,31,0,0,1,0,0,0,0,0,0,0,0,0,0
520,7524,352,0,9,10,2,0,0,0,0,1,9,0,3,12,232,0,5,5,11,0,11,0,0,4,0,0,1,16,20,0,0,1,0,0,0,0,0,0,0,0,0,0
525,7573,327,0,6,12,3,0,0,0,0,0,14,0,0,16,210,0,7,6,8,0,8,0,0,0,0,0,2,18,15,1,0,1,0,0,0,0,0,0,0,0,0,0
530,7622,304,0,8,9,3,2,0,0,0,1,9,1,0,15,182,0,1,3,8,0,8,1,0,4,0,0,1,20,27,0,0,1,0,0,0,0,0,0,0,0,0,0
535,7671,325,0,1,10,5,0,0,1,0,3,8,0,0,8,221,0,5,10,10,0,9,0,0,1,0,0,0,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0
540,7720,371,0,2,17,7,0,0,3,0,2,8,0,0,12,241,0,15,2,13,0,10,0,0,1,0,0,0,21,15,2,0,0,0,0,0,0,0,0,0,0,0,0
545,7769,319,0,6,15,2,0,0,3,0,1,11,0,1,20,190,0,7,10,10,0,10,1,0,2,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
550,7818,340,0,2,18,2,0,0,5,0,0,8,0,0,16,223,0,2,5,10,0,12,1,0,4,0,0,0,16,15,0,0,0,0,0,0,1,0,0,0,0,0,0
555,7867,337,0,3,13,2,0,0,1,0,0,9,0,1,18,223,0,8,1,16,0,9,0,0,2,0,0,0,16,14,0,0,1,0,0,0,0,0,0,0,0,0,0
560,7916,315,0,2,12,4,0,0,0,1,1,8,0,1,9,205,0,2,9,14,0,11,0,0,2,0,0,0,14,16,0,0,3,0,0,0,0,1,0,0,0,0,0
565,7965,335,0,3,9,4,1,0,1,0,0,3,0,0,14,231,0,9,3,10,0,8,0,0,0,0,0,0,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0
570,8014,338,0,3,14,4,0,0,2,0,2,11,0,0,9,233,0,5,6,10,0,6,0,0,3,0,0,0,11,13,1,0,4,0,0,0,1,0,0,0,0,0,0
575,8063,359,0,7,15,4,1,0,0,3,1,12,0,1,15,224,0,6,5,11,0,10,0,1,1,0,0,0,17,22,0,2,1,0,0,0,0,0,0,0,0,0,0
580,8112,360,0,3,12,3,0,0,5,0,0,6,0,0,16,239,0,8,4,9,0,13,1,0,0,0,0,0,18,20,0,0,2,1,0,0,0,0,0,0,0,0,0
585,8161,374,0,5,18,1,1,0,2,0,1,9,0,3,13,242,0,3,8,16,0,10,0,0,4,0,0,0,12,24,0,0,2,0,0,0,0,0,0,0,0,0,0
590,8210,305,0,4,9,0,0,0,1,0,0,9,0,2,11,199,0,3,6,11,0,11,1,0,1,0,0,0,21,14,0,1,1,0,0,0,0,0,0,0,0,0,0
595,8259,368,0,6,19,3,3,0,1,0,0,15,0,3,14,229,0,9,7,9,0,11,0,0,1,0,0,0,18,17,0,0,3,0,0,0,0,0,0,0,0,0,0
600,8308,341,0,3,12,0,1,0,0,1,0,3,0,2,16,251,0,1,6,10,1,9,1,0,0,0,0,0,13,6,0,1,2,0,0,0,0,0,2,0,0,0,0
605,8357,334,0,3,12,1,0,0,1,0,1,10,0,1,22,226,0,4,5,14,0,8,0,0,2,0,0,0,13,8,1,0,2,0,0,0,0,0,0,0,0,0,0
610,8406,313,0,2,11,1,1,0,0,0,0,5,0,4,19,211,0,3,10,9,0,3,0,2,1,1,0,0,16,11,0,2,1,0,0,0,0,0,0,0,0,0,0
615,8455,360,0,5,14,1,1,0,0,0,0,10,0,4,19,252,0,3,4,9,0,5,0,1,0,0,0,0,21,6,0,0,3,1,0,0,0,0,0,1,0,0,0
620,8504,284,0,3,11,2,0,0,2,0,0,7,0,5,11,205,0,4,3,12,0,3,1,0,1,1,0,1,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0
625,8553,340,0,3,6,1,0,0,1,0,1,7,1,7,13,257,0,2,6,13,0,4,2,0,0,1,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
630,8601,321,0,1,13,1,0,0,1,0,0,3,0,4,19,228,0,4,8,4,0,3,2,0,3,1,0,0,16,5,0,2,3,0,0,0,0,0,0,0,0,0,0
635,8650,356,0,1,14,2,1,0,2,1,0,6,0,2,22,273,0,1,3,4,0,5,1,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
640,8699,306,0,5,18,4,0,0,0,0,1,8,0,2,26,212,0,4,2,10,0,2,0,0,1,0,0,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0
645,8783,342,0,4,8,1,0,0,1,1,0,7,0,1,27,242,0,6,8,10,0,2,0,2,1,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0
650,8867,321,0,2,14,1,1,0,2,0,0,12,0,3,33,222,0,4,4,4,0,5,0,1,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0
655,8951,411,0,0,17,1,0,0,3,0,0,14,0,6,32,286,0,3,4,14,0,8,0,1,0,0,0,1,7,10,0,1,0,1,0,0,0,0,0,2,0,0,0
660,9035,326,0,1,7,0,0,0,1,0,0,11,0,4,26,242,0,5,3,7,0,6,1,1,1,0,0,0,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0
665,9119,376,0,3,28,0,1,0,3,0,1,15,1,4,21,253,0,7,10,9,0,4,2,1,5,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,9203,313,0,3,26,0,1,0,6,0,1,17,1,1,13,198,0,5,5,19,0,5,1,0,1,0,0,1,6,0,0,0,0,1,0,0,0,0,2,0,0,0,0
675,9287,340,0,3,21,1,0,0,2,0,0,9,0,1,22,235,0,11,3,15,0,8,3,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
680,9371,360,0,3,38,1,0,0,2,1,0,15,0,0,34,210,0,5,8,24,0,7,2,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0
685,9455,316,0,1,35,0,1,0,2,1,0,14,0,2,32,165,0,6,7,21,0,10,6,0,1,1,0,0,6,3,0,1,0,1,0,0,0,0,0,0,0,0,0
690,9538,332,0,2,51,0,0,0,2,0,0,12,0,2,41,165,0,4,6,23,0,13,0,0,1,0,0,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0
695,9622,292,0,1,49,0,0,0,2,0,0,11,1,0,25,152,0,8,7,15,0,11,3,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
705,9790,299,0,1,23,0,0,0,1,1,0,12,0,2,52,167,0,3,6,8,0,10,1,0,5,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
710,9874,324,0,3,43,0,0,0,4,2,0,8,0,14,45,153,0,3,2,13,0,13,6,1,3,1,0,1,4,3,0,0,0,1,0,0,0,0,1,0,0,0,0
715,9958,335,3,0,30,0,0,0,2,1,1,8,1,4,39,181,0,5,10,20,1,10,0,0,2,0,0,0,10,1,0,2,0,1,0,0,0,0,2,0,1,0,0
720,10042,321,1,1,38,0,0,0,7,1,0,7,3,14,45,147,0,2,4,27,0,11,1,0,3,0,0,1,4,0,1,1,0,1,0,0,0,0,0,0,1,0,0
725,10126,305,0,1,51,0,0,0,4,0,0,6,2,5,38,146,0,3,5,15,0,12,1,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,1,0,0
730,10210,272,0,5,18,0,0,0,4,0,0,9,1,5,39,161,0,2,7,9,0,4,0,0,1,0,0,0,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0
735,10294,337,1,3,23,0,0,0,1,0,0,7,0,17,62,186,0,4,6,10,0,8,0,0,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
740,10378,325,0,4,23,1,0,0,2,0,0,3,0,8,90,160,0,1,3,14,0,5,0,0,1,0,0,0,5,2,0,1,0,2,0,0,0,0,0,0,0,0,0
745,10461,333,1,1,25,1,0,0,0,0,0,11,0,12,81,170,0,2,3,7,0,4,0,0,1,0,0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
750,10545,359,2,2,30,0,0,0,1,0,0,9,0,4,59,199,0,5,10,11,0,3,1,0,5,0,0,0,14,1,0,1,0,1,0,0,0,0,1,0,0,0,0
755,10629,347,2,0,33,0,0,0,0,0,1,8,0,15,56,174,0,4,10,22,0,8,0,1,2,0,0,0,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0
760,10713,334,0,0,30,0,0,0,0,0,1,11,1,7,40,191,0,2,5,11,0,11,3,0,2,0,0,0,13,1,0,2,0,0,0,0,0,0,0,0,3,0,0
765,10797,367,0,1,17,1,0,0,0,0,0,13,1,12,63,190,0,4,7,24,0,7,0,0,1,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0
770,10881,324,0,3,16,0,0,0,0,0,0,6,0,8,70,177,0,0,5,7,0,6,1,0,0,0,0,2,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0
775,10965,337,0,2,34,1,0,0,1,0,0,10,0,19,53,166,0,2,10,6,0,15,1,0,1,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0
780,11049,345,0,5,37,1,0,0,0,0,1,6,0,23,88,149,0,2,3,6,0,7,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0
785,11133,337,0,4,24,0,1,0,0,0,0,12,0,18,108,129,0,1,3,11,0,5,1,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,1,0,0
790,11225,319,0,1,30,0,0,0,0,0,0,17,0,12,120,117,0,1,5,3,0,7,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
795,11317,345,0,6,32,0,0,0,0,0,0,19,0,27,98,138,0,2,1,6,0,9,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0
800,11633,384,0,4,45,1,0,0,9,0,0,14,7,33,109,106,0,4,7,25,0,12,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0
805,11949,350,0,4,53,0,0,0,3,0,0,14,11,24,101,65,0,1,4,28,0,20,0,0,4,0,0,0,7,0,0,0,0,3,0,0,1,0,0,0,7,0,0
810,12088,390,0,0,122,0,0,0,9,0,0,27,5,0,26,37,0,4,1,113,0,30,3,0,2,0,0,0,2,0,4,0,0,1,0,0,2,0,0,0,2,0,0
