"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Elaeagnus","Ericaceae","Fagus","Fraxinus.undiff.","Fraxinus.americana","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Morus","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Sambucus","Shepherdia.canadensis","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Dryas","Plantago","Poaceae","Polygonum","Rosaceae.undiff.","Rumex.Oxyria.digyna","Saxifraga","Thalictrum","Urtica","Xanthium"
120,3204,0,0,0,0.075107296137339,0.00858369098712446,0.0879828326180258,0.0257510729613734,0,0.00214592274678112,0,0,0,0,0,0.216738197424893,0.075107296137339,0.00858369098712446,0.0665236051502146,0.00643776824034335,0.00214592274678112,0.0579399141630901,0.00214592274678112,0,0,0,0.0536480686695279,0,0,0.0321888412017167,0.0321888412017167,0,0.00429184549356223,0.0600858369098712,0,0,0,0,0.01931330472103,0.0343347639484979,0.124463519313305,0,0.00214592274678112,0,0.00214592274678112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4002,0,0,0,0.0743801652892562,0.00206611570247934,0.0640495867768595,0.0185950413223141,0,0.00206611570247934,0,0,0,0,0,0.204545454545455,0.0495867768595041,0.00206611570247934,0.0475206611570248,0.00619834710743802,0,0.113636363636364,0,0,0,0,0.0599173553719008,0,0,0.0309917355371901,0.0309917355371901,0,0.012396694214876,0.0516528925619835,0.00206611570247934,0,0,0,0.0351239669421488,0.0392561983471074,0.146694214876033,0,0,0,0.00413223140495868,0,0,0,0.00206611570247934,0,0,0,0,0,0,0,0,0,0,0
150,4396,0,0,0,0.10831234256927,0.0100755667506297,0.105793450881612,0.0125944584382872,0,0,0,0,0.00251889168765743,0,0,0.171284634760705,0.0100755667506297,0,0.0100755667506297,0.0125944584382872,0.00251889168765743,0.0151133501259446,0.00251889168765743,0,0,0,0.08816120906801,0,0,0.0403022670025189,0.0403022670025189,0.00251889168765743,0.00503778337531486,0.08816120906801,0.00251889168765743,0,0,0,0.0302267002518892,0.0428211586901763,0.181360201511335,0,0.00251889168765743,0,0.00503778337531486,0,0,0,0,0.0075566750629723,0,0,0,0,0,0,0,0,0,0
160,4790,0,0,0,0.0563380281690141,0.00938967136150235,0.0727699530516432,0.0187793427230047,0,0.00234741784037559,0,0,0.00469483568075117,0,0,0.211267605633803,0.0492957746478873,0.00469483568075117,0.0446009389671361,0.00938967136150235,0,0.0774647887323944,0.00704225352112676,0,0,0,0.0563380281690141,0,0,0.0492957746478873,0.0492957746478873,0,0.00704225352112676,0.0774647887323944,0.00234741784037559,0,0,0,0.0328638497652582,0.0258215962441315,0.122065727699531,0,0.00938967136150235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,4990,0,0,0.00170357751277683,0.071550255536627,0.00681431005110733,0.0579216354344123,0.0494037478705281,0.00170357751277683,0,0,0,0.00170357751277683,0,0,0.166950596252129,0.0562180579216354,0.00340715502555366,0.0528109028960818,0.0170357751277683,0.00170357751277683,0.132879045996593,0,0.00170357751277683,0,0,0.0374787052810903,0,0,0.0357751277683135,0.0357751277683135,0,0.010221465076661,0.0596252129471891,0.00170357751277683,0,0,0,0.0119250425894378,0.0477001703577513,0.122657580919932,0.00170357751277683,0.00511073253833049,0,0.00170357751277683,0,0,0,0.00170357751277683,0.00170357751277683,0,0,0.00170357751277683,0,0,0,0,0,0,0
170,5191,0,0,0,0.0828402366863905,0.00986193293885602,0.0887573964497041,0.0335305719921105,0,0,0,0,0,0,0,0.155818540433925,0.0493096646942801,0.00591715976331361,0.0433925049309665,0.0236686390532544,0.0019723865877712,0.161735700197239,0.00394477317554241,0,0,0,0.0236686390532544,0,0,0.029585798816568,0.0315581854043393,0,0.0138067061143984,0.0473372781065089,0,0,0,0,0.0335305719921105,0.0256410256410256,0.118343195266272,0,0.00394477317554241,0,0.0019723865877712,0,0,0,0,0,0,0,0.00788954635108481,0,0,0,0,0.0019723865877712,0,0
172,5273,0,0,0,0.0748898678414097,0.00440528634361234,0.0638766519823789,0.0418502202643172,0,0,0,0.00220264317180617,0.00220264317180617,0,0,0.231277533039648,0.0462555066079295,0.0066079295154185,0.039647577092511,0.0220264317180617,0.00440528634361234,0.116740088105727,0.00220264317180617,0,0,0,0.0352422907488987,0.00440528634361234,0,0.013215859030837,0.013215859030837,0.00220264317180617,0,0.0814977973568282,0,0,0,0,0.0154185022026432,0.0352422907488987,0.127753303964758,0,0.00440528634361234,0,0.00440528634361234,0,0,0,0,0.00440528634361234,0,0,0,0,0,0,0,0,0,0
174,5355,0,0,0,0.0504587155963303,0.00229357798165138,0.0665137614678899,0.0206422018348624,0,0,0,0,0,0,0,0.204128440366972,0.0504587155963303,0.00458715596330275,0.0458715596330275,0.0412844036697248,0.00688073394495413,0.0619266055045872,0,0,0,0,0.0619266055045872,0.00229357798165138,0,0.0206422018348624,0.0206422018348624,0.00458715596330275,0.00458715596330275,0.107798165137615,0,0,0,0,0.0252293577981651,0.0275229357798165,0.165137614678899,0,0,0,0,0,0,0,0,0.00458715596330275,0,0,0,0,0,0,0,0,0,0
175,5396,0,0,0,0.0654545454545455,0.00545454545454545,0.0618181818181818,0.0436363636363636,0,0.00181818181818182,0,0,0.00363636363636364,0,0,0.196363636363636,0.0545454545454545,0.00181818181818182,0.0527272727272727,0.0254545454545455,0.00181818181818182,0.1,0.00181818181818182,0,0,0,0.0545454545454545,0,0,0.0181818181818182,0.0181818181818182,0,0.00545454545454545,0.0509090909090909,0,0,0,0,0.0181818181818182,0.0454545454545455,0.167272727272727,0,0,0,0.00181818181818182,0,0,0,0.00181818181818182,0,0,0,0.00181818181818182,0,0,0,0,0,0,0
176,5437,0,0,0,0.0845771144278607,0.0149253731343284,0.0621890547263682,0.0248756218905473,0,0,0,0,0.00248756218905473,0,0,0.149253731343284,0.0472636815920398,0,0.0472636815920398,0.0199004975124378,0.00497512437810945,0.0621890547263682,0.00248756218905473,0,0,0,0.0646766169154229,0,0,0.0099502487562189,0.0099502487562189,0.0099502487562189,0.00248756218905473,0.124378109452736,0,0,0,0,0.0199004975124378,0.0870646766169154,0.131840796019901,0,0.00746268656716418,0,0.00497512437810945,0.00248756218905473,0,0,0,0.00248756218905473,0,0,0,0,0,0,0,0,0,0
