"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Asteraceae.undiff.","Larix","Ostrya.Carpinus","Picea","Quercus","Alnus","Acer","Pinus","Cyperaceae","Fraxinus","Ulmus","Poaceae","Ericaceae","Amaranthaceae","Corylus","Salix","Carya","Populus","Cupressaceae","Ephedra","Elaeagnaceae"
560,7278,1000,0,24,119,24,13,15,0,78,52,0,581,5,10,11,48,0,10,10,0,0,0,0,0,0
580,7602,1000,0,24,112,19,10,19,0,58,29,0,670,12,12,10,15,0,10,0,0,0,0,0,0,0
600,7926,1000,0,34,77,19,8,27,0,62,43,15,633,12,19,17,14,3,17,0,0,0,0,0,0,0
620,8250,1000,0,43,69,29,8,33,0,57,19,0,658,0,11,21,38,0,8,6,0,0,0,0,0,0
640,8574,1010,0,39,52,48,8,19,5,76,19,0,648,11,11,17,38,0,8,11,0,0,0,0,0,0
660,8898,993,19,37,70,28,9,14,9,86,47,0,577,7,11,19,42,0,9,9,0,0,0,0,0,0
675,9141,967,0,44,53,62,18,9,4,40,48,0,539,22,7,25,62,0,18,5,11,0,0,0,0,0
695,9465,999,0,33,56,24,17,11,5,47,80,0,583,9,17,28,33,0,31,11,14,0,0,0,0,0
715,9789,965,0,57,66,44,35,13,13,44,57,0,518,9,19,31,22,0,18,8,11,0,0,0,0,0
735,10113,983,0,25,191,41,32,9,6,50,27,0,527,11,16,20,16,0,10,0,2,0,0,0,0,0
755,10437,964,0,9,121,45,31,0,58,18,41,0,540,0,14,45,22,0,9,0,11,0,0,0,0,0
765,10599,981,0,17,140,17,23,9,70,47,38,0,572,0,0,26,0,0,11,0,0,11,0,0,0,0
775,10761,1000,0,19,135,19,24,44,53,34,92,0,523,0,0,39,0,0,8,0,8,2,0,0,0,0
785,11076,1000,9,11,124,0,24,5,161,24,57,0,494,0,9,38,14,0,8,0,8,14,0,0,0,0
795,11392,1010,11,23,94,8,37,8,194,33,11,0,528,8,8,28,0,0,8,0,0,11,0,0,0,0
805,11708,1010,0,36,75,10,43,14,134,52,14,0,569,0,10,43,10,0,0,0,0,0,0,0,0,0
815,12024,1000,0,23,57,14,39,10,190,39,0,14,554,0,14,26,10,0,10,0,0,0,0,0,0,0
825,12339,1020,7,0,44,11,39,0,242,39,0,0,571,0,19,39,9,0,0,0,0,0,0,0,0,0
835,12655,979,5,30,26,13,34,0,359,43,6,8,331,8,19,56,33,0,0,0,0,8,0,0,0,0
850,13129,1000,0,33,41,8,38,8,358,27,0,10,384,33,10,22,8,0,0,0,8,8,4,0,0,0
860,13445,1010,0,9,19,9,39,7,472,15,0,0,324,33,19,39,11,0,0,0,9,0,5,0,0,0
870,13761,981,0,30,58,8,19,5,476,30,0,0,224,30,30,43,11,0,0,0,9,0,8,0,0,0
880,14076,975,0,53,97,8,14,4,595,24,4,0,79,35,7,14,7,0,0,0,19,0,15,0,0,0
890,14392,1000,0,94,142,14,14,7,581,18,9,0,28,42,0,0,17,0,0,0,9,0,18,7,0,0
900,14708,1000,0,88,195,0,10,0,595,0,4,0,29,44,0,0,7,0,0,0,18,0,0,10,0,0
910,15024,1010,0,68,88,15,9,0,738,0,0,0,9,34,0,0,18,0,0,0,18,0,9,4,0,0
915,15182,1009,0,90,133,33,14,0,609,7,0,0,12,63,7,0,18,0,2,0,14,0,0,7,0,0
920,15339,989,0,114,72,19,0,14,581,18,11,0,10,86,7,0,34,0,4,0,19,0,0,0,0,0
925,15497,991,0,170,66,42,0,0,500,14,0,0,0,109,7,0,56,0,9,0,18,0,0,0,0,0
930,15655,991,0,189,85,37,0,0,379,37,0,0,4,133,28,11,47,0,7,0,34,0,0,0,0,0
935,15813,1000,0,55,21,23,0,11,686,16,0,0,18,93,26,7,11,4,9,0,13,0,7,0,0,0
940,15971,960,0,78,30,52,0,0,350,15,0,0,17,314,26,0,26,17,6,0,17,0,6,6,0,0
945,16129,981,0,105,27,45,0,0,402,16,0,0,16,293,9,0,27,11,0,0,14,0,14,2,0,0
950,16287,983,0,97,46,50,0,11,496,16,0,0,23,184,11,0,28,3,0,0,11,0,0,7,0,0
955,NA,981,0,84,19,60,0,4,416,16,0,0,9,305,9,0,19,11,7,0,9,0,9,4,0,0
960,NA,997,0,120,18,37,0,18,296,26,0,0,29,371,13,0,37,5,0,0,23,0,0,4,0,0
965,NA,991,0,134,19,74,0,8,192,23,0,0,17,358,12,14,70,3,12,0,29,0,17,6,3,0
970,NA,990,0,62,30,62,0,13,302,24,0,0,20,357,48,0,26,17,0,0,13,0,8,8,0,0
975,NA,992,0,109,28,37,0,4,388,7,0,0,22,312,20,0,43,0,0,0,8,0,7,7,0,0
980,NA,986,0,132,9,28,0,9,464,11,0,0,24,224,17,9,24,3,0,0,9,0,17,4,0,2
985,NA,976,0,74,18,41,0,0,289,0,0,0,4,503,0,0,11,9,0,0,0,0,27,0,0,0
