"sample.depths","sample.ages","upland.sum","Betula","Carya","Ericaceae","Ilex","Juglans.cinerea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Fraxinus","Myricaceae","Poaceae","Plantago","Castanea.dentata","Tsuga.canadensis","Fagus.grandifolia","Acer.rubrum","Ostrya.Carpinus","Salix","Populus","Amaranthaceae","Larix.laricina","Liquidambar.styraciflua","Liriodendron.tulipifera","Acer.undiff.","Juglans.nigra","Corylus","Nyssa","Picea","Tilia.americana","Cupressaceae","Artemisia","Caryophyllaceae","Rubus","Lamiaceae","Apiaceae","Oenothera","Cyperaceae","Polygonum","Asteraceae.subf..Cichorioideae","Verbena","Abies","Thalictrum","Sanguisorba"
350,3627,368,38,11,0,1,3,0,3,13,189,0,0,7,19,0,11,5,2,0,22,6,22,0,6,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,3709,306,39,5,0,0,1,0,1,11,125,0,4,3,30,0,21,0,2,1,28,3,3,1,7,3,4,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,3791,421,38,13,0,2,0,0,5,27,204,0,3,2,18,0,4,2,2,0,36,11,29,1,7,2,1,0,0,3,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,3873,340,32,23,0,0,0,0,4,27,156,0,2,8,20,0,14,5,1,0,18,4,12,2,1,1,0,0,0,0,0,6,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
370,3956,395,27,7,0,0,4,0,0,5,208,0,2,6,27,0,12,0,1,0,50,3,19,0,6,1,0,0,0,0,0,7,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,4038,283,19,6,0,1,0,0,0,10,105,0,5,4,21,0,39,2,1,0,32,6,10,0,11,1,1,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,4120,326,15,15,0,1,1,2,0,20,188,0,5,5,12,0,8,5,4,0,12,4,6,0,7,1,5,0,1,0,0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
385,4202,340,7,21,0,0,1,0,1,10,210,0,2,7,13,0,13,0,0,0,13,8,8,0,9,0,0,0,0,0,0,7,0,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
390,4284,356,18,10,0,0,4,0,0,10,232,0,1,6,10,0,8,0,0,0,13,3,20,1,5,1,2,1,0,0,0,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,4366,353,12,15,1,0,1,0,0,17,219,0,2,3,23,0,11,2,3,0,9,4,13,0,5,0,1,0,0,1,0,5,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,4448,362,18,14,0,0,0,0,1,26,221,0,0,3,16,0,8,1,2,0,17,6,11,0,5,1,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
405,4496,340,15,14,0,0,3,0,2,20,189,0,3,4,25,0,6,1,0,0,24,2,10,2,7,0,0,0,2,2,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
410,4543,350,6,8,0,0,1,0,0,8,203,0,3,7,15,0,18,0,4,0,25,1,15,0,13,0,1,0,0,0,0,7,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,4591,334,4,16,0,0,1,0,0,16,201,0,6,8,11,0,12,3,2,0,26,4,7,0,5,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,4639,321,16,13,0,0,1,1,0,8,178,0,1,2,21,0,6,2,5,1,27,2,5,1,3,6,6,1,0,0,0,5,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
425,4686,398,11,31,0,1,2,0,3,26,233,0,4,5,18,0,12,2,1,0,16,4,15,0,8,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,4734,320,5,16,0,0,3,0,1,13,195,0,3,7,9,0,10,1,0,0,18,5,13,0,6,0,0,0,0,0,0,6,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,4781,363,9,20,0,1,4,0,0,20,214,0,4,8,10,0,14,1,2,0,11,12,9,0,10,0,0,0,1,0,0,5,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
440,4829,323,11,16,0,0,1,0,4,24,196,0,2,2,17,0,5,5,0,0,7,6,12,0,3,1,1,0,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
445,4877,333,4,21,0,0,0,0,0,32,183,0,2,3,25,0,3,4,2,0,9,9,14,0,7,0,0,0,1,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,4924,343,5,12,0,0,0,0,0,10,231,0,3,5,20,0,6,1,1,0,13,5,10,0,7,0,5,0,0,0,0,3,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
455,4972,302,12,12,0,0,1,0,0,11,193,0,2,7,9,0,10,0,2,0,5,5,10,0,8,0,3,1,0,0,0,4,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,5019,305,13,17,2,0,1,1,0,7,189,0,1,8,15,0,9,5,1,0,5,9,13,1,2,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,5067,318,13,9,0,0,1,0,2,13,205,0,2,5,24,0,8,1,2,0,10,4,8,1,2,1,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,5115,325,6,10,0,0,0,0,0,4,219,0,5,2,18,0,7,2,0,1,9,8,11,0,12,0,1,1,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,5162,438,20,10,0,0,0,0,1,19,300,0,4,3,24,0,8,3,0,0,15,11,8,0,5,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
480,5210,392,10,12,2,2,1,0,0,20,238,0,3,4,18,1,13,0,1,0,8,13,12,0,12,2,0,1,0,1,0,9,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
485,5257,351,14,17,0,1,1,0,3,11,210,0,3,7,18,0,8,4,0,0,8,8,12,0,12,1,0,1,1,0,0,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,5305,315,10,9,0,0,0,0,1,5,229,0,3,4,16,0,3,0,0,0,4,5,5,0,17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,5353,321,5,13,0,0,0,0,0,11,212,0,2,1,22,0,9,3,0,0,5,9,11,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,5400,330,19,23,0,1,2,2,0,10,198,0,6,7,14,0,5,6,10,0,2,6,7,1,1,5,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
505,5466,339,15,11,0,0,2,0,1,11,226,1,5,2,19,0,9,0,1,0,5,4,13,0,10,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
510,5531,352,4,7,0,2,3,0,0,14,221,0,3,2,24,0,19,0,0,0,2,8,8,0,20,1,0,0,0,1,0,2,0,8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
515,5596,315,11,10,0,0,1,0,0,10,210,0,4,5,23,0,10,1,2,0,3,4,9,0,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,5662,341,5,17,0,0,0,0,0,15,207,0,1,8,19,0,13,0,1,0,5,14,12,0,19,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,5727,329,12,13,1,1,0,0,0,19,210,0,0,11,19,0,6,1,0,0,4,15,7,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
530,5792,320,9,9,0,0,0,0,0,9,214,0,3,5,23,0,11,0,0,1,5,6,8,0,12,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,5858,359,3,15,0,1,0,0,0,20,235,0,4,6,13,0,8,1,0,0,1,31,12,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,5923,327,18,16,2,0,1,0,0,6,184,0,6,14,9,0,7,4,1,0,6,13,9,3,3,8,0,0,1,0,0,3,1,0,0,1,1,7,0,2,0,0,0,0,0,1,0,0,0,0,0
545,5988,334,8,10,0,0,0,0,1,11,220,0,1,11,12,0,13,0,0,0,4,20,12,0,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,6054,331,0,15,0,0,2,0,0,0,226,0,4,4,12,0,6,0,0,0,1,13,19,0,16,0,0,0,0,0,0,6,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
555,6119,312,8,5,1,0,1,0,0,9,189,0,4,7,18,0,9,1,3,0,6,13,19,2,6,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
560,6184,343,4,19,0,0,0,0,0,13,206,0,7,5,17,0,7,1,3,0,3,15,17,0,7,1,0,0,0,0,0,8,0,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
565,6250,311,4,10,1,0,0,0,0,8,206,0,1,6,16,0,12,3,0,0,1,21,8,0,11,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
570,6315,439,12,21,2,1,2,0,0,7,286,0,4,10,18,0,6,1,1,0,1,26,8,5,5,5,2,0,5,0,0,0,0,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,6381,314,4,8,0,0,2,0,0,8,200,0,3,6,20,0,10,1,0,0,2,13,25,0,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
580,6446,322,8,11,0,0,4,0,0,8,197,0,3,12,11,0,9,0,0,0,2,15,26,0,7,0,0,0,1,1,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
585,6511,300,7,7,0,3,4,0,0,12,194,0,1,6,8,0,8,1,0,0,1,18,16,0,9,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
590,6577,316,0,7,0,0,3,0,0,0,219,0,0,11,7,0,13,0,3,0,1,12,20,0,6,0,0,0,0,0,0,4,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,6642,356,10,12,0,0,2,0,0,8,246,0,1,5,6,0,6,1,0,0,5,23,16,0,10,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,6736,331,5,16,1,0,3,0,0,8,211,0,2,8,9,0,3,0,0,1,4,10,30,0,12,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,6858,332,7,14,2,0,2,0,0,7,209,0,1,9,10,0,12,0,0,0,2,14,26,0,9,0,0,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,6981,324,10,9,0,0,2,0,0,2,234,0,2,7,6,0,8,1,3,0,0,4,3,9,6,2,3,0,0,0,0,0,0,8,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0
615,7103,350,11,17,0,0,1,0,1,12,213,0,3,10,13,0,6,0,0,0,1,23,17,0,15,0,0,1,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
620,7225,336,2,10,0,1,1,0,0,7,244,0,2,4,9,0,3,0,2,0,1,7,16,0,12,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,7348,386,12,6,0,0,1,0,1,13,274,0,3,8,5,0,8,1,2,0,0,25,7,0,18,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,7470,305,6,3,0,1,2,0,0,7,184,0,5,5,23,0,4,4,5,0,0,11,9,0,0,19,0,2,0,0,0,3,0,5,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
635,7593,358,11,4,0,0,0,0,1,10,246,0,5,3,19,0,16,2,0,0,0,9,13,0,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,7715,311,9,4,0,0,1,0,0,7,208,0,4,10,19,0,6,0,2,0,0,2,22,0,14,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,7837,344,8,4,0,1,0,0,0,16,240,0,1,7,21,0,7,0,1,0,0,14,12,0,7,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,7960,303,5,7,0,1,1,5,0,0,215,0,1,10,8,0,3,0,2,0,0,18,0,2,5,1,1,0,2,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
655,8082,313,4,2,0,1,0,0,0,9,221,0,2,9,13,0,13,0,1,0,0,12,8,0,9,0,0,0,0,0,0,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,8204,330,7,0,0,2,0,0,0,10,236,0,3,7,17,0,6,0,2,0,0,5,8,0,20,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
665,8327,322,4,2,0,0,1,0,0,17,232,0,2,5,11,0,13,0,1,0,0,10,3,0,12,0,0,0,0,0,0,2,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,8449,310,3,3,0,1,0,2,0,8,211,0,8,6,17,0,1,7,5,0,0,5,4,2,5,12,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
675,8572,317,11,1,0,0,0,0,0,25,197,0,6,5,14,0,16,3,6,0,0,5,7,0,8,2,0,0,1,0,0,2,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
680,8694,348,6,0,0,1,0,0,2,13,238,0,3,8,18,0,18,0,1,0,0,3,8,2,8,2,0,3,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,8816,336,6,2,0,1,1,0,1,26,233,0,3,5,17,0,3,3,4,0,0,5,3,0,6,1,0,1,0,0,0,0,0,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
690,8939,358,8,3,0,1,0,0,0,7,270,0,7,6,13,0,7,3,3,0,0,4,1,2,2,0,0,0,0,0,0,0,0,11,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
695,9061,326,8,0,0,0,0,0,1,39,217,0,6,4,16,0,3,1,2,0,0,5,5,0,3,1,0,1,0,0,0,2,0,8,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
700,9184,348,5,0,0,0,1,0,0,17,240,0,3,12,22,0,7,0,2,0,0,6,4,0,9,1,0,0,0,0,0,1,0,14,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
705,9306,380,8,0,0,0,2,0,0,53,219,0,5,8,19,0,6,1,4,0,1,14,6,0,15,1,0,0,0,0,0,5,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
710,9428,343,14,0,2,1,0,5,0,26,219,0,5,7,16,0,0,8,2,0,0,7,2,3,3,9,0,0,1,0,0,1,0,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
715,9551,361,6,0,0,2,0,0,0,41,256,0,2,0,17,0,9,3,3,0,1,5,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,9673,375,11,0,0,1,1,0,1,63,233,0,1,5,16,0,9,2,2,0,1,8,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,9795,327,11,1,0,0,0,0,2,37,221,0,8,3,9,0,10,1,1,0,0,4,2,0,13,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
